GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",OKC @ NOP,W,18,7,1,2,0,1,1
"Apr 11, 2025",OKC @ UTA,W,18,9,0,5,1,0,0
"Jan 03, 2025",OKC vs. NYK,W,13,8,1,0,0,0,0
"Jan 02, 2025",OKC vs. LAC,W,25,11,2,3,0,0,2
"Dec 31, 2024",OKC vs. MIN,W,18,3,3,0,0,0,0
"Dec 29, 2024",OKC vs. MEM,W,22,17,1,3,1,0,0
"Dec 28, 2024",OKC @ CHA,W,32,10,5,4,0,0,1
"Dec 26, 2024",OKC @ IND,W,16,9,1,0,1,0,0
"Dec 23, 2024",OKC vs. WAS,W,22,16,12,2,1,1,2
"Dec 20, 2024",OKC @ MIA,W,13,2,3,1,0,0,3
"Dec 19, 2024",OKC @ ORL,W,9,5,1,2,0,0,1
"Dec 14, 2024",OKC vs. HOU,W,9,2,2,1,0,0,0
"Dec 10, 2024",OKC vs. DAL,W,10,2,1,2,1,0,1
"Dec 07, 2024",OKC @ NOP,W,19,10,3,4,0,1,1
"Dec 05, 2024",OKC @ TOR,W,19,13,0,3,2,0,0
"Dec 03, 2024",OKC vs. UTA,W,17,5,2,1,1,0,1
"Dec 01, 2024",OKC @ HOU,L,7,0,1,0,0,0,1
"Nov 29, 2024",OKC @ LAL,W,18,4,0,0,1,0,0
"Nov 27, 2024",OKC @ GSW,W,16,2,1,0,1,0,1
"Nov 25, 2024",OKC @ SAC,W,18,13,0,1,0,0,0
"Nov 20, 2024",OKC vs. POR,W,22,10,4,1,2,0,2
"Nov 19, 2024",OKC @ SAS,L,13,3,0,1,1,0,2
"Nov 17, 2024",OKC vs. DAL,L,19,3,1,2,1,0,0
"Nov 15, 2024",OKC vs. PHX,W,23,7,4,3,0,0,1
"Nov 13, 2024",OKC vs. NOP,W,26,6,2,3,2,0,0
"Nov 11, 2024",OKC vs. LAC,W,11,2,1,1,0,0,2
"Nov 10, 2024",OKC vs. GSW,L,21,12,2,1,1,0,1
"Nov 08, 2024",OKC vs. HOU,W,20,12,2,7,3,0,0
"Nov 06, 2024",OKC @ DEN,L,9,3,0,1,1,0,0
"Nov 04, 2024",OKC vs. ORL,W,12,4,1,1,0,0,1
"Nov 02, 2024",OKC @ LAC,W,8,0,0,0,0,0,2
"Nov 01, 2024",OKC @ POR,W,17,8,2,2,0,0,1
"Oct 30, 2024",OKC vs. SAS,W,22,12,4,0,2,0,0
"Oct 27, 2024",OKC vs. ATL,W,14,0,3,3,0,1,0
"Oct 26, 2024",OKC @ CHI,W,16,4,1,3,2,0,1
"Oct 24, 2024",OKC @ DEN,W,7,0,1,1,0,0,1
