GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",BOS @ MEM,W,24,13,6,2,0,1,2
"Apr 06, 2022",BOS @ CHI,W,30,17,10,2,2,1,0
"Apr 03, 2022",BOS vs. WAS,W,30,10,8,6,1,1,0
"Apr 01, 2022",BOS vs. IND,W,34,17,10,6,0,1,1
"Mar 30, 2022",BOS vs. MIA,L,34,6,15,4,2,1,0
"Mar 23, 2022",BOS vs. UTA,W,31,9,6,3,0,3,1
"Mar 21, 2022",BOS @ OKC,W,34,3,5,7,3,3,0
"Mar 20, 2022",BOS @ DEN,W,24,6,5,3,0,1,0
"Mar 18, 2022",BOS @ SAC,W,22,6,9,2,1,0,1
"Mar 16, 2022",BOS @ GSW,W,32,6,5,1,0,0,2
"Mar 13, 2022",BOS vs. DAL,L,33,17,6,2,5,2,0
"Mar 11, 2022",BOS vs. DET,W,30,6,7,1,0,0,0
"Mar 09, 2022",BOS @ CHA,W,34,10,10,3,3,0,1
"Mar 06, 2022",BOS vs. BKN,W,30,13,7,4,1,1,0
"Mar 03, 2022",BOS vs. MEM,W,40,21,15,5,0,2,2
"Mar 01, 2022",BOS vs. ATL,W,34,8,4,3,0,4,1
"Feb 26, 2022",BOS @ DET,W,37,8,5,3,0,2,1
"Feb 24, 2022",BOS @ BKN,W,32,11,13,2,2,2,3
"Feb 16, 2022",BOS vs. DET,L,34,19,7,7,1,2,2
"Feb 15, 2022",BOS @ PHI,W,20,6,9,2,0,0,0
"Feb 13, 2022",BOS vs. ATL,W,24,8,6,0,0,1,0
"Feb 11, 2022",BOS vs. DEN,W,30,9,11,3,0,3,0
"Feb 08, 2022",BOS @ BKN,W,22,9,5,7,1,2,2
"Feb 06, 2022",BOS @ ORL,W,29,13,11,5,1,1,0
"Feb 04, 2022",BOS @ DET,W,19,4,10,2,1,0,1
"Feb 02, 2022",BOS vs. CHA,W,33,6,12,1,1,0,1
"Jan 31, 2022",BOS vs. MIA,W,32,14,9,2,0,2,2
"Jan 29, 2022",BOS @ NOP,W,24,8,6,3,0,1,1
"Jan 28, 2022",BOS @ ATL,L,16,1,3,0,0,2,0
"Jan 25, 2022",BOS vs. SAC,W,23,3,8,2,0,1,0
"Jan 23, 2022",BOS @ WAS,W,35,7,8,1,0,0,0
"Jan 21, 2022",BOS vs. POR,L,27,6,4,3,0,3,0
"Jan 19, 2022",BOS vs. CHA,L,32,13,10,4,0,0,2
"Jan 17, 2022",BOS vs. NOP,W,25,12,7,4,1,0,0
"Jan 15, 2022",BOS vs. CHI,W,30,15,8,1,0,1,1
"Jan 14, 2022",BOS @ PHI,L,17,5,2,2,0,1,1
"Jan 12, 2022",BOS @ IND,W,28,8,4,4,0,0,0
"Jan 10, 2022",BOS vs. IND,W,23,3,7,1,1,0,2
"Jan 08, 2022",BOS vs. NYK,W,20,3,4,5,0,0,1
"Jan 06, 2022",BOS @ NYK,L,31,7,4,1,1,0,3
"Jan 05, 2022",BOS vs. SAS,L,27,4,7,5,0,1,0
"Jan 02, 2022",BOS vs. ORL,W,34,9,8,2,0,5,2
"Dec 31, 2021",BOS vs. PHX,W,25,4,7,7,0,0,2
"Dec 29, 2021",BOS vs. LAC,L,37,9,10,8,2,3,1
"Dec 27, 2021",BOS @ MIN,L,34,16,9,6,1,1,1
"Dec 13, 2021",BOS vs. MIL,W,34,10,5,4,0,1,0
"Dec 10, 2021",BOS @ PHX,L,30,9,4,3,1,1,0
"Dec 08, 2021",BOS @ LAC,L,35,11,7,7,0,0,2
"Dec 07, 2021",BOS @ LAL,L,30,7,8,2,2,0,0
"Dec 03, 2021",BOS @ UTA,L,34,21,6,9,1,1,1
"Dec 01, 2021",BOS vs. PHI,W,31,10,8,1,0,4,1
"Nov 28, 2021",BOS @ TOR,W,26,17,11,2,0,0,2
"Nov 26, 2021",BOS @ SAS,L,25,4,5,1,0,2,1
"Nov 24, 2021",BOS vs. BKN,L,24,8,4,3,0,0,1
"Nov 22, 2021",BOS vs. HOU,W,24,11,11,4,2,0,0
"Nov 20, 2021",BOS vs. OKC,W,30,10,11,7,0,1,0
"Nov 19, 2021",BOS vs. LAL,W,32,18,4,4,1,1,1
