GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2022",GSW @ SAS,W,35,15,2,0,0,0,1
"Apr 07, 2022",GSW vs. LAL,W,27,17,4,1,0,1,2
"Apr 03, 2022",GSW @ SAC,W,36,25,5,5,1,0,1
"Apr 02, 2022",GSW vs. UTA,W,33,17,2,3,2,1,2
"Mar 30, 2022",GSW vs. PHX,L,33,19,8,1,0,1,3
"Mar 28, 2022",GSW @ MEM,L,29,10,6,2,1,0,3
"Mar 27, 2022",GSW @ WAS,L,35,23,2,0,1,0,3
"Mar 25, 2022",GSW @ ATL,L,22,9,4,2,0,0,0
"Mar 23, 2022",GSW @ MIA,W,37,22,3,1,1,1,1
"Mar 22, 2022",GSW @ ORL,L,36,13,8,0,1,0,1
"Mar 20, 2022",GSW vs. SAS,L,33,16,8,2,2,0,1
"Mar 12, 2022",GSW vs. MIL,W,36,21,7,4,0,2,1
"Mar 10, 2022",GSW @ DEN,W,34,7,4,5,3,0,1
"Mar 08, 2022",GSW vs. LAC,W,31,14,11,3,0,3,5
"Mar 05, 2022",GSW @ LAL,L,32,14,5,4,3,0,1
"Mar 03, 2022",GSW @ DAL,L,37,17,5,5,2,1,3
"Mar 01, 2022",GSW @ MIN,L,30,12,7,4,1,2,3
"Feb 27, 2022",GSW vs. DAL,L,34,18,2,2,2,0,0
"Feb 24, 2022",GSW @ POR,W,26,10,3,1,2,1,0
"Feb 16, 2022",GSW vs. DEN,L,36,9,4,4,2,1,2
"Feb 14, 2022",GSW @ LAC,L,28,13,2,1,0,1,1
"Feb 12, 2022",GSW vs. LAL,W,33,19,4,1,1,1,0
"Feb 10, 2022",GSW vs. NYK,L,36,15,7,4,1,1,0
"Feb 09, 2022",GSW @ UTA,L,28,13,3,4,2,1,2
"Feb 07, 2022",GSW @ OKC,W,35,15,5,0,1,1,3
"Feb 03, 2022",GSW vs. SAC,W,28,12,1,4,0,0,1
"Jan 31, 2022",GSW @ HOU,W,34,23,5,3,2,2,1
"Jan 29, 2022",GSW vs. BKN,W,37,24,8,2,3,2,0
"Jan 27, 2022",GSW vs. MIN,W,36,19,5,4,1,2,0
"Jan 25, 2022",GSW vs. DAL,W,26,14,5,3,1,0,2
"Jan 23, 2022",GSW vs. UTA,W,35,14,5,1,2,1,1
"Jan 21, 2022",GSW vs. HOU,W,35,17,2,4,0,0,0
"Jan 20, 2022",GSW vs. IND,L,38,11,4,2,1,1,2
"Jan 18, 2022",GSW vs. DET,W,28,19,3,1,3,1,1
"Jan 16, 2022",GSW @ MIN,L,29,12,2,4,0,1,1
"Jan 14, 2022",GSW @ CHI,W,28,21,4,6,0,0,0
"Jan 13, 2022",GSW @ MIL,L,28,16,2,1,0,1,2
"Jan 11, 2022",GSW @ MEM,L,34,13,4,2,0,0,4
