GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",NOP vs. OKC,L,39,20,6,0,0,1,0
"Apr 11, 2025",NOP vs. MIA,L,34,19,5,4,1,0,1
"Apr 10, 2025",NOP @ MIL,L,37,16,4,3,3,0,1
"Apr 08, 2025",NOP @ BKN,L,30,17,3,2,2,0,1
"Apr 06, 2025",NOP vs. MIL,L,37,23,2,2,2,0,4
"Apr 04, 2025",NOP @ LAL,L,23,10,0,0,0,0,1
"Apr 02, 2025",NOP @ LAC,L,33,11,0,1,0,0,1
"Mar 30, 2025",NOP vs. CHA,W,28,16,3,2,0,0,2
"Mar 28, 2025",NOP vs. GSW,L,19,5,2,1,0,0,2
"Mar 24, 2025",NOP vs. PHI,W,24,17,2,1,1,1,0
"Mar 23, 2025",NOP @ DET,L,3,3,0,0,0,0,0
"Mar 21, 2025",NOP @ MIN,L,12,11,0,0,1,0,1
"Mar 17, 2025",NOP vs. DET,L,17,3,0,0,1,0,3
"Mar 15, 2025",NOP @ SAS,L,6,3,1,0,0,0,1
"Mar 13, 2025",NOP vs. ORL,L,10,3,3,0,0,0,1
"Mar 09, 2025",NOP vs. MEM,L,22,11,2,3,0,0,1
"Feb 28, 2025",NOP @ PHX,L,21,11,2,1,1,0,1
"Feb 25, 2025",NOP vs. SAS,W,4,3,0,0,0,1,0
"Feb 23, 2025",NOP vs. SAS,W,2,2,0,0,0,0,0
"Feb 21, 2025",NOP @ DAL,L,4,0,0,1,0,0,1
"Feb 13, 2025",NOP vs. SAC,W,12,0,2,0,0,0,0
"Feb 12, 2025",NOP vs. SAC,L,18,8,6,2,1,0,0
"Feb 10, 2025",NOP @ OKC,L,25,4,1,1,2,1,3
"Feb 08, 2025",NOP @ SAC,L,14,3,1,2,0,0,0
"Feb 05, 2025",NOP @ DEN,L,15,3,0,2,0,0,0
"Feb 03, 2025",NOP @ DEN,L,5,3,0,0,0,0,0
"Jan 25, 2025",NOP @ CHA,L,12,0,0,1,0,0,0
"Jan 08, 2025",NOP vs. POR,L,6,9,0,0,1,0,0
"Dec 26, 2024",NOP vs. HOU,L,9,4,1,3,0,0,1
"Dec 19, 2024",NOP @ HOU,L,2,3,0,0,0,0,0
"Dec 12, 2024",NOP vs. SAC,L,3,0,1,1,0,0,0
"Dec 08, 2024",NOP @ SAS,L,4,0,0,1,1,0,0
"Dec 01, 2024",NOP @ NYK,L,19,2,2,0,1,0,1
"Nov 27, 2024",NOP vs. TOR,L,6,4,1,0,0,0,0
"Nov 22, 2024",NOP vs. GSW,L,13,1,2,1,0,0,0
"Nov 20, 2024",NOP @ CLE,L,40,34,5,3,0,0,0
"Nov 19, 2024",NOP @ DAL,L,7,9,0,0,0,0,2
"Nov 13, 2024",NOP @ OKC,L,8,6,1,0,0,0,0
"Nov 11, 2024",NOP vs. BKN,L,8,2,0,0,2,0,0
"Nov 08, 2024",NOP @ ORL,L,18,3,3,1,1,0,0
"Nov 04, 2024",NOP vs. POR,L,2,0,0,0,0,0,0
"Nov 03, 2024",NOP vs. ATL,L,4,3,1,0,0,0,0
"Oct 27, 2024",NOP @ POR,L,4,0,1,0,0,0,0
"Oct 23, 2024",NOP vs. CHI,W,1,0,0,0,0,0,1
