GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",MIA vs. ATL,W,33,24,6,4,2,0,1
"Apr 05, 2022",MIA vs. CHA,W,31,22,9,3,1,1,1
"Apr 03, 2022",MIA @ TOR,W,36,16,9,1,0,0,2
"Apr 02, 2022",MIA @ CHI,W,26,16,7,3,0,0,4
"Mar 30, 2022",MIA @ BOS,W,33,17,12,8,2,0,1
"Mar 28, 2022",MIA vs. SAC,W,32,22,15,1,2,1,2
"Mar 26, 2022",MIA vs. BKN,L,24,14,6,2,1,2,4
"Mar 25, 2022",MIA vs. NYK,L,32,17,9,1,1,1,1
"Mar 23, 2022",MIA vs. GSW,L,34,25,9,4,1,0,4
"Mar 21, 2022",MIA @ PHI,L,36,22,9,2,1,3,4
"Mar 18, 2022",MIA vs. OKC,W,25,19,9,3,1,0,0
"Mar 15, 2022",MIA vs. DET,W,24,16,8,3,0,0,2
"Mar 12, 2022",MIA vs. MIN,L,33,19,12,4,3,0,4
"Mar 11, 2022",MIA vs. CLE,W,33,30,17,1,3,1,3
"Mar 09, 2022",MIA vs. PHX,L,30,17,6,5,1,1,4
"Mar 07, 2022",MIA vs. HOU,W,30,18,10,1,0,1,2
"Mar 05, 2022",MIA vs. PHI,W,31,6,10,2,1,0,1
"Mar 03, 2022",MIA @ BKN,W,33,30,11,6,2,0,4
"Mar 02, 2022",MIA @ MIL,L,37,18,12,4,2,0,0
"Feb 28, 2022",MIA vs. CHI,W,29,15,7,5,2,2,2
"Feb 26, 2022",MIA vs. SAS,W,34,36,7,4,2,3,2
"Feb 25, 2022",MIA @ NYK,W,35,16,16,4,1,4,1
"Feb 17, 2022",MIA @ CHA,W,44,15,13,5,0,3,3
"Feb 15, 2022",MIA vs. DAL,L,33,21,12,3,0,2,1
"Feb 12, 2022",MIA vs. BKN,W,37,19,14,4,1,0,5
"Feb 10, 2022",MIA @ NOP,W,36,29,10,1,3,0,1
"Feb 07, 2022",MIA @ WAS,W,24,21,7,4,1,0,3
"Feb 05, 2022",MIA @ CHA,W,28,20,12,3,3,2,3
"Feb 03, 2022",MIA @ SAS,W,31,18,11,3,4,0,1
"Feb 01, 2022",MIA @ TOR,L,35,32,11,2,2,1,2
"Jan 31, 2022",MIA @ BOS,L,32,12,5,5,3,1,2
"Jan 29, 2022",MIA vs. TOR,L,45,14,16,1,3,2,6
"Jan 28, 2022",MIA vs. LAC,W,36,20,12,4,1,0,3
"Jan 26, 2022",MIA vs. NYK,W,31,6,8,11,2,1,3
"Jan 23, 2022",MIA vs. LAL,W,33,14,8,5,1,1,5
"Jan 21, 2022",MIA @ ATL,L,34,21,6,5,1,1,3
"Jan 19, 2022",MIA vs. POR,W,32,20,11,4,5,3,3
"Jan 17, 2022",MIA vs. TOR,W,32,14,9,2,1,1,2
"Nov 29, 2021",MIA vs. DEN,L,35,24,13,6,0,0,5
"Nov 27, 2021",MIA @ CHI,W,33,9,7,6,1,0,1
"Nov 24, 2021",MIA @ MIN,L,36,18,5,3,1,0,4
"Nov 23, 2021",MIA @ DET,W,31,15,9,5,1,0,2
"Nov 20, 2021",MIA @ WAS,L,29,15,6,3,0,0,3
"Nov 18, 2021",MIA vs. WAS,W,30,20,9,2,0,0,2
"Nov 13, 2021",MIA @ UTA,W,37,13,7,7,1,1,1
"Nov 11, 2021",MIA @ LAC,L,40,30,11,0,1,1,2
"Nov 10, 2021",MIA @ LAL,L,34,28,10,4,6,0,4
"Nov 08, 2021",MIA @ DEN,L,31,10,10,2,1,0,2
"Nov 06, 2021",MIA vs. UTA,W,36,17,6,6,1,0,5
"Nov 04, 2021",MIA vs. BOS,L,30,13,7,4,2,0,5
"Nov 02, 2021",MIA @ DAL,W,33,22,13,1,0,2,2
"Oct 29, 2021",MIA vs. CHA,W,36,26,19,2,2,1,5
"Oct 27, 2021",MIA @ BKN,W,30,24,9,0,0,0,2
"Oct 25, 2021",MIA vs. ORL,W,29,16,13,2,1,0,0
"Oct 23, 2021",MIA @ IND,L,39,17,16,3,1,1,5
"Oct 21, 2021",MIA vs. MIL,W,23,20,13,1,1,0,3
"Apr 09, 2023",MIA vs. ORL,W,8,4,3,1,1,0,0
"Apr 06, 2023",MIA @ PHI,W,24,14,8,1,0,0,0
"Apr 04, 2023",MIA @ DET,W,31,18,4,2,2,0,1
"Mar 29, 2023",MIA @ NYK,L,35,9,11,4,1,0,3
"Mar 28, 2023",MIA @ TOR,L,37,21,12,4,1,0,0
"Mar 25, 2023",MIA vs. BKN,L,35,16,7,2,1,1,4
"Mar 22, 2023",MIA vs. NYK,W,40,15,7,3,1,1,3
"Mar 19, 2023",MIA @ DET,W,39,22,10,5,0,3,3
"Mar 18, 2023",MIA @ CHI,L,34,23,7,4,2,0,3
"Mar 15, 2023",MIA vs. MEM,W,33,26,8,3,0,3,3
"Mar 13, 2023",MIA vs. UTA,W,37,16,9,3,1,1,3
"Mar 11, 2023",MIA @ ORL,L,42,14,7,3,0,0,4
"Mar 10, 2023",MIA vs. CLE,W,37,19,6,4,3,0,4
"Mar 08, 2023",MIA vs. CLE,L,29,17,1,1,0,2,3
"Mar 06, 2023",MIA vs. ATL,W,36,16,6,5,3,1,2
"Mar 04, 2023",MIA vs. ATL,W,36,30,11,5,1,2,2
"Mar 03, 2023",MIA vs. NYK,L,39,18,4,4,1,2,2
"Mar 01, 2023",MIA vs. PHI,L,30,20,8,2,1,0,2
"Feb 27, 2023",MIA @ PHI,W,32,13,7,2,1,1,5
"Feb 25, 2023",MIA @ CHA,L,31,14,6,4,2,0,2
"Feb 24, 2023",MIA @ MIL,L,25,18,7,1,1,0,2
"Feb 15, 2023",MIA @ BKN,L,38,24,13,6,0,2,2
"Feb 13, 2023",MIA vs. DEN,L,34,19,2,2,2,1,1
"Feb 11, 2023",MIA @ ORL,W,43,13,17,6,2,1,4
"Feb 10, 2023",MIA vs. HOU,W,34,20,9,3,2,1,3
"Feb 08, 2023",MIA vs. IND,W,37,38,9,3,1,0,2
"Feb 04, 2023",MIA @ MIL,L,36,16,11,8,2,0,1
"Feb 02, 2023",MIA @ NYK,L,38,32,9,3,2,1,0
"Jan 31, 2023",MIA @ CLE,W,37,18,11,1,0,0,0
