GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",BOS vs. CHA,W,36,7,7,2,3,0,1
"Apr 11, 2025",BOS vs. CHA,W,10,5,3,2,1,0,0
"Apr 09, 2025",BOS @ ORL,L,35,15,5,3,1,0,2
"Apr 06, 2025",BOS vs. WAS,W,21,6,4,2,1,0,4
"Apr 04, 2025",BOS vs. PHX,W,2,2,1,0,0,0,0
"Apr 02, 2025",BOS vs. MIA,L,17,3,3,0,1,0,0
"Mar 31, 2025",BOS @ MEM,W,6,0,0,0,0,0,0
"Mar 29, 2025",BOS @ SAS,W,19,7,2,2,0,0,1
"Mar 26, 2025",BOS @ PHX,W,13,3,0,4,1,0,1
"Mar 24, 2025",BOS @ SAC,W,28,9,7,1,2,1,0
"Mar 23, 2025",BOS @ POR,W,26,6,5,3,0,1,1
"Mar 21, 2025",BOS @ UTA,W,12,0,0,0,0,0,0
"Mar 18, 2025",BOS vs. BKN,W,16,20,3,1,2,0,0
"Mar 15, 2025",BOS @ BKN,W,11,3,0,1,0,0,1
"Mar 10, 2025",BOS vs. UTA,W,12,0,2,2,1,0,0
"Mar 06, 2025",BOS vs. PHI,W,30,15,3,3,1,0,0
"Feb 26, 2025",BOS @ DET,L,5,1,0,0,0,0,0
"Feb 25, 2025",BOS @ TOR,W,11,2,2,0,0,0,0
"Feb 20, 2025",BOS @ PHI,W,1,0,0,0,0,0,0
"Feb 12, 2025",BOS vs. SAS,W,5,0,1,0,0,0,0
"Feb 10, 2025",BOS @ MIA,W,10,0,3,1,0,0,0
"Feb 08, 2025",BOS @ NYK,W,5,0,1,2,1,0,1
"Jan 23, 2025",BOS @ LAL,L,6,0,0,1,0,0,0
"Jan 22, 2025",BOS @ LAC,W,6,0,0,0,0,0,0
"Jan 20, 2025",BOS @ GSW,W,4,5,3,1,1,0,0
"Jan 17, 2025",BOS vs. ORL,W,4,0,3,0,0,0,0
"Dec 02, 2024",BOS vs. MIA,W,11,0,1,1,1,0,0
"Nov 25, 2024",BOS vs. LAC,W,5,0,2,1,0,0,0
"Nov 04, 2024",BOS @ ATL,W,8,0,3,0,0,0,0
"Oct 28, 2024",BOS vs. MIL,W,2,0,0,0,0,0,0
"Oct 24, 2024",BOS @ WAS,W,8,4,1,0,0,0,0
