GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 16, 2024",WAS @ CHI,L,30,15,8,2,1,0,2
"Mar 14, 2024",WAS @ HOU,L,34,10,3,4,2,0,0
"Mar 12, 2024",WAS @ MEM,L,32,11,5,4,2,1,2
"Mar 10, 2024",WAS @ MIA,W,36,11,4,1,2,2,1
"Mar 08, 2024",WAS vs. CHA,W,27,11,4,0,1,1,2
"Mar 06, 2024",WAS vs. ORL,L,28,7,4,1,1,1,0
"Mar 04, 2024",WAS @ UTA,L,33,7,4,1,0,1,0
"Feb 25, 2024",WAS vs. CLE,L,6,3,1,1,0,0,1
"Feb 23, 2024",WAS @ OKC,L,31,11,5,2,2,0,0
"Feb 22, 2024",WAS @ DEN,L,32,4,1,2,1,1,0
"Feb 14, 2024",WAS @ NOP,L,27,6,3,1,1,0,4
"Feb 12, 2024",WAS @ DAL,L,30,4,7,1,0,2,1
"Feb 10, 2024",WAS vs. PHI,L,30,13,5,1,0,0,3
"Feb 09, 2024",WAS @ BOS,L,33,21,8,3,2,0,2
"Feb 07, 2024",WAS vs. CLE,L,28,6,3,1,0,0,4
"Feb 04, 2024",WAS vs. PHX,L,25,0,1,0,0,0,1
"Feb 02, 2024",WAS vs. MIA,L,25,5,4,3,1,1,1
"Jan 31, 2024",WAS vs. LAC,L,37,19,4,2,1,2,1
"Jan 29, 2024",WAS @ SAS,W,31,13,1,1,2,1,1
"Jan 27, 2024",WAS @ DET,W,31,8,7,2,1,1,1
"Jan 25, 2024",WAS vs. UTA,L,29,2,1,2,3,0,2
"Jan 24, 2024",WAS vs. MIN,L,20,4,0,1,0,0,3
"Jan 21, 2024",WAS vs. DEN,L,31,9,3,1,1,4,2
"Jan 20, 2024",WAS vs. SAS,L,23,14,4,1,0,1,1
"Jan 18, 2024",WAS @ NYK,L,17,5,3,2,0,0,0
"Jan 15, 2024",WAS vs. DET,L,27,2,4,2,0,0,0
"Jan 13, 2024",WAS @ ATL,W,28,12,6,3,2,1,1
"Jan 10, 2024",WAS @ IND,L,22,5,6,1,0,1,0
"Jan 08, 2024",WAS vs. OKC,L,25,5,5,3,0,2,0
