GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",OKC @ NOP,W,39,26,10,2,0,3,2
"Apr 11, 2025",OKC @ UTA,W,25,9,2,1,0,3,0
"Apr 09, 2025",OKC @ PHX,W,2,0,0,0,0,0,0
"Apr 08, 2025",OKC vs. LAL,W,2,0,0,1,0,0,0
"Apr 04, 2025",OKC @ HOU,L,2,3,1,0,0,0,1
"Apr 02, 2025",OKC vs. DET,W,0,0,0,0,0,0,0
"Mar 31, 2025",OKC vs. CHI,W,9,2,2,1,0,2,0
"Mar 29, 2025",OKC vs. IND,W,13,4,3,0,1,2,0
"Mar 27, 2025",OKC vs. MEM,W,2,3,0,0,0,0,0
"Mar 25, 2025",OKC @ SAC,W,2,0,0,0,0,0,0
"Mar 21, 2025",OKC vs. CHA,W,7,3,1,0,0,1,0
"Mar 19, 2025",OKC vs. PHI,W,23,16,6,2,2,2,1
"Mar 07, 2025",OKC vs. POR,W,14,2,3,1,0,2,0
"Feb 21, 2025",OKC @ UTA,W,3,3,0,0,0,0,1
"Feb 10, 2025",OKC vs. NOP,W,6,3,0,0,0,0,0
"Feb 08, 2025",OKC @ MEM,W,1,0,0,0,0,0,0
"Feb 07, 2025",OKC vs. TOR,W,2,2,1,0,0,0,0
"Jan 23, 2025",OKC vs. DAL,L,4,3,0,0,0,0,0
"Jan 22, 2025",OKC vs. UTA,W,11,6,2,0,0,1,0
"Jan 19, 2025",OKC vs. BKN,W,18,8,5,2,1,1,0
"Jan 17, 2025",OKC @ DAL,L,7,3,2,1,0,1,1
"Jan 16, 2025",OKC vs. CLE,W,17,11,4,0,0,1,0
"Jan 14, 2025",OKC @ PHI,W,3,3,0,0,0,0,0
"Jan 12, 2025",OKC @ WAS,W,8,5,3,0,0,1,0
"Jan 10, 2025",OKC @ NYK,W,2,3,0,0,0,0,0
"Jan 02, 2025",OKC vs. LAC,W,3,0,0,1,0,0,0
"Dec 29, 2024",OKC vs. MEM,W,4,0,1,0,0,0,1
"Dec 10, 2024",OKC vs. DAL,W,1,0,0,0,0,0,0
"Dec 05, 2024",OKC @ TOR,W,6,0,2,2,0,0,0
"Dec 03, 2024",OKC vs. UTA,W,8,2,2,0,1,1,0
"Nov 29, 2024",OKC @ LAL,W,0,0,0,0,0,0,0
"Nov 25, 2024",OKC @ SAC,W,3,2,4,0,0,0,0
