GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",GSW vs. UTA,W,21,7,9,2,2,0,0
"Apr 12, 2024",GSW vs. NOP,L,23,5,7,1,0,1,1
"Apr 11, 2024",GSW @ POR,W,33,9,3,4,0,0,0
"Apr 09, 2024",GSW @ LAL,W,20,13,3,2,0,0,1
"Apr 07, 2024",GSW vs. UTA,W,31,16,7,6,0,0,1
"Apr 05, 2024",GSW @ DAL,L,25,14,4,5,0,0,2
"Apr 04, 2024",GSW @ HOU,W,24,4,4,2,1,0,2
"Apr 02, 2024",GSW vs. DAL,W,31,5,10,5,0,0,1
"Mar 31, 2024",GSW @ SAS,W,24,12,7,4,2,0,1
"Mar 29, 2024",GSW @ CHA,W,26,4,5,3,0,0,0
"Mar 27, 2024",GSW @ ORL,W,21,6,9,1,1,0,0
"Mar 26, 2024",GSW @ MIA,W,22,6,5,1,1,0,1
"Mar 24, 2024",GSW @ MIN,L,19,7,2,0,0,0,0
"Mar 22, 2024",GSW vs. IND,L,27,13,10,2,1,0,2
"Mar 20, 2024",GSW vs. MEM,W,23,2,5,4,2,0,1
"Mar 18, 2024",GSW vs. NYK,L,25,0,2,2,0,1,1
"Mar 16, 2024",GSW @ LAL,W,35,5,5,3,0,0,1
"Mar 13, 2024",GSW @ DAL,L,28,11,5,6,4,0,2
"Mar 11, 2024",GSW @ SAS,W,35,14,8,4,1,1,2
"Mar 09, 2024",GSW vs. SAS,L,31,8,6,7,1,1,2
"Mar 07, 2024",GSW vs. CHI,L,27,11,4,4,1,0,0
"Mar 06, 2024",GSW vs. MIL,W,26,8,7,3,0,1,1
"Feb 29, 2024",GSW @ NYK,W,32,2,3,4,1,0,0
"Feb 27, 2024",GSW @ WAS,W,28,7,4,4,2,1,2
"Feb 25, 2024",GSW vs. DEN,L,30,4,6,4,1,0,2
"Feb 23, 2024",GSW vs. CHA,W,31,13,6,6,0,0,0
"Feb 22, 2024",GSW vs. LAL,W,28,10,9,1,0,0,2
"Feb 15, 2024",GSW @ UTA,W,34,13,6,8,0,0,2
"Feb 14, 2024",GSW vs. LAC,L,32,25,7,8,1,0,1
"Feb 12, 2024",GSW @ UTA,W,25,10,4,3,1,0,4
"Feb 10, 2024",GSW vs. PHX,W,35,10,8,7,0,0,2
"Feb 08, 2024",GSW @ IND,W,34,9,7,7,2,1,2
"Feb 07, 2024",GSW @ PHI,W,25,6,5,5,2,0,0
"Feb 05, 2024",GSW @ BKN,W,38,15,11,3,0,0,0
"Feb 03, 2024",GSW @ ATL,L,39,15,11,5,0,1,0
"Feb 02, 2024",GSW @ MEM,W,34,12,7,14,2,1,0
"Jan 30, 2024",GSW vs. PHI,W,37,11,6,3,0,0,3
"Jan 27, 2024",GSW vs. LAL,L,28,10,7,5,1,0,1
"Jan 25, 2024",GSW vs. SAC,L,27,7,3,2,0,0,1
"Jan 24, 2024",GSW vs. ATL,W,27,10,3,2,0,0,2
"Jan 15, 2024",GSW @ MEM,L,27,8,4,4,0,0,2
"Jan 13, 2024",GSW @ MIL,L,36,23,10,3,2,0,0
"Jan 12, 2024",GSW @ CHI,W,27,5,3,4,0,0,0
"Jan 10, 2024",GSW vs. NOP,L,25,2,9,2,0,0,2
"Jan 07, 2024",GSW vs. TOR,L,29,5,8,4,0,0,0
"Jan 05, 2024",GSW vs. DET,W,25,11,5,5,1,0,1
"Jan 04, 2024",GSW vs. DEN,L,28,13,2,5,1,0,0
"Jan 02, 2024",GSW vs. ORL,W,28,10,4,2,2,0,0
"Dec 30, 2023",GSW vs. DAL,L,29,13,9,4,1,0,2
"Dec 28, 2023",GSW vs. MIA,L,28,10,3,6,0,0,1
"Dec 25, 2023",GSW @ DEN,L,34,13,9,6,5,0,2
"Dec 23, 2023",GSW vs. POR,W,32,15,10,7,1,1,2
"Dec 22, 2023",GSW vs. WAS,W,29,10,7,5,1,0,1
"Dec 19, 2023",GSW vs. BOS,W,16,5,5,1,1,0,1
"Dec 17, 2023",GSW @ POR,W,33,10,5,5,1,0,1
"Dec 16, 2023",GSW vs. BKN,W,32,19,5,5,3,1,5
"Dec 14, 2023",GSW @ LAC,L,35,4,7,2,3,1,3
"Dec 12, 2023",GSW @ PHX,L,29,20,11,5,1,0,3
"Dec 08, 2023",GSW @ OKC,L,23,12,6,4,1,0,1
"Dec 06, 2023",GSW vs. POR,W,21,3,5,1,0,0,1
"Dec 02, 2023",GSW @ LAC,L,37,12,6,3,1,2,1
"Nov 30, 2023",GSW vs. LAC,W,31,13,8,2,0,0,0
"Nov 24, 2023",GSW vs. SAS,W,12,0,3,2,0,0,1
"Nov 22, 2023",GSW @ PHX,L,23,10,4,2,3,0,0
"Nov 20, 2023",GSW vs. HOU,W,18,3,5,3,0,0,0
"Nov 18, 2023",GSW vs. OKC,L,25,8,3,3,0,0,3
"Nov 16, 2023",GSW vs. OKC,L,25,13,8,3,0,0,1
"Nov 14, 2023",GSW vs. MIN,L,39,23,7,5,1,0,3
"Nov 12, 2023",GSW vs. MIN,L,1,8,1,0,1,0,0
"Nov 11, 2023",GSW vs. CLE,L,8,2,2,2,1,0,1
"Nov 08, 2023",GSW @ DEN,L,11,5,3,2,0,0,0
"Nov 06, 2023",GSW @ DET,W,0,0,0,0,0,0,0
"Nov 05, 2023",GSW @ CLE,L,8,0,2,2,0,0,2
"Oct 30, 2023",GSW @ NOP,W,23,5,8,2,0,0,2
"Apr 13, 2025",GSW vs. LAC,L,43,19,7,4,2,1,2
"Apr 11, 2025",GSW @ POR,W,30,10,7,3,2,0,0
