GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 12, 2024",CHA @ BOS,L,14,9,2,0,0,0,1
"Apr 10, 2024",CHA @ ATL,W,33,27,3,2,0,0,1
"Apr 09, 2024",CHA vs. DAL,L,35,21,6,4,3,0,3
"Apr 07, 2024",CHA vs. OKC,L,36,13,3,4,1,3,2
"Apr 05, 2024",CHA vs. ORL,W,39,32,6,2,1,1,5
"Apr 03, 2024",CHA vs. POR,L,30,21,2,1,2,1,2
"Apr 01, 2024",CHA vs. BOS,L,40,19,5,2,1,0,1
"Mar 31, 2024",CHA vs. LAC,L,40,22,6,4,0,1,2
"Mar 29, 2024",CHA vs. GSW,L,33,12,3,3,0,1,1
"Mar 27, 2024",CHA vs. CLE,W,35,31,6,1,0,1,1
"Mar 25, 2024",CHA @ CLE,L,37,24,8,3,0,0,3
"Mar 23, 2024",CHA @ ATL,L,34,13,2,1,0,0,1
"Mar 19, 2024",CHA @ ORL,L,32,21,7,1,1,0,2
"Mar 16, 2024",CHA @ PHI,L,15,6,2,1,0,1,3
"Mar 15, 2024",CHA vs. PHX,L,29,14,4,1,2,1,0
"Mar 13, 2024",CHA @ MEM,W,36,10,3,5,4,0,1
"Mar 11, 2024",CHA @ DET,L,35,19,5,7,1,1,0
"Mar 09, 2024",CHA vs. BKN,W,36,23,7,3,0,1,2
"Mar 08, 2024",CHA @ WAS,L,30,21,6,0,0,1,1
"Mar 05, 2024",CHA vs. ORL,L,38,18,5,3,1,0,4
"Mar 03, 2024",CHA @ TOR,L,37,26,10,3,0,1,2
"Feb 29, 2024",CHA vs. MIL,L,40,21,7,1,0,0,1
"Feb 27, 2024",CHA @ MIL,L,33,14,2,2,1,0,1
"Feb 25, 2024",CHA @ POR,W,38,17,4,1,2,0,5
"Feb 23, 2024",CHA @ GSW,L,31,11,3,5,4,1,4
"Feb 22, 2024",CHA @ UTA,W,38,16,3,5,4,0,1
"Feb 14, 2024",CHA vs. ATL,W,36,26,6,4,1,3,5
"Feb 12, 2024",CHA vs. IND,W,29,12,4,1,0,0,1
"Feb 10, 2024",CHA vs. MEM,W,31,18,6,1,0,0,3
"Feb 09, 2024",CHA @ MIL,L,29,16,6,3,1,1,2
"Feb 07, 2024",CHA vs. TOR,L,41,20,4,1,2,1,4
"Feb 05, 2024",CHA vs. LAL,L,33,33,4,3,4,0,2
"Feb 04, 2024",CHA vs. IND,L,38,35,6,1,1,2,1
"Feb 02, 2024",CHA @ OKC,L,32,28,4,4,3,2,2
"Jan 31, 2024",CHA vs. CHI,L,38,21,1,3,1,0,2
"Jan 29, 2024",CHA vs. NYK,L,39,29,7,3,0,1,1
"Jan 27, 2024",CHA vs. UTA,L,37,12,1,3,1,0,1
"Jan 26, 2024",CHA vs. HOU,L,20,5,1,2,0,0,0
"Jan 24, 2024",CHA @ DET,L,39,23,7,4,0,1,2
"Jan 22, 2024",CHA @ MIN,W,29,27,3,2,1,0,0
"Jan 20, 2024",CHA vs. PHI,L,35,23,7,3,0,1,1
"Jan 19, 2024",CHA vs. SAS,W,35,24,9,2,2,0,3
"Jan 12, 2024",CHA @ SAS,L,9,1,2,1,1,0,1
"Jan 10, 2024",CHA vs. SAC,L,28,15,1,2,0,0,0
"Jan 08, 2024",CHA vs. CHI,L,31,4,6,4,1,0,3
"Jan 05, 2024",CHA @ CHI,L,23,9,3,1,1,0,0
"Jan 01, 2024",CHA @ DEN,L,32,15,5,1,0,0,2
"Dec 29, 2023",CHA @ PHX,L,31,20,1,3,1,1,0
"Dec 28, 2023",CHA @ LAL,L,29,17,1,2,1,1,3
"Dec 23, 2023",CHA vs. DEN,L,11,4,1,2,0,0,3
"Dec 20, 2023",CHA @ IND,L,33,21,6,3,1,0,1
"Dec 18, 2023",CHA @ TOR,L,37,14,3,0,0,1,3
"Dec 16, 2023",CHA vs. PHI,L,29,14,4,4,0,1,3
"Dec 15, 2023",CHA vs. NOP,L,35,16,4,3,1,0,0
"Dec 13, 2023",CHA @ MIA,L,39,18,2,3,3,0,5
"Dec 11, 2023",CHA vs. MIA,L,30,16,4,2,0,0,2
"Dec 08, 2023",CHA vs. TOR,W,35,20,5,3,0,2,4
"Dec 06, 2023",CHA @ CHI,L,39,12,6,4,1,1,2
"Dec 02, 2023",CHA vs. MIN,L,36,14,5,3,0,2,2
"Nov 28, 2023",CHA @ NYK,L,36,18,3,2,1,0,3
"Nov 26, 2023",CHA @ ORL,L,33,20,5,1,1,0,2
"Nov 22, 2023",CHA vs. WAS,W,31,15,0,3,1,0,0
"Nov 20, 2023",CHA vs. BOS,W,40,9,7,4,2,1,2
