GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 15, 2022",PHI vs. BOS,L,7,5,2,0,1,0,0
"Jan 31, 2022",PHI vs. MEM,W,9,2,4,0,0,2,1
"Jan 19, 2022",PHI vs. ORL,W,4,0,1,1,0,0,0
"Jan 17, 2022",PHI @ WAS,L,4,4,1,0,0,0,0
"Jan 12, 2022",PHI vs. CHA,L,1,2,0,0,0,0,0
"Jan 10, 2022",PHI @ HOU,W,5,0,1,0,1,1,0
"Jan 07, 2022",PHI vs. SAS,W,2,0,2,0,0,1,0
"Jan 03, 2022",PHI vs. HOU,W,2,2,0,0,0,0,0
"Dec 26, 2021",PHI @ WAS,W,6,0,1,2,0,0,2
"Dec 23, 2021",PHI vs. ATL,L,12,8,8,1,1,1,0
"Dec 20, 2021",PHI @ BOS,W,8,0,3,1,0,0,1
"Dec 13, 2021",PHI @ MEM,L,22,13,10,0,0,4,0
"Dec 09, 2021",PHI vs. UTA,L,5,4,0,0,1,1,1
"Nov 24, 2021",PHI @ GSW,L,8,0,1,0,0,0,1
"Nov 22, 2021",PHI @ SAC,W,15,2,7,1,0,0,2
"Nov 20, 2021",PHI @ POR,L,14,6,6,0,0,1,0
"Nov 18, 2021",PHI @ DEN,W,19,12,7,0,1,3,0
"Nov 16, 2021",PHI @ UTA,L,9,5,4,0,0,1,0
"Nov 13, 2021",PHI @ IND,L,4,0,1,1,0,0,0
"Nov 09, 2021",PHI vs. MIL,L,5,0,1,0,0,2,0
"Oct 30, 2021",PHI vs. ATL,W,3,0,0,0,0,0,0
"Oct 26, 2021",PHI @ NYK,L,1,2,0,0,0,0,0
"Oct 20, 2021",PHI @ NOP,W,2,2,2,0,0,0,0
"Mar 14, 2023",SAS vs. ORL,W,8,2,0,2,1,1,0
"Mar 12, 2023",SAS vs. OKC,L,15,8,6,1,0,2,0
"Mar 10, 2023",SAS vs. DEN,W,15,4,4,1,1,0,0
"Mar 05, 2023",SAS @ HOU,L,25,14,6,2,0,1,0
"Mar 04, 2023",SAS vs. HOU,L,19,14,8,4,1,0,4
"Mar 02, 2023",SAS vs. IND,W,17,6,5,2,0,2,4
"Feb 28, 2023",SAS @ UTA,W,21,7,10,1,1,3,1
"Feb 25, 2023",SAS @ UTA,L,15,6,3,1,2,0,2
"Feb 23, 2023",SAS @ DAL,L,19,16,7,2,1,0,0
"Feb 15, 2023",SAS @ CHA,L,14,4,11,3,0,2,0
"Feb 13, 2023",SAS @ CLE,L,13,6,8,0,1,0,2
"Jan 07, 2023",SAS vs. BOS,L,14,0,5,1,0,0,2
"Dec 27, 2022",SAS @ OKC,L,3,2,2,0,0,0,0
"Dec 23, 2022",SAS @ ORL,L,5,2,2,0,0,0,0
"Dec 22, 2022",SAS @ NOP,L,8,0,4,0,1,0,3
"Dec 19, 2022",SAS @ HOU,W,3,0,0,0,0,0,0
"Dec 17, 2022",SAS vs. MIA,L,3,0,3,0,0,0,0
"Dec 14, 2022",SAS vs. POR,L,20,6,5,2,0,2,2
"Dec 12, 2022",SAS vs. CLE,W,20,6,11,1,0,0,1
"Dec 10, 2022",SAS @ MIA,W,18,8,4,2,0,1,1
"Dec 08, 2022",SAS vs. HOU,W,21,10,5,3,1,4,0
"Dec 04, 2022",SAS vs. PHX,L,20,5,7,1,0,1,1
"Dec 02, 2022",SAS vs. NOP,L,21,11,9,0,1,2,0
"Nov 26, 2022",SAS vs. LAL,L,2,0,1,0,0,0,0
"Nov 25, 2022",SAS vs. LAL,L,2,2,1,0,0,0,0
"Nov 23, 2022",SAS vs. NOP,L,12,3,3,1,0,1,0
"Nov 20, 2022",SAS @ LAL,L,21,8,8,5,1,0,1
"Nov 19, 2022",SAS @ LAC,L,23,6,9,0,0,0,3
"Nov 17, 2022",SAS @ SAC,L,11,4,2,2,1,0,4
"Nov 15, 2022",SAS @ POR,L,16,6,5,1,0,1,3
"Nov 14, 2022",SAS @ GSW,L,24,6,7,3,0,2,3
"Nov 11, 2022",SAS vs. MIL,W,18,5,14,4,0,4,3
"Nov 09, 2022",SAS vs. MEM,L,16,10,6,2,2,1,0
"Nov 07, 2022",SAS vs. DEN,L,16,3,8,1,1,1,1
"Nov 02, 2022",SAS vs. TOR,L,12,9,4,0,0,2,0
"Dec 01, 2023",SAS @ NOP,L,19,8,11,3,0,3,1
"Nov 30, 2023",SAS vs. ATL,L,4,0,1,0,0,2,0
"Nov 26, 2023",SAS @ DEN,L,15,9,6,2,0,1,1
"Nov 24, 2023",SAS @ GSW,L,7,0,0,2,0,1,0
"Nov 22, 2023",SAS vs. LAC,L,2,0,0,0,0,0,3
"Nov 20, 2023",SAS vs. LAC,L,18,2,12,3,0,4,3
"Nov 18, 2023",SAS vs. MEM,L,4,0,1,0,0,0,1
"Nov 17, 2023",SAS vs. SAC,L,2,2,1,0,0,0,0
"Nov 14, 2023",SAS @ OKC,L,17,6,7,1,0,0,0
"Nov 12, 2023",SAS vs. MIA,L,6,3,5,1,1,0,1
"Nov 10, 2023",SAS vs. MIN,L,11,2,6,2,0,2,0
"Nov 08, 2023",SAS @ NYK,L,15,6,4,1,1,2,0
"Nov 06, 2023",SAS @ IND,L,17,10,3,1,3,0,1
"Nov 05, 2023",SAS vs. TOR,L,9,2,2,0,0,0,1
"Nov 02, 2023",SAS @ PHX,W,6,3,1,1,1,0,1
"Oct 31, 2023",SAS @ PHX,W,15,2,3,1,0,1,1
"Oct 29, 2023",SAS @ LAC,L,16,6,5,1,1,1,0
"Oct 27, 2023",SAS vs. HOU,W,7,0,3,0,0,0,0
"Oct 25, 2023",SAS vs. DAL,L,13,2,5,2,1,0,1
"Apr 04, 2025",SAS vs. CLE,L,3,0,0,0,0,0,0
"Mar 30, 2025",SAS vs. GSW,L,10,0,1,0,0,1,0
"Feb 23, 2025",SAS @ NOP,L,6,4,3,1,2,0,0
"Feb 21, 2025",SAS vs. DET,L,11,6,2,2,0,0,1
"Feb 03, 2025",SAS @ MEM,L,7,4,2,1,0,0,0
"Feb 01, 2025",SAS vs. MIA,L,27,9,15,1,0,1,1
"Jan 25, 2025",SAS vs. IND,L,3,0,1,0,0,0,0
"Jan 19, 2025",SAS @ MIA,L,9,2,4,0,2,0,1
"Jan 17, 2025",SAS vs. MEM,L,17,12,9,0,0,2,1
"Jan 15, 2025",SAS vs. MEM,L,11,5,5,0,1,2,0
"Jan 13, 2025",SAS @ LAL,W,12,4,9,1,1,1,2
"Jan 08, 2025",SAS @ MIL,L,13,4,2,0,1,1,0
"Jan 06, 2025",SAS @ CHI,L,13,2,5,0,0,0,1
"Jan 04, 2025",SAS vs. DEN,L,4,0,1,0,0,0,0
"Dec 31, 2024",SAS vs. LAC,W,6,2,3,2,0,0,1
"Dec 29, 2024",SAS @ MIN,L,5,4,2,0,0,0,0
"Dec 23, 2024",SAS @ PHI,L,7,0,3,0,0,1,1
"Dec 21, 2024",SAS vs. POR,W,18,16,12,0,1,0,1
"Dec 19, 2024",SAS vs. ATL,W,8,4,4,0,0,1,1
"Dec 15, 2024",SAS vs. MIN,L,15,8,7,1,0,0,2
"Dec 13, 2024",SAS @ POR,W,14,8,4,0,0,1,0
"Dec 08, 2024",SAS vs. NOP,W,18,16,12,0,0,4,1
"Dec 06, 2024",SAS vs. SAC,L,26,7,7,0,0,3,2
"Dec 05, 2024",SAS vs. CHI,L,13,5,3,3,1,0,1
"Dec 01, 2024",SAS @ SAC,W,6,0,2,1,0,0,1
"Nov 27, 2024",SAS vs. LAL,L,4,2,2,0,0,0,0
"Nov 26, 2024",SAS @ UTA,W,5,2,2,0,0,0,0
"Nov 21, 2024",SAS vs. UTA,W,27,11,9,1,1,6,1
"Nov 19, 2024",SAS vs. OKC,W,21,12,8,0,1,2,1
"Nov 16, 2024",SAS @ DAL,L,22,0,6,2,1,3,1
"Nov 11, 2024",SAS vs. SAC,W,1,2,0,0,1,0,0
"Nov 07, 2024",SAS vs. POR,W,0,0,0,0,0,0,0
"Nov 06, 2024",SAS @ HOU,L,8,6,6,0,0,0,2
"Nov 02, 2024",SAS vs. MIN,W,1,0,0,0,0,0,0
"Oct 31, 2024",SAS @ UTA,W,0,0,0,0,0,0,0
"Oct 24, 2024",SAS @ DAL,L,6,0,1,1,1,1,0
