GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",OKC vs. DAL,W,12,13,9,0,0,1,2
"Apr 12, 2024",OKC vs. MIL,W,25,22,9,3,1,3,2
"Apr 10, 2024",OKC vs. SAS,W,15,9,6,2,1,0,0
"Apr 09, 2024",OKC vs. SAC,W,34,15,9,2,2,2,0
"Apr 07, 2024",OKC @ CHA,W,31,20,10,2,2,3,3
"Apr 05, 2024",OKC @ IND,L,28,15,8,0,0,3,2
"Apr 03, 2024",OKC @ BOS,L,27,11,7,2,0,0,1
"Apr 02, 2024",OKC @ PHI,L,29,22,7,1,0,2,3
"Mar 31, 2024",OKC @ NYK,W,26,5,5,0,0,1,3
"Mar 29, 2024",OKC vs. PHX,W,28,20,6,2,0,1,1
"Mar 27, 2024",OKC vs. HOU,L,18,2,7,0,0,3,5
"Mar 26, 2024",OKC @ NOP,W,33,16,9,4,0,2,1
"Mar 24, 2024",OKC @ MIL,L,25,6,4,0,0,0,1
"Mar 22, 2024",OKC @ TOR,W,27,18,10,1,2,1,0
"Mar 20, 2024",OKC vs. UTA,W,31,35,14,1,2,3,2
"Mar 16, 2024",OKC @ MEM,W,32,22,11,2,1,3,1
"Mar 14, 2024",OKC vs. DAL,W,32,11,8,1,1,1,0
"Mar 12, 2024",OKC vs. IND,L,35,15,13,3,0,2,0
"Mar 10, 2024",OKC vs. MEM,W,22,8,6,2,0,2,3
"Mar 08, 2024",OKC vs. MIA,W,29,7,3,3,0,0,0
"Mar 06, 2024",OKC @ POR,W,33,21,14,5,0,1,1
"Mar 04, 2024",OKC @ LAL,L,28,15,7,1,0,1,0
"Mar 03, 2024",OKC @ PHX,W,32,14,9,2,1,0,1
"Feb 29, 2024",OKC @ SAS,L,33,23,7,5,0,1,1
"Feb 27, 2024",OKC vs. HOU,W,34,18,13,2,1,3,2
"Feb 25, 2024",OKC @ HOU,W,33,29,8,7,1,3,2
"Feb 23, 2024",OKC vs. WAS,W,23,25,10,0,0,2,3
"Feb 22, 2024",OKC vs. LAC,W,33,17,10,3,0,3,3
"Feb 13, 2024",OKC @ ORL,W,32,13,9,1,1,5,1
"Feb 11, 2024",OKC vs. SAC,W,31,14,4,2,2,4,2
"Feb 10, 2024",OKC @ DAL,L,22,13,12,0,0,1,0
"Feb 06, 2024",OKC @ UTA,L,31,22,8,3,3,4,1
"Feb 04, 2024",OKC vs. TOR,W,41,22,5,4,2,2,2
"Feb 02, 2024",OKC vs. CHA,W,23,16,6,3,1,2,1
"Jan 31, 2024",OKC vs. DEN,W,32,18,13,3,0,5,2
"Jan 29, 2024",OKC vs. MIN,L,32,4,7,2,0,3,2
"Jan 28, 2024",OKC @ DET,L,23,9,12,1,0,1,1
"Jan 26, 2024",OKC @ NOP,W,30,20,13,0,1,2,0
"Jan 24, 2024",OKC @ SAS,W,30,17,9,4,1,3,3
"Jan 23, 2024",OKC vs. POR,W,32,8,10,3,0,6,1
"Jan 20, 2024",OKC @ MIN,W,33,15,5,2,1,2,0
"Jan 18, 2024",OKC @ UTA,W,32,15,5,5,0,4,3
"Jan 16, 2024",OKC @ LAC,L,33,8,5,5,0,1,1
"Jan 15, 2024",OKC @ LAL,L,30,9,8,4,1,3,3
"Jan 13, 2024",OKC vs. ORL,W,32,15,8,3,1,2,2
"Jan 11, 2024",OKC vs. POR,W,20,19,4,3,1,0,0
"Jan 10, 2024",OKC @ MIA,W,33,23,9,2,0,3,2
"Jan 08, 2024",OKC @ WAS,W,32,31,4,5,0,2,0
"Jan 05, 2024",OKC @ BKN,L,35,17,6,3,1,1,1
"Jan 03, 2024",OKC @ ATL,L,25,12,3,1,0,0,4
"Jan 02, 2024",OKC vs. BOS,W,33,14,3,7,0,4,1
"Dec 31, 2023",OKC vs. BKN,W,32,18,10,3,0,2,3
"Dec 29, 2023",OKC @ DEN,W,28,24,6,3,0,2,2
"Dec 27, 2023",OKC vs. NYK,W,30,22,5,1,0,4,0
"Dec 26, 2023",OKC vs. MIN,W,29,20,4,5,0,1,1
"Dec 23, 2023",OKC vs. LAL,L,34,19,10,0,1,3,0
"Dec 21, 2023",OKC vs. LAC,W,30,23,6,7,0,0,1
"Dec 18, 2023",OKC vs. MEM,W,25,17,6,2,1,7,2
"Dec 16, 2023",OKC @ DEN,W,32,17,11,1,0,8,1
"Dec 14, 2023",OKC @ SAC,L,30,14,11,1,0,3,1
"Dec 11, 2023",OKC vs. UTA,W,25,16,8,2,1,2,3
"Dec 08, 2023",OKC vs. GSW,W,35,21,7,1,0,3,3
"Dec 06, 2023",OKC @ HOU,L,26,4,5,2,1,6,1
"Dec 02, 2023",OKC @ DAL,W,30,11,11,3,1,4,2
"Nov 30, 2023",OKC vs. LAL,W,28,18,5,1,2,0,2
"Nov 28, 2023",OKC @ MIN,L,34,16,8,6,1,1,0
"Nov 25, 2023",OKC vs. PHI,L,32,33,6,2,0,3,1
"Nov 22, 2023",OKC vs. CHI,W,32,18,13,2,1,4,2
"Nov 19, 2023",OKC @ POR,W,20,16,6,0,0,2,0
"Nov 18, 2023",OKC @ GSW,W,37,36,10,5,2,2,4
"Nov 16, 2023",OKC @ GSW,W,27,13,10,2,0,2,4
"Nov 14, 2023",OKC vs. SAS,W,30,9,7,3,2,1,2
"Nov 12, 2023",OKC @ PHX,W,33,18,6,4,0,2,0
"Nov 10, 2023",OKC @ SAC,L,30,12,7,1,1,1,4
"Nov 08, 2023",OKC vs. CLE,W,29,15,7,2,1,3,2
"Nov 06, 2023",OKC vs. ATL,W,34,16,12,3,1,3,1
"Nov 03, 2023",OKC vs. GSW,L,32,24,8,5,1,1,2
"Nov 01, 2023",OKC vs. NOP,L,37,19,11,3,1,2,5
"Oct 30, 2023",OKC vs. DET,W,24,14,4,3,2,4,3
"Oct 29, 2023",OKC vs. DEN,L,26,19,4,0,0,0,1
"Oct 27, 2023",OKC @ CLE,W,31,16,13,2,1,7,1
"Oct 25, 2023",OKC @ CHI,W,25,11,4,3,1,0,1
"Apr 09, 2025",OKC @ PHX,W,30,22,10,4,0,0,0
"Apr 08, 2025",OKC vs. LAL,W,25,14,4,2,1,2,2
"Apr 06, 2025",OKC vs. LAL,L,25,10,3,1,0,1,0
"Apr 04, 2025",OKC @ HOU,L,31,20,4,1,0,2,2
"Apr 02, 2025",OKC vs. DET,W,33,22,11,4,2,6,2
"Mar 31, 2025",OKC vs. CHI,W,26,5,6,3,0,0,3
"Mar 27, 2025",OKC vs. MEM,W,25,4,9,2,0,0,4
"Mar 25, 2025",OKC @ SAC,W,33,18,10,2,2,0,2
"Mar 21, 2025",OKC vs. CHA,W,28,14,5,1,1,3,1
"Mar 19, 2025",OKC vs. PHI,W,23,19,7,1,0,1,0
"Mar 16, 2025",OKC @ MIL,W,35,16,8,3,0,0,2
"Mar 12, 2025",OKC @ BOS,W,34,23,15,2,0,1,1
"Mar 10, 2025",OKC vs. DEN,L,29,8,4,1,0,2,1
"Mar 09, 2025",OKC vs. DEN,W,26,14,8,1,0,4,0
"Mar 03, 2025",OKC vs. HOU,W,30,11,11,3,2,3,4
"Feb 28, 2025",OKC @ ATL,W,15,7,4,3,0,0,1
"Feb 26, 2025",OKC @ BKN,W,32,22,17,4,2,3,0
"Feb 23, 2025",OKC @ MIN,W,28,19,4,1,0,3,1
"Feb 21, 2025",OKC @ UTA,W,28,20,7,1,0,3,2
"Feb 13, 2025",OKC @ MIN,L,30,11,12,2,2,2,2
"Feb 10, 2025",OKC vs. NOP,W,25,12,6,0,1,5,2
"Feb 07, 2025",OKC vs. TOR,W,22,4,5,1,2,4,1
"Nov 10, 2024",OKC vs. GSW,L,5,0,4,0,0,0,0
"Nov 08, 2024",OKC vs. HOU,W,29,29,5,1,0,3,1
"Nov 06, 2024",OKC @ DEN,L,36,15,10,0,0,1,3
"Nov 04, 2024",OKC vs. ORL,W,22,14,9,1,0,2,2
"Nov 02, 2024",OKC @ LAC,W,29,10,14,4,1,1,3
"Nov 01, 2024",OKC @ POR,W,18,6,1,3,1,5,2
"Oct 30, 2024",OKC vs. SAS,W,28,19,5,2,2,2,5
"Oct 27, 2024",OKC vs. ATL,W,33,25,9,4,1,6,3
"Oct 26, 2024",OKC @ CHI,W,29,21,16,0,1,2,2
"Oct 24, 2024",OKC @ DEN,W,36,25,14,5,2,4,2
