GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",LAL @ NOP,W,2,0,0,0,0,0,0
"Apr 09, 2024",LAL vs. GSW,L,2,2,1,0,1,0,0
"Apr 07, 2024",LAL vs. MIN,L,2,4,0,0,0,0,0
"Apr 06, 2024",LAL vs. CLE,W,1,0,1,0,0,0,0
"Apr 03, 2024",LAL @ WAS,W,1,0,0,0,0,0,0
"Apr 02, 2024",LAL @ TOR,W,6,0,0,0,0,0,1
"Mar 31, 2024",LAL @ BKN,W,6,0,1,0,1,0,1
"Mar 29, 2024",LAL @ IND,L,2,0,0,0,0,0,0
"Mar 27, 2024",LAL @ MEM,W,1,0,0,0,0,0,0
"Feb 14, 2024",LAL @ UTA,W,2,2,0,0,0,0,0
"Feb 13, 2024",LAL vs. DET,W,1,0,0,0,0,0,0
"Jan 21, 2024",LAL vs. POR,W,4,4,2,0,0,0,1
"Dec 15, 2023",LAL @ SAS,L,5,6,1,1,0,0,0
"Nov 30, 2023",LAL @ OKC,L,4,2,3,0,0,0,0
"Nov 08, 2023",LAL @ HOU,L,14,2,2,2,0,0,0
"Nov 04, 2023",LAL @ ORL,L,4,2,1,0,0,0,0
"Apr 13, 2025",TOR @ SAS,L,29,10,2,0,0,0,0
"Apr 11, 2025",PHI vs. ATL,L,25,16,8,0,1,0,1
"Apr 09, 2025",PHI @ WAS,W,28,2,14,2,0,1,0
"Apr 07, 2025",PHI @ MIA,L,13,4,6,3,0,0,0
"Apr 05, 2025",PHI vs. MIN,L,15,6,6,2,0,0,0
"Apr 03, 2025",PHI vs. MIL,L,16,2,3,3,0,0,0
"Mar 24, 2025",TOR @ WAS,W,18,5,6,1,0,0,2
"Mar 23, 2025",TOR vs. SAS,L,24,4,4,1,2,1,2
"Mar 20, 2025",TOR @ GSW,L,19,7,3,2,2,0,1
"Mar 17, 2025",TOR @ PHX,L,30,10,6,0,0,2,2
"Mar 16, 2025",TOR @ POR,L,27,8,12,2,0,0,5
"Mar 14, 2025",TOR @ UTA,W,24,13,7,2,0,0,4
"Mar 12, 2025",TOR vs. PHI,W,40,7,14,2,0,3,2
"Mar 10, 2025",TOR vs. WAS,W,27,7,9,3,0,0,2
"Mar 08, 2025",TOR vs. WAS,L,26,6,6,0,0,2,0
"Mar 07, 2025",TOR vs. UTA,W,23,2,7,5,2,0,1
"Dec 31, 2024",MEM @ PHX,W,13,1,1,0,1,0,1
"Dec 29, 2024",MEM @ OKC,L,11,3,1,0,0,0,0
"Dec 13, 2024",MEM vs. BKN,W,1,0,0,0,0,0,0
"Dec 08, 2024",MEM @ WAS,W,7,6,2,0,0,0,0
"Nov 17, 2024",MEM vs. DEN,W,0,0,0,0,0,0,0
"Nov 10, 2024",MEM @ POR,W,7,4,4,0,0,0,0
"Nov 08, 2024",MEM vs. WAS,W,2,0,1,0,0,0,0
"Nov 06, 2024",MEM vs. LAL,W,2,0,0,0,0,0,0
"Nov 02, 2024",MEM @ PHI,W,1,0,0,0,0,0,0
"Oct 31, 2024",MEM vs. MIL,W,2,0,0,0,0,1,0
