GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",SAC @ PHX,W,40,18,3,15,0,2,1
"Apr 09, 2022",SAC @ LAC,L,38,22,1,7,0,0,2
"Apr 05, 2022",SAC vs. NOP,L,40,15,1,17,0,0,5
"Apr 03, 2022",SAC vs. GSW,L,38,9,1,9,1,0,2
"Apr 01, 2022",SAC @ HOU,W,39,11,2,10,1,1,7
"Mar 30, 2022",SAC @ HOU,W,39,24,5,8,1,1,4
"Mar 28, 2022",SAC @ MIA,L,41,21,2,9,1,1,4
"Mar 26, 2022",SAC @ ORL,W,45,22,7,9,1,1,1
"Mar 23, 2022",SAC @ IND,W,38,25,1,7,1,0,3
"Mar 20, 2022",SAC vs. PHX,L,46,28,3,9,1,0,5
"Mar 18, 2022",SAC vs. BOS,L,35,12,1,2,1,1,4
"Mar 16, 2022",SAC vs. MIL,L,30,19,3,4,1,0,0
"Mar 14, 2022",SAC vs. CHI,W,26,16,2,2,2,0,1
"Mar 12, 2022",SAC @ UTA,L,21,14,2,2,0,0,1
"Mar 09, 2022",SAC vs. DEN,L,21,8,0,4,2,0,3
"Mar 07, 2022",SAC vs. NYK,L,30,10,2,3,0,0,0
"Mar 05, 2022",SAC @ DAL,L,23,4,1,3,0,0,0
"Mar 03, 2022",SAC @ SAS,W,24,8,1,1,1,0,2
"Mar 02, 2022",SAC @ NOP,L,23,4,1,4,0,0,1
"Feb 28, 2022",SAC @ OKC,W,21,13,0,1,1,0,0
"Feb 26, 2022",SAC @ DEN,L,12,0,2,1,1,0,4
"Feb 24, 2022",SAC vs. DEN,L,30,7,0,3,1,0,0
"Feb 14, 2022",SAC @ BKN,L,26,13,2,0,1,1,2
"Feb 12, 2022",SAC @ WAS,W,20,8,5,5,1,0,3
"Feb 09, 2022",SAC vs. MIN,W,34,18,7,7,1,1,0
"Feb 08, 2022",SAC vs. MIN,L,30,8,2,4,1,0,5
"Feb 05, 2022",SAC vs. OKC,W,36,17,1,2,1,0,2
"Feb 03, 2022",SAC @ GSW,L,38,26,0,8,1,0,2
"Feb 02, 2022",SAC vs. BKN,W,35,18,5,3,1,0,2
"Jan 31, 2022",SAC @ NYK,L,34,18,1,6,0,2,1
"Jan 29, 2022",SAC @ PHI,L,33,15,3,5,1,0,0
"Jan 26, 2022",SAC @ ATL,L,31,20,2,6,0,0,2
"Jan 25, 2022",SAC @ BOS,L,30,6,1,2,1,0,3
"Jan 22, 2022",SAC @ MIL,L,20,9,2,2,0,1,2
"Jan 19, 2022",SAC vs. DET,L,24,13,1,4,0,1,1
"Jan 16, 2022",SAC vs. HOU,L,28,16,4,7,4,0,2
"Jan 14, 2022",SAC vs. HOU,W,24,4,4,2,0,2,0
"Jan 12, 2022",SAC vs. LAL,W,18,6,5,2,2,2,1
"Jan 10, 2022",SAC vs. CLE,L,22,4,0,1,0,0,1
"Jan 09, 2022",SAC @ POR,L,21,3,2,1,1,0,0
"Jan 07, 2022",SAC @ DEN,L,26,8,2,3,0,0,0
"Jan 05, 2022",SAC vs. ATL,L,21,4,0,2,0,0,1
"Jan 04, 2022",SAC @ LAL,L,21,8,0,2,0,1,2
"Jan 02, 2022",SAC vs. MIA,W,19,12,0,1,0,0,0
"Dec 31, 2021",SAC vs. DAL,L,25,2,1,3,1,0,0
"Dec 29, 2021",SAC vs. DAL,W,19,14,1,0,0,0,1
"Dec 15, 2021",SAC vs. WAS,W,29,13,2,5,0,1,2
"Dec 13, 2021",SAC @ TOR,L,26,8,4,6,0,0,1
"Dec 11, 2021",SAC @ CLE,L,25,14,1,5,2,0,2
"Dec 10, 2021",SAC @ CHA,L,26,10,1,4,0,0,0
"Dec 08, 2021",SAC vs. ORL,W,24,18,3,4,0,0,0
"Dec 04, 2021",SAC vs. LAC,W,28,2,2,3,0,0,1
"Dec 01, 2021",SAC @ LAC,W,28,20,3,2,2,0,2
"Nov 30, 2021",SAC vs. LAL,L,24,8,1,2,2,0,3
"Nov 28, 2021",SAC @ MEM,L,31,11,4,6,1,1,1
"Nov 26, 2021",SAC @ LAL,W,17,5,3,0,0,0,0
"Nov 24, 2021",SAC vs. POR,W,30,16,2,3,0,0,0
"Nov 22, 2021",SAC vs. PHI,L,25,4,3,0,1,0,1
"Nov 20, 2021",SAC vs. UTA,L,16,6,2,2,0,0,1
"Nov 19, 2021",SAC vs. TOR,L,26,5,5,4,0,0,1
"Nov 17, 2021",SAC @ MIN,L,22,7,4,4,3,0,1
"Nov 15, 2021",SAC @ DET,W,19,7,0,7,2,1,1
"Nov 12, 2021",SAC @ OKC,L,21,5,2,2,1,0,0
"Nov 10, 2021",SAC @ SAS,L,26,13,3,6,0,0,3
"Nov 08, 2021",SAC vs. PHX,L,31,12,6,2,0,0,2
"Nov 07, 2021",SAC vs. IND,L,28,2,3,6,1,1,1
"Nov 05, 2021",SAC vs. CHA,W,25,19,4,4,0,0,1
