GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 16, 2022",SAC vs. MIL,L,37,21,4,7,2,0,9
"Mar 14, 2022",SAC vs. CHI,W,42,34,6,6,1,0,4
"Mar 12, 2022",SAC @ UTA,L,41,41,3,11,2,1,2
"Mar 09, 2022",SAC vs. DEN,L,37,32,5,10,1,0,3
"Mar 07, 2022",SAC vs. NYK,L,41,24,6,7,1,0,4
"Mar 05, 2022",SAC @ DAL,L,40,44,2,6,1,0,1
"Mar 03, 2022",SAC @ SAS,W,39,26,6,9,3,1,0
"Mar 02, 2022",SAC @ NOP,L,37,25,2,3,0,0,2
"Feb 28, 2022",SAC @ OKC,W,41,29,4,10,2,1,1
"Feb 26, 2022",SAC @ DEN,L,40,26,5,10,0,1,3
"Feb 24, 2022",SAC vs. DEN,L,36,20,1,4,0,2,4
"Feb 16, 2022",SAC @ CHI,L,41,33,6,9,2,0,5
"Feb 14, 2022",SAC @ BKN,L,33,26,2,3,0,0,2
"Feb 12, 2022",SAC @ WAS,W,38,26,2,4,0,0,3
"Feb 09, 2022",SAC vs. MIN,W,36,27,8,3,0,2,0
"Feb 08, 2022",SAC vs. MIN,L,35,29,7,6,1,0,5
"Jan 19, 2022",SAC vs. DET,L,37,27,6,8,1,0,2
"Jan 16, 2022",SAC vs. HOU,L,26,14,3,4,0,0,3
"Jan 14, 2022",SAC vs. HOU,W,34,27,6,8,2,0,4
"Jan 12, 2022",SAC vs. LAL,W,37,29,4,4,0,0,3
"Jan 10, 2022",SAC vs. CLE,L,31,12,4,4,2,0,2
"Jan 09, 2022",SAC @ POR,L,36,14,5,2,0,1,3
"Jan 07, 2022",SAC @ DEN,L,38,30,7,5,1,0,2
"Jan 05, 2022",SAC vs. ATL,L,38,30,2,6,1,0,1
"Jan 04, 2022",SAC @ LAL,L,33,30,3,6,0,0,4
"Jan 02, 2022",SAC vs. MIA,W,35,24,6,6,2,0,2
"Dec 31, 2021",SAC vs. DAL,L,31,10,1,7,1,2,2
"Dec 29, 2021",SAC vs. DAL,W,34,16,1,3,1,0,3
"Dec 28, 2021",SAC vs. OKC,W,35,12,5,8,1,1,3
"Dec 26, 2021",SAC vs. MEM,L,30,12,3,5,0,0,7
"Dec 15, 2021",SAC vs. WAS,W,31,28,4,4,0,0,2
"Dec 13, 2021",SAC @ TOR,L,32,29,2,3,2,0,2
"Dec 11, 2021",SAC @ CLE,L,25,13,6,1,1,0,1
"Dec 10, 2021",SAC @ CHA,L,34,31,2,5,4,0,2
"Dec 08, 2021",SAC vs. ORL,W,33,33,3,1,1,1,1
"Dec 04, 2021",SAC vs. LAC,W,37,17,8,5,2,0,1
"Dec 01, 2021",SAC @ LAC,W,36,24,3,5,3,1,1
"Nov 30, 2021",SAC vs. LAL,L,36,17,5,5,2,0,7
"Nov 28, 2021",SAC @ MEM,L,21,12,4,2,0,2,0
"Nov 26, 2021",SAC @ LAL,W,53,34,6,8,1,0,4
"Nov 24, 2021",SAC vs. POR,W,27,21,2,6,1,0,5
