GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",ATL @ HOU,W,33,22,2,0,0,0,2
"Apr 08, 2022",ATL @ MIA,L,25,2,1,0,0,0,3
"Apr 06, 2022",ATL vs. WAS,W,27,10,4,1,1,1,1
"Apr 05, 2022",ATL @ TOR,L,37,20,6,2,0,1,1
"Apr 02, 2022",ATL vs. BKN,W,27,15,10,2,0,0,0
"Mar 31, 2022",ATL vs. CLE,W,21,5,1,2,0,0,1
"Mar 30, 2022",ATL @ OKC,W,30,19,5,0,0,1,2
"Mar 25, 2022",ATL vs. GSW,W,34,11,3,3,3,0,1
"Mar 23, 2022",ATL @ DET,L,26,15,3,1,0,0,1
"Mar 22, 2022",ATL @ NYK,W,32,10,5,2,1,1,2
"Mar 20, 2022",ATL vs. NOP,L,25,11,2,1,2,1,0
"Mar 18, 2022",ATL vs. MEM,W,30,14,5,3,1,1,2
"Mar 16, 2022",ATL @ CHA,L,37,21,3,2,0,0,1
"Mar 14, 2022",ATL vs. POR,W,34,20,3,0,2,2,0
"Mar 13, 2022",ATL vs. IND,W,37,15,1,2,0,0,1
"Mar 11, 2022",ATL vs. LAC,W,26,12,2,1,0,0,2
"Mar 09, 2022",ATL @ MIL,L,29,17,3,1,1,1,2
"Mar 07, 2022",ATL @ DET,L,37,15,2,1,1,1,2
"Mar 04, 2022",ATL @ WAS,W,35,26,2,1,1,0,1
"Mar 03, 2022",ATL vs. CHI,W,36,18,3,1,1,0,1
"Mar 01, 2022",ATL @ BOS,L,37,4,3,1,2,0,1
"Feb 26, 2022",ATL vs. TOR,W,38,14,4,4,1,0,1
"Feb 24, 2022",ATL @ CHI,L,13,2,1,1,0,0,0
"Feb 16, 2022",ATL @ ORL,W,27,14,3,0,0,1,1
"Feb 15, 2022",ATL vs. CLE,W,35,18,2,0,1,0,0
"Feb 13, 2022",ATL @ BOS,L,38,10,6,3,2,0,2
"Feb 11, 2022",ATL vs. SAS,L,26,10,2,0,0,0,0
"Feb 08, 2022",ATL vs. IND,W,25,8,3,4,0,0,2
"Feb 06, 2022",ATL @ DAL,L,33,14,6,2,0,0,2
"Feb 04, 2022",ATL @ TOR,L,36,23,4,2,1,0,1
"Feb 03, 2022",ATL vs. PHX,W,21,13,2,1,0,0,1
"Jan 31, 2022",ATL vs. TOR,L,33,17,5,1,1,0,3
"Jan 30, 2022",ATL vs. LAL,W,26,9,4,2,0,0,2
"Jan 28, 2022",ATL vs. BOS,W,29,9,4,3,1,0,1
"Jan 26, 2022",ATL vs. SAC,W,17,9,1,0,0,0,1
"Jan 23, 2022",ATL @ CHA,W,34,20,2,1,3,1,2
"Jan 21, 2022",ATL vs. MIA,W,35,13,10,3,1,0,3
"Jan 19, 2022",ATL vs. MIN,W,34,22,5,1,1,0,2
"Jan 17, 2022",ATL vs. MIL,W,35,20,9,2,0,1,3
"Jan 15, 2022",ATL vs. NYK,L,30,8,3,2,0,1,0
"Jan 14, 2022",ATL @ MIA,L,30,20,0,2,0,3,1
"Jan 12, 2022",ATL vs. MIA,L,24,15,1,0,1,1,0
"Nov 12, 2021",ATL @ DEN,L,21,2,2,0,0,0,0
"Nov 08, 2021",ATL @ GSW,L,23,11,2,0,1,0,1
"Nov 06, 2021",ATL @ PHX,L,29,2,5,2,1,0,0
"Nov 04, 2021",ATL vs. UTA,L,31,14,2,2,1,0,1
"Nov 03, 2021",ATL @ BKN,L,33,26,2,0,1,1,4
"Nov 01, 2021",ATL vs. WAS,W,27,11,2,0,2,0,1
"Oct 30, 2021",ATL @ PHI,L,23,7,3,0,0,0,3
"Oct 28, 2021",ATL @ WAS,L,31,10,4,1,0,0,2
"Oct 27, 2021",ATL @ NOP,W,29,13,2,0,1,0,2
"Oct 23, 2021",ATL @ CLE,L,30,12,3,1,0,0,0
"Oct 21, 2021",ATL vs. DAL,W,29,11,3,1,0,2,0
"Apr 09, 2023",ATL @ BOS,L,17,14,3,1,0,0,2
"Apr 07, 2023",ATL vs. PHI,L,27,14,4,1,1,0,0
"Mar 28, 2023",ATL vs. CLE,W,39,7,6,0,0,0,0
"Mar 26, 2023",ATL vs. MEM,L,32,17,5,2,2,0,1
"Mar 22, 2023",ATL @ MIN,L,32,16,4,1,0,0,2
"Mar 21, 2023",ATL vs. DET,W,28,12,6,2,1,0,0
"Mar 19, 2023",ATL @ SAS,L,33,12,5,2,0,0,2
"Mar 17, 2023",ATL vs. GSW,W,27,14,3,1,0,1,1
"Mar 13, 2023",ATL vs. MIN,L,36,15,2,2,0,1,0
"Mar 11, 2023",ATL vs. BOS,L,39,16,3,2,0,1,1
"Mar 10, 2023",ATL @ WAS,W,35,18,7,0,1,1,3
"Mar 08, 2023",ATL @ WAS,W,30,15,1,0,0,1,2
"Mar 06, 2023",ATL @ MIA,L,36,14,4,4,1,0,3
"Mar 04, 2023",ATL @ MIA,L,30,17,3,2,1,0,1
"Mar 03, 2023",ATL vs. POR,W,32,17,4,1,0,0,2
"Feb 28, 2023",ATL vs. WAS,L,33,14,3,0,0,2,0
"Feb 26, 2023",ATL vs. BKN,W,22,9,3,3,0,0,1
"Feb 24, 2023",ATL vs. CLE,W,29,9,3,0,1,0,0
"Feb 15, 2023",ATL vs. NYK,L,29,20,4,3,0,2,0
"Feb 13, 2023",ATL @ CHA,L,35,21,7,1,0,0,2
"Feb 11, 2023",ATL vs. SAS,W,33,24,5,1,3,0,1
"Feb 09, 2023",ATL vs. PHX,W,36,9,6,2,0,0,2
"Feb 07, 2023",ATL @ NOP,L,27,3,4,1,1,0,1
