GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",MEM vs. BOS,L,24,14,3,5,0,1,1
"Apr 09, 2022",MEM vs. NOP,W,25,12,3,3,2,1,3
"Apr 07, 2022",MEM @ DEN,L,23,11,2,3,0,1,2
"Apr 05, 2022",MEM @ UTA,L,28,11,10,4,0,1,1
"Apr 01, 2022",MEM vs. PHX,W,29,17,6,3,1,1,3
"Mar 30, 2022",MEM @ SAS,W,24,16,4,0,0,0,1
"Mar 28, 2022",MEM vs. GSW,W,21,21,6,2,0,0,1
"Mar 26, 2022",MEM vs. MIL,W,22,24,3,2,3,0,2
"Mar 24, 2022",MEM vs. IND,W,21,19,6,2,0,0,3
"Mar 23, 2022",MEM vs. BKN,W,27,23,4,1,0,0,3
"Mar 20, 2022",MEM @ HOU,W,20,16,7,1,1,0,3
"Mar 18, 2022",MEM @ ATL,L,21,5,4,2,0,0,0
"Mar 15, 2022",MEM @ IND,W,28,18,4,5,3,0,1
"Mar 13, 2022",MEM @ OKC,W,14,4,0,2,0,0,3
"Mar 11, 2022",MEM vs. NYK,W,18,6,2,3,0,3,3
"Mar 08, 2022",MEM vs. NOP,W,19,14,4,3,1,0,0
"Mar 06, 2022",MEM @ HOU,L,26,5,2,3,1,1,2
"Mar 05, 2022",MEM vs. ORL,W,24,9,4,4,3,1,0
"Mar 03, 2022",MEM @ BOS,L,18,5,7,1,2,0,1
"Feb 28, 2022",MEM vs. SAS,W,24,15,6,1,1,1,4
"Feb 26, 2022",MEM @ CHI,W,23,7,6,2,2,0,2
"Feb 24, 2022",MEM @ MIN,L,22,12,5,6,1,0,1
"Feb 16, 2022",MEM vs. POR,L,17,9,3,1,2,0,1
"Feb 15, 2022",MEM @ NOP,W,22,13,4,1,1,1,1
"Feb 12, 2022",MEM @ CHA,W,16,9,7,2,3,0,2
"Feb 10, 2022",MEM @ DET,W,23,14,4,4,1,0,0
"Feb 08, 2022",MEM vs. LAC,W,28,6,2,4,3,2,2
"Feb 05, 2022",MEM @ ORL,W,22,16,10,2,1,0,0
"Feb 02, 2022",MEM @ NYK,W,18,14,3,2,1,0,2
"Jan 31, 2022",MEM @ PHI,L,15,4,2,2,0,0,0
"Jan 29, 2022",MEM vs. WAS,W,27,13,7,1,2,1,1
"Jan 28, 2022",MEM vs. UTA,W,28,13,9,6,2,1,1
"Jan 26, 2022",MEM @ SAS,W,24,7,4,1,3,0,2
"Jan 23, 2022",MEM @ DAL,L,31,12,6,5,3,1,1
"Jan 21, 2022",MEM @ DEN,W,27,21,9,3,0,0,0
"Jan 19, 2022",MEM @ MIL,L,17,5,1,1,2,0,1
"Jan 17, 2022",MEM vs. CHI,W,15,10,4,1,2,0,2
"Jan 14, 2022",MEM vs. DAL,L,11,2,2,1,0,0,0
"Jan 13, 2022",MEM vs. MIN,W,16,7,3,1,2,0,0
"Jan 11, 2022",MEM vs. GSW,W,12,2,1,2,1,0,0
"Jan 09, 2022",MEM @ LAL,W,19,4,4,3,1,0,2
"Jan 08, 2022",MEM @ LAC,W,23,8,11,6,2,0,1
"Jan 06, 2022",MEM vs. DET,W,21,4,8,6,1,2,4
"Dec 23, 2021",MEM @ GSW,L,25,20,9,1,2,1,4
"Dec 20, 2021",MEM vs. OKC,L,21,4,4,5,1,1,0
"Dec 19, 2021",MEM vs. POR,L,23,9,5,4,2,1,2
"Dec 17, 2021",MEM @ SAC,W,23,19,3,3,4,1,1
