GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",CHI vs. CHA,L,30,17,1,1,0,0,5
"Apr 06, 2022",CHI vs. BOS,L,33,16,2,5,2,0,2
"Apr 05, 2022",CHI vs. MIL,L,37,40,3,6,1,0,4
"Apr 02, 2022",CHI vs. MIA,L,38,26,1,2,1,0,0
"Mar 31, 2022",CHI vs. LAC,W,43,50,5,6,1,0,2
"Mar 29, 2022",CHI @ WAS,W,36,32,7,4,2,0,1
"Mar 28, 2022",CHI @ NYK,L,41,37,6,7,0,0,4
"Mar 26, 2022",CHI @ CLE,W,35,20,5,2,0,0,4
"Mar 22, 2022",CHI @ MIL,L,36,21,4,2,1,1,1
"Mar 21, 2022",CHI vs. TOR,W,35,26,5,1,1,3,1
"Mar 18, 2022",CHI @ PHX,L,34,19,1,2,0,0,2
"Mar 16, 2022",CHI @ UTA,L,35,25,5,7,0,0,4
"Mar 14, 2022",CHI @ SAC,L,40,21,7,6,0,0,2
"Mar 12, 2022",CHI vs. CLE,W,40,25,4,6,1,0,3
"Mar 09, 2022",CHI @ DET,W,41,36,8,4,2,0,2
"Mar 07, 2022",CHI @ PHI,L,39,23,11,8,0,0,3
"Mar 04, 2022",CHI vs. MIL,L,39,29,3,5,1,1,2
"Mar 03, 2022",CHI @ ATL,L,39,22,7,8,2,0,4
"Feb 28, 2022",CHI @ MIA,L,34,18,7,3,3,1,3
"Feb 26, 2022",CHI vs. MEM,L,42,31,7,3,2,1,1
"Feb 24, 2022",CHI vs. ATL,W,37,37,6,3,1,0,2
"Feb 16, 2022",CHI vs. SAC,W,41,38,6,6,1,0,4
"Feb 14, 2022",CHI vs. SAS,W,35,40,3,7,0,0,3
"Feb 12, 2022",CHI vs. OKC,W,40,38,6,5,1,0,2
"Feb 11, 2022",CHI vs. MIN,W,38,35,6,6,1,0,0
"Feb 09, 2022",CHI @ CHA,W,38,36,5,4,0,0,5
"Feb 07, 2022",CHI vs. PHX,L,36,38,5,4,2,0,3
"Feb 06, 2022",CHI vs. PHI,L,41,45,9,7,1,0,3
"Feb 04, 2022",CHI @ IND,W,39,31,5,7,1,1,6
"Feb 03, 2022",CHI @ TOR,L,45,28,6,7,2,0,4
"Feb 01, 2022",CHI vs. ORL,W,37,29,10,5,2,1,1
"Jan 30, 2022",CHI vs. POR,W,34,23,4,10,2,0,1
"Jan 28, 2022",CHI @ SAS,L,37,32,6,8,0,0,1
"Jan 26, 2022",CHI vs. TOR,W,37,29,7,7,0,0,4
"Jan 23, 2022",CHI @ ORL,L,38,41,5,3,2,0,3
"Jan 21, 2022",CHI @ MIL,L,38,35,6,3,0,0,1
"Jan 19, 2022",CHI vs. CLE,W,36,30,2,7,1,2,4
"Jan 17, 2022",CHI @ MEM,L,33,24,0,5,0,0,4
"Jan 15, 2022",CHI @ BOS,L,37,23,8,7,0,1,2
"Jan 14, 2022",CHI vs. GSW,L,29,17,2,7,1,0,1
"Jan 12, 2022",CHI vs. BKN,L,32,19,4,1,1,0,2
"Jan 11, 2022",CHI vs. DET,W,27,20,12,7,0,0,3
"Jan 09, 2022",CHI @ DAL,L,33,20,4,8,0,1,1
"Jan 07, 2022",CHI vs. WAS,W,31,15,5,8,0,1,4
"Jan 03, 2022",CHI vs. ORL,W,36,29,3,2,1,0,3
"Jan 01, 2022",CHI @ WAS,W,35,28,9,5,0,0,4
"Dec 31, 2021",CHI @ IND,W,35,28,3,6,3,0,3
"Dec 29, 2021",CHI vs. ATL,W,36,20,4,8,0,1,0
"Dec 27, 2021",CHI @ ATL,W,38,35,5,10,0,0,3
"Dec 26, 2021",CHI vs. IND,W,36,24,3,3,2,0,2
"Dec 20, 2021",CHI vs. HOU,W,32,26,3,6,0,0,0
"Dec 19, 2021",CHI vs. LAL,W,34,38,4,6,1,0,3
