GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2022",MEM vs. NOP,W,20,18,1,1,0,0,2
"Apr 07, 2022",MEM @ DEN,L,22,14,2,2,3,0,0
"Apr 05, 2022",MEM @ UTA,L,37,23,7,2,5,0,3
"Mar 30, 2022",MEM @ SAS,W,33,16,3,3,0,1,1
"Mar 28, 2022",MEM vs. GSW,W,27,22,2,3,2,0,0
"Mar 26, 2022",MEM vs. MIL,W,28,20,3,5,2,0,0
"Mar 24, 2022",MEM vs. IND,W,24,30,5,5,0,1,1
"Mar 23, 2022",MEM vs. BKN,W,32,23,4,5,1,0,4
"Mar 20, 2022",MEM @ HOU,W,32,24,5,7,3,0,1
"Mar 18, 2022",MEM @ ATL,L,31,15,5,3,1,0,2
"Mar 15, 2022",MEM @ IND,W,23,21,4,6,2,1,3
"Mar 13, 2022",MEM @ OKC,W,31,21,8,2,1,0,0
"Mar 11, 2022",MEM vs. NYK,W,28,12,5,1,2,0,0
"Mar 08, 2022",MEM vs. NOP,W,26,22,5,6,0,0,1
"Mar 06, 2022",MEM @ HOU,L,36,28,2,3,2,1,1
"Mar 05, 2022",MEM vs. ORL,W,24,24,6,2,0,0,0
"Mar 03, 2022",MEM @ BOS,L,34,17,7,1,1,0,0
"Feb 28, 2022",MEM vs. SAS,W,29,8,3,6,0,0,0
"Feb 26, 2022",MEM @ CHI,W,28,12,2,5,1,0,0
"Feb 24, 2022",MEM @ MIN,L,29,14,3,0,1,0,2
"Feb 16, 2022",MEM vs. POR,L,36,30,5,1,1,0,2
"Feb 15, 2022",MEM @ NOP,W,30,11,6,4,1,0,3
"Feb 12, 2022",MEM @ CHA,W,32,25,4,5,4,1,7
"Feb 10, 2022",MEM @ DET,W,28,22,6,2,0,0,1
"Feb 08, 2022",MEM vs. LAC,W,26,5,4,4,2,0,1
"Feb 05, 2022",MEM @ ORL,W,26,7,8,3,1,0,0
"Feb 02, 2022",MEM @ NYK,W,34,13,7,2,2,2,2
"Jan 31, 2022",MEM @ PHI,L,39,34,7,1,3,0,1
