GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",SAC vs. PHX,W,23,5,5,1,1,0,1
"Apr 11, 2025",SAC vs. LAC,L,16,7,1,2,2,0,0
"Apr 09, 2025",SAC vs. DEN,L,18,4,3,1,0,1,1
"Apr 07, 2025",SAC @ DET,W,22,7,2,1,1,0,1
"Apr 06, 2025",SAC @ CLE,W,7,0,2,1,1,0,1
"Apr 04, 2025",SAC @ CHA,W,14,0,0,1,0,0,1
"Mar 29, 2025",SAC @ ORL,L,1,0,0,0,1,0,0
"Mar 27, 2025",SAC vs. POR,W,2,0,0,0,0,0,1
"Mar 25, 2025",SAC vs. OKC,L,3,0,0,0,0,0,0
"Mar 22, 2025",SAC vs. MIL,L,10,1,3,0,2,0,0
"Mar 20, 2025",SAC vs. CHI,L,20,4,2,2,0,0,0
"Mar 19, 2025",SAC vs. CLE,W,31,16,5,3,3,0,1
"Mar 17, 2025",SAC vs. MEM,W,11,2,1,2,4,0,0
"Mar 14, 2025",SAC @ PHX,L,6,0,1,0,0,0,0
"Mar 13, 2025",SAC @ GSW,L,7,5,1,2,0,0,0
"Mar 10, 2025",SAC vs. NYK,L,12,3,4,1,1,0,2
"Mar 09, 2025",SAC @ LAC,L,12,8,3,1,0,0,0
"Mar 07, 2025",SAC vs. SAS,W,14,8,2,2,0,0,1
"Feb 24, 2025",SAC vs. CHA,W,7,9,1,0,0,0,0
"Feb 21, 2025",SAC vs. GSW,L,3,0,0,0,0,0,0
"Feb 06, 2025",SAC @ POR,L,8,0,1,0,1,0,0
"Feb 05, 2025",SAC vs. ORL,L,11,9,3,4,2,0,1
"Feb 03, 2025",SAC @ MIN,W,8,2,5,1,0,0,1
"Feb 01, 2025",SAC @ OKC,L,10,5,2,1,1,0,0
"Jan 29, 2025",SAC @ PHI,L,3,0,0,1,0,0,0
"Jan 27, 2025",SAC @ BKN,W,10,2,2,1,0,0,2
"Jan 25, 2025",SAC @ NYK,L,8,4,1,1,0,0,0
"Jan 23, 2025",SAC @ DEN,L,3,0,0,1,0,0,0
"Jan 22, 2025",SAC vs. GSW,W,4,3,0,0,0,0,1
"Jan 16, 2025",SAC vs. HOU,W,8,0,1,0,0,1,0
"Jan 14, 2025",SAC @ MIL,L,14,3,2,1,0,0,0
"Jan 12, 2025",SAC @ CHI,W,11,2,3,2,0,0,0
"Jan 10, 2025",SAC @ BOS,W,17,11,4,1,0,0,1
"Jan 06, 2025",SAC vs. MIA,W,9,5,4,3,0,2,0
"Jan 05, 2025",SAC @ GSW,W,23,13,7,2,1,0,2
"Jan 03, 2025",SAC vs. MEM,W,11,0,5,2,0,0,0
