GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 20, 2022",SAC vs. PHX,L,31,18,12,6,2,0,2
"Mar 18, 2022",SAC vs. BOS,L,37,30,20,5,1,1,4
"Mar 16, 2022",SAC vs. MIL,L,39,22,5,7,1,1,3
"Mar 14, 2022",SAC vs. CHI,W,38,22,7,4,1,0,4
"Mar 07, 2022",SAC vs. NYK,L,37,19,13,5,0,0,3
"Mar 05, 2022",SAC @ DAL,L,32,15,10,6,0,0,4
"Mar 03, 2022",SAC @ SAS,W,28,12,12,6,0,0,4
"Mar 02, 2022",SAC @ NOP,L,33,15,14,7,1,0,3
"Feb 28, 2022",SAC @ OKC,W,31,14,16,7,1,0,8
"Feb 26, 2022",SAC @ DEN,L,33,14,16,7,1,1,1
"Feb 24, 2022",SAC vs. DEN,L,37,33,14,5,1,1,4
"Feb 16, 2022",SAC @ CHI,L,37,22,12,8,2,0,3
"Feb 14, 2022",SAC @ BKN,L,26,9,9,2,1,1,3
"Feb 12, 2022",SAC @ WAS,W,34,16,11,7,0,0,2
"Feb 09, 2022",SAC vs. MIN,W,33,22,14,5,1,0,4
"Feb 06, 2022",IND @ CLE,L,26,9,11,4,0,0,4
"Jan 29, 2022",IND @ DAL,L,29,21,15,8,0,1,3
"Jan 28, 2022",IND @ OKC,W,44,24,18,10,2,2,5
"Jan 19, 2022",IND @ LAL,W,35,20,12,10,0,1,1
"Jan 17, 2022",IND @ LAC,L,34,19,11,7,0,2,3
"Jan 14, 2022",IND vs. PHX,L,37,14,14,6,1,0,2
"Jan 12, 2022",IND vs. BOS,L,32,17,6,6,2,0,1
"Jan 10, 2022",IND @ BOS,L,45,11,22,10,1,0,4
"Jan 08, 2022",IND vs. UTA,W,38,42,6,3,1,1,3
"Jan 05, 2022",IND vs. BKN,L,38,32,12,10,0,0,6
"Jan 04, 2022",IND @ NYK,L,39,15,8,4,0,0,3
"Jan 02, 2022",IND @ CLE,L,39,32,13,7,0,1,3
"Dec 31, 2021",IND vs. CHI,L,40,24,14,6,1,2,3
"Dec 29, 2021",IND vs. CHA,L,37,15,18,7,2,1,6
"Dec 26, 2021",IND @ CHI,L,35,14,16,5,2,0,1
"Dec 21, 2021",IND @ MIA,L,28,12,4,4,0,0,2
"Dec 16, 2021",IND vs. DET,W,31,12,9,6,0,0,3
"Dec 15, 2021",IND @ MIL,L,35,16,14,5,1,0,5
"Dec 13, 2021",IND vs. GSW,L,36,30,11,0,2,1,1
"Dec 10, 2021",IND vs. DAL,W,35,24,10,7,1,0,2
"Dec 08, 2021",IND vs. NYK,W,33,21,11,5,0,1,0
"Dec 06, 2021",IND vs. WAS,W,36,30,10,6,3,1,3
"Dec 03, 2021",IND vs. MIA,L,37,14,16,3,2,0,5
"Dec 01, 2021",IND vs. ATL,L,39,22,10,4,0,0,3
"Nov 29, 2021",IND @ MIN,L,36,16,25,10,0,1,4
"Nov 28, 2021",IND vs. MIL,L,22,4,10,5,0,0,3
"Nov 26, 2021",IND vs. TOR,W,36,23,18,2,0,0,4
"Nov 24, 2021",IND vs. LAL,L,35,14,12,6,1,0,1
"Nov 22, 2021",IND @ CHI,W,26,21,11,4,1,0,3
"Nov 20, 2021",IND vs. NOP,W,22,20,10,6,2,0,2
"Nov 19, 2021",IND @ CHA,L,22,8,6,1,1,1,4
"Nov 17, 2021",IND @ DET,L,35,15,11,1,0,1,5
"Nov 15, 2021",IND @ NYK,L,40,21,15,3,1,0,1
"Nov 13, 2021",IND vs. PHI,W,30,18,12,5,0,0,1
"Nov 11, 2021",IND @ UTA,W,31,6,7,5,1,1,2
"Nov 10, 2021",IND @ DEN,L,33,20,19,2,1,1,3
"Nov 07, 2021",IND @ SAC,W,29,17,10,1,3,0,3
"Nov 05, 2021",IND @ POR,L,36,15,12,4,0,0,6
"Nov 03, 2021",IND vs. NYK,W,34,10,7,3,0,0,4
"Nov 01, 2021",IND vs. SAS,W,36,24,13,6,1,0,1
"Oct 30, 2021",IND vs. TOR,L,40,22,14,2,3,0,2
"Oct 29, 2021",IND @ BKN,L,35,16,7,6,3,1,3
"Oct 27, 2021",IND @ TOR,L,34,9,8,3,2,1,4
"Oct 25, 2021",IND vs. MIL,L,37,21,13,5,1,0,3
"Oct 23, 2021",IND vs. MIA,W,43,17,12,4,4,0,3
"Oct 22, 2021",IND @ WAS,L,43,28,9,7,0,1,3
"Oct 20, 2021",IND @ CHA,L,39,33,15,2,0,0,6
"Apr 09, 2023",SAC @ DEN,L,19,14,9,5,0,2,2
"Apr 05, 2023",SAC @ DAL,L,35,19,11,11,1,0,3
"Apr 04, 2023",SAC @ NOP,W,32,16,12,11,0,0,2
"Apr 02, 2023",SAC vs. SAS,L,39,26,8,6,1,1,3
"Mar 31, 2023",SAC @ POR,W,33,20,12,8,2,0,5
"Mar 29, 2023",SAC @ POR,W,27,15,12,4,1,0,2
"Mar 27, 2023",SAC vs. MIN,L,40,24,10,4,1,0,3
"Mar 25, 2023",SAC vs. UTA,W,38,16,15,7,0,0,2
"Mar 24, 2023",SAC vs. PHX,W,38,27,9,9,1,0,1
"Mar 21, 2023",SAC vs. BOS,L,37,16,13,12,1,0,6
"Mar 20, 2023",SAC @ UTA,L,38,11,12,9,1,0,1
"Mar 18, 2023",SAC @ WAS,W,33,30,9,10,1,1,1
"Mar 16, 2023",SAC @ BKN,W,39,24,21,5,0,4,4
"Mar 15, 2023",SAC @ CHI,W,40,14,17,10,1,1,3
"Mar 13, 2023",SAC vs. MIL,L,39,23,17,15,0,0,1
"Mar 11, 2023",SAC @ PHX,W,35,17,8,4,2,0,3
"Mar 09, 2023",SAC vs. NYK,W,37,24,13,10,0,1,3
"Mar 06, 2023",SAC vs. NOP,W,34,19,11,11,1,1,6
"Mar 04, 2023",SAC vs. MIN,L,33,24,14,5,0,0,0
"Mar 03, 2023",SAC vs. LAC,W,35,23,10,7,1,1,3
"Feb 28, 2023",SAC @ OKC,W,34,22,13,9,0,1,4
"Feb 26, 2023",SAC @ OKC,W,36,14,15,8,0,0,4
"Feb 24, 2023",SAC @ LAC,W,31,20,10,4,1,1,5
"Feb 23, 2023",SAC vs. POR,W,32,18,17,10,3,0,5
"Feb 14, 2023",SAC @ PHX,L,38,24,15,7,2,0,4
"Feb 11, 2023",SAC vs. DAL,W,41,22,14,2,1,0,1
"Feb 10, 2023",SAC vs. DAL,L,37,18,11,7,2,0,2
"Feb 08, 2023",SAC @ HOU,W,32,22,9,5,1,0,1
"Feb 06, 2023",SAC @ HOU,W,32,17,7,10,2,0,2
"Feb 05, 2023",SAC @ NOP,L,27,12,11,3,0,0,2
"Feb 03, 2023",SAC @ IND,L,38,15,16,6,1,1,4
"Feb 01, 2023",SAC @ SAS,W,37,34,11,4,2,2,3
"Jan 30, 2023",SAC @ MIN,W,36,17,13,1,1,2,3
"Jan 28, 2023",SAC @ MIN,L,39,23,10,5,0,0,3
"Jan 25, 2023",SAC vs. TOR,L,35,9,8,4,3,0,9
"Jan 23, 2023",SAC vs. MEM,W,30,14,10,11,0,0,8
"Jan 21, 2023",SAC vs. PHI,L,38,16,9,10,0,0,4
"Jan 20, 2023",SAC vs. OKC,W,38,18,14,14,0,0,6
