GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 12, 2022",SAS vs. IND,L,3,5,0,0,0,0,1
"Mar 09, 2022",SAS vs. TOR,L,23,7,0,0,0,0,2
"Mar 07, 2022",SAS vs. LAL,W,28,11,0,3,0,2,4
"Mar 05, 2022",SAS @ CHA,L,23,8,4,1,1,0,0
"Mar 03, 2022",SAS vs. SAC,L,19,4,0,1,0,0,1
"Feb 28, 2022",SAS @ MEM,L,26,14,1,5,1,0,0
"Feb 26, 2022",SAS @ MIA,L,20,4,1,2,0,0,1
"Feb 25, 2022",SAS @ WAS,W,27,12,1,2,0,0,0
"Feb 16, 2022",SAS @ OKC,W,22,16,3,0,0,0,0
"Feb 14, 2022",SAS @ CHI,L,29,19,4,1,0,0,1
"Feb 12, 2022",SAS @ NOP,W,24,15,2,0,0,0,1
"Feb 11, 2022",SAS @ ATL,W,26,13,3,1,2,0,2
"Feb 09, 2022",SAS @ CLE,L,28,4,4,0,0,0,0
"Feb 04, 2022",SAS vs. HOU,W,19,19,1,1,0,0,2
"Feb 01, 2022",SAS vs. GSW,L,19,10,1,2,0,0,0
"Jan 30, 2022",SAS @ PHX,L,28,24,4,2,1,0,0
"Jan 28, 2022",SAS vs. CHI,W,23,11,1,1,0,0,0
"Jan 26, 2022",SAS vs. MEM,L,22,6,3,2,1,0,1
"Jan 25, 2022",SAS @ HOU,W,25,15,4,2,0,1,1
"Jan 23, 2022",SAS vs. PHI,L,28,9,1,1,2,0,1
"Jan 21, 2022",SAS vs. BKN,L,25,7,3,1,0,1,0
"Jan 19, 2022",SAS vs. OKC,W,21,20,2,0,0,0,1
"Jan 17, 2022",SAS vs. PHX,L,26,15,2,0,0,0,1
"Jan 15, 2022",SAS vs. LAC,W,23,4,0,1,0,0,0
"Jan 14, 2022",SAS vs. CLE,L,25,9,2,0,1,0,4
"Dec 31, 2021",SAS @ MEM,L,20,6,6,1,0,0,2
"Dec 27, 2021",SAS vs. UTA,L,27,17,4,1,0,0,1
"Dec 26, 2021",SAS vs. DET,W,19,13,3,3,0,0,0
"Dec 23, 2021",SAS @ LAL,W,22,13,5,1,0,0,1
"Dec 20, 2021",SAS @ LAC,W,25,16,0,2,0,0,1
"Dec 17, 2021",SAS @ UTA,W,28,11,4,1,0,1,1
"Dec 15, 2021",SAS vs. CHA,L,22,10,1,2,1,0,1
"Dec 12, 2021",SAS vs. NOP,W,30,13,4,1,0,0,1
"Dec 11, 2021",SAS vs. DEN,L,14,0,1,0,0,0,0
"Dec 09, 2021",SAS vs. DEN,W,28,17,3,0,0,0,1
"Dec 07, 2021",SAS vs. NYK,L,25,13,0,3,0,0,1
"Dec 06, 2021",SAS @ PHX,L,26,14,2,2,0,0,1
"Dec 04, 2021",SAS @ GSW,W,25,13,4,1,1,1,0
"Dec 02, 2021",SAS @ POR,W,22,16,4,3,0,0,0
"Nov 18, 2021",SAS @ MIN,L,25,11,4,0,0,0,1
"Nov 16, 2021",SAS @ LAC,L,29,7,3,2,1,0,1
"Nov 14, 2021",SAS @ LAL,L,29,8,2,1,0,0,0
"Nov 12, 2021",SAS vs. DAL,L,24,14,2,3,0,0,1
"Nov 10, 2021",SAS vs. SAC,W,27,17,3,2,0,0,0
"Nov 07, 2021",SAS @ OKC,L,19,10,1,0,0,0,0
"Nov 05, 2021",SAS @ ORL,W,26,10,3,2,0,0,1
"Nov 03, 2021",SAS vs. DAL,L,26,2,1,1,1,0,2
"Oct 26, 2021",SAS vs. LAL,L,17,4,1,0,0,0,0
"Oct 23, 2021",SAS vs. MIL,L,32,25,4,2,0,0,0
"Oct 22, 2021",SAS @ DEN,L,31,5,3,1,0,0,2
"Oct 20, 2021",SAS vs. ORL,W,22,12,0,0,0,0,0
"Apr 04, 2023",SAS @ PHX,L,6,2,2,0,0,0,0
"Apr 02, 2023",SAS @ SAC,W,28,30,2,1,0,0,0
"Mar 26, 2023",SAS @ BOS,L,21,7,1,1,0,0,0
"Mar 24, 2023",SAS @ WAS,L,18,18,1,1,1,0,0
"Mar 21, 2023",SAS @ NOP,L,20,5,3,1,0,0,1
"Mar 15, 2023",SAS vs. DAL,L,20,9,4,2,0,0,2
"Mar 14, 2023",SAS vs. ORL,W,24,15,2,2,1,0,2
"Mar 12, 2023",SAS vs. OKC,L,26,11,1,4,1,0,1
"Mar 10, 2023",SAS vs. DEN,W,28,20,5,1,1,0,1
"Mar 02, 2023",SAS vs. IND,W,7,0,0,1,0,0,0
"Feb 28, 2023",SAS @ UTA,W,28,19,3,0,0,0,1
"Feb 25, 2023",SAS @ UTA,L,18,3,2,0,0,0,2
"Feb 23, 2023",SAS @ DAL,L,25,6,0,3,0,0,0
"Feb 15, 2023",SAS @ CHA,L,23,17,3,0,0,0,3
"Feb 10, 2023",SAS @ DET,L,19,7,1,2,0,0,0
"Feb 08, 2023",SAS @ TOR,L,24,13,1,3,0,0,0
"Feb 06, 2023",SAS @ CHI,L,19,6,2,3,0,0,0
"Feb 03, 2023",SAS vs. PHI,L,18,7,1,2,0,0,2
"Feb 01, 2023",SAS vs. SAC,L,23,5,1,3,0,0,0
"Jan 30, 2023",SAS vs. WAS,L,22,6,1,0,0,0,0
"Jan 28, 2023",SAS vs. PHX,L,20,10,1,1,1,0,3
"Jan 26, 2023",SAS @ LAC,L,22,11,3,2,0,0,1
"Jan 25, 2023",SAS @ LAL,L,23,9,1,0,1,0,1
"Jan 23, 2023",SAS @ POR,L,17,13,1,0,1,0,1
"Jan 20, 2023",SAS vs. LAC,L,14,2,0,0,0,0,1
"Jan 17, 2023",SAS vs. BKN,W,21,4,4,3,1,0,1
"Jan 13, 2023",SAS vs. GSW,L,22,14,2,1,1,0,0
"Jan 11, 2023",SAS @ MEM,L,24,15,5,2,1,0,2
"Jan 09, 2023",SAS @ MEM,L,24,9,5,1,0,0,0
"Jan 07, 2023",SAS vs. BOS,L,20,13,3,1,0,0,0
"Jan 06, 2023",SAS vs. DET,W,21,9,3,1,0,0,0
"Jan 04, 2023",SAS @ NYK,L,23,15,2,0,1,1,2
"Jan 02, 2023",SAS @ BKN,L,9,0,4,1,0,0,1
"Dec 31, 2022",SAS vs. DAL,L,20,9,5,2,0,0,1
"Dec 29, 2022",SAS vs. NYK,W,16,8,1,4,0,0,1
"Dec 26, 2022",SAS vs. UTA,W,18,14,1,1,0,0,0
"Dec 23, 2022",SAS @ ORL,L,19,13,2,0,0,0,1
"Dec 22, 2022",SAS @ NOP,L,17,5,4,1,0,0,1
"Dec 19, 2022",SAS @ HOU,W,23,16,4,2,0,0,2
"Dec 17, 2022",SAS vs. MIA,L,21,8,5,1,0,1,1
"Dec 14, 2022",SAS vs. POR,L,21,14,1,0,0,0,1
"Dec 12, 2022",SAS vs. CLE,W,18,7,3,1,0,0,0
"Dec 10, 2022",SAS @ MIA,W,25,13,2,5,0,0,1
"Dec 08, 2022",SAS vs. HOU,W,23,12,3,2,0,1,1
"Nov 30, 2022",SAS @ OKC,L,16,5,1,4,0,0,0
"Nov 26, 2022",SAS vs. LAL,L,26,15,2,3,1,0,1
"Nov 23, 2022",SAS vs. NOP,L,23,21,1,2,0,0,1
"Nov 20, 2022",SAS @ LAL,L,19,8,2,2,0,0,0
"Nov 19, 2022",SAS @ LAC,L,17,13,2,0,0,0,1
"Nov 15, 2022",SAS @ POR,L,17,6,0,0,0,0,2
"Nov 14, 2022",SAS @ GSW,L,23,7,0,0,1,1,2
"Nov 11, 2022",SAS vs. MIL,W,24,10,3,1,0,0,3
"Nov 09, 2022",SAS vs. MEM,L,24,9,3,1,0,0,0
"Nov 07, 2022",SAS vs. DEN,L,19,9,1,1,0,0,0
"Nov 05, 2022",SAS @ DEN,L,16,1,0,0,0,0,0
"Nov 04, 2022",SAS vs. LAC,L,23,10,1,1,0,0,2
"Nov 02, 2022",SAS vs. TOR,L,22,9,4,3,0,0,3
"Oct 30, 2022",SAS vs. MIN,W,25,23,3,1,0,1,1
"Oct 28, 2022",SAS vs. CHI,W,27,9,4,2,0,0,0
"Oct 26, 2022",SAS @ MIN,L,24,19,3,3,0,0,1
"Oct 24, 2022",SAS @ MIN,W,17,2,1,1,0,0,1
"Oct 22, 2022",SAS @ PHI,W,24,14,3,1,0,1,1
"Oct 21, 2022",SAS @ IND,W,12,3,1,3,0,0,1
"Oct 19, 2022",SAS vs. CHA,L,16,12,2,0,0,0,0
"Apr 14, 2024",IND vs. ATL,W,18,15,1,1,0,0,0
"Apr 12, 2024",IND @ CLE,L,6,0,0,0,0,0,0
"Apr 09, 2024",IND @ TOR,W,10,3,0,1,2,0,0
"Apr 05, 2024",IND vs. OKC,W,12,6,1,1,0,0,0
"Apr 03, 2024",IND @ BKN,L,6,0,0,0,0,0,0
"Apr 01, 2024",IND vs. BKN,W,19,6,1,0,0,0,0
"Mar 29, 2024",IND vs. LAL,W,1,0,0,0,0,0,0
"Mar 27, 2024",IND @ CHI,L,10,3,0,1,0,0,0
"Mar 25, 2024",IND @ LAC,W,11,0,1,0,0,0,0
"Mar 24, 2024",IND @ LAL,L,22,14,0,3,1,0,2
"Mar 22, 2024",IND @ GSW,W,6,0,1,0,0,0,0
"Mar 20, 2024",IND @ DET,W,16,9,3,2,2,0,1
"Feb 26, 2024",IND vs. TOR,L,5,0,0,0,0,0,0
"Feb 25, 2024",IND vs. DAL,W,12,3,2,1,0,0,0
"Feb 22, 2024",IND vs. DET,W,10,3,0,2,0,0,0
"Feb 14, 2024",IND @ TOR,W,23,13,1,0,0,0,1
"Feb 12, 2024",IND @ CHA,L,8,0,0,1,0,0,0
"Feb 10, 2024",IND @ NYK,W,7,0,0,0,0,0,0
"Feb 07, 2024",SAS @ MIA,L,10,3,1,0,0,0,0
"Feb 03, 2024",SAS vs. CLE,L,20,8,0,3,1,0,0
"Feb 02, 2024",SAS vs. NOP,L,12,6,2,0,0,0,0
"Jan 31, 2024",SAS vs. ORL,L,12,2,1,0,0,0,1
"Jan 29, 2024",SAS vs. WAS,L,10,6,1,1,0,0,0
"Jan 27, 2024",SAS vs. MIN,W,17,9,1,1,0,0,0
"Jan 26, 2024",SAS vs. POR,W,14,0,0,2,0,0,0
"Jan 24, 2024",SAS vs. OKC,L,17,8,1,3,0,0,3
"Jan 22, 2024",SAS @ PHI,L,22,13,5,0,0,0,2
"Jan 20, 2024",SAS @ WAS,W,10,3,0,1,0,0,0
"Jan 19, 2024",SAS @ CHA,L,9,0,0,2,1,0,1
"Jan 17, 2024",SAS @ BOS,L,12,2,0,1,0,0,0
"Jan 15, 2024",SAS @ ATL,L,15,6,1,0,0,0,0
"Jan 12, 2024",SAS vs. CHA,W,12,14,2,0,0,0,0
"Jan 10, 2024",SAS @ DET,W,15,14,2,0,0,0,0
"Jan 02, 2024",SAS @ MEM,L,16,3,0,0,0,0,0
"Dec 31, 2023",SAS vs. BOS,L,16,0,0,1,0,0,1
"Dec 29, 2023",SAS @ POR,L,23,18,1,1,0,0,2
"Dec 28, 2023",SAS @ POR,W,16,8,1,1,0,0,0
"Dec 26, 2023",SAS vs. UTA,L,11,0,0,0,0,0,0
"Dec 23, 2023",SAS @ DAL,L,6,0,0,0,0,0,0
"Dec 21, 2023",SAS @ CHI,L,12,3,0,1,1,0,0
