GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",GSW @ NOP,W,25,7,3,6,1,0,2
"Apr 09, 2022",GSW @ SAS,W,32,12,13,8,1,1,4
"Apr 07, 2022",GSW vs. LAL,W,26,10,3,7,2,2,2
"Apr 03, 2022",GSW @ SAC,W,24,6,7,5,1,2,3
"Apr 02, 2022",GSW vs. UTA,W,33,10,9,7,0,1,3
"Mar 30, 2022",GSW vs. PHX,L,31,8,10,7,2,3,4
"Mar 27, 2022",GSW @ WAS,L,26,7,5,6,3,0,3
"Mar 25, 2022",GSW @ ATL,L,24,4,5,3,0,0,5
"Mar 22, 2022",GSW @ ORL,L,29,2,3,7,2,0,1
"Mar 20, 2022",GSW vs. SAS,L,18,4,6,5,0,0,2
"Mar 16, 2022",GSW vs. BOS,L,22,2,8,3,1,0,1
"Mar 14, 2022",GSW vs. WAS,W,20,6,7,6,1,0,3
"Jan 09, 2022",GSW vs. CLE,W,0,0,0,0,0,0,0
"Jan 05, 2022",GSW @ DAL,L,32,2,3,4,2,1,5
"Jan 03, 2022",GSW vs. MIA,W,36,5,8,13,1,4,2
"Dec 25, 2021",GSW @ PHX,W,34,8,8,10,3,3,4
"Dec 23, 2021",GSW vs. MEM,W,34,8,5,9,2,3,5
"Dec 20, 2021",GSW vs. SAC,W,33,16,11,10,2,2,5
"Dec 17, 2021",GSW @ BOS,W,31,6,5,8,0,1,2
"Dec 14, 2021",GSW @ NYK,W,32,8,11,7,1,3,3
"Dec 13, 2021",GSW @ IND,W,31,15,9,5,0,0,3
"Dec 11, 2021",GSW @ PHI,L,28,7,4,2,3,0,2
"Dec 08, 2021",GSW vs. POR,W,32,5,10,8,1,1,3
"Dec 06, 2021",GSW vs. ORL,W,29,7,7,3,3,1,3
"Dec 04, 2021",GSW vs. SAS,L,33,9,8,9,1,1,4
"Dec 03, 2021",GSW vs. PHX,W,30,9,9,9,6,3,2
"Nov 30, 2021",GSW @ PHX,L,32,8,11,5,0,1,5
"Nov 28, 2021",GSW @ LAC,W,30,8,4,7,2,0,4
"Nov 26, 2021",GSW vs. POR,W,34,12,8,12,2,3,6
"Nov 24, 2021",GSW vs. PHI,W,28,10,9,7,1,0,4
"Nov 21, 2021",GSW vs. TOR,W,32,4,14,8,0,1,1
"Nov 18, 2021",GSW @ CLE,W,30,4,2,14,1,1,2
"Nov 16, 2021",GSW @ BKN,W,29,11,6,8,1,0,3
"Nov 14, 2021",GSW @ CHA,L,32,11,6,6,0,2,3
"Nov 12, 2021",GSW vs. CHI,W,28,9,9,7,1,0,2
