GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",POR @ DAL,L,32,18,7,0,1,0,2
"Apr 07, 2022",POR @ NOP,L,26,20,5,1,1,1,0
"Apr 05, 2022",POR @ OKC,L,35,14,4,0,2,2,2
"Apr 03, 2022",POR @ SAS,L,32,13,13,1,1,0,4
"Apr 01, 2022",POR @ SAS,L,29,13,6,3,1,0,1
"Mar 30, 2022",POR vs. NOP,L,31,21,9,1,1,1,2
"Mar 28, 2022",POR vs. OKC,L,41,27,14,3,3,2,1
"Mar 26, 2022",POR vs. HOU,L,33,14,16,2,2,0,2
"Mar 25, 2022",POR vs. HOU,L,26,18,5,1,0,0,2
"Mar 23, 2022",POR vs. SAS,L,36,20,9,4,1,0,3
"Mar 21, 2022",POR @ DET,W,31,17,8,2,0,1,0
"Mar 20, 2022",POR @ IND,L,30,12,8,0,1,0,2
"Mar 18, 2022",POR @ BKN,L,27,18,6,3,0,0,0
"Mar 16, 2022",POR @ NYK,L,30,10,9,5,0,0,1
"Mar 14, 2022",POR @ ATL,L,30,16,10,2,1,1,3
"Mar 12, 2022",POR vs. WAS,W,39,20,12,3,0,1,2
"Mar 09, 2022",POR @ UTA,L,19,4,7,0,1,1,0
"Mar 07, 2022",POR @ MIN,L,29,2,7,0,0,0,1
"Mar 05, 2022",POR @ MIN,L,28,13,8,2,1,0,3
"Mar 02, 2022",POR @ PHX,L,18,13,8,0,1,0,2
"Feb 27, 2022",POR vs. DEN,L,29,13,10,2,0,0,1
"Feb 24, 2022",POR vs. GSW,L,21,2,5,0,0,0,1
"Feb 09, 2022",SAS @ CLE,L,2,0,2,0,0,0,0
"Feb 03, 2022",SAS vs. MIA,L,17,7,5,1,0,1,1
"Feb 01, 2022",SAS vs. GSW,L,5,4,0,0,0,1,0
"Jan 30, 2022",SAS @ PHX,L,22,6,5,4,1,0,1
"Jan 28, 2022",SAS vs. CHI,W,16,4,6,2,0,0,1
"Jan 26, 2022",SAS vs. MEM,L,4,4,4,0,0,1,0
"Jan 25, 2022",SAS @ HOU,W,15,13,9,2,0,1,2
"Jan 23, 2022",SAS vs. PHI,L,5,0,4,0,0,0,0
"Jan 21, 2022",SAS vs. BKN,L,7,2,0,0,0,0,0
"Jan 19, 2022",SAS vs. OKC,W,11,6,5,1,0,1,0
"Jan 17, 2022",SAS vs. PHX,L,3,1,2,0,0,0,0
"Jan 15, 2022",SAS vs. LAC,W,19,0,7,0,0,0,1
"Jan 10, 2022",SAS @ NYK,L,20,8,1,0,1,0,1
"Jan 07, 2022",SAS @ PHI,L,18,6,4,2,0,0,1
"Jan 04, 2022",SAS @ TOR,L,12,6,5,0,1,0,1
"Jan 01, 2022",SAS @ DET,L,3,0,0,0,0,0,0
"Dec 31, 2021",SAS @ MEM,L,8,5,2,0,0,0,0
"Dec 27, 2021",SAS vs. UTA,L,2,0,4,0,0,0,0
"Dec 26, 2021",SAS vs. DET,W,12,8,7,0,0,1,2
"Dec 23, 2021",SAS @ LAL,W,3,0,0,1,0,1,0
"Dec 20, 2021",SAS @ LAC,W,4,0,0,1,0,0,0
"Dec 19, 2021",SAS @ SAC,L,3,2,2,0,0,1,1
"Dec 17, 2021",SAS @ UTA,W,9,3,3,1,0,0,2
"Dec 15, 2021",SAS vs. CHA,L,7,0,3,0,0,1,0
"Dec 12, 2021",SAS vs. NOP,W,14,4,7,3,1,0,2
"Dec 11, 2021",SAS vs. DEN,L,20,2,3,2,0,2,1
"Dec 09, 2021",SAS vs. DEN,W,17,14,6,0,0,1,1
"Dec 07, 2021",SAS vs. NYK,L,15,4,7,0,1,1,1
"Dec 06, 2021",SAS @ PHX,L,8,4,4,0,0,0,1
"Dec 02, 2021",SAS @ POR,W,4,3,1,1,0,0,0
"Nov 29, 2021",SAS vs. WAS,W,9,2,2,1,0,2,3
"Nov 26, 2021",SAS vs. BOS,W,7,0,1,0,0,0,0
"Nov 24, 2021",SAS vs. ATL,L,6,4,2,1,0,0,0
"Nov 22, 2021",SAS vs. PHX,L,12,6,1,1,1,0,2
"Nov 18, 2021",SAS @ MIN,L,21,6,7,2,1,1,1
"Nov 16, 2021",SAS @ LAC,L,24,8,10,1,0,1,1
"Nov 14, 2021",SAS @ LAL,L,22,2,5,5,0,0,3
"Nov 12, 2021",SAS vs. DAL,L,24,12,8,3,0,0,0
"Nov 10, 2021",SAS vs. SAC,W,24,18,6,2,1,0,4
"Nov 07, 2021",SAS @ OKC,L,22,14,11,2,0,3,2
"Nov 05, 2021",SAS @ ORL,W,22,5,4,2,2,1,0
"Nov 03, 2021",SAS vs. DAL,L,19,10,5,1,0,3,1
"Nov 01, 2021",SAS @ IND,L,5,3,2,0,1,1,1
"Oct 30, 2021",SAS @ MIL,W,9,2,1,1,0,1,0
"Oct 28, 2021",SAS @ DAL,L,12,5,5,0,0,2,1
"Oct 26, 2021",SAS vs. LAL,L,12,5,4,2,2,0,1
"Oct 23, 2021",SAS vs. MIL,L,13,4,4,1,0,1,2
"Oct 22, 2021",SAS @ DEN,L,13,4,4,2,0,0,3
"Oct 20, 2021",SAS vs. ORL,W,14,2,6,2,0,1,1
"Apr 06, 2023",POR @ SAS,L,28,23,9,2,0,5,0
"Apr 04, 2023",POR @ MEM,L,31,8,8,3,0,4,1
"Apr 02, 2023",POR @ MIN,W,29,12,5,2,2,3,2
"Mar 31, 2023",POR vs. SAC,L,28,18,10,1,2,1,2
"Mar 29, 2023",POR vs. SAC,L,25,5,11,5,0,2,2
"Mar 27, 2023",POR vs. NOP,L,23,12,3,1,1,1,2
"Mar 26, 2023",POR vs. OKC,L,33,7,10,4,1,6,3
"Mar 24, 2023",POR vs. CHI,L,25,12,7,1,2,1,1
"Mar 22, 2023",POR @ UTA,W,6,2,3,0,0,0,0
"Mar 19, 2023",POR vs. LAC,L,21,10,8,3,0,1,1
"Mar 17, 2023",POR vs. BOS,L,18,6,3,0,0,2,1
"Mar 14, 2023",POR vs. NYK,L,18,0,3,2,0,0,1
"Mar 12, 2023",POR @ NOP,L,12,6,7,0,1,0,1
"Mar 10, 2023",POR @ PHI,L,22,8,6,1,0,2,1
"Mar 08, 2023",POR @ BOS,L,14,2,6,1,0,0,0
"Mar 06, 2023",POR @ DET,W,19,10,3,2,1,2,0
"Mar 05, 2023",POR @ ORL,W,26,13,6,3,1,0,1
"Mar 03, 2023",POR @ ATL,L,22,8,7,0,0,1,2
"Mar 01, 2023",POR vs. NOP,L,18,2,4,1,0,2,0
"Feb 28, 2023",POR @ GSW,L,25,5,8,4,0,0,1
"Feb 26, 2023",POR vs. HOU,W,22,9,8,0,1,2,1
"Feb 23, 2023",POR @ SAC,L,24,8,7,3,0,0,0
"Feb 14, 2023",POR vs. WAS,L,27,3,11,2,1,4,1
"Feb 13, 2023",POR vs. LAL,W,24,6,9,1,0,1,0
"Feb 10, 2023",POR vs. OKC,L,29,9,8,2,0,1,2
"Feb 08, 2023",POR vs. GSW,W,17,10,6,1,1,0,1
"Feb 06, 2023",POR vs. MIL,L,26,10,4,5,0,0,1
"Feb 04, 2023",POR @ CHI,L,26,8,5,0,0,1,0
"Feb 03, 2023",POR @ WAS,W,18,5,4,2,1,1,0
"Feb 01, 2023",POR @ MEM,W,24,11,11,3,1,1,2
"Jan 30, 2023",POR vs. ATL,W,22,3,3,2,0,1,0
"Jan 28, 2023",POR vs. TOR,L,22,7,3,1,1,2,2
"Jan 25, 2023",POR vs. UTA,W,26,8,10,0,2,2,0
"Jan 23, 2023",POR vs. SAS,W,16,7,4,1,0,1,0
"Jan 22, 2023",POR vs. LAL,L,31,6,11,1,0,6,1
"Jan 19, 2023",POR vs. PHI,L,24,6,6,2,1,1,0
"Jan 17, 2023",POR @ DEN,L,16,6,3,0,1,2,0
"Jan 15, 2023",POR vs. DAL,W,18,4,4,3,0,1,0
"Jan 14, 2023",POR vs. DAL,W,20,2,4,2,0,1,0
"Jan 12, 2023",POR vs. CLE,L,16,3,5,0,0,2,1
"Jan 10, 2023",POR vs. ORL,L,14,6,4,1,0,1,2
"Jan 08, 2023",POR @ TOR,L,9,0,2,0,0,0,1
"Jan 06, 2023",POR @ IND,L,15,4,4,1,0,0,1
"Jan 04, 2023",POR @ MIN,L,20,4,5,0,1,2,3
"Jan 02, 2023",POR vs. DET,W,29,10,10,2,3,3,0
"Dec 30, 2022",POR @ GSW,L,32,8,7,2,1,1,2
"Dec 26, 2022",POR vs. CHA,W,12,8,3,1,0,1,0
"Dec 23, 2022",POR @ DEN,L,27,2,5,0,0,1,1
"Dec 21, 2022",POR @ OKC,L,20,6,7,3,3,1,1
"Dec 19, 2022",POR @ OKC,L,32,9,7,3,0,2,0
"Dec 17, 2022",POR @ HOU,W,17,6,3,0,0,1,3
"Dec 16, 2022",POR @ DAL,L,13,4,4,1,0,0,0
"Dec 14, 2022",POR @ SAS,W,14,7,5,1,0,1,0
"Dec 12, 2022",POR vs. MIN,W,17,6,4,1,0,2,2
"Dec 10, 2022",POR vs. MIN,W,20,10,0,1,0,1,0
"Dec 08, 2022",POR vs. DEN,L,17,7,2,0,1,0,0
"Dec 04, 2022",POR vs. IND,W,16,2,5,2,1,1,0
"Nov 30, 2022",POR @ LAL,L,14,3,3,2,0,1,0
"Nov 29, 2022",POR vs. LAC,L,9,2,3,0,0,1,0
"Nov 27, 2022",POR @ BKN,L,14,3,5,1,1,0,2
"Nov 23, 2022",POR @ CLE,L,17,10,6,1,0,3,0
"Nov 21, 2022",POR @ MIL,L,15,5,3,0,0,1,0
"Nov 19, 2022",POR vs. UTA,L,21,13,5,1,1,4,3
"Nov 17, 2022",POR vs. BKN,L,18,3,7,0,1,1,1
"Nov 15, 2022",POR vs. SAS,W,33,9,7,1,1,1,1
"Nov 12, 2022",POR @ DAL,L,33,2,8,0,2,0,0
"Nov 10, 2022",POR @ NOP,W,27,6,8,3,0,0,0
"Nov 09, 2022",POR @ CHA,W,22,14,8,2,0,3,3
"Nov 07, 2022",POR @ MIA,W,13,2,1,0,1,1,0
"Nov 05, 2022",POR @ PHX,L,16,5,3,2,0,0,1
"Nov 04, 2022",POR @ PHX,W,23,10,4,1,0,1,1
"Nov 02, 2022",POR vs. MEM,L,10,7,3,0,0,0,3
"Oct 28, 2022",POR vs. HOU,W,14,10,1,1,0,0,0
"Oct 26, 2022",POR vs. MIA,L,11,2,0,1,0,0,0
"Oct 24, 2022",POR vs. DEN,W,12,4,2,0,1,1,0
"Oct 23, 2022",POR @ LAL,W,13,4,3,0,0,1,0
"Oct 21, 2022",POR vs. PHX,W,16,5,5,0,1,0,2
"Oct 19, 2022",POR @ SAC,W,16,0,3,1,0,2,0
"Apr 14, 2024",PHX @ MIN,W,15,0,0,1,0,0,0
"Apr 12, 2024",PHX @ SAC,W,12,2,7,0,0,0,1
"Apr 09, 2024",PHX vs. LAC,L,12,6,5,1,1,0,0
"Apr 07, 2024",PHX vs. NOP,L,17,0,9,2,0,1,1
"Apr 05, 2024",PHX vs. MIN,W,18,5,4,0,0,1,0
"Apr 03, 2024",PHX vs. CLE,W,15,4,5,0,1,0,0
"Apr 01, 2024",PHX @ NOP,W,12,4,2,1,0,1,0
"Mar 29, 2024",PHX @ OKC,L,7,0,4,0,0,2,1
"Mar 27, 2024",PHX @ DEN,W,27,5,4,1,0,0,0
"Mar 25, 2024",PHX @ SAS,L,21,2,6,4,0,0,2
"Mar 23, 2024",PHX @ SAS,W,18,10,3,1,1,3,0
"Mar 21, 2024",PHX vs. ATL,W,16,7,4,0,0,3,1
"Mar 20, 2024",PHX vs. PHI,W,14,4,4,1,1,0,1
"Mar 17, 2024",PHX @ MIL,L,5,4,1,0,0,0,0
"Mar 15, 2024",PHX @ CHA,W,15,6,8,0,0,0,1
"Mar 14, 2024",PHX @ BOS,L,4,0,3,0,0,0,0
"Mar 11, 2024",PHX @ CLE,W,18,4,6,0,1,1,0
"Mar 09, 2024",PHX vs. BOS,L,11,0,1,0,0,0,0
"Mar 07, 2024",PHX vs. TOR,W,21,6,8,1,1,1,1
"Mar 05, 2024",PHX @ DEN,W,23,10,8,0,0,2,0
"Mar 03, 2024",PHX vs. OKC,L,11,6,3,1,0,0,0
"Mar 02, 2024",PHX vs. HOU,L,14,2,2,1,0,0,1
"Feb 29, 2024",PHX vs. HOU,W,16,4,7,0,0,1,2
"Feb 25, 2024",PHX vs. LAL,W,10,2,1,1,1,2,0
"Feb 23, 2024",PHX @ HOU,L,25,9,5,1,1,2,1
"Feb 22, 2024",PHX @ DAL,L,6,0,3,0,0,1,1
"Feb 14, 2024",PHX vs. DET,W,18,6,6,0,2,1,2
"Feb 13, 2024",PHX vs. SAC,W,6,2,0,1,0,0,0
"Feb 10, 2024",PHX @ GSW,L,16,4,4,1,2,2,0
"Feb 08, 2024",PHX vs. UTA,W,18,12,7,0,1,0,0
"Feb 06, 2024",PHX vs. MIL,W,16,2,5,0,1,1,0
"Feb 04, 2024",PHX @ WAS,W,15,5,3,1,0,2,3
"Feb 02, 2024",PHX @ ATL,L,17,6,4,1,0,0,1
"Jan 31, 2024",PHX @ BKN,W,18,6,6,2,0,1,0
"Jan 29, 2024",PHX @ MIA,W,21,11,5,1,0,1,0
"Jan 28, 2024",PHX @ ORL,L,29,4,8,3,1,1,2
"Jan 26, 2024",PHX @ IND,L,16,8,5,1,0,0,1
"Jan 24, 2024",PHX @ DAL,W,9,2,0,0,0,0,1
"Jan 22, 2024",PHX vs. CHI,W,22,10,8,4,0,0,0
"Jan 21, 2024",PHX vs. IND,W,11,3,2,0,0,0,1
"Jan 16, 2024",PHX vs. SAC,W,10,3,4,0,1,0,0
"Jan 14, 2024",PHX @ POR,W,4,0,1,0,0,0,0
"Jan 08, 2024",PHX @ LAC,L,16,0,4,0,0,2,0
"Jan 07, 2024",PHX vs. MEM,L,13,8,7,0,0,0,2
"Jan 05, 2024",PHX vs. MIA,W,22,11,6,0,1,0,0
"Jan 03, 2024",PHX vs. LAC,L,4,0,0,0,0,0,0
"Jan 01, 2024",PHX vs. POR,W,6,1,1,0,0,0,0
"Dec 25, 2023",PHX vs. DAL,L,17,2,7,0,1,0,1
"Dec 22, 2023",PHX @ SAC,L,15,2,2,0,1,0,2
"Dec 19, 2023",PHX @ POR,L,17,5,6,1,1,3,1
"Dec 17, 2023",PHX vs. WAS,W,17,12,5,0,1,1,2
"Dec 15, 2023",PHX vs. NYK,L,15,8,3,0,1,2,1
"Dec 13, 2023",PHX vs. BKN,L,4,0,0,0,0,0,0
"Dec 12, 2023",PHX vs. GSW,W,17,3,6,1,1,2,3
"Dec 08, 2023",PHX vs. SAC,L,16,8,6,0,0,0,1
"Dec 05, 2023",PHX @ LAL,L,18,6,2,1,1,0,3
"Dec 02, 2023",PHX vs. MEM,W,18,6,3,1,0,2,1
"Dec 01, 2023",PHX vs. DEN,L,15,0,6,1,0,0,0
"Nov 29, 2023",PHX @ TOR,L,18,4,4,1,0,1,0
"Nov 26, 2023",PHX @ NYK,W,15,3,6,1,0,0,2
"Nov 22, 2023",PHX vs. GSW,W,16,6,6,0,0,3,0
"Nov 21, 2023",PHX vs. POR,W,13,7,2,0,0,0,2
"Nov 19, 2023",PHX @ UTA,W,17,4,0,1,0,0,0
"Nov 17, 2023",PHX @ UTA,W,21,11,4,0,0,0,0
"Nov 15, 2023",PHX vs. MIN,W,20,13,4,3,0,0,1
"Nov 12, 2023",PHX vs. OKC,L,21,15,5,1,0,0,2
"Nov 10, 2023",PHX vs. LAL,L,14,2,5,1,0,1,2
"Nov 08, 2023",PHX @ CHI,W,14,4,3,2,0,2,0
"Nov 05, 2023",PHX @ DET,W,18,8,3,1,1,3,2
"Nov 04, 2023",PHX @ PHI,L,20,10,5,4,1,1,0
"Nov 02, 2023",PHX vs. SAS,L,27,13,5,1,0,1,1
"Oct 31, 2023",PHX vs. SAS,L,17,3,9,4,1,2,2
"Oct 28, 2023",PHX vs. UTA,W,19,12,5,2,0,2,0
"Oct 26, 2023",PHX @ LAL,L,17,2,4,2,0,0,2
"Oct 24, 2023",PHX @ GSW,W,19,4,7,2,0,3,3
"Apr 11, 2025",LAC @ SAC,W,2,0,0,1,0,0,1
"Apr 09, 2025",LAC vs. HOU,W,13,4,5,0,0,1,0
"Apr 08, 2025",LAC vs. SAS,W,3,0,2,0,0,0,1
"Apr 05, 2025",LAC vs. DAL,W,7,4,1,1,0,0,0
"Apr 04, 2025",LAC vs. DAL,W,18,12,7,2,1,1,1
"Apr 02, 2025",LAC vs. NOP,W,3,2,0,0,0,0,0
"Mar 31, 2025",LAC @ ORL,W,3,0,0,0,0,0,1
"Mar 28, 2025",LAC @ BKN,W,9,0,5,0,0,1,1
"Mar 26, 2025",LAC @ NYK,W,1,0,0,0,0,0,0
"Mar 23, 2025",LAC vs. OKC,L,0,0,0,0,0,0,0
"Mar 21, 2025",LAC vs. MEM,W,3,1,2,0,0,0,0
"Mar 16, 2025",LAC vs. CHA,W,12,7,9,1,0,1,1
"Mar 14, 2025",LAC @ ATL,W,2,0,0,0,0,0,0
"Mar 12, 2025",LAC @ MIA,W,9,6,2,1,0,0,1
"Mar 07, 2025",LAC vs. NYK,W,4,0,1,0,0,0,1
"Mar 05, 2025",LAC vs. DET,W,13,2,0,0,0,0,0
"Mar 04, 2025",LAC @ PHX,L,11,7,4,0,0,1,0
"Mar 02, 2025",LAC @ LAL,L,12,4,5,2,1,0,0
"Feb 26, 2025",LAC @ CHI,W,4,4,3,0,0,1,1
"Feb 24, 2025",LAC @ DET,L,11,0,2,0,0,0,1
"Feb 23, 2025",LAC @ IND,L,11,2,1,1,0,0,0
"Feb 08, 2025",LAC vs. UTA,W,6,4,3,0,0,1,0
"Feb 06, 2025",LAC vs. IND,L,13,4,5,0,0,0,0
"Feb 04, 2025",LAC vs. LAL,L,7,2,1,0,0,0,0
"Jan 30, 2025",UTA vs. MIN,L,13,6,0,2,0,0,0
"Jan 28, 2025",UTA @ GSW,L,23,13,4,2,0,4,0
"Jan 27, 2025",UTA vs. MIL,L,22,4,10,1,1,0,0
"Jan 25, 2025",UTA @ MEM,L,8,4,1,0,0,0,1
"Jan 22, 2025",UTA @ OKC,L,17,6,3,1,0,2,1
"Jan 20, 2025",UTA @ NOP,L,19,10,8,0,0,1,1
"Jan 17, 2025",UTA @ NOP,L,25,17,7,1,1,4,1
