GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",BKN vs. PHI,L,24,2,4,3,1,0,1
"Apr 07, 2023",BKN vs. ORL,W,3,0,1,3,0,0,0
"Apr 05, 2023",BKN @ DET,W,1,0,0,0,0,0,0
"Mar 26, 2023",BKN @ ORL,L,4,0,0,1,0,0,0
"Mar 25, 2023",BKN @ MIA,W,4,0,1,0,0,0,0
"Mar 09, 2023",BKN @ MIL,L,22,17,3,5,0,1,0
"Feb 28, 2023",BKN vs. MIL,L,5,3,0,0,1,0,0
"Feb 13, 2023",BKN @ NYK,L,4,4,0,1,1,0,0
"Feb 07, 2023",BKN vs. PHX,L,12,5,2,0,2,0,1
"Feb 06, 2023",BKN vs. LAC,L,13,2,4,4,1,0,0
"Dec 08, 2022",MIA vs. LAC,W,22,2,1,3,1,0,0
"Dec 06, 2022",MIA vs. DET,L,3,0,1,0,0,0,0
"Nov 27, 2022",MIA @ ATL,W,21,5,3,1,1,1,0
"Nov 25, 2022",MIA vs. WAS,W,16,2,3,1,1,2,1
"Oct 26, 2022",MIA @ POR,W,6,2,1,0,1,0,0
"Nov 22, 2023",MIA @ CLE,W,1,0,0,0,0,0,0
"Nov 20, 2023",MIA @ CHI,W,2,0,1,0,1,0,0
"Nov 14, 2023",MIA @ CHA,W,3,0,0,0,0,0,0
"Nov 12, 2023",MIA @ SAS,W,27,12,4,3,0,0,1
"Nov 11, 2023",MIA @ ATL,W,28,9,2,2,3,1,2
"Nov 08, 2023",MIA @ MEM,W,15,2,4,1,1,1,0
"Oct 28, 2023",MIA @ MIN,L,22,5,1,4,1,0,1
"Oct 27, 2023",MIA @ BOS,L,23,9,2,3,3,1,1
"Oct 25, 2023",MIA vs. DET,W,9,2,0,1,0,0,0
"Dec 23, 2024",MIA vs. BKN,W,7,0,1,1,0,0,2
"Dec 21, 2024",MIA @ ORL,L,26,13,4,0,4,0,1
"Dec 20, 2024",MIA vs. OKC,L,30,13,0,4,2,1,3
"Dec 16, 2024",MIA @ DET,L,31,7,0,2,6,0,1
"Dec 12, 2024",MIA vs. TOR,W,34,11,3,3,1,0,1
"Dec 08, 2024",MIA vs. CLE,W,26,11,4,2,0,0,2
"Dec 07, 2024",MIA vs. PHX,W,29,7,4,1,2,1,1
"Dec 04, 2024",MIA vs. LAL,W,12,3,3,3,1,0,2
"Dec 02, 2024",MIA @ BOS,L,21,8,4,2,2,0,1
"Nov 18, 2024",MIA vs. PHI,W,25,10,6,3,3,0,1
"Nov 02, 2024",MIA @ WAS,W,2,2,1,0,0,0,1
"Oct 30, 2024",MIA vs. NYK,L,16,2,4,0,0,3,0
"Oct 26, 2024",MIA @ CHA,W,3,0,1,1,0,0,1
"Oct 23, 2024",MIA vs. ORL,L,6,0,1,1,0,1,0
