GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",GSW @ NOP,W,18,8,3,0,0,0,0
"Apr 09, 2022",GSW @ SAS,W,23,6,6,0,1,0,0
"Apr 07, 2022",GSW vs. LAL,W,25,10,5,2,2,1,1
"Apr 03, 2022",GSW @ SAC,W,19,2,3,1,3,0,1
"Apr 02, 2022",GSW vs. UTA,W,22,10,3,5,1,1,0
"Mar 30, 2022",GSW vs. PHX,L,21,10,2,1,1,0,1
"Mar 28, 2022",GSW @ MEM,L,14,2,3,0,0,1,0
"Mar 27, 2022",GSW @ WAS,L,21,5,2,2,1,1,1
"Mar 25, 2022",GSW @ ATL,L,30,14,6,2,2,0,2
"Mar 23, 2022",GSW @ MIA,W,27,11,5,1,1,0,1
"Mar 22, 2022",GSW @ ORL,L,6,0,4,0,0,0,1
"Mar 03, 2022",GSW @ DAL,L,21,6,3,1,1,0,0
"Mar 01, 2022",GSW @ MIN,L,27,14,4,1,0,0,2
"Feb 27, 2022",GSW vs. DAL,L,27,13,2,3,3,0,1
"Feb 24, 2022",GSW @ POR,W,19,10,0,1,2,0,0
"Feb 16, 2022",GSW vs. DEN,L,25,12,4,0,6,1,2
"Feb 14, 2022",GSW @ LAC,L,11,1,0,0,1,0,1
"Feb 12, 2022",GSW vs. LAL,W,11,0,2,1,0,0,1
"Feb 10, 2022",GSW vs. NYK,L,9,0,2,1,1,0,0
"Feb 09, 2022",GSW @ UTA,L,23,0,4,0,0,1,0
"Feb 07, 2022",GSW @ OKC,W,14,5,2,0,2,0,0
"Feb 03, 2022",GSW vs. SAC,W,12,3,1,0,0,1,0
"Feb 01, 2022",GSW @ SAS,W,17,0,3,3,5,1,1
"Jan 31, 2022",GSW @ HOU,W,24,8,3,1,2,1,0
"Jan 29, 2022",GSW vs. BKN,W,19,4,2,1,1,0,0
"Jan 27, 2022",GSW vs. MIN,W,15,4,8,1,0,0,1
"Jan 25, 2022",GSW vs. DAL,W,11,7,1,0,1,2,0
"Jan 23, 2022",GSW vs. UTA,W,17,6,5,1,2,1,0
"Jan 21, 2022",GSW vs. HOU,W,21,8,5,2,0,1,1
"Jan 20, 2022",GSW vs. IND,L,17,6,5,0,2,0,0
"Jan 18, 2022",GSW vs. DET,W,14,5,4,1,0,0,2
"Jan 13, 2022",GSW @ MIL,L,5,0,1,2,1,0,1
"Jan 11, 2022",GSW @ MEM,L,23,13,5,0,3,0,0
"Jan 09, 2022",GSW vs. CLE,W,19,9,6,1,2,0,0
"Jan 06, 2022",GSW @ NOP,L,14,4,1,0,1,0,1
"Jan 05, 2022",GSW @ DAL,L,24,11,11,3,2,0,1
"Jan 03, 2022",GSW vs. MIA,W,30,14,5,0,4,1,0
"Jan 01, 2022",GSW @ UTA,W,28,12,4,1,2,0,0
"Dec 28, 2021",GSW vs. DEN,L,29,11,7,2,1,0,2
"Dec 25, 2021",GSW @ PHX,W,30,14,8,2,1,0,1
"Dec 23, 2021",GSW vs. MEM,W,33,22,2,1,0,1,0
"Dec 20, 2021",GSW vs. SAC,W,18,12,6,0,3,0,0
