GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",GSW vs. UTA,W,24,13,5,2,1,0,0
"Apr 09, 2024",GSW @ LAL,W,2,2,0,0,0,0,0
"Apr 07, 2024",GSW vs. UTA,W,8,0,0,1,0,0,0
"Mar 27, 2024",GSW @ ORL,W,6,3,0,0,0,0,0
"Mar 26, 2024",GSW @ MIA,W,2,5,0,0,0,0,0
"Mar 20, 2024",GSW vs. MEM,W,4,0,0,0,0,0,0
"Mar 09, 2024",GSW vs. SAS,L,6,0,1,1,0,0,0
"Mar 06, 2024",GSW vs. MIL,W,4,0,0,0,0,0,0
"Mar 03, 2024",GSW @ BOS,L,19,5,9,3,0,0,3
"Feb 23, 2024",GSW vs. CHA,W,5,3,2,0,0,0,1
"Feb 22, 2024",GSW vs. LAL,W,4,3,0,0,0,0,0
"Feb 12, 2024",GSW @ UTA,W,2,3,2,0,1,0,0
"Feb 08, 2024",GSW @ IND,W,21,13,8,1,0,0,0
"Feb 07, 2024",GSW @ PHI,W,8,2,1,1,1,0,0
"Feb 05, 2024",GSW @ BKN,W,18,9,5,0,1,2,0
"Feb 03, 2024",GSW @ ATL,L,15,2,2,3,0,0,1
"Feb 02, 2024",GSW @ MEM,W,11,4,2,0,0,0,0
"Jan 24, 2024",GSW vs. ATL,W,3,0,1,0,0,0,0
"Jan 10, 2024",GSW vs. NOP,L,10,2,3,1,0,0,0
"Dec 23, 2023",GSW vs. POR,W,4,2,2,0,0,0,0
"Dec 22, 2023",GSW vs. WAS,W,6,7,2,0,0,0,0
"Nov 22, 2023",GSW @ PHX,L,8,2,1,0,0,0,2
"Nov 16, 2023",GSW vs. OKC,L,4,2,3,1,0,0,0
"Apr 11, 2025",GSW @ POR,W,5,0,0,1,0,0,2
"Apr 09, 2025",GSW vs. SAS,L,8,0,1,0,1,0,0
"Apr 08, 2025",GSW @ PHX,W,21,7,9,3,2,1,1
"Apr 06, 2025",GSW vs. HOU,L,4,0,0,0,0,0,1
"Apr 04, 2025",GSW vs. DEN,W,11,0,3,2,1,0,0
"Apr 03, 2025",GSW @ LAL,W,11,2,2,3,0,0,0
"Apr 01, 2025",GSW @ MEM,W,19,4,6,1,0,0,1
"Mar 30, 2025",GSW @ SAS,W,24,4,4,6,2,0,0
"Mar 28, 2025",GSW @ NOP,W,16,5,1,1,1,0,1
"Mar 25, 2025",GSW @ MIA,L,20,13,3,0,0,0,0
"Mar 22, 2025",GSW @ ATL,L,4,0,0,0,0,0,0
