GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",LAC vs. OKC,W,25,12,6,6,1,1,0
"Apr 09, 2022",LAC vs. SAC,W,23,10,7,3,0,1,2
"Apr 06, 2022",LAC vs. PHX,W,23,10,7,5,0,2,1
"Apr 03, 2022",LAC vs. NOP,W,23,12,9,2,1,0,2
"Apr 01, 2022",LAC @ MIL,W,27,14,10,5,1,1,3
"Mar 31, 2022",LAC @ CHI,L,18,4,4,2,0,1,0
"Mar 29, 2022",LAC vs. UTA,W,26,14,7,6,1,0,2
"Mar 25, 2022",LAC vs. PHI,L,23,16,9,4,0,0,2
"Mar 22, 2022",LAC @ DEN,L,24,14,2,5,2,2,1
"Mar 18, 2022",LAC @ UTA,L,25,4,9,8,2,4,2
"Mar 16, 2022",LAC vs. TOR,L,24,12,5,0,0,0,4
"Mar 14, 2022",LAC @ CLE,L,20,10,6,3,1,1,1
"Mar 13, 2022",LAC @ DET,W,17,12,4,2,0,0,0
"Mar 11, 2022",LAC @ ATL,L,12,2,5,1,0,0,1
"Mar 09, 2022",LAC vs. WAS,W,19,4,3,1,1,3,0
"Mar 08, 2022",LAC @ GSW,L,26,10,6,4,2,1,0
"Mar 06, 2022",LAC vs. NYK,L,21,14,2,4,0,1,1
"Mar 03, 2022",LAC vs. LAL,W,23,12,5,5,1,1,0
"Mar 01, 2022",LAC @ HOU,W,22,6,8,1,2,1,5
"Feb 27, 2022",LAC @ HOU,W,10,12,4,0,0,2,3
"Feb 25, 2022",LAC @ LAL,W,28,11,7,6,0,2,1
"Feb 17, 2022",LAC vs. HOU,W,25,13,8,2,3,5,3
"Feb 15, 2022",LAC @ PHX,L,14,4,4,2,1,1,1
"Feb 14, 2022",LAC vs. GSW,W,23,9,6,2,1,0,2
"Feb 12, 2022",LAC @ DAL,W,15,2,5,2,0,1,3
"Feb 10, 2022",LAC @ DAL,L,6,2,4,1,0,0,0
"Feb 08, 2022",LAC @ MEM,L,28,19,7,4,1,2,1
"Feb 06, 2022",LAC vs. MIL,L,8,0,2,2,0,0,1
"Feb 03, 2022",LAC vs. LAL,W,14,6,6,2,1,0,0
"Jan 31, 2022",LAC @ IND,L,14,6,3,1,1,0,2
"Jan 30, 2022",LAC @ CHA,W,21,7,6,1,0,2,3
"Jan 28, 2022",LAC @ MIA,L,16,8,3,1,0,0,2
"Jan 26, 2022",LAC @ ORL,W,19,5,4,1,0,1,2
"Jan 25, 2022",LAC @ WAS,W,26,16,5,6,1,1,2
"Jan 23, 2022",LAC @ NYK,L,4,0,1,0,0,1,0
"Jan 21, 2022",LAC @ PHI,W,16,10,3,1,0,0,1
"Jan 19, 2022",LAC @ DEN,L,13,4,3,3,1,1,1
"Jan 17, 2022",LAC vs. IND,W,15,9,1,2,1,1,0
"Jan 15, 2022",LAC @ SAS,L,6,6,0,0,0,0,0
"Dec 18, 2021",LAC @ OKC,L,19,8,5,2,0,2,1
"Dec 15, 2021",LAC @ UTA,L,25,15,5,1,1,2,2
"Dec 13, 2021",LAC vs. PHX,W,23,12,5,7,1,2,1
"Dec 11, 2021",LAC vs. ORL,W,20,6,5,5,1,0,2
"Dec 08, 2021",LAC vs. BOS,W,15,6,3,3,2,2,1
"Dec 06, 2021",LAC @ POR,W,13,5,0,1,0,4,0
"Dec 04, 2021",LAC @ SAC,L,14,4,5,0,1,1,1
"Dec 03, 2021",LAC @ LAL,W,16,11,0,1,0,1,0
"Dec 01, 2021",LAC vs. SAC,L,18,11,8,4,1,2,1
"Nov 29, 2021",LAC vs. NOP,L,14,5,3,2,0,1,1
"Nov 28, 2021",LAC vs. GSW,L,12,6,5,1,1,2,1
"Nov 26, 2021",LAC vs. DET,W,19,10,5,3,1,0,0
"Nov 23, 2021",LAC vs. DAL,L,11,4,5,1,0,0,0
"Nov 21, 2021",LAC vs. DAL,W,5,2,2,1,1,1,0
"Nov 19, 2021",LAC @ NOP,L,19,11,6,2,2,3,1
"Nov 18, 2021",LAC @ MEM,L,20,11,6,4,1,2,1
"Nov 16, 2021",LAC vs. SAS,W,17,7,4,0,1,0,3
"Nov 14, 2021",LAC vs. CHI,L,14,7,2,0,1,1,0
"Nov 13, 2021",LAC vs. MIN,W,25,12,11,4,1,3,3
"Nov 11, 2021",LAC vs. MIA,W,18,6,7,1,0,1,2
"Nov 09, 2021",LAC vs. POR,W,17,14,2,3,0,0,1
"Nov 07, 2021",LAC vs. CHA,W,11,9,3,0,1,0,1
"Nov 05, 2021",LAC @ MIN,W,15,7,7,0,1,3,0
"Nov 03, 2021",LAC @ MIN,W,13,5,4,1,0,0,2
"Nov 01, 2021",LAC vs. OKC,W,18,2,12,2,1,1,0
"Oct 29, 2021",LAC @ POR,L,20,4,3,1,0,1,1
"Oct 27, 2021",LAC vs. CLE,L,13,2,4,1,2,1,0
"Oct 25, 2021",LAC vs. POR,W,17,9,5,2,1,1,2
"Oct 23, 2021",LAC vs. MEM,L,16,11,4,1,2,0,1
"Apr 09, 2023",NYK vs. IND,L,21,8,2,5,1,0,0
"Apr 07, 2023",NYK @ NOP,L,19,0,3,5,0,1,1
"Apr 05, 2023",NYK @ IND,W,18,8,7,2,0,0,1
"Apr 02, 2023",NYK vs. WAS,W,22,9,8,2,2,1,1
"Mar 31, 2023",NYK @ CLE,W,26,5,8,4,2,3,0
"Mar 29, 2023",NYK vs. MIA,W,29,6,9,2,2,1,1
"Mar 27, 2023",NYK vs. HOU,W,24,8,6,6,2,0,1
"Mar 23, 2023",NYK @ ORL,L,16,6,4,3,0,2,0
"Mar 22, 2023",NYK @ MIA,L,19,2,2,0,1,1,3
"Mar 20, 2023",NYK vs. MIN,L,20,5,8,3,0,0,1
"Mar 18, 2023",NYK vs. DEN,W,24,6,9,1,2,1,1
"Mar 14, 2023",NYK @ POR,W,27,0,11,4,1,1,2
"Mar 12, 2023",NYK @ LAL,W,24,0,11,2,2,1,0
"Mar 11, 2023",NYK @ LAC,L,19,4,5,3,1,0,0
"Mar 09, 2023",NYK @ SAC,L,25,5,9,0,1,0,0
