GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",PHI vs. DET,W,28,8,4,2,2,0,3
"Apr 09, 2022",PHI vs. IND,W,9,5,1,0,0,0,0
"Apr 02, 2022",PHI vs. CHA,W,6,9,1,0,0,0,0
"Mar 31, 2022",PHI @ DET,L,0,0,0,0,0,0,0
"Mar 25, 2022",PHI @ LAC,W,5,2,0,1,0,0,0
"Mar 21, 2022",PHI vs. MIA,W,4,0,0,0,0,0,0
"Mar 18, 2022",PHI vs. DAL,W,1,0,0,0,0,0,0
"Mar 16, 2022",PHI @ CLE,W,4,0,0,0,0,0,0
"Mar 13, 2022",PHI @ ORL,W,13,3,2,0,1,0,0
"Mar 10, 2022",PHI vs. BKN,L,12,2,0,2,0,1,0
"Mar 07, 2022",PHI vs. CHI,W,11,3,1,0,0,0,0
"Mar 05, 2022",PHI @ MIA,L,9,2,0,0,0,0,1
"Mar 02, 2022",PHI vs. NYK,W,1,0,0,1,0,0,0
"Feb 25, 2022",PHI @ MIN,W,4,8,1,1,0,0,0
"Feb 15, 2022",PHI vs. BOS,L,9,3,1,0,1,0,2
"Feb 12, 2022",PHI vs. CLE,W,3,0,0,0,0,0,0
"Feb 11, 2022",PHI vs. OKC,W,0,0,0,0,0,0,0
"Feb 06, 2022",PHI @ CHI,W,5,0,1,1,0,0,0
"Feb 04, 2022",PHI @ DAL,L,18,0,1,1,0,0,1
"Feb 02, 2022",PHI vs. WAS,L,25,11,1,1,0,0,0
"Jan 31, 2022",PHI vs. MEM,W,14,10,1,0,1,0,3
"Jan 29, 2022",PHI vs. SAC,W,3,0,1,0,0,0,0
"Jan 27, 2022",PHI vs. LAL,W,15,3,1,0,0,0,0
"Jan 25, 2022",PHI vs. NOP,W,22,6,2,3,0,0,1
"Jan 23, 2022",PHI @ SAS,W,27,8,1,0,1,0,0
"Jan 21, 2022",PHI vs. LAC,L,15,3,0,0,1,0,0
"Jan 19, 2022",PHI vs. ORL,W,21,3,2,1,0,0,0
"Jan 17, 2022",PHI @ WAS,L,18,8,0,0,2,0,0
"Jan 15, 2022",PHI @ MIA,W,4,0,0,1,0,0,1
"Jan 14, 2022",PHI vs. BOS,W,3,0,0,0,0,0,0
"Jan 12, 2022",PHI vs. CHA,L,7,0,0,1,0,0,0
"Jan 10, 2022",PHI @ HOU,W,25,10,3,3,0,0,0
"Jan 05, 2022",PHI @ ORL,W,7,3,2,0,0,0,0
"Jan 03, 2022",PHI vs. HOU,W,21,18,2,1,1,0,0
"Dec 26, 2021",PHI @ WAS,W,7,2,0,0,0,1,0
"Dec 23, 2021",PHI vs. ATL,L,13,3,3,1,0,0,0
"Dec 20, 2021",PHI @ BOS,W,26,1,2,0,1,0,0
"Dec 16, 2021",PHI @ BKN,L,25,0,3,1,0,1,0
"Dec 15, 2021",PHI vs. MIA,L,11,6,1,0,0,0,1
"Dec 13, 2021",PHI @ MEM,L,16,5,1,2,1,0,0
"Dec 09, 2021",PHI vs. UTA,L,7,0,0,2,0,0,0
"Dec 06, 2021",PHI @ CHA,W,12,9,1,1,1,0,2
"Nov 27, 2021",PHI vs. MIN,L,6,0,0,2,1,0,0
"Nov 24, 2021",PHI @ GSW,L,15,8,3,0,0,0,1
"Nov 22, 2021",PHI @ SAC,W,17,11,2,1,0,0,0
"Nov 20, 2021",PHI @ POR,L,5,3,0,1,0,0,0
"Nov 18, 2021",PHI @ DEN,W,3,0,0,0,0,0,0
"Nov 16, 2021",PHI @ UTA,L,24,8,8,2,0,0,1
"Nov 03, 2021",PHI vs. CHI,W,5,3,0,0,0,0,0
"Nov 01, 2021",PHI vs. POR,W,11,3,1,0,0,0,0
"Oct 30, 2021",PHI vs. ATL,W,5,5,1,1,0,0,0
"Oct 26, 2021",PHI @ NYK,L,7,3,0,1,0,0,0
"Oct 24, 2021",PHI @ OKC,W,11,0,1,0,0,0,0
"Oct 22, 2021",PHI vs. BKN,L,4,0,0,0,0,0,0
"Oct 20, 2021",PHI @ NOP,W,13,0,0,0,0,0,2
"Apr 06, 2023",OKC @ UTA,W,21,11,3,3,2,0,2
"Apr 04, 2023",OKC @ GSW,L,28,14,5,2,1,0,2
"Apr 02, 2023",OKC vs. PHX,L,22,7,1,1,0,0,1
"Mar 31, 2023",OKC @ IND,L,25,7,2,1,3,0,0
"Mar 29, 2023",OKC vs. DET,W,33,12,4,0,0,0,2
"Mar 28, 2023",OKC vs. CHA,L,32,33,2,1,0,0,1
"Mar 26, 2023",OKC @ POR,W,28,20,7,5,2,0,0
"Mar 24, 2023",OKC @ LAL,L,20,2,1,1,1,0,1
"Mar 23, 2023",OKC @ LAC,L,17,0,0,1,0,0,0
"Mar 21, 2023",OKC @ LAC,W,27,12,3,0,1,1,0
"Mar 19, 2023",OKC vs. PHX,W,27,15,5,0,1,0,1
"Mar 16, 2023",OKC @ TOR,L,24,12,1,1,0,1,0
"Mar 14, 2023",OKC vs. BKN,W,24,5,3,2,1,0,0
"Mar 12, 2023",OKC @ SAS,W,29,5,5,2,0,0,0
"Mar 11, 2023",OKC @ NOP,W,28,9,4,1,0,0,0
"Mar 08, 2023",OKC @ PHX,L,19,6,1,1,1,0,1
"Mar 07, 2023",OKC vs. GSW,W,30,9,0,1,1,0,2
"Mar 05, 2023",OKC vs. UTA,W,26,6,3,1,0,0,1
"Mar 03, 2023",OKC vs. UTA,W,27,17,2,3,1,0,0
"Mar 01, 2023",OKC vs. LAL,L,29,15,2,3,1,0,1
"Feb 28, 2023",OKC vs. SAC,L,22,8,2,1,2,0,0
"Feb 26, 2023",OKC vs. SAC,L,28,24,0,3,0,0,2
"Feb 24, 2023",OKC @ PHX,L,36,28,7,0,0,0,0
"Feb 23, 2023",OKC @ UTA,L,21,5,3,1,1,0,1
