GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",MIA vs. TOR,W,32,18,4,5,1,2,1
"Apr 12, 2024",MIA vs. TOR,W,32,20,4,9,2,1,0
"Apr 10, 2024",MIA vs. DAL,L,18,6,2,1,0,0,1
"Apr 09, 2024",MIA @ ATL,W,22,3,4,1,0,0,2
"Apr 07, 2024",MIA @ IND,L,13,3,3,1,0,0,0
"Apr 05, 2024",MIA @ HOU,W,19,12,2,1,2,0,1
"Apr 04, 2024",MIA vs. PHI,L,20,6,4,3,1,2,1
"Apr 02, 2024",MIA vs. NYK,W,12,3,2,0,1,0,2
"Mar 31, 2024",MIA @ WAS,W,19,9,1,2,0,1,4
"Mar 29, 2024",MIA vs. POR,W,25,12,3,5,1,0,0
"Mar 26, 2024",MIA vs. GSW,L,26,12,2,1,0,0,2
"Mar 22, 2024",MIA vs. NOP,L,14,3,0,3,0,0,0
"Mar 20, 2024",MIA @ CLE,W,31,7,1,2,0,0,1
"Mar 18, 2024",MIA @ PHI,L,35,9,9,4,1,0,1
"Mar 17, 2024",MIA @ DET,W,35,15,3,4,1,1,1
"Mar 15, 2024",MIA @ DET,W,26,2,5,4,1,0,0
"Mar 13, 2024",MIA vs. DEN,L,28,8,2,0,0,0,1
"Mar 10, 2024",MIA vs. WAS,L,25,6,7,2,2,2,2
"Mar 08, 2024",MIA @ OKC,L,31,25,3,3,3,0,0
"Mar 07, 2024",MIA @ DAL,L,28,13,6,2,1,0,0
"Mar 05, 2024",MIA vs. DET,W,27,11,6,2,0,0,0
"Mar 02, 2024",MIA vs. UTA,W,29,12,4,1,1,0,1
"Feb 29, 2024",MIA @ DEN,L,27,3,4,5,2,0,3
"Feb 27, 2024",MIA @ POR,W,29,7,3,4,0,0,1
"Feb 26, 2024",MIA @ SAC,W,38,26,5,2,4,0,2
"Feb 23, 2024",MIA @ NOP,W,27,8,4,1,1,0,0
"Feb 14, 2024",MIA @ PHI,W,32,12,9,3,2,0,1
"Feb 13, 2024",MIA @ MIL,W,28,12,3,4,0,0,3
"Feb 11, 2024",MIA vs. BOS,L,29,6,3,1,0,0,1
"Feb 07, 2024",MIA vs. SAS,W,28,10,3,0,0,0,2
"Feb 06, 2024",MIA vs. ORL,W,23,12,6,2,3,0,2
"Feb 04, 2024",MIA vs. LAC,L,26,7,4,4,0,0,3
"Feb 02, 2024",MIA @ WAS,W,26,8,4,2,2,0,0
"Jan 31, 2024",MIA vs. SAC,W,25,8,4,1,0,0,2
"Jan 29, 2024",MIA vs. PHX,L,25,2,3,1,1,0,2
"Jan 27, 2024",MIA @ NYK,L,24,6,1,4,2,1,0
"Jan 14, 2024",MIA vs. CHA,W,15,15,5,2,1,0,0
"Jan 12, 2024",MIA vs. ORL,W,37,19,7,3,1,0,3
"Jan 10, 2024",MIA vs. OKC,L,34,21,5,2,0,0,3
"Jan 08, 2024",MIA vs. HOU,W,39,14,4,4,1,0,2
"Jan 05, 2024",MIA @ PHX,L,35,10,3,1,2,0,3
"Jan 03, 2024",MIA @ LAL,W,39,16,0,8,1,1,2
"Jan 01, 2024",MIA @ LAC,L,38,15,4,2,4,0,2
"Dec 30, 2023",MIA @ UTA,L,35,9,1,1,0,0,2
"Dec 28, 2023",MIA @ GSW,W,39,17,5,6,1,0,2
"Dec 25, 2023",MIA vs. PHI,W,39,31,10,1,2,0,0
"Dec 22, 2023",MIA vs. ATL,W,37,19,7,1,1,1,2
"Dec 20, 2023",MIA @ ORL,W,34,10,3,1,1,1,1
"Dec 18, 2023",MIA vs. MIN,L,30,8,3,0,2,2,3
"Dec 16, 2023",MIA vs. CHI,W,35,18,5,4,2,0,2
"Dec 14, 2023",MIA vs. CHI,L,34,22,4,4,0,0,2
"Dec 13, 2023",MIA vs. CHA,W,33,17,6,8,1,0,2
"Dec 11, 2023",MIA @ CHA,W,24,18,0,1,0,0,2
"Dec 08, 2023",MIA vs. CLE,L,35,14,3,3,0,1,3
"Dec 06, 2023",MIA @ TOR,W,32,15,0,2,0,0,2
"Dec 02, 2023",MIA vs. IND,L,29,11,3,3,2,0,0
"Nov 30, 2023",MIA vs. IND,W,33,24,5,1,1,0,3
"Nov 28, 2023",MIA vs. MIL,L,33,14,4,6,1,1,1
"Nov 25, 2023",MIA @ BKN,L,31,18,5,4,1,0,2
"Nov 24, 2023",MIA @ NYK,L,35,15,5,4,1,0,0
"Nov 22, 2023",MIA @ CLE,W,28,22,8,1,1,0,6
"Nov 20, 2023",MIA @ CHI,W,33,19,3,4,2,0,0
