GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 07, 2022",ORL @ CHA,L,16,5,2,3,2,0,1
"Apr 05, 2022",ORL vs. CLE,W,18,4,1,2,1,1,2
"Mar 13, 2022",ORL vs. PHI,L,22,10,5,6,1,1,0
"Mar 11, 2022",ORL vs. MIN,W,26,5,1,4,1,0,3
"Mar 09, 2022",ORL @ NOP,W,20,2,2,2,0,0,5
"Mar 04, 2022",ORL @ TOR,W,30,15,6,7,1,1,2
"Mar 02, 2022",ORL vs. IND,L,33,14,4,5,1,0,4
"Feb 28, 2022",ORL vs. IND,W,27,14,3,10,2,0,2
"Feb 25, 2022",ORL vs. HOU,W,15,3,1,0,1,0,6
"Feb 16, 2022",ORL vs. ATL,L,35,19,4,4,1,0,1
"Feb 14, 2022",ORL @ DEN,L,35,16,6,3,3,1,3
"Feb 12, 2022",ORL @ PHX,L,26,20,6,10,0,1,3
"Feb 11, 2022",ORL @ UTA,L,25,9,1,7,3,0,1
"Feb 08, 2022",ORL @ POR,W,7,1,0,1,0,0,2
"Feb 06, 2022",ORL vs. BOS,L,30,17,6,5,3,0,6
"Feb 05, 2022",ORL vs. MEM,L,29,17,4,5,1,0,1
"Feb 02, 2022",ORL @ IND,W,33,12,4,8,1,0,2
"Feb 01, 2022",ORL @ CHI,L,33,9,5,7,1,0,0
"Jan 30, 2022",ORL vs. DAL,W,33,5,1,5,2,1,3
"Jan 28, 2022",ORL vs. DET,W,27,6,1,4,2,1,4
"Jan 26, 2022",ORL vs. LAC,L,35,14,4,3,0,0,3
"Jan 23, 2022",ORL vs. CHI,W,33,15,5,7,2,1,1
"Jan 21, 2022",ORL vs. LAL,L,35,22,4,9,2,2,6
"Jan 19, 2022",ORL @ PHI,L,34,14,9,5,2,0,3
"Jan 17, 2022",ORL vs. POR,L,21,10,6,3,1,0,3
"Jan 15, 2022",ORL @ DAL,L,24,16,3,2,0,0,3
"Jan 14, 2022",ORL @ CHA,W,22,12,6,7,1,0,6
"Nov 29, 2021",ORL @ PHI,L,29,17,3,5,1,0,2
"Nov 27, 2021",ORL @ CLE,L,31,10,3,3,4,0,1
"Nov 26, 2021",ORL vs. CHI,L,26,14,3,3,2,1,4
"Nov 24, 2021",ORL vs. CHA,L,30,17,4,6,1,1,5
"Nov 22, 2021",ORL @ MIL,L,17,5,4,2,0,0,3
"Nov 20, 2021",ORL @ MIL,L,25,14,6,4,1,0,3
"Nov 19, 2021",ORL @ BKN,L,32,21,4,3,2,1,2
"Nov 17, 2021",ORL @ NYK,W,26,13,1,4,3,1,2
"Nov 13, 2021",ORL vs. WAS,L,24,8,3,2,1,0,3
"Nov 10, 2021",ORL vs. BKN,L,25,7,5,4,0,0,3
"Nov 07, 2021",ORL vs. UTA,W,25,6,2,5,0,0,4
"Nov 05, 2021",ORL vs. SAS,L,28,12,1,3,0,2,5
"Nov 03, 2021",ORL vs. BOS,L,25,10,3,2,1,0,2
"Nov 01, 2021",ORL @ MIN,W,32,15,4,1,0,1,5
"Oct 30, 2021",ORL @ DET,L,26,10,5,6,2,1,2
"Oct 29, 2021",ORL @ TOR,L,30,21,2,4,0,1,3
"Oct 27, 2021",ORL vs. CHA,L,36,8,5,4,1,0,4
"Oct 25, 2021",ORL @ MIA,L,28,15,4,2,1,0,5
"Oct 24, 2021",ORL @ NYK,W,24,11,1,3,1,0,4
"Oct 22, 2021",ORL vs. NYK,L,32,14,7,8,2,0,2
"Oct 20, 2021",ORL @ SAS,L,30,10,1,1,1,0,3
"Apr 09, 2023",ORL @ MIA,L,15,8,7,2,0,1,1
"Apr 07, 2023",ORL @ BKN,L,19,7,5,0,0,0,1
"Apr 06, 2023",ORL vs. CLE,L,24,22,5,4,0,1,2
"Apr 04, 2023",ORL vs. CLE,L,24,8,1,1,1,0,2
"Apr 02, 2023",ORL vs. DET,W,26,18,2,2,4,1,2
"Mar 31, 2023",ORL @ WAS,W,23,8,3,2,1,1,1
"Mar 28, 2023",ORL @ MEM,L,24,2,3,1,1,0,3
"Mar 26, 2023",ORL vs. BKN,W,24,16,2,1,1,1,0
"Mar 16, 2023",ORL @ PHX,L,22,5,4,1,0,0,1
"Mar 14, 2023",ORL @ SAS,L,22,12,1,1,2,0,1
"Mar 11, 2023",ORL vs. MIA,W,27,16,5,4,4,3,3
"Mar 09, 2023",ORL vs. UTA,L,30,17,3,6,2,0,1
"Mar 07, 2023",ORL vs. MIL,L,26,3,2,2,1,0,0
"Mar 05, 2023",ORL vs. POR,L,35,15,4,2,3,0,3
"Mar 03, 2023",ORL @ CHA,W,30,15,5,1,1,0,3
"Mar 01, 2023",ORL @ MIL,L,25,6,5,2,2,0,1
"Feb 27, 2023",ORL @ NOP,W,23,9,5,3,0,0,1
"Feb 25, 2023",ORL vs. IND,L,26,14,5,2,0,2,1
"Feb 23, 2023",ORL vs. DET,W,21,2,3,1,0,1,2
"Feb 14, 2023",ORL @ TOR,L,29,24,2,4,2,0,3
"Feb 13, 2023",ORL @ CHI,W,23,3,2,1,0,1,2
"Feb 11, 2023",ORL vs. MIA,L,28,14,0,2,4,3,0
"Feb 09, 2023",ORL vs. DEN,W,27,11,4,1,0,0,1
"Feb 07, 2023",ORL vs. NYK,L,21,3,3,1,0,0,3
"Feb 03, 2023",ORL @ MIN,W,16,10,2,3,3,0,0
"Feb 01, 2023",ORL @ PHI,L,26,11,4,3,5,0,1
"Jan 30, 2023",ORL @ PHI,W,20,4,4,1,0,1,0
"Jan 28, 2023",ORL vs. CHI,L,26,11,4,5,1,0,2
"Jan 27, 2023",ORL @ MIA,L,17,3,2,5,2,0,1
"Jan 25, 2023",ORL vs. IND,W,17,8,1,2,0,0,0
"Jan 23, 2023",ORL vs. BOS,W,16,3,0,2,1,0,0
"Jan 21, 2023",ORL @ WAS,L,13,3,0,1,1,0,1
"Jan 20, 2023",ORL vs. NOP,W,15,6,4,1,0,0,1
"Jan 15, 2023",ORL @ DEN,L,13,7,0,1,1,0,0
"Jan 13, 2023",ORL @ UTA,L,14,0,3,2,0,0,0
"Jan 10, 2023",ORL @ POR,W,11,2,3,2,2,0,1
"Jan 09, 2023",ORL @ SAC,L,24,14,4,4,0,0,2
"Jan 07, 2023",ORL @ GSW,W,16,9,3,0,0,2,0
"Jan 05, 2023",ORL vs. MEM,L,5,2,0,0,0,0,0
"Nov 25, 2022",ORL vs. PHI,L,19,0,1,4,0,1,2
"Nov 21, 2022",ORL @ IND,L,24,12,2,4,4,0,2
"Nov 19, 2022",ORL @ IND,L,33,12,5,8,0,3,4
"Nov 18, 2022",ORL @ CHI,W,35,20,5,8,1,1,6
"Nov 16, 2022",ORL vs. MIN,L,33,23,6,6,2,0,3
"Nov 14, 2022",ORL vs. CHA,L,30,2,5,7,1,1,5
"Nov 11, 2022",ORL vs. PHX,W,32,16,3,5,0,0,2
"Nov 09, 2022",ORL vs. DAL,W,26,12,7,4,1,1,1
"Nov 07, 2022",ORL vs. HOU,L,33,11,5,6,1,0,2
"Nov 05, 2022",ORL vs. SAC,L,35,6,1,7,1,1,6
"Nov 03, 2022",ORL vs. GSW,W,36,26,1,9,4,0,3
"Nov 01, 2022",ORL @ OKC,L,28,9,2,4,2,1,4
"Oct 21, 2022",ORL @ ATL,L,16,3,2,1,3,0,3
"Oct 19, 2022",ORL @ DET,L,25,21,1,3,2,0,4
"Apr 14, 2024",ORL vs. MIL,W,28,4,2,4,1,1,1
"Apr 12, 2024",ORL @ PHI,L,33,20,4,2,0,0,1
"Apr 10, 2024",ORL @ MIL,L,27,18,3,0,1,0,0
"Apr 09, 2024",ORL @ HOU,L,29,21,2,4,2,2,1
"Apr 07, 2024",ORL vs. CHI,W,29,19,3,5,2,1,1
"Apr 05, 2024",ORL @ CHA,L,22,8,1,2,1,0,0
"Apr 03, 2024",ORL @ NOP,W,30,7,4,2,2,0,1
"Apr 01, 2024",ORL vs. POR,W,33,15,3,7,0,2,2
"Mar 30, 2024",ORL vs. MEM,W,24,15,1,4,2,2,3
"Mar 29, 2024",ORL vs. LAC,L,33,15,1,5,3,2,2
"Mar 27, 2024",ORL vs. GSW,L,25,4,1,2,2,0,1
"Mar 23, 2024",ORL vs. SAC,L,36,9,3,4,0,0,2
"Mar 21, 2024",ORL vs. NOP,W,28,22,1,2,1,0,1
"Mar 19, 2024",ORL vs. CHA,W,25,16,4,6,3,2,0
"Mar 17, 2024",ORL vs. TOR,W,20,10,2,2,2,1,2
"Mar 15, 2024",ORL @ TOR,W,30,16,1,3,3,0,0
"Mar 13, 2024",ORL vs. BKN,W,30,14,4,2,0,0,3
"Mar 06, 2024",ORL @ WAS,W,32,19,6,4,1,0,2
"Mar 05, 2024",ORL @ CHA,W,20,4,4,3,1,0,1
"Mar 03, 2024",ORL vs. DET,W,30,11,5,3,1,1,3
"Feb 29, 2024",ORL vs. UTA,W,29,15,2,2,1,1,3
"Feb 27, 2024",ORL vs. BKN,W,16,9,1,2,2,0,2
"Feb 25, 2024",ORL @ ATL,L,28,14,2,6,2,1,3
"Feb 24, 2024",ORL @ DET,W,26,14,2,5,2,2,3
"Feb 22, 2024",ORL @ CLE,W,18,7,1,3,1,0,0
"Feb 13, 2024",ORL vs. OKC,L,33,17,7,4,1,0,2
"Feb 10, 2024",ORL vs. CHI,W,26,13,1,1,1,0,3
"Feb 08, 2024",ORL vs. SAS,W,29,17,3,2,2,0,2
"Feb 06, 2024",ORL @ MIA,L,28,3,3,4,0,0,0
"Feb 04, 2024",ORL @ DET,W,28,9,5,2,2,1,0
"Feb 02, 2024",ORL @ MIN,W,36,15,6,2,2,1,3
"Jan 31, 2024",ORL @ SAS,W,33,7,1,5,4,0,1
"Jan 29, 2024",ORL @ DAL,L,26,11,2,1,3,0,2
"Jan 28, 2024",ORL vs. PHX,W,32,10,4,5,2,1,2
"Jan 26, 2024",ORL @ MEM,L,4,0,0,0,0,0,0
"Jan 22, 2024",ORL vs. CLE,L,26,6,2,3,2,0,3
"Jan 21, 2024",ORL vs. MIA,W,29,11,4,1,1,0,2
"Jan 19, 2024",ORL vs. PHI,L,25,16,2,2,1,1,1
"Jan 17, 2024",ORL @ ATL,L,28,16,4,1,0,0,2
"Jan 15, 2024",ORL @ NYK,W,27,4,5,4,0,0,2
"Jan 13, 2024",ORL @ OKC,L,20,9,4,0,0,0,1
"Jan 12, 2024",ORL @ MIA,L,14,2,0,0,0,3,0
"Jan 09, 2024",ORL vs. MIN,L,27,20,5,2,3,0,2
"Jan 07, 2024",ORL vs. ATL,W,29,16,5,3,1,0,1
"Jan 05, 2024",ORL @ DEN,W,34,27,4,1,0,1,2
"Jan 03, 2024",ORL @ SAC,L,39,24,3,4,2,2,4
"Jan 02, 2024",ORL @ GSW,L,31,10,2,3,0,0,4
"Dec 31, 2023",ORL @ PHX,L,29,4,4,3,0,1,1
"Dec 29, 2023",ORL vs. NYK,W,31,21,2,6,0,1,3
"Dec 27, 2023",ORL vs. PHI,L,28,20,2,1,1,1,3
"Dec 26, 2023",ORL @ WAS,W,29,11,3,1,3,1,2
"Dec 20, 2023",ORL vs. MIA,L,21,11,1,3,0,1,1
"Dec 17, 2023",ORL @ BOS,L,28,13,5,0,1,0,2
"Dec 15, 2023",ORL @ BOS,L,26,19,4,1,0,1,1
"Dec 11, 2023",ORL vs. CLE,W,28,12,4,3,0,1,1
"Dec 06, 2023",ORL @ CLE,L,9,0,0,1,2,1,1
"Dec 02, 2023",ORL @ BKN,L,22,7,0,2,1,1,4
"Dec 01, 2023",ORL vs. WAS,W,27,15,2,4,3,2,3
"Nov 29, 2023",ORL vs. WAS,W,29,22,3,3,2,0,2
"Nov 26, 2023",ORL vs. CHA,W,32,12,5,1,1,2,1
"Nov 24, 2023",ORL vs. BOS,W,28,10,4,1,1,0,3
"Nov 22, 2023",ORL vs. DEN,W,29,10,4,4,1,0,2
"Nov 21, 2023",ORL vs. TOR,W,21,18,3,4,2,0,2
"Nov 19, 2023",ORL @ IND,W,18,18,3,1,1,0,0
"Nov 15, 2023",ORL @ CHI,W,27,10,2,5,3,0,4
"Nov 14, 2023",ORL @ BKN,L,32,10,2,2,2,1,3
"Nov 11, 2023",ORL vs. MIL,W,38,20,2,2,1,0,1
"Nov 09, 2023",ORL vs. ATL,L,31,21,2,1,6,0,2
"Nov 06, 2023",ORL vs. DAL,L,24,10,4,7,1,1,4
"Nov 04, 2023",ORL vs. LAL,W,27,9,6,5,1,1,2
"Nov 02, 2023",ORL @ UTA,W,21,6,4,3,4,0,3
"Oct 31, 2023",ORL @ LAC,L,32,11,6,3,1,1,3
"Oct 30, 2023",ORL @ LAL,L,26,15,8,2,1,0,0
"Oct 27, 2023",ORL @ POR,W,27,11,5,2,4,2,1
"Oct 25, 2023",ORL vs. HOU,W,21,8,4,0,0,0,0
"Jan 25, 2025",ORL vs. DET,W,16,8,2,3,1,0,3
"Jan 03, 2025",ORL @ TOR,W,13,6,2,1,1,0,1
"Jan 01, 2025",ORL @ DET,L,34,24,4,3,3,2,2
"Dec 29, 2024",ORL vs. BKN,W,13,8,2,2,0,0,1
"Dec 27, 2024",ORL vs. NYK,L,26,27,4,3,1,0,3
"Dec 26, 2024",ORL vs. MIA,L,32,29,4,2,1,0,7
"Dec 23, 2024",ORL vs. BOS,W,29,16,6,5,1,2,5
"Dec 19, 2024",ORL vs. OKC,L,17,9,5,4,1,2,4
"Dec 15, 2024",ORL vs. NYK,L,32,9,5,8,1,3,2
"Dec 10, 2024",ORL @ MIL,L,38,32,9,1,4,1,4
"Dec 08, 2024",ORL vs. PHX,W,31,26,4,2,1,0,4
"Dec 06, 2024",ORL @ PHI,L,33,22,1,3,3,0,3
"Dec 04, 2024",ORL @ PHI,W,37,17,2,6,3,0,4
"Dec 03, 2024",ORL @ NYK,L,39,14,3,3,2,1,1
"Dec 01, 2024",ORL @ BKN,W,27,12,3,5,2,0,5
