GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 06, 2023",OKC @ UTA,W,28,9,1,5,0,0,2
"Apr 04, 2023",OKC @ GSW,L,33,19,4,2,1,0,1
"Apr 02, 2023",OKC vs. PHX,L,35,12,3,2,3,0,3
"Mar 31, 2023",OKC @ IND,L,30,14,6,6,2,0,2
"Mar 29, 2023",OKC vs. DET,W,37,27,8,6,0,1,4
"Mar 28, 2023",OKC vs. CHA,L,34,31,3,4,4,0,1
"Mar 26, 2023",OKC @ POR,W,37,23,5,4,2,0,1
"Mar 24, 2023",OKC @ LAL,L,38,9,5,2,1,0,1
"Mar 23, 2023",OKC @ LAC,L,32,16,3,4,0,0,2
"Mar 21, 2023",OKC @ LAC,W,37,20,8,3,1,1,2
"Mar 19, 2023",OKC vs. PHX,W,28,5,10,5,2,1,3
"Mar 16, 2023",OKC @ TOR,L,29,15,7,3,1,0,2
"Mar 14, 2023",OKC vs. BKN,W,36,23,10,3,2,0,0
"Mar 12, 2023",OKC @ SAS,W,35,21,7,10,0,0,4
"Mar 11, 2023",OKC @ NOP,W,37,17,4,2,3,0,3
"Mar 05, 2023",OKC vs. UTA,W,34,32,5,5,2,2,1
"Mar 03, 2023",OKC vs. UTA,W,33,20,6,4,4,1,1
"Mar 01, 2023",OKC vs. LAL,L,34,24,4,7,2,0,2
"Feb 28, 2023",OKC vs. SAC,L,33,27,5,8,2,0,1
"Feb 26, 2023",OKC vs. SAC,L,31,15,2,4,3,0,1
"Feb 24, 2023",OKC @ PHX,L,28,22,6,4,1,0,2
"Feb 23, 2023",OKC @ UTA,L,38,9,6,2,1,0,1
"Feb 15, 2023",OKC vs. HOU,W,22,13,4,2,1,0,2
"Feb 13, 2023",OKC vs. NOP,L,39,22,7,4,2,1,1
"Feb 10, 2023",OKC @ POR,W,33,13,4,6,3,0,1
"Feb 07, 2023",OKC @ LAL,W,40,25,7,2,6,1,3
"Feb 06, 2023",OKC @ GSW,L,25,8,5,1,3,1,1
"Feb 04, 2023",OKC vs. HOU,W,30,2,6,7,0,0,1
"Feb 01, 2023",OKC @ HOU,L,29,8,6,3,2,2,3
"Jan 30, 2023",OKC vs. GSW,L,31,19,4,2,1,1,1
"Jan 27, 2023",OKC vs. CLE,W,33,17,3,0,0,0,3
"Jan 25, 2023",OKC vs. ATL,L,38,24,5,2,4,0,1
"Jan 22, 2023",OKC @ DEN,W,29,4,6,2,1,1,0
"Jan 20, 2023",OKC @ SAC,L,32,13,1,2,1,0,3
"Jan 18, 2023",OKC vs. IND,W,34,11,7,6,4,1,1
"Jan 15, 2023",OKC @ BKN,W,35,1,6,3,1,1,1
"Jan 13, 2023",OKC @ CHI,W,34,22,8,3,2,0,0
"Jan 12, 2023",OKC @ PHI,W,27,14,5,4,1,1,2
"Jan 10, 2023",OKC @ MIA,L,32,12,0,5,2,1,1
"Jan 08, 2023",OKC vs. DAL,W,25,10,4,2,0,3,1
"Jan 06, 2023",OKC vs. WAS,W,34,18,8,3,2,0,3
"Jan 04, 2023",OKC @ ORL,L,28,4,3,4,5,1,1
"Jan 03, 2023",OKC vs. BOS,W,33,21,3,6,4,0,0
"Dec 31, 2022",OKC vs. PHI,L,28,17,3,1,2,1,4
"Dec 29, 2022",OKC @ CHA,L,27,15,5,1,1,0,0
"Dec 27, 2022",OKC vs. SAS,W,31,15,9,3,1,2,0
"Dec 23, 2022",OKC vs. NOP,L,30,11,7,3,0,0,3
"Dec 21, 2022",OKC vs. POR,W,30,15,4,1,0,0,3
"Dec 19, 2022",OKC vs. POR,W,33,13,7,4,1,1,1
"Dec 17, 2022",OKC vs. MEM,W,30,1,2,6,1,0,2
"Dec 16, 2022",OKC vs. MIN,L,33,13,4,3,0,0,4
"Dec 14, 2022",OKC vs. MIA,L,31,14,5,2,0,2,1
"Dec 12, 2022",OKC @ DAL,L,38,17,2,4,0,1,2
"Dec 10, 2022",OKC @ CLE,L,29,11,0,3,2,0,1
"Dec 07, 2022",OKC @ MEM,L,26,7,3,3,1,0,1
"Dec 05, 2022",OKC @ ATL,W,31,12,7,1,0,1,0
"Dec 03, 2022",OKC @ MIN,W,27,11,1,3,0,0,2
"Nov 30, 2022",OKC vs. SAS,W,33,27,6,2,0,0,3
"Nov 28, 2022",OKC @ NOP,L,25,8,6,1,0,1,2
"Nov 26, 2022",OKC @ HOU,L,29,11,5,4,0,0,3
"Nov 25, 2022",OKC vs. CHI,W,20,8,2,1,0,0,0
"Nov 23, 2022",OKC vs. DEN,L,30,16,0,1,0,1,2
"Nov 21, 2022",OKC vs. NYK,L,26,13,4,0,1,0,2
"Nov 18, 2022",OKC @ MEM,L,34,16,6,7,2,0,1
"Nov 16, 2022",OKC @ WAS,W,28,10,4,6,0,0,3
"Nov 14, 2022",OKC @ BOS,L,36,14,6,2,0,1,1
"Nov 13, 2022",OKC @ NYK,W,20,8,0,0,0,0,2
"Nov 11, 2022",OKC vs. TOR,W,30,10,3,11,1,0,2
"Nov 09, 2022",OKC vs. MIL,L,23,9,5,2,1,1,0
"Nov 07, 2022",OKC @ DET,L,31,6,2,2,1,1,1
"Nov 05, 2022",OKC @ MIL,L,20,5,5,1,0,0,0
"Nov 03, 2022",OKC vs. DEN,L,14,8,0,2,0,0,0
"Nov 01, 2022",OKC vs. ORL,W,22,6,1,0,2,0,2
"Oct 29, 2022",OKC @ DAL,W,27,13,3,3,4,1,3
"Oct 19, 2022",OKC @ MIN,L,6,5,0,1,0,0,2
"Apr 14, 2024",OKC vs. DAL,W,13,9,0,3,0,0,0
"Apr 12, 2024",OKC vs. MIL,W,27,17,2,5,1,1,1
"Apr 10, 2024",OKC vs. SAS,W,24,10,7,2,3,1,1
"Apr 09, 2024",OKC vs. SAC,W,36,11,6,4,1,0,2
"Mar 31, 2024",OKC @ NYK,W,34,33,4,8,2,2,1
"Mar 29, 2024",OKC vs. PHX,W,30,16,4,3,2,1,2
"Mar 27, 2024",OKC vs. HOU,L,38,23,5,10,2,1,5
"Mar 26, 2024",OKC @ NOP,W,34,26,2,5,0,1,2
"Mar 24, 2024",OKC @ MIL,L,29,18,3,4,1,0,0
"Mar 22, 2024",OKC @ TOR,W,27,20,3,3,3,2,3
"Mar 20, 2024",OKC vs. UTA,W,32,18,2,4,1,0,3
"Mar 16, 2024",OKC @ MEM,W,35,23,7,6,1,2,2
"Mar 14, 2024",OKC vs. DAL,W,35,27,4,5,1,3,3
"Mar 10, 2024",OKC vs. MEM,W,10,7,2,3,1,1,0
"Mar 08, 2024",OKC vs. MIA,W,30,15,5,4,1,1,3
"Mar 06, 2024",OKC @ POR,W,32,31,4,3,3,1,2
"Mar 04, 2024",OKC @ LAL,L,26,7,2,3,1,0,1
"Mar 03, 2024",OKC @ PHX,W,33,22,4,2,3,0,1
"Feb 29, 2024",OKC @ SAS,L,33,26,6,3,1,0,1
"Feb 27, 2024",OKC vs. HOU,W,35,24,5,5,2,2,3
"Feb 25, 2024",OKC @ HOU,W,36,22,4,5,0,0,0
"Feb 23, 2024",OKC vs. WAS,W,20,11,2,5,0,1,1
"Feb 22, 2024",OKC vs. LAC,W,36,18,4,6,1,3,1
"Feb 13, 2024",OKC @ ORL,W,35,33,2,3,1,0,3
"Feb 11, 2024",OKC vs. SAC,W,37,32,8,9,0,0,2
"Feb 10, 2024",OKC @ DAL,L,27,9,3,7,0,0,2
"Feb 06, 2024",OKC @ UTA,L,35,26,5,5,1,0,2
"Jan 29, 2024",OKC vs. MIN,L,33,20,2,3,0,0,2
"Jan 28, 2024",OKC @ DET,L,28,20,1,3,0,0,0
"Jan 26, 2024",OKC @ NOP,W,31,15,4,7,0,0,1
"Jan 24, 2024",OKC @ SAS,W,29,13,5,7,2,0,0
"Jan 23, 2024",OKC vs. POR,W,32,19,4,2,2,2,0
"Jan 20, 2024",OKC @ MIN,W,36,20,5,3,3,0,0
"Jan 18, 2024",OKC @ UTA,W,37,27,3,8,2,2,2
"Jan 16, 2024",OKC @ LAC,L,33,25,3,7,0,0,4
"Jan 15, 2024",OKC @ LAL,L,35,25,3,6,3,0,1
"Jan 13, 2024",OKC vs. ORL,W,33,16,6,2,0,0,2
"Jan 11, 2024",OKC vs. POR,W,19,21,7,4,0,2,1
"Jan 10, 2024",OKC @ MIA,W,35,19,9,12,1,0,1
"Jan 08, 2024",OKC @ WAS,W,34,21,7,10,2,0,4
"Jan 05, 2024",OKC @ BKN,L,36,20,5,5,0,1,3
"Jan 03, 2024",OKC @ ATL,L,35,21,3,6,4,0,2
"Jan 02, 2024",OKC vs. BOS,W,31,16,1,1,3,2,5
"Dec 31, 2023",OKC vs. BKN,W,29,17,3,5,0,1,3
"Dec 29, 2023",OKC @ DEN,W,31,11,7,9,2,1,3
"Dec 27, 2023",OKC vs. NYK,W,33,36,0,3,1,1,0
"Dec 26, 2023",OKC vs. MIN,W,26,21,1,3,0,2,1
"Dec 23, 2023",OKC vs. LAL,L,34,28,6,3,0,0,1
"Dec 21, 2023",OKC vs. LAC,W,29,13,4,7,2,0,2
"Dec 18, 2023",OKC vs. MEM,W,28,10,4,5,2,1,0
"Dec 16, 2023",OKC @ DEN,W,33,24,1,3,1,0,2
"Dec 14, 2023",OKC @ SAC,L,29,5,4,3,1,1,1
"Dec 11, 2023",OKC vs. UTA,W,22,15,3,3,0,0,2
"Dec 08, 2023",OKC vs. GSW,W,40,28,5,2,3,1,1
"Dec 06, 2023",OKC @ HOU,L,33,13,5,3,1,0,2
"Dec 02, 2023",OKC @ DAL,W,30,23,5,5,1,0,1
"Nov 30, 2023",OKC vs. LAL,W,29,21,5,7,0,1,0
"Nov 28, 2023",OKC @ MIN,L,34,10,3,3,0,1,1
"Nov 18, 2023",OKC @ GSW,W,41,22,6,3,1,0,1
"Nov 16, 2023",OKC @ GSW,W,29,16,3,5,2,0,2
"Nov 14, 2023",OKC vs. SAS,W,23,11,2,3,0,0,3
"Nov 12, 2023",OKC @ PHX,W,38,31,1,1,2,0,1
"Nov 10, 2023",OKC @ SAC,L,31,14,5,2,1,0,3
"Nov 08, 2023",OKC vs. CLE,W,33,15,4,2,1,0,1
"Nov 06, 2023",OKC vs. ATL,W,36,21,3,2,0,1,2
"Nov 03, 2023",OKC vs. GSW,L,35,18,3,8,1,0,6
"Nov 01, 2023",OKC vs. NOP,L,38,18,8,3,0,0,1
"Oct 30, 2023",OKC vs. DET,W,31,19,7,6,1,1,2
"Oct 29, 2023",OKC vs. DEN,L,28,13,3,5,0,1,0
"Oct 27, 2023",OKC @ CLE,W,35,14,5,2,1,0,4
"Oct 25, 2023",OKC @ CHI,W,32,16,3,5,1,0,2
"Apr 09, 2025",OKC @ PHX,W,36,33,7,5,3,0,2
"Apr 08, 2025",OKC vs. LAL,W,35,26,4,4,0,0,1
"Apr 06, 2025",OKC vs. LAL,L,28,16,6,3,3,0,0
"Apr 04, 2025",OKC @ HOU,L,34,33,3,4,2,1,2
"Apr 02, 2025",OKC vs. DET,W,33,23,5,3,0,1,2
"Mar 31, 2025",OKC vs. CHI,W,25,23,4,3,2,0,3
"Mar 29, 2025",OKC vs. IND,W,29,18,2,6,0,0,2
"Mar 27, 2025",OKC vs. MEM,W,29,20,5,4,0,0,4
"Mar 10, 2025",OKC vs. DEN,L,14,12,2,6,0,0,1
"Mar 09, 2025",OKC vs. DEN,W,38,26,9,8,2,1,1
"Mar 05, 2025",OKC @ MEM,W,35,20,5,9,2,1,4
"Mar 03, 2025",OKC vs. HOU,W,32,24,4,3,1,1,1
"Mar 02, 2025",OKC @ SAS,W,33,41,6,6,1,1,0
"Feb 28, 2025",OKC @ ATL,W,33,20,5,8,1,0,3
"Feb 26, 2025",OKC @ BKN,W,34,22,5,4,0,1,2
"Feb 24, 2025",OKC vs. MIN,L,42,27,6,6,1,1,3
"Feb 23, 2025",OKC @ MIN,W,36,18,3,9,3,1,3
"Feb 21, 2025",OKC @ UTA,W,28,18,9,4,2,1,2
"Feb 13, 2025",OKC @ MIN,L,34,20,3,5,1,1,1
"Feb 12, 2025",OKC vs. MIA,W,31,18,6,3,1,0,2
"Feb 10, 2025",OKC vs. NOP,W,25,16,5,5,2,0,2
"Feb 08, 2025",OKC @ MEM,W,37,25,6,6,1,1,4
"Feb 07, 2025",OKC vs. TOR,W,33,27,5,4,0,0,3
"Feb 05, 2025",OKC vs. PHX,W,26,13,3,4,2,0,0
"Jan 29, 2025",OKC @ GSW,L,34,26,7,2,2,1,1
"Jan 26, 2025",OKC @ POR,W,37,24,4,8,1,2,0
"Jan 23, 2025",OKC vs. DAL,L,40,33,4,7,4,1,3
"Jan 22, 2025",OKC vs. UTA,W,36,25,3,2,2,0,2
"Jan 17, 2025",OKC @ DAL,L,37,19,5,6,0,0,6
"Jan 16, 2025",OKC vs. CLE,W,30,19,6,5,3,2,0
"Jan 14, 2025",OKC @ PHI,W,34,24,4,6,3,1,4
"Jan 12, 2025",OKC @ WAS,W,21,17,6,2,0,0,3
"Jan 10, 2025",OKC @ NYK,W,33,19,4,5,1,2,1
"Jan 08, 2025",OKC @ CLE,L,36,25,5,9,3,1,3
"Jan 05, 2025",OKC vs. BOS,W,35,10,6,5,1,0,4
"Jan 03, 2025",OKC vs. NYK,W,38,20,4,5,2,1,0
"Jan 02, 2025",OKC vs. LAC,W,30,18,3,4,2,1,2
"Dec 31, 2024",OKC vs. MIN,W,38,14,7,7,3,0,3
"Dec 29, 2024",OKC vs. MEM,W,26,14,10,8,2,1,2
"Dec 28, 2024",OKC @ CHA,W,34,20,3,6,1,0,1
"Dec 26, 2024",OKC @ IND,W,36,20,4,5,0,0,2
"Dec 23, 2024",OKC vs. WAS,W,29,17,7,4,1,0,2
"Dec 20, 2024",OKC @ MIA,W,36,33,6,4,0,1,4
"Dec 19, 2024",OKC @ ORL,W,36,11,1,7,0,0,3
"Dec 14, 2024",OKC vs. HOU,W,39,20,5,5,1,0,3
"Dec 10, 2024",OKC vs. DAL,W,32,18,7,4,0,1,4
"Dec 07, 2024",OKC @ NOP,W,35,27,6,5,4,0,4
"Dec 05, 2024",OKC @ TOR,W,28,20,7,2,0,0,0
"Dec 03, 2024",OKC vs. UTA,W,28,28,2,5,3,0,0
"Dec 01, 2024",OKC @ HOU,L,37,22,5,7,1,1,1
"Nov 29, 2024",OKC @ LAL,W,34,19,4,2,2,0,3
"Nov 27, 2024",OKC @ GSW,W,16,13,6,7,2,1,2
"Nov 25, 2024",OKC @ SAC,W,32,28,4,5,2,1,5
"Nov 20, 2024",OKC vs. POR,W,36,30,7,8,2,2,3
"Nov 19, 2024",OKC @ SAS,L,34,27,10,5,5,0,1
"Nov 17, 2024",OKC vs. DAL,L,35,27,5,5,1,1,1
"Nov 15, 2024",OKC vs. PHX,W,30,14,8,3,2,2,1
"Nov 13, 2024",OKC vs. NOP,W,31,31,6,7,4,2,2
"Nov 11, 2024",OKC vs. LAC,W,35,28,8,6,2,0,2
"Nov 10, 2024",OKC vs. GSW,L,31,20,3,4,1,4,4
"Nov 08, 2024",OKC vs. HOU,W,32,14,5,3,0,1,3
"Nov 06, 2024",OKC @ DEN,L,36,29,10,9,3,0,1
"Nov 04, 2024",OKC vs. ORL,W,35,23,4,1,3,1,1
"Nov 02, 2024",OKC @ LAC,W,34,15,7,4,2,0,4
"Nov 01, 2024",OKC @ POR,W,26,22,5,4,4,0,3
"Oct 30, 2024",OKC vs. SAS,W,27,12,7,8,4,1,1
"Oct 27, 2024",OKC vs. ATL,W,33,20,9,5,2,0,0
"Oct 26, 2024",OKC @ CHI,W,32,24,9,8,0,0,2
"Oct 24, 2024",OKC @ DEN,W,34,12,3,3,0,2,5
