GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",MIA vs. ORL,W,19,18,5,1,2,0,2
"Apr 07, 2023",MIA @ WAS,L,31,12,7,1,1,1,0
"Apr 06, 2023",MIA @ PHI,W,5,2,1,1,0,0,0
"Mar 11, 2023",MIA @ ORL,L,0,0,0,0,0,0,0
"Feb 24, 2023",MIA @ MIL,L,5,2,1,1,0,0,0
"Jan 14, 2023",MIA vs. MIL,W,22,6,7,0,1,0,0
"Jan 12, 2023",MIA vs. MIL,W,21,6,4,0,2,0,1
"Jan 10, 2023",MIA vs. OKC,W,33,12,5,3,0,0,1
"Dec 31, 2022",MIA @ UTA,W,4,2,1,0,0,0,0
"Dec 20, 2022",MIA vs. CHI,L,8,3,2,0,0,0,0
"Nov 27, 2022",MIA @ ATL,W,2,0,0,0,0,0,0
"Nov 25, 2022",MIA vs. WAS,W,12,4,3,0,0,0,0
"Nov 23, 2022",MIA vs. WAS,W,18,6,6,2,2,0,1
"Nov 21, 2022",MIA @ MIN,L,25,10,2,1,1,0,0
"Nov 20, 2022",MIA @ CLE,L,12,8,1,1,1,0,1
"Nov 18, 2022",MIA @ WAS,L,18,4,6,1,0,0,0
"Nov 16, 2022",MIA @ TOR,L,6,0,1,0,0,0,0
"Nov 12, 2022",MIA vs. CHA,W,2,3,0,0,1,0,0
"Apr 14, 2024",MIA vs. TOR,W,2,0,0,0,0,0,0
"Apr 12, 2024",MIA vs. TOR,W,1,0,1,0,0,0,0
"Apr 10, 2024",MIA vs. DAL,L,1,0,0,0,0,0,0
"Apr 05, 2024",MIA @ HOU,W,1,0,0,0,0,0,0
"Mar 31, 2024",MIA @ WAS,W,1,3,1,0,0,0,0
"Mar 29, 2024",MIA vs. POR,W,12,3,0,3,0,1,1
"Mar 26, 2024",MIA vs. GSW,L,2,0,0,0,0,0,0
"Mar 24, 2024",MIA vs. CLE,W,9,5,2,2,0,0,1
"Mar 22, 2024",MIA vs. NOP,L,4,2,1,1,0,0,1
"Mar 15, 2024",MIA @ DET,W,1,0,0,0,0,0,0
"Feb 14, 2024",MIA @ PHI,W,10,2,1,1,1,0,1
"Feb 13, 2024",MIA @ MIL,W,6,2,2,0,0,0,0
"Jan 05, 2024",MIA @ PHX,L,5,7,2,0,0,0,0
"Jan 03, 2024",MIA @ LAL,W,1,0,0,0,0,0,0
"Jan 01, 2024",MIA @ LAC,L,35,9,3,1,1,1,0
"Dec 30, 2023",MIA @ UTA,L,11,6,1,1,0,0,1
"Dec 28, 2023",MIA @ GSW,W,28,18,6,0,2,0,1
"Dec 25, 2023",MIA vs. PHI,W,17,3,5,0,0,1,0
"Dec 14, 2023",MIA vs. CHI,L,8,3,0,0,0,1,0
"Dec 13, 2023",MIA vs. CHA,W,29,14,3,1,2,1,0
