GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Dec 13, 2024",PHI vs. IND,L,29,5,1,3,0,0,2
"Dec 08, 2024",PHI @ CHI,W,28,11,0,4,3,0,0
"Dec 06, 2024",PHI vs. ORL,W,21,7,2,2,0,0,4
"Dec 04, 2024",PHI vs. ORL,L,39,24,7,3,0,0,4
"Dec 03, 2024",PHI @ CHA,W,22,17,1,2,2,0,2
"Nov 30, 2024",PHI @ DET,W,29,7,4,0,0,0,2
"Nov 27, 2024",PHI vs. HOU,L,41,15,6,1,1,0,3
"Nov 24, 2024",PHI vs. LAC,L,28,18,0,4,0,0,1
"Nov 22, 2024",PHI vs. BKN,W,39,30,5,3,2,0,3
"Nov 20, 2024",PHI @ MEM,L,41,20,2,5,0,0,3
"Nov 18, 2024",PHI @ MIA,L,37,20,4,4,2,0,2
"Nov 15, 2024",PHI @ ORL,L,31,29,1,4,0,0,0
"Nov 13, 2024",PHI vs. CLE,L,38,34,2,10,2,0,3
"Nov 12, 2024",PHI vs. NYK,L,30,23,3,2,0,0,2
"Nov 10, 2024",PHI vs. CHA,W,31,27,3,2,0,0,1
"Nov 08, 2024",PHI @ LAL,L,31,18,1,2,1,0,2
"Nov 06, 2024",PHI @ LAC,L,12,5,1,2,1,0,0
"Nov 04, 2024",PHI @ PHX,L,3,3,1,1,0,0,0
"Nov 02, 2024",PHI vs. MEM,L,17,19,4,1,1,0,1
"Oct 30, 2024",PHI vs. DET,L,22,12,3,3,0,0,1
"Oct 27, 2024",PHI @ IND,W,17,4,2,1,0,0,1
"Oct 25, 2024",PHI @ TOR,L,4,0,1,1,0,0,0
"Oct 23, 2024",PHI vs. MIL,L,4,4,2,0,0,0,0
