GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",BOS @ MEM,W,26,31,9,3,1,0,5
"Apr 06, 2022",BOS @ CHI,W,30,16,10,8,2,1,2
"Apr 03, 2022",BOS vs. WAS,W,29,22,6,7,2,1,2
"Apr 01, 2022",BOS vs. IND,W,37,31,6,6,1,1,1
"Mar 30, 2022",BOS vs. MIA,L,40,23,5,6,2,0,4
"Mar 27, 2022",BOS vs. MIN,W,34,34,5,6,1,1,3
"Mar 23, 2022",BOS vs. UTA,W,29,26,3,3,0,1,2
"Mar 21, 2022",BOS @ OKC,W,39,36,7,6,2,1,3
"Mar 20, 2022",BOS @ DEN,W,33,30,6,7,1,0,5
"Mar 18, 2022",BOS @ SAC,W,34,32,5,4,0,0,2
"Mar 16, 2022",BOS @ GSW,W,37,26,12,4,1,0,4
"Mar 13, 2022",BOS vs. DAL,L,41,21,11,4,0,0,2
"Mar 11, 2022",BOS vs. DET,W,38,31,8,6,1,0,1
"Mar 09, 2022",BOS @ CHA,W,38,44,5,3,3,1,2
"Mar 06, 2022",BOS vs. BKN,W,41,54,5,3,0,0,2
"Mar 03, 2022",BOS vs. MEM,W,39,37,6,5,0,1,6
"Mar 01, 2022",BOS vs. ATL,W,39,33,8,7,0,0,2
"Feb 27, 2022",BOS @ IND,L,34,24,5,3,1,0,2
"Feb 26, 2022",BOS @ DET,W,39,26,11,6,1,1,1
"Feb 24, 2022",BOS @ BKN,W,35,30,7,4,1,0,4
"Feb 16, 2022",BOS vs. DET,L,39,22,4,5,1,0,7
"Feb 15, 2022",BOS @ PHI,W,30,28,12,6,0,2,0
"Feb 13, 2022",BOS vs. ATL,W,40,38,10,3,1,2,2
"Feb 11, 2022",BOS vs. DEN,W,37,24,6,5,3,0,2
"Feb 08, 2022",BOS @ BKN,W,27,19,5,4,1,0,0
"Feb 06, 2022",BOS @ ORL,W,35,15,9,7,1,0,4
"Feb 04, 2022",BOS @ DET,W,28,24,9,1,1,0,2
"Feb 02, 2022",BOS vs. CHA,W,33,19,6,9,2,0,3
