GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",ORL vs. MIL,W,5,0,1,1,1,0,0
"Apr 10, 2024",ORL @ MIL,L,6,3,0,1,1,0,0
"Apr 09, 2024",ORL @ HOU,L,2,0,0,1,0,1,1
"Apr 07, 2024",ORL vs. CHI,W,1,3,1,0,0,0,0
"Mar 17, 2024",ORL vs. TOR,W,3,0,0,0,0,0,0
"Feb 14, 2024",ORL vs. NYK,W,5,0,0,0,0,0,0
"Feb 13, 2024",ORL vs. OKC,L,2,3,0,0,0,0,0
"Jan 21, 2024",ORL vs. MIA,W,3,1,1,0,0,1,0
"Jan 19, 2024",ORL vs. PHI,L,3,5,0,0,0,0,0
"Dec 27, 2023",ORL vs. PHI,L,1,3,0,0,0,0,0
"Dec 17, 2023",ORL @ BOS,L,2,3,0,0,0,0,0
"Dec 15, 2023",ORL @ BOS,L,3,0,1,0,0,0,0
"Dec 08, 2023",ORL vs. DET,W,5,6,1,1,0,0,0
"Nov 19, 2023",ORL @ IND,W,7,0,0,1,0,0,2
"Nov 14, 2023",ORL @ BKN,L,4,0,0,0,0,0,0
"Nov 04, 2023",ORL vs. LAL,W,3,0,1,0,0,0,0
"Oct 31, 2023",ORL @ LAC,L,4,2,1,0,0,0,0
"Oct 25, 2023",ORL vs. HOU,W,5,0,0,1,0,0,0
"Apr 13, 2025",ORL @ ATL,L,33,16,1,1,0,0,6
"Apr 11, 2025",ORL @ IND,W,30,17,0,1,0,1,3
"Apr 09, 2025",ORL vs. BOS,W,6,0,2,1,0,0,0
"Mar 29, 2025",ORL vs. SAC,W,7,3,2,0,0,0,0
"Mar 21, 2025",ORL @ WAS,W,9,3,0,0,0,0,0
"Mar 14, 2025",ORL @ MIN,L,4,2,1,0,0,0,1
"Mar 13, 2025",ORL @ NOP,W,11,0,1,1,0,0,0
"Mar 10, 2025",ORL @ HOU,L,3,0,1,0,0,0,0
"Mar 06, 2025",ORL vs. CHI,L,10,4,0,0,2,0,0
"Mar 04, 2025",ORL vs. TOR,L,10,0,0,1,1,0,1
"Mar 02, 2025",ORL vs. TOR,L,14,5,1,0,0,1,0
"Feb 27, 2025",ORL vs. GSW,L,20,6,1,1,1,0,2
"Feb 25, 2025",ORL vs. CLE,L,16,2,2,1,0,1,0
"Feb 23, 2025",ORL vs. WAS,W,10,5,1,3,0,0,1
"Feb 21, 2025",ORL vs. MEM,L,12,3,2,3,0,0,0
"Feb 12, 2025",ORL vs. CHA,W,26,6,2,5,2,1,0
"Feb 06, 2025",ORL @ DEN,L,14,3,2,1,0,0,1
"Feb 05, 2025",ORL @ SAC,W,6,3,0,0,0,0,2
"Feb 03, 2025",ORL @ GSW,L,5,3,0,0,0,0,0
"Feb 01, 2025",ORL @ UTA,L,19,5,0,1,2,1,1
"Jan 30, 2025",ORL @ POR,L,5,0,1,0,0,0,0
"Jan 25, 2025",ORL vs. DET,W,1,0,0,0,0,0,0
"Jan 23, 2025",ORL vs. POR,L,17,10,3,0,0,0,1
"Jan 10, 2025",ORL vs. MIL,L,7,0,0,1,0,0,0
"Jan 09, 2025",ORL vs. MIN,L,23,10,8,4,0,0,2
"Jan 06, 2025",ORL @ NYK,W,16,9,1,0,0,0,1
"Jan 05, 2025",ORL vs. UTA,L,25,21,2,4,0,0,1
"Jan 03, 2025",ORL @ TOR,W,10,5,0,1,0,0,1
"Jan 01, 2025",ORL @ DET,L,15,9,1,0,0,0,0
"Dec 29, 2024",ORL vs. BKN,W,12,0,1,1,0,0,0
"Dec 26, 2024",ORL vs. MIA,L,5,0,0,0,0,0,0
"Dec 23, 2024",ORL vs. BOS,W,5,4,0,0,0,0,0
"Dec 21, 2024",ORL vs. MIA,W,13,9,4,1,0,0,3
"Dec 19, 2024",ORL vs. OKC,L,9,0,0,0,0,0,1
"Dec 15, 2024",ORL vs. NYK,L,5,0,0,0,0,0,1
"Dec 10, 2024",ORL @ MIL,L,13,10,0,1,0,0,0
"Dec 08, 2024",ORL vs. PHX,W,15,6,1,2,2,0,0
"Dec 06, 2024",ORL @ PHI,L,16,5,1,0,0,0,0
"Dec 03, 2024",ORL @ NYK,L,11,0,3,1,1,0,1
"Dec 01, 2024",ORL @ BKN,W,10,0,0,0,0,0,0
"Nov 29, 2024",ORL @ BKN,W,16,8,2,0,1,0,0
"Nov 27, 2024",ORL vs. CHI,W,4,0,0,0,0,0,0
"Nov 25, 2024",ORL @ CHA,W,23,0,2,2,0,0,0
"Nov 23, 2024",ORL vs. DET,W,15,10,4,0,0,0,0
"Nov 21, 2024",ORL @ LAL,W,11,2,2,2,0,0,1
"Nov 20, 2024",ORL @ LAC,L,11,4,3,1,0,1,0
"Nov 15, 2024",ORL vs. PHI,W,1,3,1,0,0,1,0
"Nov 13, 2024",ORL vs. IND,W,14,6,0,2,0,1,1
"Nov 12, 2024",ORL vs. CHA,W,6,3,0,0,0,0,1
"Nov 10, 2024",ORL vs. WAS,W,5,9,0,0,0,0,0
"Nov 08, 2024",ORL vs. NOP,W,4,0,0,0,0,0,0
"Nov 06, 2024",ORL @ IND,L,3,0,0,0,0,0,1
"Nov 04, 2024",ORL @ OKC,L,11,0,0,0,0,1,0
"Nov 03, 2024",ORL @ DAL,L,22,12,1,0,1,0,2
"Nov 01, 2024",ORL @ CLE,L,17,9,3,0,0,1,0
"Oct 30, 2024",ORL @ CHI,L,11,3,2,0,0,1,0
"Oct 28, 2024",ORL vs. IND,W,8,0,2,1,0,0,0
"Oct 26, 2024",ORL @ MEM,L,12,11,2,0,0,0,0
"Oct 25, 2024",ORL vs. BKN,W,2,3,0,0,0,0,0
"Oct 23, 2024",ORL @ MIA,W,5,0,1,0,0,0,0
