GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",MIL @ CLE,L,33,3,6,5,3,0,0
"Apr 08, 2022",MIL @ DET,W,14,3,1,3,1,0,1
"Apr 07, 2022",MIL vs. BOS,W,11,0,1,0,0,0,0
"Apr 05, 2022",MIL @ CHI,W,4,0,1,1,0,1,0
"Apr 01, 2022",MIL vs. LAC,L,30,18,2,8,1,0,1
"Mar 31, 2022",MIL @ BKN,W,0,0,1,0,0,0,0
"Mar 26, 2022",MIL @ MEM,L,23,9,1,3,1,0,1
"Mar 24, 2022",MIL vs. WAS,W,13,8,2,4,1,0,0
"Mar 22, 2022",MIL vs. CHI,W,18,7,4,2,0,0,1
"Mar 19, 2022",MIL @ MIN,L,28,11,5,7,0,0,2
"Mar 16, 2022",MIL @ SAC,W,13,3,4,1,0,0,0
"Mar 14, 2022",MIL @ UTA,W,21,5,2,2,0,1,0
"Mar 12, 2022",MIL @ GSW,L,26,9,2,3,1,1,0
"Mar 09, 2022",MIL vs. ATL,W,17,3,0,0,0,0,0
"Mar 08, 2022",MIL @ OKC,W,25,12,3,4,2,0,1
"Mar 06, 2022",MIL vs. PHX,W,14,0,2,4,0,0,1
"Mar 04, 2022",MIL @ CHI,W,13,8,1,0,0,1,0
"Mar 02, 2022",MIL vs. MIA,W,12,3,1,0,0,0,0
"Feb 28, 2022",MIL vs. CHA,W,29,10,3,2,0,0,0
"Feb 26, 2022",MIL vs. BKN,L,9,0,1,1,0,0,0
"Feb 17, 2022",BKN vs. WAS,L,19,14,3,1,0,0,3
"Feb 16, 2022",BKN @ NYK,W,11,2,3,2,0,0,3
"Feb 14, 2022",BKN vs. SAC,W,17,3,2,2,0,0,0
"Feb 12, 2022",BKN @ MIA,L,7,0,1,1,0,0,0
"Feb 10, 2022",BKN @ WAS,L,14,8,1,0,0,0,1
"Feb 08, 2022",BKN vs. BOS,L,31,21,3,3,0,1,0
"Feb 06, 2022",BKN @ DEN,L,4,0,1,0,0,0,1
"Feb 04, 2022",BKN @ UTA,L,25,5,3,2,0,1,1
"Feb 01, 2022",BKN @ PHX,L,3,5,0,1,0,0,0
"Jan 26, 2022",BKN vs. DEN,L,21,13,1,3,1,0,0
"Jan 25, 2022",BKN vs. LAL,L,5,0,0,0,0,0,1
"Jan 23, 2022",BKN @ MIN,L,3,0,0,1,0,0,1
"Jan 15, 2022",BKN vs. NOP,W,2,2,0,0,0,0,0
"Jan 13, 2022",BKN vs. OKC,L,25,6,2,0,1,0,1
"Jan 12, 2022",BKN @ CHI,W,6,4,0,0,1,0,0
"Jan 07, 2022",BKN vs. MIL,L,7,5,0,0,1,0,0
"Jan 03, 2022",BKN vs. MEM,L,9,6,1,0,0,0,1
"Dec 27, 2021",BKN @ LAC,W,12,6,3,0,0,1,1
"Dec 25, 2021",BKN @ LAL,W,14,2,3,1,1,0,1
"Dec 12, 2021",BKN @ DET,W,5,0,4,1,1,0,2
"Dec 10, 2021",BKN @ ATL,W,4,0,0,1,0,0,0
"Dec 08, 2021",BKN @ HOU,L,9,0,1,0,0,0,1
"Dec 07, 2021",BKN @ DAL,W,5,0,0,1,0,0,1
"Dec 04, 2021",BKN vs. CHI,L,5,0,0,1,0,0,0
"Dec 03, 2021",BKN vs. MIN,W,3,0,1,1,0,0,0
"Nov 30, 2021",BKN vs. NYK,W,3,0,1,0,0,1,0
"Nov 27, 2021",BKN vs. PHX,L,3,0,0,0,0,0,1
"Nov 24, 2021",BKN @ BOS,W,11,6,4,2,0,0,1
"Nov 22, 2021",BKN @ CLE,W,8,6,2,1,0,0,1
"Nov 19, 2021",BKN vs. ORL,W,23,6,4,1,0,1,0
"Nov 17, 2021",BKN vs. CLE,W,13,4,0,1,0,0,0
"Nov 16, 2021",BKN vs. GSW,L,16,3,1,1,2,0,0
"Nov 14, 2021",BKN @ OKC,W,22,6,1,1,0,0,0
"Nov 12, 2021",BKN @ NOP,W,11,6,0,1,0,0,0
"Nov 10, 2021",BKN @ ORL,W,22,10,3,5,1,0,0
"Nov 08, 2021",BKN @ CHI,L,9,2,0,0,0,1,0
"Nov 07, 2021",BKN @ TOR,W,4,0,0,0,0,0,0
"Nov 05, 2021",BKN @ DET,W,10,0,2,0,0,1,0
"Nov 03, 2021",BKN vs. ATL,W,6,0,4,2,0,0,1
"Oct 31, 2021",BKN vs. DET,W,17,8,1,2,1,0,1
"Oct 29, 2021",BKN vs. IND,W,18,0,2,2,2,1,1
"Oct 27, 2021",BKN vs. MIA,L,6,0,1,1,0,0,0
"Oct 25, 2021",BKN vs. WAS,W,14,0,3,1,0,0,0
"Oct 24, 2021",BKN vs. CHA,L,26,3,2,1,2,1,0
"Oct 22, 2021",BKN @ PHI,W,23,3,1,2,0,1,0
"Oct 19, 2021",BKN @ MIL,L,19,0,2,0,0,0,1
"Apr 09, 2023",MIL @ TOR,L,20,6,1,5,1,1,2
"Apr 07, 2023",MIL vs. MEM,L,22,9,2,4,1,0,0
"Apr 05, 2023",MIL vs. CHI,W,32,16,4,2,0,0,1
"Apr 02, 2023",MIL vs. PHI,W,21,0,2,6,0,0,0
"Mar 30, 2023",MIL vs. BOS,L,20,8,1,0,0,0,1
"Mar 29, 2023",MIL @ IND,W,28,8,2,2,0,0,0
"Mar 27, 2023",MIL @ DET,W,34,22,1,2,0,0,0
"Mar 25, 2023",MIL @ DEN,L,18,0,2,2,0,0,1
"Mar 24, 2023",MIL @ UTA,W,16,13,2,4,0,1,0
"Mar 22, 2023",MIL vs. SAS,W,21,4,3,0,0,0,1
"Mar 19, 2023",MIL vs. TOR,W,20,9,1,3,0,1,0
"Mar 16, 2023",MIL vs. IND,L,15,3,1,1,0,0,1
"Mar 14, 2023",MIL @ PHX,W,23,9,3,1,1,0,1
"Mar 13, 2023",MIL @ SAC,W,13,5,1,0,0,0,0
"Mar 11, 2023",MIL @ GSW,L,21,13,2,1,0,0,0
"Mar 09, 2023",MIL vs. BKN,W,16,5,0,4,2,0,1
"Mar 07, 2023",MIL @ ORL,W,35,24,2,5,0,1,1
"Mar 05, 2023",MIL @ WAS,W,22,20,2,0,1,0,1
"Mar 04, 2023",MIL vs. PHI,L,13,3,3,3,0,0,1
"Mar 01, 2023",MIL vs. ORL,W,17,9,6,1,0,0,1
"Feb 28, 2023",MIL @ BKN,W,20,11,2,0,1,0,1
"Feb 26, 2023",MIL vs. PHX,W,24,6,2,0,1,0,0
"Feb 24, 2023",MIL vs. MIA,W,33,11,8,2,1,0,1
"Feb 16, 2023",MIL @ CHI,W,32,22,6,6,1,0,2
"Feb 14, 2023",MIL vs. BOS,W,14,9,1,0,1,0,0
"Feb 10, 2023",MIL @ LAC,W,17,13,2,1,0,0,1
"Feb 09, 2023",MIL @ LAL,W,14,0,0,2,0,1,0
"Feb 06, 2023",MIL @ POR,W,21,11,5,3,0,1,0
"Feb 04, 2023",MIL vs. MIA,W,14,6,3,1,0,0,0
"Feb 02, 2023",MIL vs. LAC,W,17,0,3,1,0,0,0
"Jan 31, 2023",MIL vs. CHA,W,17,8,2,1,0,1,0
"Jan 29, 2023",MIL vs. NOP,W,13,6,1,1,1,0,0
"Jan 27, 2023",MIL @ IND,W,12,12,2,2,1,0,1
"Jan 25, 2023",MIL vs. DEN,W,11,0,1,0,0,0,2
"Jan 23, 2023",MIL @ DET,W,16,18,3,3,3,1,2
"Jan 21, 2023",MIL @ CLE,L,12,2,0,3,0,0,0
"Jan 17, 2023",MIL vs. TOR,W,7,0,0,0,0,0,1
"Jan 16, 2023",MIL vs. IND,W,11,1,0,1,0,0,1
"Jan 14, 2023",MIL @ MIA,L,24,10,0,3,0,0,0
"Jan 12, 2023",MIL @ MIA,L,31,18,4,3,3,0,0
"Jan 11, 2023",MIL @ ATL,W,22,13,2,0,2,1,0
"Jan 09, 2023",MIL @ NYK,W,19,0,1,1,0,0,0
"Jan 06, 2023",MIL vs. CHA,L,16,8,2,0,1,1,2
"Jan 04, 2023",MIL @ TOR,W,23,0,2,3,0,0,1
"Jan 03, 2023",MIL vs. WAS,W,23,0,2,3,0,0,1
"Jan 01, 2023",MIL vs. WAS,L,31,14,3,3,1,1,1
"Dec 30, 2022",MIL vs. MIN,W,32,10,8,5,0,1,3
"Dec 28, 2022",MIL @ CHI,L,25,5,1,0,1,0,1
"Dec 25, 2022",MIL @ BOS,L,13,7,1,3,1,0,1
"Dec 23, 2022",MIL @ BKN,L,27,5,4,1,1,1,3
"Dec 21, 2022",MIL @ CLE,L,22,6,4,1,0,0,1
"Dec 19, 2022",MIL @ NOP,W,20,8,5,3,3,1,3
"Dec 17, 2022",MIL vs. UTA,W,17,0,4,2,0,0,0
"Dec 15, 2022",MIL @ MEM,L,22,9,2,2,0,0,0
"Dec 13, 2022",MIL vs. GSW,W,28,4,4,3,3,0,1
"Dec 11, 2022",MIL @ HOU,L,28,9,2,1,0,1,0
"Dec 09, 2022",MIL @ DAL,W,12,2,2,2,1,0,2
"Dec 07, 2022",MIL vs. SAC,W,19,3,5,4,1,0,0
"Dec 05, 2022",MIL @ ORL,W,25,2,1,6,1,0,0
"Dec 03, 2022",MIL @ CHA,W,28,14,5,6,2,0,4
"Dec 02, 2022",MIL vs. LAL,L,20,0,1,0,1,1,2
"Nov 30, 2022",MIL @ NYK,W,32,3,3,2,0,1,0
"Nov 27, 2022",MIL vs. DAL,W,31,14,3,6,1,0,2
"Nov 25, 2022",MIL vs. CLE,W,25,18,3,2,2,0,2
"Nov 23, 2022",MIL vs. CHI,L,25,2,5,2,0,0,0
"Nov 21, 2022",MIL vs. POR,W,26,5,3,3,1,1,2
"Nov 18, 2022",MIL @ PHI,L,27,7,2,3,2,0,0
"Nov 16, 2022",MIL vs. CLE,W,32,11,4,8,1,2,1
"Nov 14, 2022",MIL vs. ATL,L,33,12,3,6,2,1,1
"Nov 11, 2022",MIL @ SAS,L,33,21,2,6,1,0,4
"Nov 09, 2022",MIL @ OKC,W,45,36,4,12,1,0,5
"Nov 07, 2022",MIL @ ATL,L,26,2,3,5,2,3,0
"Nov 05, 2022",MIL vs. OKC,W,31,18,2,0,1,1,2
"Nov 04, 2022",MIL @ MIN,W,20,6,1,2,1,1,1
"Nov 02, 2022",MIL vs. DET,W,18,4,1,3,4,1,0
"Oct 31, 2022",MIL vs. DET,W,24,0,6,1,2,0,0
"Oct 29, 2022",MIL vs. ATL,W,26,2,0,1,1,0,0
"Oct 28, 2022",MIL vs. NYK,W,33,14,3,1,1,2,0
"Oct 26, 2022",MIL vs. BKN,W,16,2,2,1,2,0,1
"Oct 22, 2022",MIL vs. HOU,W,25,0,1,4,2,0,3
"Oct 20, 2022",MIL @ PHI,W,22,5,4,1,1,0,3
"Apr 14, 2024",CHI @ NYK,L,16,0,1,2,0,0,1
"Apr 12, 2024",CHI @ WAS,W,37,20,2,12,1,1,1
"Apr 11, 2024",CHI @ DET,W,21,5,1,1,3,1,0
"Apr 09, 2024",CHI vs. NYK,L,6,3,1,0,0,0,0
"Apr 01, 2024",CHI vs. ATL,L,7,3,1,0,0,0,0
"Mar 27, 2024",CHI vs. IND,W,5,0,0,0,0,0,0
"Mar 25, 2024",CHI vs. WAS,L,16,8,0,1,0,0,0
"Mar 18, 2024",CHI vs. POR,W,17,3,1,1,0,0,0
"Mar 16, 2024",CHI vs. WAS,W,19,2,3,3,0,0,3
"Mar 14, 2024",CHI vs. LAC,L,17,12,3,2,1,1,1
"Mar 11, 2024",CHI vs. DAL,L,13,3,0,0,0,0,0
"Mar 09, 2024",CHI @ LAC,L,7,0,0,1,0,0,0
"Mar 07, 2024",CHI @ GSW,W,21,10,1,2,1,0,0
"Mar 06, 2024",CHI @ UTA,W,20,7,0,1,0,0,0
"Mar 04, 2024",CHI @ SAC,W,11,0,1,2,0,0,0
"Mar 01, 2024",CHI vs. MIL,L,4,0,0,0,0,0,0
"Feb 28, 2024",CHI vs. CLE,W,13,4,1,0,1,0,0
"Feb 27, 2024",CHI vs. DET,L,12,0,1,1,1,1,0
"Feb 25, 2024",CHI @ NOP,W,20,8,3,2,2,0,1
"Feb 22, 2024",CHI vs. BOS,L,12,2,1,2,0,0,0
"Feb 14, 2024",CHI @ CLE,L,5,0,1,0,1,0,1
"Feb 12, 2024",CHI @ ATL,W,25,11,2,2,1,0,1
"Feb 08, 2024",CHI @ MEM,W,16,7,0,2,0,0,0
"Feb 06, 2024",CHI vs. MIN,W,7,5,0,0,0,0,1
"Feb 03, 2024",CHI vs. SAC,L,10,4,0,0,3,0,1
"Jan 31, 2024",CHI @ CHA,W,7,2,0,1,0,0,2
"Jan 30, 2024",CHI vs. TOR,L,13,3,0,2,0,0,0
"Jan 28, 2024",CHI @ POR,W,11,6,2,0,1,1,0
"Jan 25, 2024",CHI @ LAL,L,8,0,1,2,0,0,0
"Jan 22, 2024",CHI @ PHX,L,8,0,1,0,0,0,0
