GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",MIA vs. ATL,W,37,20,4,1,1,0,4
"Apr 05, 2022",MIA vs. CHA,W,36,27,5,8,2,0,3
"Apr 02, 2022",MIA @ CHI,W,35,22,7,6,1,0,2
"Mar 30, 2022",MIA @ BOS,W,37,24,3,2,1,0,2
"Mar 28, 2022",MIA vs. SAC,W,34,27,5,7,0,0,3
"Mar 26, 2022",MIA vs. BKN,L,25,7,6,4,1,1,1
"Mar 25, 2022",MIA vs. NYK,L,37,30,7,7,1,1,4
"Mar 23, 2022",MIA vs. GSW,L,41,20,5,3,2,0,0
"Mar 21, 2022",MIA @ PHI,L,35,27,5,6,1,0,1
"Mar 15, 2022",MIA vs. DET,W,18,8,2,3,0,1,0
"Mar 11, 2022",MIA vs. CLE,W,34,24,4,5,3,1,1
"Mar 07, 2022",MIA vs. HOU,W,29,21,7,4,1,1,2
"Mar 05, 2022",MIA vs. PHI,W,33,21,4,5,2,1,4
"Mar 02, 2022",MIA @ MIL,L,35,6,3,2,0,2,1
"Feb 28, 2022",MIA vs. CHI,W,29,15,7,4,4,0,2
"Feb 26, 2022",MIA vs. SAS,W,30,27,3,3,2,0,3
"Feb 25, 2022",MIA @ NYK,W,34,23,2,2,2,0,1
"Feb 17, 2022",MIA @ CHA,W,51,15,10,8,1,2,4
"Feb 15, 2022",MIA vs. DAL,L,38,29,10,3,0,0,2
"Feb 12, 2022",MIA vs. BKN,W,34,13,6,3,0,0,3
"Feb 10, 2022",MIA @ NOP,W,36,29,8,3,4,1,3
"Feb 07, 2022",MIA @ WAS,W,30,19,3,4,1,0,4
"Feb 05, 2022",MIA @ CHA,W,29,27,6,4,0,1,2
"Feb 03, 2022",MIA @ SAS,W,25,17,7,3,0,0,0
"Feb 01, 2022",MIA @ TOR,L,40,16,8,12,2,0,3
"Jan 29, 2022",MIA vs. TOR,L,52,37,13,10,3,2,5
"Jan 28, 2022",MIA vs. LAC,W,37,26,6,9,3,1,1
"Jan 26, 2022",MIA vs. NYK,W,29,22,6,5,2,0,4
"Jan 23, 2022",MIA vs. LAL,W,39,20,10,12,2,1,1
"Jan 21, 2022",MIA @ ATL,L,36,13,8,8,2,0,2
"Jan 19, 2022",MIA vs. POR,W,15,4,3,3,0,0,2
"Jan 17, 2022",MIA vs. TOR,W,36,19,10,10,1,0,3
"Jan 15, 2022",MIA vs. PHI,L,35,8,5,9,2,1,1
"Jan 14, 2022",MIA vs. ATL,W,33,23,3,10,2,1,2
"Jan 03, 2022",MIA @ GSW,L,28,22,5,3,0,0,2
"Jan 02, 2022",MIA @ SAC,L,36,21,6,5,0,0,2
"Dec 31, 2021",MIA @ HOU,W,35,37,1,2,1,2,0
"Dec 28, 2021",MIA vs. WAS,W,36,25,8,15,2,2,4
"Dec 26, 2021",MIA vs. ORL,W,35,17,11,5,3,0,2
"Dec 06, 2021",MIA vs. MEM,L,25,10,5,4,3,0,2
"Nov 27, 2021",MIA @ CHI,W,36,18,4,5,5,0,1
"Nov 24, 2021",MIA @ MIN,L,39,16,8,5,1,0,3
