GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 23, 2023",ORL vs. DET,W,16,10,7,1,2,1,2
"Feb 13, 2023",ORL @ CHI,W,13,0,4,0,1,0,1
"Feb 11, 2023",ORL vs. MIA,L,14,3,4,0,1,0,1
"Feb 09, 2023",ORL vs. DEN,W,11,3,3,1,3,1,0
"Feb 07, 2023",ORL vs. NYK,L,12,2,5,1,0,1,0
"Feb 05, 2023",ORL @ CHA,W,11,6,7,0,0,1,0
"Feb 03, 2023",ORL @ MIN,W,10,9,3,0,1,0,0
"Jan 30, 2023",ORL @ PHI,W,10,2,3,0,1,0,0
"Jan 28, 2023",ORL vs. CHI,L,9,5,4,0,1,0,0
"Jan 25, 2023",ORL vs. IND,W,8,5,1,2,2,0,0
"Jan 23, 2023",ORL vs. BOS,W,10,10,3,1,2,0,0
"Apr 14, 2024",ORL vs. MIL,W,26,10,8,2,1,3,0
"Apr 12, 2024",ORL @ PHI,L,27,5,9,1,1,1,1
"Apr 10, 2024",ORL @ MIL,L,13,0,1,0,1,0,0
"Apr 09, 2024",ORL @ HOU,L,22,10,8,1,2,1,1
"Apr 07, 2024",ORL vs. CHI,W,5,0,2,0,0,0,0
"Apr 03, 2024",ORL @ NOP,W,22,8,5,2,1,1,0
"Apr 01, 2024",ORL vs. POR,W,17,6,4,0,0,2,1
"Mar 29, 2024",ORL vs. LAC,L,16,3,5,1,1,2,0
"Mar 27, 2024",ORL vs. GSW,L,24,9,5,1,1,2,0
"Mar 23, 2024",ORL vs. SAC,L,23,25,7,0,1,2,0
"Mar 21, 2024",ORL vs. NOP,W,16,9,5,2,2,1,1
"Mar 19, 2024",ORL vs. CHA,W,8,8,2,1,1,0,0
"Mar 15, 2024",ORL @ TOR,W,20,10,6,0,0,2,0
"Mar 13, 2024",ORL vs. BKN,W,20,11,3,0,0,2,0
"Mar 10, 2024",ORL vs. IND,L,19,9,7,0,0,2,1
"Mar 08, 2024",ORL @ NYK,L,16,11,6,0,1,2,0
"Mar 05, 2024",ORL @ CHA,W,18,11,6,0,1,1,0
"Mar 03, 2024",ORL vs. DET,W,13,2,2,1,0,0,1
"Feb 25, 2024",ORL @ ATL,L,2,0,1,0,0,0,0
"Feb 24, 2024",ORL @ DET,W,20,12,6,0,2,1,0
"Feb 22, 2024",ORL @ CLE,W,19,7,7,1,0,2,1
"Feb 14, 2024",ORL vs. NYK,W,15,8,5,2,0,1,2
"Feb 13, 2024",ORL vs. OKC,L,15,3,1,1,2,0,1
"Feb 10, 2024",ORL vs. CHI,W,25,7,12,0,1,3,0
"Feb 08, 2024",ORL vs. SAS,W,19,9,6,1,0,1,1
"Feb 06, 2024",ORL @ MIA,L,10,3,3,1,0,1,2
"Feb 04, 2024",ORL @ DET,W,21,5,6,0,1,1,0
"Feb 02, 2024",ORL @ MIN,W,20,3,8,0,2,1,0
"Jan 31, 2024",ORL @ SAS,W,18,8,4,0,0,4,1
"Jan 29, 2024",ORL @ DAL,L,8,2,0,0,0,0,0
"Jan 28, 2024",ORL vs. PHX,W,23,9,3,1,1,2,1
"Jan 26, 2024",ORL @ MEM,L,22,10,5,0,0,0,0
"Jan 21, 2024",ORL vs. MIA,W,14,6,1,0,0,1,0
"Jan 19, 2024",ORL vs. PHI,L,13,7,3,1,0,1,0
"Jan 17, 2024",ORL @ ATL,L,10,2,0,2,2,0,0
"Jan 15, 2024",ORL @ NYK,W,16,5,7,0,0,1,0
"Jan 13, 2024",ORL @ OKC,L,15,6,5,1,0,0,0
"Dec 23, 2023",ORL @ IND,W,12,4,1,1,0,3,0
"Dec 21, 2023",ORL @ MIL,L,14,4,4,0,1,3,1
"Dec 20, 2023",ORL vs. MIA,L,12,9,4,1,1,0,1
"Dec 17, 2023",ORL @ BOS,L,17,8,2,0,1,1,0
"Dec 15, 2023",ORL @ BOS,L,16,7,4,0,0,0,0
"Dec 11, 2023",ORL vs. CLE,W,13,7,4,0,2,0,0
"Dec 01, 2023",ORL vs. WAS,W,7,3,5,0,0,1,0
"Nov 24, 2023",ORL vs. BOS,W,16,5,7,0,0,0,0
"Nov 22, 2023",ORL vs. DEN,W,14,9,6,1,1,1,1
"Nov 21, 2023",ORL vs. TOR,W,12,9,3,0,1,2,2
"Nov 19, 2023",ORL @ IND,W,14,5,3,0,1,1,0
"Nov 17, 2023",ORL @ CHI,W,20,18,9,1,1,1,1
"Nov 15, 2023",ORL @ CHI,W,17,4,7,0,2,2,1
"Nov 14, 2023",ORL @ BKN,L,12,3,3,1,2,1,2
"Nov 11, 2023",ORL vs. MIL,W,17,10,5,0,2,2,0
"Nov 09, 2023",ORL vs. ATL,L,16,12,7,0,0,2,0
"Nov 04, 2023",ORL vs. LAL,W,11,0,0,0,0,1,1
"Nov 02, 2023",ORL @ UTA,W,12,3,3,1,1,3,0
"Oct 30, 2023",ORL @ LAL,L,11,3,3,0,1,0,0
"Oct 27, 2023",ORL @ POR,W,8,0,2,1,1,0,0
"Oct 25, 2023",ORL vs. HOU,W,14,11,4,0,0,2,2
"Apr 13, 2025",ORL @ ATL,L,19,12,10,2,1,3,1
"Apr 11, 2025",ORL @ IND,W,19,12,4,4,1,3,2
"Apr 08, 2025",ORL vs. ATL,W,11,5,5,1,0,0,2
"Apr 03, 2025",ORL @ WAS,W,14,4,4,1,2,2,1
"Apr 01, 2025",ORL @ SAS,W,18,4,3,0,0,1,0
"Mar 31, 2025",ORL vs. LAC,L,10,0,3,0,0,1,0
"Mar 29, 2025",ORL vs. SAC,W,19,2,1,1,2,0,0
"Mar 27, 2025",ORL vs. DAL,L,6,0,4,1,0,0,1
"Mar 24, 2025",ORL vs. LAL,W,9,2,2,0,1,1,0
"Mar 21, 2025",ORL @ WAS,W,7,0,1,0,1,1,0
"Mar 19, 2025",ORL vs. HOU,L,8,2,3,0,2,1,0
"Mar 16, 2025",ORL @ CLE,W,7,2,1,0,1,1,0
"Mar 14, 2025",ORL @ MIN,L,9,3,1,1,2,0,1
"Mar 13, 2025",ORL @ NOP,W,15,8,3,1,1,2,0
"Mar 10, 2025",ORL @ HOU,L,14,8,3,0,3,1,1
"Mar 08, 2025",ORL @ MIL,W,9,4,1,0,0,0,1
"Mar 04, 2025",ORL vs. TOR,L,18,3,3,1,1,3,0
"Mar 02, 2025",ORL vs. TOR,L,9,1,6,0,0,0,0
"Feb 27, 2025",ORL vs. GSW,L,13,7,7,1,0,0,1
"Feb 25, 2025",ORL vs. CLE,L,14,2,5,1,2,0,0
"Feb 23, 2025",ORL vs. WAS,W,16,0,4,1,2,0,0
"Feb 20, 2025",ORL @ ATL,W,11,2,1,0,0,0,0
"Feb 10, 2025",ORL vs. ATL,L,18,6,4,0,0,1,2
"Feb 08, 2025",ORL vs. SAS,W,18,14,8,0,0,0,0
"Feb 06, 2025",ORL @ DEN,L,12,0,4,0,0,2,0
"Feb 05, 2025",ORL @ SAC,W,21,0,3,2,3,0,1
"Feb 03, 2025",ORL @ GSW,L,11,2,6,1,1,0,0
"Feb 01, 2025",ORL @ UTA,L,14,3,3,0,0,1,0
"Jan 30, 2025",ORL @ POR,L,16,4,5,1,3,2,0
"Jan 27, 2025",ORL @ MIA,L,18,12,8,0,1,0,0
"Jan 25, 2025",ORL vs. DET,W,20,14,5,0,1,3,0
"Jan 23, 2025",ORL vs. POR,L,18,0,7,1,1,1,1
"Jan 21, 2025",ORL @ TOR,L,5,0,2,0,0,0,0
"Jan 19, 2025",ORL vs. DEN,L,12,10,6,1,0,2,0
"Jan 17, 2025",ORL @ BOS,L,20,3,3,1,0,2,0
"Jan 15, 2025",ORL @ MIL,L,15,9,3,0,2,0,0
"Jan 12, 2025",ORL vs. PHI,W,27,20,11,1,0,2,0
"Jan 10, 2025",ORL vs. MIL,L,20,9,4,1,2,2,0
"Jan 09, 2025",ORL vs. MIN,L,15,4,7,0,0,2,0
"Jan 06, 2025",ORL @ NYK,W,25,13,9,1,0,2,0
"Jan 05, 2025",ORL vs. UTA,L,14,2,4,2,0,0,0
"Jan 03, 2025",ORL @ TOR,W,13,7,4,1,0,2,2
"Jan 01, 2025",ORL @ DET,L,15,4,2,1,1,1,2
"Dec 29, 2024",ORL vs. BKN,W,19,5,9,2,1,0,2
"Dec 27, 2024",ORL vs. NYK,L,17,7,5,1,1,0,1
"Dec 26, 2024",ORL vs. MIA,L,13,0,2,0,0,1,0
"Dec 23, 2024",ORL vs. BOS,W,14,7,5,1,1,0,1
"Dec 21, 2024",ORL vs. MIA,W,17,0,5,1,1,1,0
"Dec 19, 2024",ORL vs. OKC,L,17,3,3,0,1,1,1
"Dec 15, 2024",ORL vs. NYK,L,15,3,3,0,1,2,0
"Dec 04, 2024",ORL @ PHI,W,15,14,4,0,2,2,0
"Dec 03, 2024",ORL @ NYK,L,13,4,1,0,0,1,0
"Dec 01, 2024",ORL @ BKN,W,8,2,1,0,0,1,2
