GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",MIN vs. CHI,L,19,2,2,4,0,1,2
"Apr 07, 2022",MIN vs. SAS,W,21,8,2,2,1,0,1
"Apr 05, 2022",MIN vs. WAS,L,21,5,2,4,2,1,1
"Apr 03, 2022",MIN @ HOU,W,13,9,0,1,1,0,0
"Apr 01, 2022",MIN @ DEN,W,16,9,1,3,0,0,0
"Mar 30, 2022",MIN @ TOR,L,27,5,3,5,1,1,2
"Mar 27, 2022",MIN @ BOS,L,17,6,0,2,1,1,1
"Mar 25, 2022",MIN vs. DAL,W,20,16,5,3,0,0,1
"Mar 23, 2022",MIN vs. PHX,L,17,4,0,4,2,0,0
"Mar 21, 2022",MIN @ DAL,L,14,2,3,2,1,0,1
"Mar 19, 2022",MIN vs. MIL,W,18,7,2,3,1,0,0
"Mar 16, 2022",MIN vs. LAL,W,15,2,1,2,1,0,2
"Mar 12, 2022",MIN @ MIA,W,21,5,1,3,3,0,0
"Mar 09, 2022",MIN vs. OKC,W,12,3,0,3,1,0,0
"Mar 07, 2022",MIN vs. POR,W,20,11,3,6,2,1,2
"Mar 05, 2022",MIN vs. POR,W,21,2,2,7,6,0,1
"Mar 04, 2022",MIN @ OKC,W,23,5,1,1,1,1,0
"Mar 01, 2022",MIN vs. GSW,W,29,3,5,2,3,0,1
"Feb 28, 2022",MIN @ CLE,W,13,2,3,7,1,0,0
"Feb 25, 2022",MIN vs. PHI,L,19,3,3,2,0,0,1
"Feb 24, 2022",MIN vs. MEM,W,12,0,2,1,0,1,1
"Feb 16, 2022",MIN vs. TOR,L,16,2,1,0,0,0,1
"Feb 15, 2022",MIN vs. CHA,W,16,5,1,3,0,0,0
"Feb 13, 2022",MIN @ IND,W,17,3,0,3,1,0,0
"Feb 11, 2022",MIN @ CHI,L,14,4,2,4,1,0,0
"Feb 09, 2022",MIN @ SAC,L,14,4,2,2,0,0,0
"Feb 08, 2022",MIN @ SAC,W,19,11,5,11,1,1,0
"Feb 06, 2022",MIN vs. DET,W,16,4,4,4,0,1,0
"Feb 03, 2022",MIN @ DET,W,16,2,1,8,2,0,0
"Feb 01, 2022",MIN vs. DEN,W,26,9,4,7,1,0,0
"Jan 30, 2022",MIN vs. UTA,W,27,12,1,4,4,0,1
"Jan 28, 2022",MIN @ PHX,L,17,7,1,1,1,0,0
"Jan 27, 2022",MIN @ GSW,L,1,0,1,0,0,0,0
"Jan 23, 2022",MIN vs. BKN,W,1,0,0,0,0,0,0
"Jan 09, 2022",MIN @ HOU,W,2,0,0,1,0,0,0
"Jan 07, 2022",MIN @ OKC,W,6,0,0,2,1,1,0
"Jan 03, 2022",MIN @ LAC,W,4,2,0,2,0,0,0
"Jan 02, 2022",MIN @ LAL,L,6,0,0,5,0,0,0
"Dec 31, 2021",MIN @ UTA,L,11,2,0,1,3,0,1
"Dec 28, 2021",MIN vs. NYK,L,24,9,3,2,1,0,1
"Dec 27, 2021",MIN vs. BOS,W,32,5,6,10,1,0,4
"Dec 23, 2021",MIN @ UTA,L,11,0,1,3,1,0,0
