GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",BOS vs. WAS,W,17,1,3,1,2,0,1
"Apr 12, 2024",BOS vs. CHA,W,20,8,3,0,1,0,0
"Apr 05, 2024",BOS vs. SAC,W,6,0,1,0,0,0,0
"Mar 22, 2024",BOS @ DET,W,3,2,0,0,0,0,0
"Mar 18, 2024",BOS vs. DET,W,4,2,2,2,0,0,0
"Feb 14, 2024",BOS vs. BKN,W,18,0,5,0,1,1,2
"Feb 04, 2024",BOS vs. MEM,W,9,2,1,1,1,0,0
"Jan 25, 2024",BOS @ MIA,W,3,0,1,1,0,0,0
"Jan 17, 2024",BOS vs. SAS,W,3,0,4,0,0,0,0
"Apr 13, 2025",BOS vs. CHA,W,21,10,8,1,2,1,3
"Apr 11, 2025",BOS vs. CHA,W,2,0,0,0,0,0,0
"Apr 09, 2025",BOS @ ORL,L,9,0,2,1,0,0,0
"Apr 06, 2025",BOS vs. WAS,W,7,0,2,0,0,0,1
"Apr 04, 2025",BOS vs. PHX,W,2,0,0,1,0,0,0
"Apr 02, 2025",BOS vs. MIA,L,5,0,0,0,0,0,1
"Mar 26, 2025",BOS @ PHX,W,6,0,1,0,0,1,1
"Mar 24, 2025",BOS @ SAC,W,1,0,0,0,0,0,0
"Mar 21, 2025",BOS @ UTA,W,2,4,1,0,0,0,0
"Mar 14, 2025",BOS @ MIA,W,7,0,1,0,0,0,0
"Mar 06, 2025",BOS vs. PHI,W,13,5,4,3,1,0,2
"Mar 05, 2025",BOS vs. POR,W,21,3,6,1,0,1,0
"Feb 26, 2025",BOS @ DET,L,15,0,2,0,0,0,0
"Feb 25, 2025",BOS @ TOR,W,5,2,2,1,0,0,0
"Feb 20, 2025",BOS @ PHI,W,5,0,0,0,0,0,0
"Feb 12, 2025",BOS vs. SAS,W,0,0,0,0,0,0,0
"Feb 08, 2025",BOS @ NYK,W,5,2,0,0,0,0,0
"Feb 06, 2025",BOS vs. DAL,L,10,2,3,2,1,0,1
"Jan 29, 2025",BOS vs. CHI,W,2,0,1,0,0,0,0
"Jan 27, 2025",BOS vs. HOU,L,4,0,0,0,0,0,0
"Jan 25, 2025",BOS @ DAL,W,2,0,0,0,0,0,1
"Jan 23, 2025",BOS @ LAL,L,8,0,0,0,0,0,0
"Jan 22, 2025",BOS @ LAC,W,9,3,1,1,0,0,0
"Jan 20, 2025",BOS @ GSW,W,8,6,2,0,1,0,0
"Jan 17, 2025",BOS vs. ORL,W,4,0,0,0,0,0,0
"Jan 15, 2025",BOS @ TOR,L,1,0,0,0,0,0,0
"Jan 03, 2025",BOS @ HOU,W,9,0,2,0,0,0,2
"Jan 02, 2025",BOS @ MIN,W,7,0,0,0,1,0,0
"Dec 31, 2024",BOS vs. TOR,W,12,10,1,2,0,0,0
"Dec 29, 2024",BOS vs. IND,L,19,0,3,0,1,1,0
"Dec 27, 2024",BOS vs. IND,W,21,9,5,2,0,1,1
"Dec 25, 2024",BOS vs. PHI,L,1,0,0,0,0,0,0
"Dec 21, 2024",BOS @ CHI,W,3,3,1,0,0,0,0
"Dec 19, 2024",BOS vs. CHI,L,0,0,0,0,0,0,0
"Dec 15, 2024",BOS @ WAS,W,2,0,1,0,0,0,0
"Dec 12, 2024",BOS vs. DET,W,13,2,3,1,1,0,0
"Dec 04, 2024",BOS vs. DET,W,7,0,1,0,0,0,1
"Dec 02, 2024",BOS vs. MIA,W,13,0,3,0,0,0,1
"Nov 25, 2024",BOS vs. LAC,W,7,5,0,0,0,2,0
"Nov 22, 2024",BOS @ WAS,W,5,0,1,0,0,1,0
"Nov 16, 2024",BOS vs. TOR,W,8,3,2,1,0,0,0
"Nov 13, 2024",BOS @ BKN,W,2,3,0,0,1,0,0
"Nov 12, 2024",BOS vs. ATL,L,4,0,0,0,0,0,0
"Nov 08, 2024",BOS vs. BKN,W,11,0,0,1,0,1,0
"Nov 06, 2024",BOS vs. GSW,L,8,0,2,0,0,0,0
"Nov 04, 2024",BOS @ ATL,W,19,2,4,0,2,1,2
"Nov 02, 2024",BOS @ CHA,W,13,0,0,0,1,0,0
"Nov 01, 2024",BOS @ CHA,W,6,6,0,0,0,0,0
"Oct 30, 2024",BOS @ IND,L,8,0,1,0,0,0,0
"Oct 28, 2024",BOS vs. MIL,W,13,2,3,0,0,0,0
"Oct 24, 2024",BOS @ WAS,W,10,0,0,0,0,1,0
"Oct 22, 2024",BOS vs. NYK,W,6,0,0,1,0,0,0
