GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",DAL vs. SAS,W,17,7,3,2,0,0,2
"Apr 08, 2022",DAL vs. POR,W,16,1,4,2,1,0,0
"Apr 06, 2022",DAL @ DET,W,21,12,7,1,2,0,0
"Apr 03, 2022",DAL @ MIL,W,10,3,1,0,0,0,0
"Apr 01, 2022",DAL @ WAS,L,14,4,1,0,0,0,1
"Mar 30, 2022",DAL @ CLE,W,17,2,4,0,2,0,2
"Mar 29, 2022",DAL vs. LAL,W,20,12,0,1,0,0,1
"Mar 27, 2022",DAL vs. UTA,W,14,0,0,2,0,1,0
"Mar 25, 2022",DAL @ MIN,L,17,7,2,0,0,0,2
"Mar 23, 2022",DAL vs. HOU,W,20,2,1,0,0,0,1
"Mar 21, 2022",DAL vs. MIN,W,12,2,2,2,1,1,1
"Mar 19, 2022",DAL @ CHA,L,21,9,3,2,0,0,3
"Mar 18, 2022",DAL @ PHI,L,20,7,4,0,1,1,0
"Mar 16, 2022",DAL @ BKN,W,18,6,1,1,0,0,0
"Mar 13, 2022",DAL @ BOS,W,17,9,1,0,0,0,2
"Mar 11, 2022",DAL @ HOU,W,36,10,6,1,4,2,0
"Mar 09, 2022",DAL vs. NYK,L,18,2,1,0,1,0,3
"Mar 07, 2022",DAL vs. UTA,W,18,4,3,3,2,0,2
"Mar 05, 2022",DAL vs. SAC,W,29,12,12,1,1,0,1
"Mar 03, 2022",DAL vs. GSW,W,17,3,2,1,1,0,1
"Mar 01, 2022",DAL @ LAL,W,10,6,4,2,0,0,0
"Feb 27, 2022",DAL @ GSW,W,13,6,2,0,0,0,2
"Feb 25, 2022",DAL @ UTA,L,12,0,2,0,0,0,0
"Feb 17, 2022",DAL @ NOP,W,25,0,3,2,0,1,0
"Feb 15, 2022",DAL @ MIA,W,20,8,3,3,0,0,0
"Feb 12, 2022",DAL vs. LAC,L,20,2,3,0,3,0,0
"Feb 10, 2022",DAL vs. LAC,W,14,4,3,2,0,0,0
"Feb 08, 2022",DAL vs. DET,W,21,2,3,0,3,0,0
"Feb 06, 2022",DAL vs. ATL,W,23,9,6,1,3,1,2
"Feb 04, 2022",DAL vs. PHI,W,18,0,7,1,0,0,1
"Feb 02, 2022",DAL vs. OKC,L,19,5,2,4,0,1,0
"Jan 30, 2022",DAL @ ORL,L,22,11,1,3,0,0,1
"Jan 29, 2022",DAL vs. IND,W,24,12,1,3,1,0,1
"Jan 26, 2022",DAL @ POR,W,15,9,2,2,0,1,1
"Jan 25, 2022",DAL @ GSW,L,22,4,2,3,2,0,0
"Jan 23, 2022",DAL vs. MEM,W,15,4,1,2,2,0,1
"Jan 20, 2022",DAL vs. PHX,L,11,2,1,1,0,0,0
"Jan 19, 2022",DAL vs. TOR,W,7,5,1,1,0,0,0
"Jan 17, 2022",DAL vs. OKC,W,18,4,0,1,1,0,0
"Jan 15, 2022",DAL vs. ORL,W,25,7,4,2,1,0,2
"Jan 14, 2022",DAL @ MEM,W,10,0,0,0,0,0,0
"Jan 12, 2022",DAL @ NYK,L,11,1,2,0,1,0,0
"Jan 09, 2022",DAL vs. CHI,W,22,18,6,1,0,0,1
"Jan 07, 2022",DAL @ HOU,W,25,17,5,2,2,0,0
"Jan 05, 2022",DAL vs. GSW,W,5,0,0,1,0,0,0
"Jan 03, 2022",DAL vs. DEN,W,17,6,1,0,0,0,2
"Jan 02, 2022",DAL @ OKC,W,17,2,3,1,1,1,1
"Dec 31, 2021",DAL @ SAC,W,26,8,2,1,0,0,2
"Dec 29, 2021",DAL @ SAC,L,28,4,3,3,1,2,0
"Dec 27, 2021",DAL @ POR,W,26,9,4,10,2,0,1
"Dec 15, 2021",DAL vs. LAL,L,10,3,2,0,2,0,0
"Dec 13, 2021",DAL vs. CHA,W,21,7,6,2,0,1,2
"Dec 12, 2021",DAL @ OKC,W,18,8,5,2,1,0,0
"Dec 10, 2021",DAL @ IND,L,4,2,1,0,0,0,0
"Dec 08, 2021",DAL @ MEM,W,10,4,1,0,0,0,0
"Dec 07, 2021",DAL vs. BKN,L,7,2,0,0,1,0,0
"Dec 03, 2021",DAL vs. NOP,L,2,2,0,0,0,0,0
"Dec 01, 2021",DAL @ NOP,W,5,4,1,1,1,0,0
"Nov 29, 2021",DAL vs. CLE,L,8,2,0,0,0,0,0
"Nov 19, 2021",DAL @ PHX,L,2,0,0,1,1,0,0
"Nov 10, 2021",DAL @ CHI,L,2,4,0,0,0,0,0
"Nov 08, 2021",DAL vs. NOP,W,1,0,0,0,0,0,0
"Nov 03, 2021",DAL @ SAS,W,6,0,2,1,0,0,0
"Nov 02, 2021",DAL vs. MIA,L,4,0,1,0,0,0,0
"Oct 29, 2021",DAL @ DEN,L,17,0,7,1,0,1,2
"Oct 26, 2021",DAL vs. HOU,W,4,0,0,0,0,0,0
"Oct 21, 2021",DAL @ ATL,L,4,2,0,0,0,0,0
"Apr 05, 2023",DAL vs. SAC,W,31,10,9,1,0,1,3
"Apr 02, 2023",DAL @ ATL,L,40,13,5,4,1,0,0
"Apr 01, 2023",DAL @ MIA,L,22,0,1,0,0,0,1
"Mar 29, 2023",DAL @ PHI,L,20,6,3,1,0,0,0
"Mar 27, 2023",DAL @ IND,W,21,2,4,1,0,0,0
"Mar 26, 2023",DAL @ CHA,L,14,2,0,0,1,0,0
"Mar 24, 2023",DAL vs. CHA,L,21,3,3,1,1,0,3
"Mar 22, 2023",DAL vs. GSW,L,36,12,4,2,2,0,2
"Mar 20, 2023",DAL @ MEM,L,34,12,3,1,0,0,2
"Mar 17, 2023",DAL @ LAL,W,25,9,2,1,0,0,2
"Mar 15, 2023",DAL @ SAS,W,45,21,3,7,1,0,2
