GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",SAS @ DAL,W,33,16,10,3,0,0,0
"Apr 08, 2023",SAS vs. MIN,L,32,24,4,1,0,0,2
"Apr 06, 2023",SAS vs. POR,W,25,24,5,1,2,0,2
"Apr 04, 2023",SAS @ PHX,L,28,10,6,1,0,1,0
"Apr 02, 2023",SAS @ SAC,W,28,26,6,0,1,0,2
"Mar 31, 2023",SAS @ GSW,L,20,8,5,1,2,0,0
"Mar 29, 2023",SAS vs. UTA,L,25,2,2,1,0,0,2
"Mar 26, 2023",SAS @ BOS,L,9,2,1,0,0,0,0
"Mar 24, 2023",SAS @ WAS,L,18,12,3,0,0,2,0
"Mar 22, 2023",SAS @ MIL,L,28,8,2,0,0,1,0
"Mar 21, 2023",SAS @ NOP,L,18,6,6,0,0,1,1
"Mar 19, 2023",SAS vs. ATL,W,18,11,3,0,0,0,1
"Mar 14, 2023",SAS vs. ORL,W,7,3,2,1,0,0,1
"Mar 05, 2023",SAS @ HOU,L,12,7,2,1,0,0,0
"Mar 04, 2023",SAS vs. HOU,L,12,6,3,0,0,0,0
"Nov 27, 2022",PHI @ ORL,W,5,0,0,0,1,0,0
"Nov 22, 2022",PHI vs. BKN,W,1,0,0,0,0,0,0
"Apr 14, 2024",SAS vs. DET,W,26,11,3,6,0,0,2
"Apr 12, 2024",SAS vs. DEN,W,37,14,5,2,0,0,1
"Apr 10, 2024",SAS @ OKC,L,24,5,3,0,1,1,2
"Apr 09, 2024",SAS @ MEM,W,30,17,3,1,2,0,3
"Apr 07, 2024",SAS vs. PHI,L,40,17,8,3,2,0,0
"Apr 05, 2024",SAS @ NOP,W,38,15,4,4,1,4,1
"Apr 02, 2024",SAS @ DEN,L,37,11,5,2,1,1,1
"Mar 31, 2024",SAS vs. GSW,L,38,9,5,4,1,1,3
"Mar 29, 2024",SAS vs. NYK,W,28,12,5,2,0,0,2
"Mar 27, 2024",SAS @ UTA,W,31,17,5,0,1,0,0
"Mar 25, 2024",SAS vs. PHX,W,20,6,0,0,1,0,1
"Mar 23, 2024",SAS vs. PHX,L,25,4,2,2,1,2,1
"Mar 22, 2024",SAS vs. MEM,L,17,1,1,1,2,2,1
"Mar 19, 2024",SAS vs. DAL,L,20,6,3,1,0,1,0
"Mar 17, 2024",SAS vs. BKN,W,16,0,1,0,0,0,1
"Mar 15, 2024",SAS vs. DEN,L,26,10,1,1,0,0,0
"Mar 12, 2024",SAS vs. HOU,L,34,10,3,1,2,0,1
"Mar 11, 2024",SAS vs. GSW,L,28,9,2,2,1,0,1
"Mar 09, 2024",SAS @ GSW,W,34,17,7,5,0,1,3
"Mar 07, 2024",SAS @ SAC,L,17,4,1,1,0,0,0
"Mar 05, 2024",SAS @ HOU,L,10,0,2,0,0,0,1
"Feb 29, 2024",SAS vs. OKC,W,19,6,2,1,0,0,0
"Feb 27, 2024",SAS @ MIN,L,19,7,3,1,1,2,0
"Feb 25, 2024",SAS @ UTA,L,20,2,6,4,2,1,1
"Feb 23, 2024",SAS @ LAL,L,24,7,4,5,1,0,0
"Feb 22, 2024",SAS @ SAC,L,17,10,5,2,0,0,0
"Feb 14, 2024",SAS @ DAL,L,18,5,2,1,1,0,0
"Feb 12, 2024",SAS @ TOR,W,10,2,1,0,0,0,1
"Feb 10, 2024",SAS @ BKN,L,20,2,3,1,0,0,0
"Feb 08, 2024",SAS @ ORL,L,21,8,5,2,0,0,0
"Feb 07, 2024",SAS @ MIA,L,19,6,5,3,2,0,0
"Feb 03, 2024",SAS vs. CLE,L,23,8,5,1,0,2,1
"Feb 02, 2024",SAS vs. NOP,L,30,5,6,3,0,3,0
"Jan 31, 2024",SAS vs. ORL,L,20,0,1,1,2,0,1
"Jan 29, 2024",SAS vs. WAS,L,20,3,1,1,0,2,1
"Jan 27, 2024",SAS vs. MIN,W,18,4,3,0,0,0,0
"Jan 26, 2024",SAS vs. POR,W,19,5,4,3,1,0,1
"Jan 24, 2024",SAS vs. OKC,L,21,3,2,1,2,0,2
"Jan 22, 2024",SAS @ PHI,L,15,12,2,1,0,0,0
"Jan 20, 2024",SAS @ WAS,W,23,11,7,0,0,2,2
"Jan 19, 2024",SAS @ CHA,L,19,9,2,3,1,1,0
"Jan 17, 2024",SAS @ BOS,L,18,9,5,0,0,0,1
"Jan 15, 2024",SAS @ ATL,L,20,15,1,1,1,0,0
"Jan 13, 2024",SAS vs. CHI,L,17,6,5,4,0,0,1
"Jan 12, 2024",SAS vs. CHA,W,21,9,2,1,0,0,1
"Jan 10, 2024",SAS @ DET,W,21,2,4,1,2,0,0
"Jan 07, 2024",SAS @ CLE,L,16,2,2,1,1,0,1
"Jan 04, 2024",SAS vs. MIL,L,21,0,0,2,1,0,0
"Jan 02, 2024",SAS @ MEM,L,22,12,4,2,1,0,1
"Dec 31, 2023",SAS vs. BOS,L,19,0,2,2,0,0,1
"Dec 29, 2023",SAS @ POR,L,12,7,3,0,1,1,1
"Dec 28, 2023",SAS @ POR,W,14,2,1,0,2,1,1
"Dec 26, 2023",SAS vs. UTA,L,25,16,5,1,2,1,0
"Dec 23, 2023",SAS @ DAL,L,21,12,5,1,1,0,0
"Dec 21, 2023",SAS @ CHI,L,11,3,1,0,0,1,1
