GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",SAC @ DEN,L,26,14,5,2,1,0,0
"Apr 07, 2023",SAC vs. GSW,L,34,9,4,3,0,1,0
"Apr 05, 2023",SAC @ DAL,L,30,11,9,2,0,0,0
"Apr 04, 2023",SAC @ NOP,W,35,21,6,1,0,1,1
"Apr 02, 2023",SAC vs. SAS,L,35,18,4,1,1,0,1
"Mar 31, 2023",SAC @ POR,W,27,20,3,3,1,3,0
"Mar 29, 2023",SAC @ POR,W,22,13,5,1,0,0,1
"Mar 27, 2023",SAC vs. MIN,L,28,3,6,0,1,0,0
"Mar 25, 2023",SAC vs. UTA,W,37,22,2,2,1,0,0
"Mar 24, 2023",SAC vs. PHX,W,28,13,4,2,0,0,0
"Mar 21, 2023",SAC vs. BOS,L,39,15,5,2,1,0,2
"Mar 20, 2023",SAC @ UTA,L,32,22,6,1,1,1,0
"Mar 18, 2023",SAC @ WAS,W,35,19,5,2,2,1,0
"Mar 16, 2023",SAC @ BKN,W,31,11,4,0,1,0,1
"Mar 15, 2023",SAC @ CHI,W,30,9,10,1,0,1,3
"Mar 13, 2023",SAC vs. MIL,L,22,7,2,0,0,0,1
"Mar 11, 2023",SAC @ PHX,W,15,0,0,1,0,1,0
"Mar 09, 2023",SAC vs. NYK,W,26,11,6,2,2,1,0
"Mar 06, 2023",SAC vs. NOP,W,37,13,3,2,2,0,0
"Mar 04, 2023",SAC vs. MIN,L,20,0,3,2,0,0,1
"Mar 03, 2023",SAC vs. LAC,W,33,14,5,0,1,0,0
"Feb 28, 2023",SAC @ OKC,W,36,13,10,4,1,0,0
"Feb 26, 2023",SAC @ OKC,W,32,20,6,2,3,0,0
"Feb 24, 2023",SAC @ LAC,W,43,15,3,2,2,1,0
"Feb 23, 2023",SAC vs. POR,W,25,10,2,1,0,2,0
"Feb 14, 2023",SAC @ PHX,L,21,6,5,6,0,1,0
"Feb 11, 2023",SAC vs. DAL,W,28,5,6,3,1,0,0
"Feb 10, 2023",SAC vs. DAL,L,35,16,3,0,0,2,1
"Feb 08, 2023",SAC @ HOU,W,32,10,6,0,2,0,1
"Feb 06, 2023",SAC @ HOU,W,33,30,6,1,2,0,1
"Feb 05, 2023",SAC @ NOP,L,26,2,4,1,0,0,2
"Feb 03, 2023",SAC @ IND,L,25,3,7,1,0,1,2
"Feb 01, 2023",SAC @ SAS,W,27,2,7,2,0,0,0
"Jan 30, 2023",SAC @ MIN,W,39,13,13,1,1,0,0
"Jan 28, 2023",SAC @ MIN,L,32,8,4,0,0,0,0
"Jan 25, 2023",SAC vs. TOR,L,33,16,3,4,0,0,0
"Jan 23, 2023",SAC vs. MEM,W,34,20,9,0,0,1,1
"Jan 21, 2023",SAC vs. PHI,L,41,13,4,1,0,1,0
"Jan 20, 2023",SAC vs. OKC,W,37,29,14,1,0,0,2
"Jan 18, 2023",SAC @ LAL,W,37,10,10,0,0,0,0
"Jan 15, 2023",SAC @ SAS,W,28,12,5,2,1,0,0
"Jan 13, 2023",SAC vs. HOU,W,20,8,3,1,1,1,2
"Jan 11, 2023",SAC vs. HOU,W,34,16,6,2,0,0,0
"Jan 09, 2023",SAC vs. ORL,W,26,15,3,3,1,0,0
"Jan 07, 2023",SAC vs. LAL,L,29,16,0,1,2,0,1
"Jan 04, 2023",SAC vs. ATL,L,26,8,7,1,1,2,0
"Jan 03, 2023",SAC @ UTA,W,37,16,5,1,0,1,1
"Jan 01, 2023",SAC @ MEM,L,28,10,3,1,2,0,0
"Dec 30, 2022",SAC vs. UTA,W,27,7,5,2,2,0,0
"Dec 28, 2022",SAC vs. DEN,W,21,5,2,1,0,0,0
"Dec 27, 2022",SAC vs. DEN,L,31,11,2,1,2,1,0
"Dec 23, 2022",SAC vs. WAS,L,22,3,4,1,1,0,0
"Dec 21, 2022",SAC vs. LAL,W,35,23,3,1,1,0,1
"Dec 19, 2022",SAC vs. CHA,L,31,11,1,0,1,1,0
"Dec 16, 2022",SAC @ DET,W,35,20,2,0,0,0,1
"Dec 14, 2022",SAC @ TOR,W,32,10,4,0,1,1,0
"Dec 13, 2022",SAC @ PHI,L,21,3,2,1,1,1,1
"Dec 11, 2022",SAC @ NYK,L,35,18,7,0,0,0,1
"Dec 09, 2022",SAC @ CLE,W,30,18,2,0,1,1,0
"Dec 07, 2022",SAC @ MIL,L,27,15,4,1,1,2,0
"Dec 04, 2022",SAC vs. CHI,W,24,11,4,0,0,1,0
"Dec 03, 2022",SAC @ LAC,W,28,23,7,1,2,0,1
"Nov 30, 2022",SAC vs. IND,W,26,14,6,0,0,0,3
"Nov 28, 2022",SAC vs. PHX,L,23,11,2,1,0,1,3
"Nov 25, 2022",SAC @ BOS,L,23,3,10,0,1,1,1
"Nov 23, 2022",SAC @ ATL,L,21,4,4,0,0,0,2
"Nov 22, 2022",SAC @ MEM,W,24,2,3,2,0,0,0
"Nov 20, 2022",SAC vs. DET,W,35,13,2,1,0,0,2
"Nov 15, 2022",SAC vs. BKN,W,12,4,3,0,0,0,0
"Nov 13, 2022",SAC vs. GSW,W,37,21,4,0,3,0,2
"Nov 11, 2022",SAC @ LAL,W,26,2,1,0,1,1,1
"Nov 09, 2022",SAC vs. CLE,W,33,14,3,1,2,1,1
"Nov 07, 2022",SAC @ GSW,L,27,6,7,2,2,0,0
"Nov 05, 2022",SAC @ ORL,W,24,3,2,0,1,0,1
"Nov 02, 2022",SAC @ MIA,L,27,7,4,3,1,2,2
"Oct 31, 2022",SAC @ CHA,W,32,12,4,2,1,1,1
"Oct 29, 2022",SAC vs. MIA,W,36,22,1,3,0,2,5
"Oct 27, 2022",SAC vs. MEM,L,39,18,6,0,0,0,2
"Oct 23, 2022",SAC @ GSW,L,38,16,4,0,1,0,2
"Oct 22, 2022",SAC vs. LAC,L,33,19,5,2,0,2,2
"Apr 14, 2024",SAC vs. POR,W,27,12,5,1,1,1,1
"Apr 12, 2024",SAC vs. PHX,L,43,23,7,0,3,0,0
"Apr 11, 2024",SAC vs. NOP,L,36,19,5,1,2,0,0
"Apr 09, 2024",SAC @ OKC,L,38,15,10,2,0,0,0
"Apr 07, 2024",SAC @ BKN,W,38,19,6,4,0,4,0
"Apr 05, 2024",SAC @ BOS,L,42,10,11,4,1,1,2
"Apr 04, 2024",SAC @ NYK,L,32,18,2,0,0,1,1
"Apr 02, 2024",SAC vs. LAC,W,38,19,5,2,1,1,2
"Mar 31, 2024",SAC vs. UTA,W,35,25,4,3,0,1,0
"Mar 29, 2024",SAC vs. DAL,L,35,12,7,1,0,1,0
"Mar 26, 2024",SAC vs. DAL,L,33,17,3,1,1,0,1
"Mar 25, 2024",SAC vs. PHI,W,38,23,3,4,1,1,0
"Mar 23, 2024",SAC @ ORL,W,38,22,7,2,0,2,0
"Mar 21, 2024",SAC @ WAS,L,30,16,2,1,0,2,1
"Mar 20, 2024",SAC @ TOR,W,31,10,8,1,1,2,2
"Mar 18, 2024",SAC vs. MEM,W,42,15,10,3,2,0,1
"Mar 16, 2024",SAC vs. NYK,L,34,11,6,1,0,1,0
"Mar 13, 2024",SAC vs. LAL,W,39,19,11,3,2,0,3
"Mar 10, 2024",SAC vs. HOU,L,32,13,6,0,2,1,0
"Mar 07, 2024",SAC vs. SAS,W,31,3,3,0,0,0,0
"Mar 06, 2024",SAC @ LAL,W,31,7,3,3,0,1,0
"Mar 04, 2024",SAC vs. CHI,L,39,11,6,4,1,3,0
"Mar 01, 2024",SAC @ MIN,W,43,17,5,1,2,1,1
"Feb 28, 2024",SAC @ DEN,L,33,21,4,0,1,1,2
"Feb 26, 2024",SAC vs. MIA,L,36,28,5,1,3,1,1
"Feb 25, 2024",SAC @ LAC,W,37,11,8,1,1,1,1
"Feb 22, 2024",SAC vs. SAS,W,35,16,4,0,0,0,2
"Feb 14, 2024",SAC @ DEN,W,35,6,5,1,0,1,3
"Feb 13, 2024",SAC @ PHX,L,34,6,5,1,1,1,0
"Feb 11, 2024",SAC @ OKC,L,34,13,10,3,1,2,1
"Feb 09, 2024",SAC vs. DEN,W,27,17,1,2,0,0,1
"Feb 07, 2024",SAC vs. DET,L,20,0,4,4,1,1,1
"Feb 05, 2024",SAC @ CLE,L,30,10,1,2,0,0,0
"Feb 03, 2024",SAC @ CHI,W,31,5,6,3,2,0,0
"Feb 02, 2024",SAC @ IND,W,28,5,1,1,0,0,0
"Jan 31, 2024",SAC @ MIA,L,38,33,5,2,1,2,0
"Jan 29, 2024",SAC @ MEM,W,25,5,5,2,2,0,4
"Jan 27, 2024",SAC @ DAL,W,40,15,4,2,0,3,0
"Jan 25, 2024",SAC @ GSW,W,38,14,6,1,1,2,0
"Jan 22, 2024",SAC vs. ATL,W,32,13,6,2,2,0,0
"Jan 18, 2024",SAC vs. IND,L,38,27,9,0,2,1,1
"Jan 16, 2024",SAC @ PHX,L,35,18,4,3,1,1,1
"Jan 14, 2024",SAC @ MIL,L,19,4,1,0,0,1,0
"Jan 12, 2024",SAC @ PHI,L,35,15,8,3,1,2,2
"Jan 10, 2024",SAC @ CHA,W,32,25,6,3,0,1,0
"Jan 09, 2024",SAC @ DET,W,35,32,5,2,1,2,1
"Jan 07, 2024",SAC vs. NOP,L,26,8,1,0,1,0,0
"Jan 05, 2024",SAC vs. TOR,W,35,18,12,1,1,0,3
"Jan 03, 2024",SAC vs. ORL,W,46,28,12,1,1,0,0
"Jan 02, 2024",SAC vs. CHA,L,37,10,3,2,3,0,1
"Dec 31, 2023",SAC @ MEM,W,26,10,3,1,0,0,1
"Dec 29, 2023",SAC @ ATL,W,36,9,5,0,2,2,0
"Dec 26, 2023",SAC @ POR,L,36,5,4,2,1,1,0
"Dec 23, 2023",SAC vs. MIN,L,40,20,7,0,3,1,1
"Dec 22, 2023",SAC vs. PHX,W,33,21,5,2,0,0,1
"Dec 20, 2023",SAC vs. BOS,L,26,13,1,0,0,0,1
"Dec 18, 2023",SAC vs. WAS,W,32,25,5,4,1,0,0
"Dec 16, 2023",SAC vs. UTA,W,36,47,8,2,2,0,0
"Dec 14, 2023",SAC vs. OKC,W,31,15,3,1,1,0,1
"Dec 12, 2023",SAC @ LAC,L,31,17,7,1,3,0,0
"Dec 11, 2023",SAC vs. BKN,W,34,24,3,3,0,0,0
"Dec 08, 2023",SAC @ PHX,W,30,13,4,0,1,0,1
"Dec 04, 2023",SAC vs. NOP,L,31,14,4,1,0,0,1
"Dec 02, 2023",SAC vs. DEN,W,23,8,5,1,0,0,2
"Nov 20, 2023",SAC @ NOP,L,16,5,3,0,1,1,0
"Nov 19, 2023",SAC @ DAL,W,33,17,3,4,1,0,1
"Nov 17, 2023",SAC @ SAS,W,38,6,6,3,1,0,2
"Nov 15, 2023",SAC @ LAL,W,31,9,6,2,2,0,1
"Nov 13, 2023",SAC vs. CLE,W,38,25,8,1,1,0,0
"Nov 10, 2023",SAC vs. OKC,W,40,24,11,1,3,1,3
"Nov 08, 2023",SAC vs. POR,W,31,9,7,3,1,2,1
"Nov 06, 2023",SAC @ HOU,L,28,12,5,1,1,0,2
"Nov 04, 2023",SAC @ HOU,L,33,7,2,1,0,0,0
"Nov 01, 2023",SAC @ GSW,L,39,10,6,3,2,0,0
"Oct 29, 2023",SAC vs. LAL,W,33,17,8,5,2,1,1
"Oct 27, 2023",SAC vs. GSW,L,40,16,7,1,2,1,4
"Oct 25, 2023",SAC @ UTA,W,30,15,8,1,1,2,0
"Apr 13, 2025",SAC vs. PHX,W,23,6,7,2,0,0,0
"Apr 11, 2025",SAC vs. LAC,L,32,9,8,1,2,0,1
"Apr 04, 2025",SAC @ CHA,W,25,5,3,2,1,2,1
"Apr 02, 2025",SAC @ WAS,L,35,18,5,3,2,1,0
"Mar 31, 2025",SAC @ IND,L,36,12,7,0,1,2,0
"Mar 29, 2025",SAC @ ORL,L,30,9,3,0,0,3,0
"Mar 27, 2025",SAC vs. POR,W,33,17,7,1,0,0,0
"Mar 25, 2025",SAC vs. OKC,L,37,28,6,0,1,3,1
"Mar 24, 2025",SAC vs. BOS,L,36,13,5,1,2,0,1
"Mar 22, 2025",SAC vs. MIL,L,33,13,9,1,0,2,0
"Mar 20, 2025",SAC vs. CHI,L,38,10,9,3,0,2,2
"Mar 19, 2025",SAC vs. CLE,W,37,13,4,3,0,0,1
"Mar 17, 2025",SAC vs. MEM,W,33,16,9,1,2,0,0
"Mar 14, 2025",SAC @ PHX,L,37,14,8,2,2,0,1
"Mar 13, 2025",SAC @ GSW,L,34,6,4,2,0,2,1
"Mar 10, 2025",SAC vs. NYK,L,30,9,2,0,1,0,0
"Mar 09, 2025",SAC @ LAC,L,47,15,6,2,0,0,1
"Mar 07, 2025",SAC vs. SAS,W,35,19,9,1,0,2,0
"Mar 05, 2025",SAC @ DEN,L,29,6,3,0,0,2,1
"Mar 03, 2025",SAC @ DAL,W,25,18,5,3,0,0,1
"Mar 01, 2025",SAC @ HOU,W,33,13,5,2,1,0,0
"Feb 26, 2025",SAC @ UTA,W,33,26,6,2,0,2,0
"Feb 24, 2025",SAC vs. CHA,W,25,10,5,0,2,0,0
"Feb 21, 2025",SAC vs. GSW,L,34,13,5,0,1,1,1
"Feb 13, 2025",SAC @ NOP,L,36,13,8,3,1,0,0
"Feb 12, 2025",SAC @ NOP,W,34,6,7,5,0,1,1
"Feb 10, 2025",SAC @ DAL,W,30,11,5,3,2,1,0
"Feb 08, 2025",SAC vs. NOP,W,36,19,8,0,2,3,2
"Feb 06, 2025",SAC @ POR,L,35,12,7,1,0,0,1
"Feb 05, 2025",SAC vs. ORL,L,30,5,6,1,0,1,3
"Feb 03, 2025",SAC @ MIN,W,40,19,7,1,1,0,1
"Feb 01, 2025",SAC @ OKC,L,28,14,5,1,0,1,0
"Jan 29, 2025",SAC @ PHI,L,37,17,8,0,1,1,0
"Jan 27, 2025",SAC @ BKN,W,24,9,3,1,2,0,1
"Jan 25, 2025",SAC @ NYK,L,39,12,8,4,3,2,2
"Jan 23, 2025",SAC @ DEN,L,30,11,9,2,1,1,2
"Jan 22, 2025",SAC vs. GSW,W,34,13,3,1,1,2,0
"Jan 19, 2025",SAC vs. WAS,W,32,4,5,1,2,1,1
"Jan 16, 2025",SAC vs. HOU,W,39,18,11,2,0,0,1
"Jan 14, 2025",SAC @ MIL,L,36,11,7,1,0,0,0
"Jan 12, 2025",SAC @ CHI,W,36,14,5,2,1,1,1
"Jan 10, 2025",SAC @ BOS,W,37,19,3,0,2,3,0
"Jan 06, 2025",SAC vs. MIA,W,43,14,12,1,0,1,0
"Jan 05, 2025",SAC @ GSW,W,26,11,4,2,1,1,0
"Dec 30, 2024",SAC vs. DAL,W,36,4,6,1,2,0,1
"Dec 28, 2024",SAC @ LAL,L,29,5,3,0,0,0,1
"Dec 26, 2024",SAC vs. DET,L,37,11,12,2,1,1,1
"Dec 22, 2024",SAC vs. IND,L,28,10,4,2,0,1,0
"Dec 21, 2024",SAC vs. LAL,L,27,10,4,0,0,0,1
"Dec 19, 2024",SAC vs. LAL,L,35,10,7,1,2,1,0
"Dec 12, 2024",SAC @ NOP,W,34,18,9,0,0,0,0
"Dec 08, 2024",SAC vs. UTA,W,25,7,4,1,1,2,1
"Dec 06, 2024",SAC @ SAS,W,33,17,6,1,0,2,1
"Dec 05, 2024",SAC @ MEM,L,40,11,11,2,2,0,1
"Dec 03, 2024",SAC vs. HOU,W,40,13,7,1,0,3,1
"Dec 01, 2024",SAC vs. SAS,L,38,8,6,0,1,1,1
"Nov 29, 2024",SAC @ POR,L,29,3,6,0,1,1,1
"Nov 27, 2024",SAC @ MIN,W,39,8,4,1,1,1,0
"Nov 25, 2024",SAC vs. OKC,L,38,14,10,2,2,1,2
"Nov 24, 2024",SAC vs. BKN,L,36,21,8,2,1,1,2
"Nov 22, 2024",SAC @ LAC,L,40,10,9,4,1,1,2
"Nov 18, 2024",SAC vs. ATL,L,22,7,7,1,2,0,4
"Nov 16, 2024",SAC vs. UTA,W,39,5,6,2,1,0,1
"Nov 15, 2024",SAC vs. MIN,L,45,14,10,2,1,1,0
"Nov 13, 2024",SAC vs. PHX,W,33,17,4,1,0,1,1
"Nov 11, 2024",SAC @ SAS,L,29,5,3,1,0,0,2
"Nov 10, 2024",SAC @ PHX,W,43,14,14,1,0,0,0
"Nov 08, 2024",SAC vs. LAC,L,39,7,10,2,0,1,0
"Nov 06, 2024",SAC vs. TOR,W,35,22,12,3,0,1,1
"Nov 04, 2024",SAC @ MIA,W,39,14,6,1,0,1,1
"Nov 02, 2024",SAC @ TOR,L,39,16,10,2,1,1,1
"Nov 01, 2024",SAC @ ATL,W,39,14,10,3,0,1,1
"Oct 29, 2024",SAC @ UTA,W,32,14,5,1,1,0,1
"Oct 28, 2024",SAC vs. POR,W,33,6,8,2,0,0,1
"Oct 26, 2024",SAC @ LAL,L,40,14,4,1,2,2,1
"Oct 24, 2024",SAC vs. MIN,L,43,23,11,2,0,0,0
