GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",MIA vs. WAS,L,20,13,4,1,1,1,0
"Apr 11, 2025",MIA @ NOP,W,26,10,11,2,0,2,1
"Apr 09, 2025",MIA @ CHI,L,25,12,7,1,1,1,0
"Apr 07, 2025",MIA vs. PHI,W,35,19,17,2,1,1,0
"Apr 05, 2025",MIA vs. MIL,L,19,7,6,1,0,0,1
"Apr 03, 2025",MIA vs. MEM,L,35,13,15,0,0,3,0
"Apr 02, 2025",MIA @ BOS,W,32,7,5,0,1,1,0
"Mar 31, 2025",MIA @ WAS,W,22,6,11,0,0,0,4
"Mar 29, 2025",MIA @ PHI,W,31,13,14,2,1,2,0
"Mar 27, 2025",MIA vs. ATL,W,21,7,12,0,0,1,0
"Mar 25, 2025",MIA vs. GSW,W,28,14,10,0,0,1,2
"Mar 23, 2025",MIA vs. CHA,W,28,12,8,5,0,1,0
"Mar 21, 2025",MIA vs. HOU,L,35,16,14,1,2,2,1
"Mar 19, 2025",MIA vs. DET,L,33,14,12,0,1,3,3
"Mar 17, 2025",MIA @ NYK,L,19,10,6,0,1,1,2
"Mar 15, 2025",MIA @ MEM,L,36,19,11,1,1,0,1
"Mar 14, 2025",MIA vs. BOS,L,15,7,3,0,1,1,0
"Mar 12, 2025",MIA vs. LAC,L,18,4,7,2,0,0,1
"Mar 10, 2025",MIA vs. CHA,L,23,2,5,3,1,1,1
"Mar 08, 2025",MIA vs. CHI,L,27,7,12,0,2,2,2
"Mar 02, 2025",MIA vs. NYK,L,29,12,8,0,0,6,2
"Feb 28, 2025",MIA vs. IND,W,28,8,12,0,1,0,2
"Feb 26, 2025",MIA vs. ATL,W,29,12,8,2,2,0,1
"Feb 24, 2025",MIA @ ATL,L,24,8,15,3,0,1,0
"Feb 23, 2025",MIA @ MIL,L,37,12,12,4,0,1,1
"Feb 21, 2025",MIA @ TOR,W,21,4,6,1,1,1,3
"Feb 13, 2025",MIA @ DAL,L,32,17,9,1,1,1,2
"Feb 12, 2025",MIA @ OKC,L,24,7,6,0,0,2,1
"Feb 10, 2025",MIA vs. BOS,L,27,8,7,2,0,1,0
"Feb 07, 2025",MIA @ BKN,L,26,10,14,4,1,1,1
"Feb 05, 2025",MIA @ PHI,W,19,0,13,1,0,0,2
"Feb 04, 2025",MIA @ CHI,L,31,17,12,1,1,0,0
"Feb 01, 2025",MIA @ SAS,W,34,6,12,2,0,2,0
"Jan 29, 2025",MIA vs. CLE,L,29,5,4,3,0,0,1
"Jan 27, 2025",MIA vs. ORL,W,43,19,10,0,2,1,3
"Jan 25, 2025",MIA @ BKN,W,23,7,6,0,3,2,2
"Jan 23, 2025",MIA @ MIL,L,35,22,10,0,1,2,4
"Jan 21, 2025",MIA vs. POR,L,39,20,15,0,0,2,0
"Jan 19, 2025",MIA vs. SAS,W,34,25,8,2,0,2,0
"Jan 17, 2025",MIA vs. DEN,L,16,9,7,1,1,0,0
"Jan 15, 2025",MIA @ LAL,L,18,8,11,2,0,2,0
"Jan 13, 2025",MIA @ LAC,L,33,19,13,0,1,1,1
"Jan 11, 2025",MIA @ POR,W,16,7,4,0,0,2,0
"Jan 09, 2025",MIA @ UTA,W,19,8,7,1,1,2,2
"Jan 07, 2025",MIA @ GSW,W,18,6,4,1,0,1,0
"Jan 06, 2025",MIA @ SAC,L,13,6,3,1,0,1,0
"Jan 04, 2025",MIA vs. UTA,L,22,12,4,1,2,0,2
"Jan 02, 2025",MIA vs. IND,L,21,25,0,1,1,3,1
"Jan 01, 2025",MIA vs. NOP,W,17,10,5,1,0,1,0
"Dec 29, 2024",MIA @ HOU,W,14,7,7,2,0,1,1
"Dec 28, 2024",MIA @ ATL,L,10,4,1,0,1,0,0
"Dec 26, 2024",MIA @ ORL,W,13,2,0,1,0,0,0
"Dec 23, 2024",MIA vs. BKN,W,17,9,7,0,2,1,2
"Dec 21, 2024",MIA @ ORL,L,14,8,7,0,0,2,0
"Nov 27, 2024",MIA @ CHA,W,12,4,4,0,1,1,1
"Nov 26, 2024",MIA vs. MIL,L,9,2,3,1,0,0,0
"Nov 18, 2024",MIA vs. PHI,W,1,0,0,0,0,0,0
"Nov 15, 2024",MIA @ IND,W,4,0,1,0,0,0,0
"Nov 12, 2024",MIA @ DET,L,9,5,2,0,0,0,0
"Nov 10, 2024",MIA @ MIN,W,9,4,0,0,0,3,1
"Nov 08, 2024",MIA @ DEN,L,2,0,0,0,0,0,0
"Nov 06, 2024",MIA @ PHX,L,14,7,3,0,2,1,1
"Nov 02, 2024",MIA @ WAS,W,2,2,2,0,0,0,0
"Oct 23, 2024",MIA vs. ORL,L,6,0,1,0,0,0,1
