GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",SAS @ DAL,L,34,24,6,3,4,0,0
"Apr 07, 2022",SAS @ MIN,L,34,20,6,5,1,1,1
"Apr 05, 2022",SAS @ DEN,W,34,20,8,3,0,0,1
"Apr 03, 2022",SAS vs. POR,W,37,28,2,2,0,1,1
"Apr 01, 2022",SAS vs. POR,W,27,21,5,6,0,0,2
"Mar 30, 2022",SAS vs. MEM,L,38,23,7,4,1,0,2
"Mar 28, 2022",SAS @ HOU,W,36,21,9,4,2,0,2
"Mar 26, 2022",SAS @ NOP,W,36,21,8,1,0,2,1
"Mar 23, 2022",SAS @ POR,W,28,26,4,1,1,1,2
"Mar 20, 2022",SAS @ GSW,W,34,14,7,5,1,0,0
"Mar 18, 2022",SAS vs. NOP,L,28,11,5,4,1,0,2
"Mar 16, 2022",SAS vs. OKC,W,35,22,6,6,2,0,0
"Mar 14, 2022",SAS vs. MIN,L,37,34,8,4,0,0,0
"Mar 11, 2022",SAS vs. UTA,W,37,13,10,1,0,0,0
"Mar 09, 2022",SAS vs. TOR,L,35,27,8,1,0,1,1
"Mar 07, 2022",SAS vs. LAL,W,32,13,6,2,0,0,2
"Mar 05, 2022",SAS @ CHA,L,37,33,8,2,0,0,2
"Mar 03, 2022",SAS vs. SAC,L,16,2,1,1,1,0,1
"Feb 28, 2022",SAS @ MEM,L,30,10,8,0,2,1,0
"Feb 25, 2022",SAS @ WAS,W,46,32,7,2,0,0,1
"Feb 16, 2022",SAS @ OKC,W,36,22,7,2,2,0,4
"Feb 14, 2022",SAS @ CHI,L,31,13,3,2,1,0,1
"Feb 12, 2022",SAS @ NOP,W,32,16,2,1,2,0,0
"Feb 11, 2022",SAS @ ATL,W,33,26,5,5,0,0,0
"Feb 09, 2022",SAS @ CLE,L,33,18,7,1,1,0,2
"Feb 04, 2022",SAS vs. HOU,W,34,28,7,1,2,0,2
"Feb 03, 2022",SAS vs. MIA,L,24,7,3,3,0,0,1
"Feb 01, 2022",SAS vs. GSW,L,35,21,3,4,0,0,3
"Jan 30, 2022",SAS @ PHX,L,39,16,8,4,0,0,0
"Jan 28, 2022",SAS vs. CHI,W,40,23,8,2,0,0,0
"Jan 26, 2022",SAS vs. MEM,L,36,18,3,3,2,1,1
"Jan 25, 2022",SAS @ HOU,W,27,16,4,1,2,0,1
"Jan 23, 2022",SAS vs. PHI,L,33,17,3,3,0,1,0
"Jan 21, 2022",SAS vs. BKN,L,32,14,7,2,0,0,1
"Jan 19, 2022",SAS vs. OKC,W,23,13,1,0,0,1,1
"Jan 17, 2022",SAS vs. PHX,L,33,14,7,2,0,0,0
"Jan 15, 2022",SAS vs. LAC,W,33,17,6,1,0,0,3
"Jan 14, 2022",SAS vs. CLE,L,30,18,5,2,0,0,1
"Jan 12, 2022",SAS vs. HOU,L,24,18,5,1,0,0,0
"Jan 05, 2022",SAS @ BOS,W,33,13,6,1,0,0,1
"Jan 04, 2022",SAS @ TOR,L,29,6,4,4,1,0,3
"Jan 01, 2022",SAS @ DET,L,38,12,7,1,1,0,3
"Dec 31, 2021",SAS @ MEM,L,28,6,6,2,0,0,3
"Dec 27, 2021",SAS vs. UTA,L,35,13,7,1,1,0,0
"Dec 26, 2021",SAS vs. DET,W,23,27,5,1,0,0,2
"Dec 23, 2021",SAS @ LAL,W,33,16,10,0,1,0,0
"Dec 20, 2021",SAS @ LAC,W,32,12,12,1,1,0,2
"Dec 19, 2021",SAS @ SAC,L,32,16,11,1,2,0,2
"Dec 17, 2021",SAS @ UTA,W,31,24,8,2,0,0,1
"Dec 15, 2021",SAS vs. CHA,L,32,21,3,1,0,0,0
"Dec 12, 2021",SAS vs. NOP,W,29,17,4,1,1,0,1
"Dec 11, 2021",SAS vs. DEN,L,21,14,4,1,0,0,0
"Dec 07, 2021",SAS vs. NYK,L,16,5,5,1,1,0,1
"Dec 06, 2021",SAS @ PHX,L,31,13,6,0,1,0,2
"Dec 04, 2021",SAS @ GSW,W,38,15,7,3,1,0,2
"Dec 02, 2021",SAS @ POR,W,34,14,7,1,0,0,1
"Nov 29, 2021",SAS vs. WAS,W,35,13,5,2,0,0,0
"Nov 26, 2021",SAS vs. BOS,W,38,17,14,2,2,0,1
