GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",DET vs. MIL,L,23,17,5,5,0,1,3
"Apr 03, 2022",DET @ IND,W,18,7,2,1,1,1,1
"Mar 31, 2022",DET vs. PHI,W,21,12,5,3,2,1,1
"Mar 29, 2022",DET @ BKN,L,17,8,3,8,1,0,1
"Mar 27, 2022",DET vs. NYK,L,18,2,3,4,0,0,0
"Mar 23, 2022",DET vs. ATL,W,18,16,4,1,0,2,1
"Mar 19, 2022",DET @ CLE,L,17,6,5,2,1,0,0
"Mar 17, 2022",DET @ ORL,W,19,9,3,2,1,1,2
"Mar 15, 2022",DET @ MIA,L,13,6,5,1,2,0,1
"Mar 13, 2022",DET vs. LAC,L,15,9,3,0,0,0,2
"Mar 11, 2022",DET @ BOS,L,13,6,1,2,1,0,2
"Mar 09, 2022",DET vs. CHI,L,20,12,4,4,0,0,2
"Mar 07, 2022",DET vs. ATL,W,17,6,4,3,0,0,2
"Mar 04, 2022",DET vs. IND,W,14,6,4,3,0,2,2
"Mar 03, 2022",DET @ TOR,W,18,5,3,2,0,0,1
"Mar 01, 2022",DET @ WAS,L,21,10,4,3,0,0,1
"Feb 27, 2022",DET @ CHA,W,24,20,8,3,2,0,0
"Feb 26, 2022",DET vs. BOS,L,17,3,5,2,0,0,0
"Feb 24, 2022",DET vs. CLE,W,21,2,4,4,1,0,0
"Feb 16, 2022",DET @ BOS,W,17,15,6,1,2,0,4
"Feb 14, 2022",DET @ WAS,L,13,0,3,1,1,1,2
"Feb 11, 2022",DET vs. CHA,L,18,9,5,3,0,0,2
"Feb 10, 2022",DET vs. MEM,L,21,9,7,2,0,0,1
"Feb 08, 2022",DET @ DAL,L,19,7,3,4,0,0,2
"Feb 06, 2022",DET @ MIN,L,14,3,2,4,0,0,0
"Feb 04, 2022",DET vs. BOS,L,15,2,6,2,0,1,1
"Feb 03, 2022",DET vs. MIN,L,15,4,2,2,1,1,1
"Feb 01, 2022",DET vs. NOP,L,17,3,2,6,0,0,5
"Jan 21, 2022",DET @ UTA,L,19,4,4,5,0,0,2
"Jan 19, 2022",DET @ SAC,W,22,22,9,5,1,1,1
"Nov 10, 2021",DET @ HOU,W,26,13,6,1,2,1,2
"Nov 05, 2021",DET vs. BKN,L,25,14,10,2,1,1,0
"Nov 04, 2021",DET vs. PHI,L,17,11,5,0,1,0,2
"Nov 02, 2021",DET vs. MIL,L,16,5,4,3,0,1,2
"Oct 31, 2021",DET @ BKN,L,21,9,2,2,1,0,1
"Oct 30, 2021",DET vs. ORL,W,28,18,6,4,3,2,0
"Oct 28, 2021",DET @ PHI,L,25,14,5,3,2,1,2
"Oct 25, 2021",DET @ ATL,L,30,21,6,4,2,0,3
"Oct 23, 2021",DET @ CHI,L,19,10,5,1,1,1,1
"Oct 20, 2021",DET vs. CHI,L,22,10,4,3,1,0,2
"Apr 09, 2023",UTA @ LAL,L,29,23,5,4,0,2,4
"Apr 06, 2023",UTA vs. OKC,L,32,16,14,8,1,0,7
"Apr 04, 2023",UTA vs. LAL,L,35,23,7,7,0,0,3
"Apr 02, 2023",UTA @ BKN,L,33,7,15,5,1,0,3
"Mar 31, 2023",UTA @ BOS,L,31,8,8,3,0,1,3
"Mar 27, 2023",UTA vs. PHX,L,29,10,7,7,0,0,3
"Mar 25, 2023",UTA @ SAC,L,32,17,8,10,1,0,4
"Mar 24, 2023",UTA vs. MIL,L,22,16,7,3,2,0,2
"Mar 22, 2023",UTA vs. POR,L,31,12,10,2,2,0,5
"Mar 20, 2023",UTA vs. SAC,W,31,19,10,8,1,0,3
"Mar 18, 2023",UTA vs. BOS,W,29,13,13,6,0,0,2
"Mar 13, 2023",UTA @ MIA,L,24,3,5,7,0,1,2
"Mar 11, 2023",UTA @ CHA,W,30,17,6,0,1,0,2
"Mar 09, 2023",UTA @ ORL,W,29,10,5,7,0,1,2
"Mar 07, 2023",UTA @ DAL,L,28,12,7,3,2,0,3
"Mar 05, 2023",UTA @ OKC,L,31,15,10,5,0,0,2
"Mar 03, 2023",UTA @ OKC,L,27,15,3,3,0,3,4
"Feb 28, 2023",UTA vs. SAS,L,30,8,10,1,1,0,4
"Feb 25, 2023",UTA vs. SAS,W,23,9,8,2,0,1,1
"Feb 23, 2023",UTA vs. OKC,W,31,12,7,3,2,1,4
"Feb 15, 2023",UTA @ MEM,L,37,28,14,6,0,0,6
"Feb 13, 2023",UTA @ IND,W,31,18,10,2,1,0,0
"Feb 11, 2023",UTA @ NYK,L,26,11,3,1,1,0,1
"Feb 10, 2023",UTA @ TOR,W,32,15,7,8,1,1,2
"Feb 08, 2023",UTA vs. MIN,L,22,14,6,1,0,0,1
"Feb 06, 2023",UTA vs. DAL,L,28,11,6,3,0,0,0
"Feb 03, 2023",UTA vs. ATL,L,30,6,10,4,0,0,2
"Feb 01, 2023",UTA vs. TOR,W,20,2,4,4,0,1,2
"Jan 28, 2023",UTA vs. DAL,W,15,3,1,2,0,0,2
"Jan 08, 2023",UTA @ MEM,L,29,19,8,5,0,0,5
"Jan 07, 2023",UTA @ CHI,L,30,6,4,2,0,2,1
"Jan 05, 2023",UTA @ HOU,W,21,2,4,4,2,1,1
"Jan 03, 2023",UTA vs. SAC,L,28,5,6,4,1,0,1
"Dec 31, 2022",UTA vs. MIA,L,33,14,4,6,3,0,5
"Dec 30, 2022",UTA @ SAC,L,29,5,3,1,0,1,1
"Dec 28, 2022",UTA @ GSW,L,26,9,6,2,0,2,2
"Dec 17, 2022",UTA @ MIL,L,27,12,1,2,2,0,4
"Dec 15, 2022",UTA vs. NOP,W,35,14,7,3,0,0,3
"Dec 13, 2022",UTA vs. NOP,W,16,6,5,3,0,0,3
"Dec 10, 2022",UTA @ DEN,L,33,18,9,3,0,0,0
"Dec 09, 2022",UTA vs. MIN,L,32,10,4,4,0,0,1
"Dec 07, 2022",UTA vs. GSW,W,30,15,3,5,2,0,4
"Dec 03, 2022",UTA vs. POR,L,35,15,9,6,1,0,2
"Dec 02, 2022",UTA vs. IND,W,22,10,4,1,2,0,4
"Nov 30, 2022",UTA vs. LAC,W,36,12,7,3,1,3,2
"Nov 28, 2022",UTA vs. CHI,L,33,23,4,4,1,2,2
"Nov 26, 2022",UTA @ PHX,L,33,10,6,3,2,1,0
"Nov 25, 2022",UTA @ GSW,L,33,21,4,1,1,2,1
"Nov 23, 2022",UTA vs. DET,L,35,8,3,6,2,1,0
