GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 14, 2022",OKC @ NYK,W,27,13,4,3,1,0,0
"Feb 12, 2022",OKC @ CHI,L,27,12,4,1,2,0,0
"Feb 11, 2022",OKC @ PHI,L,24,7,10,4,0,1,0
"Feb 09, 2022",OKC vs. TOR,L,31,6,12,6,1,1,2
"Feb 07, 2022",OKC vs. GSW,L,31,12,7,5,1,1,2
"Feb 05, 2022",OKC @ SAC,L,17,5,5,1,0,1,3
"Feb 04, 2022",OKC @ POR,W,23,10,6,4,2,0,1
"Feb 02, 2022",OKC @ DAL,W,29,8,4,5,1,1,2
"Jan 31, 2022",OKC vs. POR,W,25,8,4,2,0,0,1
"Jan 28, 2022",OKC vs. IND,L,26,5,3,2,0,0,2
"Jan 24, 2022",OKC vs. CHI,L,30,6,7,2,1,0,1
"Jan 22, 2022",OKC @ CLE,L,25,12,4,2,0,0,1
"Jan 21, 2022",OKC @ CHA,L,16,7,6,3,0,0,1
"Jan 09, 2022",OKC vs. DEN,L,18,8,6,3,0,0,1
"Jan 07, 2022",OKC vs. MIN,L,16,5,4,2,2,0,1
"Jan 05, 2022",OKC @ MIN,L,25,10,9,2,4,0,1
"Jan 02, 2022",OKC vs. DAL,L,19,9,2,1,1,0,1
"Dec 31, 2021",OKC vs. NYK,W,28,8,7,4,0,0,1
"Dec 29, 2021",OKC @ PHX,L,7,0,1,2,0,0,2
"Dec 28, 2021",OKC @ SAC,L,28,7,8,2,1,0,0
"Dec 26, 2021",OKC vs. NOP,W,21,10,5,0,0,0,0
"Dec 23, 2021",OKC @ PHX,L,21,7,4,1,1,0,2
"Dec 22, 2021",OKC vs. DEN,W,16,2,2,1,1,0,0
"Dec 20, 2021",OKC @ MEM,W,23,13,3,1,1,0,2
"Dec 18, 2021",OKC vs. LAC,W,22,4,7,1,0,0,1
"Dec 15, 2021",OKC vs. NOP,L,26,17,6,3,2,0,0
"Dec 12, 2021",OKC vs. DAL,L,23,2,1,2,0,0,0
"Dec 10, 2021",OKC vs. LAL,L,19,0,6,3,1,0,2
"Dec 08, 2021",OKC @ TOR,W,21,9,3,4,4,0,1
"Dec 06, 2021",OKC @ DET,W,27,12,3,3,4,2,0
"Nov 26, 2021",OKC vs. WAS,L,24,11,5,1,1,0,0
"Nov 24, 2021",OKC vs. UTA,L,17,12,2,3,3,0,1
"Nov 22, 2021",OKC @ ATL,L,14,4,4,3,0,0,0
"Nov 20, 2021",OKC @ BOS,L,19,7,5,2,1,0,0
"Nov 19, 2021",OKC @ MIL,L,18,7,2,4,0,0,1
"Nov 17, 2021",OKC vs. HOU,W,18,0,2,2,0,0,0
"Nov 15, 2021",OKC vs. MIA,L,17,5,2,3,1,0,2
"Nov 14, 2021",OKC vs. BKN,L,22,9,3,3,2,0,1
"Nov 12, 2021",OKC vs. SAC,W,18,9,5,0,1,0,0
"Nov 10, 2021",OKC @ NOP,W,21,4,3,0,0,0,2
"Nov 07, 2021",OKC vs. SAS,W,20,7,4,1,1,1,0
"Nov 04, 2021",OKC @ LAL,W,30,13,8,2,1,0,0
"Nov 01, 2021",OKC @ LAC,L,22,0,4,1,0,1,1
"Oct 30, 2021",OKC @ GSW,L,20,0,3,0,0,0,1
"Oct 27, 2021",OKC vs. LAL,W,19,5,4,0,1,0,1
"Oct 26, 2021",OKC vs. GSW,L,25,9,5,3,1,0,1
"Oct 24, 2021",OKC vs. PHI,L,21,8,2,1,0,0,1
"Oct 22, 2021",OKC @ HOU,L,22,12,4,3,0,1,2
"Oct 20, 2021",OKC @ UTA,L,16,7,0,1,0,0,1
"Feb 28, 2023",OKC vs. SAC,L,29,11,4,0,5,0,3
"Feb 26, 2023",OKC vs. SAC,L,20,7,5,2,2,0,2
"Feb 24, 2023",OKC @ PHX,L,28,8,5,3,1,0,0
"Feb 23, 2023",OKC @ UTA,L,28,16,4,3,0,0,0
"Feb 15, 2023",OKC vs. HOU,W,18,6,5,2,0,1,1
"Feb 13, 2023",OKC vs. NOP,L,31,9,8,3,1,1,2
"Feb 10, 2023",OKC @ POR,W,27,8,3,0,2,0,0
"Feb 07, 2023",OKC @ LAL,W,30,8,4,5,1,0,1
"Feb 06, 2023",OKC @ GSW,L,19,9,4,2,0,0,2
"Feb 04, 2023",OKC vs. HOU,W,11,10,3,4,1,0,0
"Feb 01, 2023",OKC @ HOU,L,30,13,6,2,3,0,1
"Jan 30, 2023",OKC vs. GSW,L,33,7,8,2,3,0,2
"Jan 27, 2023",OKC vs. CLE,W,20,7,7,1,0,1,0
"Jan 25, 2023",OKC vs. ATL,L,30,9,7,7,0,0,1
"Jan 22, 2023",OKC @ DEN,W,25,11,6,4,1,0,0
"Jan 20, 2023",OKC @ SAC,L,26,3,6,3,0,0,1
"Jan 18, 2023",OKC vs. IND,W,22,12,5,10,1,2,1
"Jan 15, 2023",OKC @ BKN,W,23,2,4,1,1,0,0
"Jan 13, 2023",OKC @ CHI,W,24,8,8,0,1,0,0
"Jan 12, 2023",OKC @ PHI,W,17,8,4,1,0,1,1
"Jan 10, 2023",OKC @ MIA,L,24,13,4,1,1,0,0
"Jan 08, 2023",OKC vs. DAL,W,25,14,10,2,1,0,0
"Jan 06, 2023",OKC vs. WAS,W,24,8,4,1,0,1,0
"Jan 04, 2023",OKC @ ORL,L,20,12,9,1,1,0,1
"Jan 03, 2023",OKC vs. BOS,W,24,10,5,3,1,0,1
"Dec 31, 2022",OKC vs. PHI,L,23,6,9,2,0,3,0
"Dec 29, 2022",OKC @ CHA,L,15,4,5,0,0,0,1
"Dec 27, 2022",OKC vs. SAS,W,18,7,5,0,0,0,0
"Dec 23, 2022",OKC vs. NOP,L,26,9,5,2,0,0,0
"Dec 21, 2022",OKC vs. POR,W,27,9,7,2,2,0,1
"Dec 19, 2022",OKC vs. POR,W,29,12,4,2,2,0,2
"Dec 17, 2022",OKC vs. MEM,W,32,11,8,5,1,0,0
"Dec 03, 2022",OKC @ MIN,W,21,15,3,2,0,0,0
"Nov 30, 2022",OKC vs. SAS,W,19,9,5,0,0,0,0
"Nov 28, 2022",OKC @ NOP,L,19,3,3,1,0,0,1
"Nov 26, 2022",OKC @ HOU,L,16,9,4,0,1,1,0
"Nov 25, 2022",OKC vs. CHI,W,33,8,5,2,2,0,0
"Nov 21, 2022",OKC vs. NYK,L,17,4,1,1,0,0,1
"Nov 18, 2022",OKC @ MEM,L,11,5,1,0,0,0,0
"Nov 16, 2022",OKC @ WAS,W,26,9,5,1,1,1,2
"Nov 14, 2022",OKC @ BOS,L,19,7,1,2,1,0,0
"Nov 13, 2022",OKC @ NYK,W,20,3,3,3,2,0,0
"Nov 11, 2022",OKC vs. TOR,W,19,6,6,0,0,0,0
"Nov 09, 2022",OKC vs. MIL,L,17,2,1,1,0,0,1
"Nov 07, 2022",OKC @ DET,L,26,11,8,4,1,0,0
"Nov 05, 2022",OKC @ MIL,L,17,3,3,1,1,0,0
