GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",MIA vs. WAS,L,28,17,8,1,2,0,1
"Apr 11, 2025",MIA @ NOP,W,7,10,2,0,1,0,0
"Apr 07, 2025",MIA vs. PHI,W,1,0,0,0,0,0,0
"Apr 02, 2025",MIA @ BOS,W,2,0,0,0,1,0,0
"Mar 31, 2025",MIA @ WAS,W,2,0,0,0,0,0,0
"Mar 29, 2025",MIA @ PHI,W,2,0,1,0,0,0,0
"Jan 23, 2025",MIA @ MIL,L,4,2,2,0,0,0,0
"Jan 19, 2025",MIA vs. SAS,W,2,0,1,1,0,0,1
"Jan 17, 2025",MIA vs. DEN,L,2,0,0,0,0,0,0
"Jan 11, 2025",MIA @ POR,W,2,0,1,0,0,0,0
"Jan 07, 2025",MIA @ GSW,W,1,0,0,0,0,0,0
"Jan 04, 2025",MIA vs. UTA,L,20,7,4,1,1,1,1
"Jan 02, 2025",MIA vs. IND,L,12,5,6,1,0,3,1
"Dec 23, 2024",MIA vs. BKN,W,2,0,1,0,0,0,0
"Dec 04, 2024",MIA vs. LAL,W,6,0,2,0,0,0,0
"Dec 02, 2024",MIA @ BOS,L,7,2,0,0,0,0,0
