GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",DET @ PHI,L,10,8,1,1,1,0,0
"Apr 08, 2022",DET vs. MIL,L,27,6,3,3,0,1,0
"Apr 06, 2022",DET vs. DAL,L,30,11,4,2,2,0,1
"Apr 03, 2022",DET @ IND,W,22,10,0,7,1,0,1
"Apr 01, 2022",DET @ OKC,W,40,26,7,8,5,2,3
"Mar 31, 2022",DET vs. PHI,W,26,10,1,2,3,0,1
"Mar 29, 2022",DET @ BKN,L,33,13,4,3,4,1,0
"Mar 27, 2022",DET vs. NYK,L,25,6,6,2,1,0,2
"Mar 25, 2022",DET vs. WAS,L,29,10,6,4,2,3,4
"Mar 23, 2022",DET vs. ATL,W,33,13,8,5,1,0,3
"Mar 21, 2022",DET vs. POR,L,36,12,5,6,1,1,4
"Mar 17, 2022",DET @ ORL,W,11,0,0,5,0,0,0
"Mar 15, 2022",DET @ MIA,L,30,9,4,8,1,0,3
"Mar 07, 2022",DET vs. ATL,W,31,13,4,6,1,0,1
"Mar 04, 2022",DET vs. IND,W,21,3,4,4,1,1,1
"Mar 03, 2022",DET @ TOR,W,18,0,1,3,0,0,1
"Mar 01, 2022",DET @ WAS,L,27,7,7,5,3,1,2
"Feb 27, 2022",DET @ CHA,W,31,6,7,7,1,0,2
"Feb 26, 2022",DET vs. BOS,L,18,3,0,4,1,1,3
"Feb 24, 2022",DET vs. CLE,W,25,2,5,5,2,1,0
"Feb 16, 2022",DET @ BOS,W,18,4,2,2,1,0,2
"Feb 14, 2022",DET @ WAS,L,12,0,1,3,0,0,2
"Feb 11, 2022",DET vs. CHA,L,28,11,3,12,1,0,1
"Feb 10, 2022",DET vs. MEM,L,13,2,2,4,0,0,3
"Feb 08, 2022",DET @ DAL,L,21,6,2,2,1,0,8
"Feb 06, 2022",DET @ MIN,L,24,10,3,8,1,1,3
"Feb 04, 2022",DET vs. BOS,L,24,11,5,5,0,2,1
"Feb 03, 2022",DET vs. MIN,L,20,2,1,4,0,2,3
"Feb 01, 2022",DET vs. NOP,L,20,7,2,2,1,0,2
"Jan 30, 2022",DET vs. CLE,W,24,4,2,6,0,0,1
"Jan 28, 2022",DET @ ORL,L,25,11,6,6,1,2,0
"Jan 25, 2022",DET vs. DEN,L,29,6,2,8,2,0,0
"Jan 23, 2022",DET @ DEN,L,25,8,3,5,0,2,3
"Jan 18, 2022",DET @ GSW,L,9,0,0,0,0,0,0
"Jan 16, 2022",DET vs. PHX,L,27,9,3,5,0,1,1
"Jan 14, 2022",DET vs. TOR,W,26,5,6,5,2,1,1
"Jan 11, 2022",DET @ CHI,L,33,8,3,5,4,0,3
"Jan 10, 2022",DET vs. UTA,W,23,5,2,3,1,0,0
"Jan 08, 2022",DET vs. ORL,W,24,5,1,3,1,0,2
"Jan 06, 2022",DET @ MEM,L,30,5,2,2,0,1,4
"Jan 05, 2022",DET @ CHA,L,24,8,1,4,3,0,0
"Jan 03, 2022",DET @ MIL,W,24,5,2,4,1,0,2
"Dec 19, 2021",DET vs. MIA,W,21,11,2,1,1,0,2
"Dec 18, 2021",DET vs. HOU,L,36,8,4,10,2,1,3
