GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 06, 2022",WAS @ ATL,L,32,26,18,4,1,2,3
"Apr 05, 2022",WAS @ MIN,W,27,25,8,1,0,1,0
"Apr 03, 2022",WAS @ BOS,L,26,17,7,1,0,0,2
"Apr 01, 2022",WAS vs. DAL,W,30,24,9,4,2,1,0
"Mar 30, 2022",WAS vs. ORL,W,29,35,8,3,0,2,2
"Mar 29, 2022",WAS vs. CHI,L,29,14,10,5,0,3,2
"Mar 27, 2022",WAS vs. GSW,W,31,23,9,6,1,1,4
"Mar 25, 2022",WAS @ DET,W,32,30,10,3,2,2,2
"Mar 24, 2022",WAS @ MIL,L,32,16,9,3,2,0,2
"Mar 21, 2022",WAS @ HOU,L,32,22,13,4,1,5,1
"Mar 19, 2022",WAS vs. LAL,W,26,27,3,5,1,0,2
"Mar 18, 2022",WAS @ NYK,L,29,18,11,1,0,1,1
"Mar 16, 2022",WAS vs. DEN,L,23,16,7,1,0,3,2
"Mar 14, 2022",WAS @ GSW,L,27,25,8,4,0,0,3
"Mar 11, 2022",WAS @ LAL,L,25,14,14,2,1,1,0
"Mar 09, 2022",WAS @ LAC,L,26,19,1,3,1,1,2
"Mar 06, 2022",WAS vs. IND,W,21,25,5,0,0,2,0
"Jan 29, 2022",DAL vs. IND,W,11,5,1,0,0,0,0
"Jan 26, 2022",DAL @ POR,W,27,22,5,1,1,0,3
"Jan 25, 2022",DAL @ GSW,L,25,9,7,1,1,2,3
"Jan 23, 2022",DAL vs. MEM,W,26,15,8,2,0,6,0
"Jan 20, 2022",DAL vs. PHX,L,32,18,11,1,0,2,1
"Jan 19, 2022",DAL vs. TOR,W,33,18,7,2,1,0,5
"Jan 17, 2022",DAL vs. OKC,W,28,13,8,1,1,4,2
"Jan 15, 2022",DAL vs. ORL,W,28,19,7,0,1,1,1
"Dec 31, 2021",DAL @ SAC,W,33,24,9,6,0,2,2
"Dec 29, 2021",DAL @ SAC,L,35,24,7,3,1,3,3
"Dec 27, 2021",DAL @ POR,W,32,34,9,5,2,2,0
"Dec 25, 2021",DAL @ UTA,L,34,27,9,3,1,2,3
"Dec 19, 2021",DAL @ MIN,L,23,13,3,1,1,1,0
"Dec 15, 2021",DAL vs. LAL,L,39,23,12,3,0,2,5
"Dec 13, 2021",DAL vs. CHA,W,25,24,13,0,0,5,0
"Dec 12, 2021",DAL @ OKC,W,30,13,7,3,0,1,1
"Dec 10, 2021",DAL @ IND,L,31,22,2,2,0,0,0
"Dec 08, 2021",DAL @ MEM,W,23,19,4,1,1,0,1
"Dec 07, 2021",DAL vs. BKN,L,31,17,12,5,1,1,2
"Dec 01, 2021",DAL @ NOP,W,28,20,10,2,0,2,1
"Nov 29, 2021",DAL vs. CLE,L,27,9,5,1,0,4,0
"Nov 27, 2021",DAL vs. WAS,L,36,13,7,3,3,1,0
"Nov 23, 2021",DAL @ LAC,W,40,30,7,1,1,1,5
"Nov 21, 2021",DAL @ LAC,L,32,25,8,2,0,2,0
"Nov 19, 2021",DAL @ PHX,L,30,23,12,2,2,1,2
"Nov 17, 2021",DAL @ PHX,L,32,21,8,7,1,2,1
"Nov 15, 2021",DAL vs. DEN,W,33,29,11,3,2,1,2
"Nov 12, 2021",DAL @ SAS,W,34,32,7,0,0,3,1
"Nov 10, 2021",DAL @ CHI,L,32,22,12,1,0,0,1
"Nov 08, 2021",DAL vs. NOP,W,26,12,8,3,0,1,2
