GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",CHA vs. WAS,W,29,24,10,9,1,0,8
"Apr 08, 2022",CHA @ CHI,W,29,24,5,9,0,0,4
"Apr 07, 2022",CHA vs. ORL,W,35,26,8,9,4,0,3
"Apr 05, 2022",CHA @ MIA,L,34,18,5,14,1,0,5
"Apr 02, 2022",CHA @ PHI,L,28,13,2,5,2,0,6
"Mar 30, 2022",CHA @ NYK,W,37,20,5,15,3,0,6
"Mar 28, 2022",CHA vs. DEN,L,34,22,6,11,2,0,3
"Mar 27, 2022",CHA @ BKN,W,37,33,7,9,3,0,1
"Mar 25, 2022",CHA vs. UTA,W,34,21,4,5,2,0,2
"Mar 23, 2022",CHA vs. NYK,L,39,32,9,5,1,0,4
"Mar 21, 2022",CHA vs. NOP,W,32,17,4,9,0,2,1
"Mar 19, 2022",CHA vs. DAL,W,30,17,4,7,4,1,0
"Mar 16, 2022",CHA vs. ATL,W,36,22,8,11,1,1,3
"Mar 14, 2022",CHA @ OKC,W,30,21,5,7,2,0,3
"Mar 11, 2022",CHA @ NOP,W,31,17,6,9,3,0,1
"Mar 09, 2022",CHA vs. BOS,L,28,15,8,4,0,1,6
"Mar 08, 2022",CHA vs. BKN,L,30,24,5,7,2,0,4
"Mar 05, 2022",CHA vs. SAS,W,29,24,8,7,0,1,4
"Mar 02, 2022",CHA @ CLE,W,8,2,0,4,2,0,1
"Feb 28, 2022",CHA @ MIL,L,30,24,4,2,1,0,3
"Feb 27, 2022",CHA vs. DET,L,38,17,7,7,1,2,4
"Feb 25, 2022",CHA vs. TOR,W,29,13,5,6,1,0,6
"Feb 17, 2022",CHA vs. MIA,L,39,14,10,14,0,1,5
"Feb 15, 2022",CHA @ MIN,L,41,22,9,6,1,1,2
"Feb 12, 2022",CHA vs. MEM,L,33,25,4,2,1,0,4
"Feb 11, 2022",CHA @ DET,W,32,31,5,12,4,0,2
"Feb 09, 2022",CHA vs. CHI,L,38,33,9,5,4,0,4
"Feb 07, 2022",CHA vs. TOR,L,44,15,4,9,4,0,7
"Feb 05, 2022",CHA vs. MIA,L,22,12,6,3,0,0,1
"Feb 04, 2022",CHA vs. CLE,L,32,15,6,3,0,0,6
"Feb 02, 2022",CHA @ BOS,L,39,38,6,9,2,0,3
"Jan 30, 2022",CHA vs. LAC,L,38,23,5,10,2,0,0
"Jan 28, 2022",CHA vs. LAL,W,34,20,7,2,1,1,1
"Jan 26, 2022",CHA @ IND,W,38,29,10,13,1,1,4
"Jan 25, 2022",CHA @ TOR,L,32,25,3,7,1,0,4
"Jan 23, 2022",CHA vs. ATL,L,34,19,6,4,0,1,4
"Jan 21, 2022",CHA vs. OKC,W,26,10,9,8,0,1,1
"Jan 19, 2022",CHA @ BOS,W,32,15,10,10,0,1,8
"Jan 14, 2022",CHA vs. ORL,L,30,23,4,8,3,0,3
"Jan 12, 2022",CHA @ PHI,W,36,13,7,8,1,0,1
"Jan 10, 2022",CHA vs. MIL,W,35,23,5,3,0,0,4
"Jan 08, 2022",CHA vs. MIL,W,26,19,9,8,1,0,2
"Jan 05, 2022",CHA vs. DET,W,30,12,8,12,1,1,4
"Jan 03, 2022",CHA @ WAS,L,31,18,4,2,0,0,2
"Jan 02, 2022",CHA vs. PHX,L,23,17,3,1,0,1,1
"Dec 29, 2021",CHA @ IND,W,34,21,12,9,1,0,4
"Dec 27, 2021",CHA vs. HOU,W,25,16,5,7,2,0,1
"Dec 23, 2021",CHA @ DEN,W,25,16,5,4,4,1,3
"Dec 20, 2021",CHA @ UTA,L,33,21,6,11,0,1,4
"Dec 19, 2021",CHA @ PHX,L,25,9,10,7,2,1,2
"Dec 17, 2021",CHA @ POR,L,29,27,4,5,1,0,2
"Dec 01, 2021",CHA @ MIL,L,41,36,5,9,3,1,7
"Nov 29, 2021",CHA @ CHI,L,32,18,7,13,2,1,3
"Nov 27, 2021",CHA @ HOU,L,40,19,11,13,1,0,2
"Nov 26, 2021",CHA vs. MIN,W,29,10,6,13,1,0,4
"Nov 24, 2021",CHA @ ORL,W,26,22,4,4,0,0,2
"Nov 22, 2021",CHA @ WAS,W,38,28,13,7,3,1,6
"Nov 20, 2021",CHA @ ATL,L,34,15,9,11,2,1,1
"Nov 19, 2021",CHA vs. IND,W,39,32,11,8,1,0,5
"Nov 17, 2021",CHA vs. WAS,W,36,11,6,14,2,0,5
"Nov 14, 2021",CHA vs. GSW,W,38,21,7,5,3,0,4
"Nov 12, 2021",CHA vs. NYK,W,37,12,17,9,5,1,4
"Nov 10, 2021",CHA @ MEM,W,32,12,9,8,2,0,4
"Nov 08, 2021",CHA @ LAL,L,42,25,16,11,1,1,3
"Nov 07, 2021",CHA @ LAC,L,32,21,7,3,3,0,2
"Nov 05, 2021",CHA @ SAC,L,31,24,3,13,0,0,2
"Nov 03, 2021",CHA @ GSW,L,34,14,5,8,4,0,4
"Nov 01, 2021",CHA vs. CLE,L,34,30,7,6,2,2,3
"Oct 31, 2021",CHA vs. POR,W,33,27,9,7,1,0,1
"Oct 29, 2021",CHA @ MIA,L,30,6,5,6,0,1,2
"Oct 27, 2021",CHA @ ORL,W,24,7,6,3,3,0,3
"Oct 25, 2021",CHA vs. BOS,L,33,25,5,9,0,0,6
"Oct 24, 2021",CHA @ BKN,W,26,18,5,5,0,1,0
"Oct 22, 2021",CHA @ CLE,W,29,17,3,6,5,0,3
"Oct 20, 2021",CHA vs. IND,W,29,31,9,7,2,0,2
"Feb 27, 2023",CHA vs. DET,W,21,18,6,5,0,0,5
"Feb 25, 2023",CHA vs. MIA,W,40,19,7,13,0,0,7
"Feb 24, 2023",CHA @ MIN,W,40,32,10,8,2,0,3
"Feb 15, 2023",CHA vs. SAS,W,39,28,12,10,1,0,4
"Feb 13, 2023",CHA vs. ATL,W,41,30,6,15,0,0,4
"Feb 11, 2023",CHA vs. DEN,L,35,18,9,12,2,0,4
"Feb 10, 2023",CHA @ BOS,L,38,24,9,10,1,0,5
"Feb 08, 2023",CHA @ WAS,L,36,16,6,4,0,0,3
"Feb 05, 2023",CHA vs. ORL,L,38,33,8,6,4,0,4
"Feb 03, 2023",CHA @ DET,L,40,23,8,8,5,0,3
"Feb 02, 2023",CHA @ CHI,L,36,19,8,6,2,0,4
"Jan 31, 2023",CHA @ MIL,L,40,27,10,11,3,3,4
"Jan 29, 2023",CHA vs. MIA,W,36,19,7,7,1,1,7
"Jan 26, 2023",CHA vs. CHI,W,37,15,11,8,0,0,6
"Jan 18, 2023",CHA @ HOU,W,20,13,1,4,0,0,3
"Jan 16, 2023",CHA vs. BOS,L,35,25,5,6,0,0,2
"Jan 14, 2023",CHA vs. BOS,L,39,31,7,9,2,0,5
"Jan 12, 2023",CHA @ TOR,L,40,32,4,7,2,0,5
"Jan 10, 2023",CHA @ TOR,L,38,24,4,14,0,0,2
"Jan 08, 2023",CHA @ IND,L,25,13,2,8,0,0,1
"Jan 06, 2023",CHA @ MIL,W,36,24,3,12,2,1,0
"Jan 04, 2023",CHA vs. MEM,L,35,23,4,12,1,0,1
"Jan 02, 2023",CHA vs. LAL,L,38,24,7,6,3,2,5
"Dec 31, 2022",CHA vs. BKN,L,36,23,7,11,2,0,4
"Dec 29, 2022",CHA vs. OKC,W,36,27,10,9,1,2,3
"Dec 27, 2022",CHA @ GSW,L,35,21,10,4,0,0,3
"Dec 26, 2022",CHA @ POR,L,36,27,7,7,2,0,3
"Dec 23, 2022",CHA @ LAL,W,37,23,8,8,3,0,4
"Dec 21, 2022",CHA @ LAC,L,37,25,11,12,2,0,7
"Dec 19, 2022",CHA @ SAC,W,27,23,5,12,0,0,2
"Dec 18, 2022",CHA @ DEN,L,36,31,5,5,1,0,2
"Dec 16, 2022",CHA vs. ATL,L,33,27,2,3,1,1,2
"Dec 14, 2022",CHA vs. DET,L,34,23,1,11,0,0,1
"Nov 16, 2022",CHA vs. IND,L,37,26,1,6,2,0,4
"Nov 14, 2022",CHA @ ORL,W,34,17,4,9,0,1,5
"Nov 12, 2022",CHA @ MIA,L,28,15,6,6,1,0,2
"Jan 26, 2024",CHA vs. HOU,L,23,15,2,8,2,0,3
"Jan 24, 2024",CHA @ DET,L,32,17,4,7,1,0,4
"Jan 22, 2024",CHA @ MIN,W,35,18,6,13,3,0,1
"Jan 19, 2024",CHA vs. SAS,W,32,28,1,8,3,0,4
"Jan 17, 2024",CHA @ NOP,L,31,29,5,7,2,0,4
"Jan 14, 2024",CHA @ MIA,L,30,21,10,5,3,0,2
"Jan 12, 2024",CHA @ SAS,L,27,28,3,5,5,0,6
"Nov 26, 2023",CHA @ ORL,L,15,7,1,2,0,0,1
"Nov 22, 2023",CHA vs. WAS,W,40,34,8,13,1,0,4
"Nov 20, 2023",CHA vs. BOS,W,41,36,9,8,2,1,5
"Nov 18, 2023",CHA vs. NYK,L,36,34,5,9,1,0,3
"Nov 17, 2023",CHA vs. MIL,L,35,37,5,5,1,0,6
"Nov 14, 2023",CHA vs. MIA,L,39,28,6,11,3,0,8
"Nov 12, 2023",CHA @ NYK,L,33,32,7,6,1,1,2
"Nov 10, 2023",CHA @ WAS,W,38,25,6,6,2,0,2
"Nov 08, 2023",CHA vs. WAS,L,36,34,4,7,1,0,6
"Nov 05, 2023",CHA @ DAL,L,39,30,10,13,1,1,3
"Nov 04, 2023",CHA @ IND,W,31,11,2,11,2,0,6
"Nov 01, 2023",CHA @ HOU,L,33,19,1,5,1,0,3
"Oct 30, 2023",CHA vs. BKN,L,22,8,3,8,2,0,3
"Oct 27, 2023",CHA vs. DET,L,33,20,9,9,2,1,4
"Oct 25, 2023",CHA vs. ATL,W,31,15,6,10,1,0,3
"Mar 25, 2025",CHA vs. ORL,L,29,25,1,9,0,0,4
"Mar 23, 2025",CHA @ MIA,L,34,18,3,11,2,0,5
"Mar 20, 2025",CHA vs. NYK,W,28,25,5,8,0,0,2
"Mar 16, 2025",CHA @ LAC,L,31,16,2,5,0,0,4
"Mar 14, 2025",CHA @ SAS,W,29,27,3,15,1,0,4
"Mar 12, 2025",CHA @ ATL,L,30,25,2,9,2,1,3
"Mar 10, 2025",CHA @ MIA,W,36,15,6,10,1,0,4
"Mar 07, 2025",CHA vs. CLE,L,23,13,1,7,1,0,1
"Mar 05, 2025",CHA vs. MIN,L,36,28,10,6,0,0,4
"Mar 03, 2025",CHA vs. GSW,L,34,25,9,7,1,1,6
"Mar 01, 2025",CHA vs. WAS,L,32,20,7,3,0,0,6
"Feb 24, 2025",CHA @ SAC,L,29,13,6,9,1,0,3
"Feb 22, 2025",CHA @ POR,L,22,5,4,2,0,1,0
"Feb 19, 2025",CHA @ LAL,W,33,27,5,6,1,0,3
"Feb 10, 2025",CHA @ BKN,L,10,5,1,3,1,0,0
"Feb 07, 2025",CHA vs. SAS,W,36,24,4,10,0,0,3
"Jan 27, 2025",CHA vs. LAL,L,9,7,0,1,1,0,1
"Jan 25, 2025",CHA vs. NOP,W,30,25,5,7,3,0,4
"Jan 22, 2025",CHA @ MEM,L,34,22,8,6,0,0,2
"Jan 20, 2025",CHA vs. DAL,W,38,23,7,9,1,1,2
"Jan 17, 2025",CHA @ CHI,W,32,26,1,9,2,0,3
"Jan 15, 2025",CHA @ UTA,W,39,27,6,9,0,3,6
"Jan 12, 2025",CHA @ PHX,L,40,25,6,11,3,1,3
"Jan 07, 2025",CHA vs. PHX,W,35,32,10,7,4,0,1
"Jan 05, 2025",CHA @ CLE,L,33,24,3,4,0,0,3
"Dec 26, 2024",CHA @ WAS,L,38,31,6,6,1,0,5
"Dec 23, 2024",CHA vs. HOU,L,30,23,5,8,0,1,0
"Dec 19, 2024",CHA @ WAS,L,34,34,4,13,4,0,1
"Dec 16, 2024",CHA vs. PHI,L,26,15,5,11,4,0,3
"Nov 27, 2024",CHA vs. MIA,L,37,32,10,7,0,0,7
"Nov 25, 2024",CHA vs. ORL,L,40,44,9,7,1,1,7
"Nov 23, 2024",CHA @ MIL,L,40,50,5,10,1,0,4
"Nov 21, 2024",CHA vs. DET,W,33,35,6,9,1,0,2
"Nov 19, 2024",CHA @ BKN,L,24,12,2,5,1,0,4
"Nov 17, 2024",CHA @ CLE,L,35,31,1,12,1,0,5
"Nov 16, 2024",CHA vs. MIL,W,36,26,9,6,0,0,2
"Nov 12, 2024",CHA @ ORL,L,35,35,6,7,0,0,3
