GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 06, 2022",OKC @ UTA,L,27,10,4,1,0,0,0
"Apr 05, 2022",OKC vs. POR,W,4,8,1,0,1,0,0
"Apr 03, 2022",OKC vs. PHX,W,23,10,5,0,3,0,1
"Apr 01, 2022",OKC vs. DET,L,23,16,5,4,0,1,0
"Mar 30, 2022",OKC vs. ATL,L,33,25,4,1,1,0,2
"Mar 28, 2022",OKC @ POR,W,24,12,2,3,0,0,3
"Mar 26, 2022",OKC @ DEN,L,26,14,4,3,3,0,1
"Mar 23, 2022",OKC vs. ORL,W,19,7,4,0,0,1,0
"Mar 21, 2022",OKC vs. BOS,L,22,3,4,0,0,0,0
"Mar 20, 2022",OKC @ ORL,L,21,12,6,1,1,0,0
"Mar 18, 2022",OKC @ MIA,L,11,5,1,1,1,0,1
"Mar 16, 2022",OKC @ SAS,L,12,0,3,1,2,0,0
"Mar 14, 2022",OKC vs. CHA,L,24,4,6,2,2,1,1
"Mar 13, 2022",OKC vs. MEM,L,30,16,2,3,2,1,0
"Mar 09, 2022",OKC @ MIN,L,28,8,4,3,1,0,0
"Mar 08, 2022",OKC vs. MIL,L,25,16,3,0,1,0,0
"Mar 06, 2022",OKC vs. UTA,L,13,6,2,0,0,2,0
"Mar 04, 2022",OKC vs. MIN,L,27,5,3,1,0,1,2
"Mar 02, 2022",OKC @ DEN,W,19,6,1,0,0,0,0
"Feb 28, 2022",OKC vs. SAC,L,18,3,3,0,0,0,0
"Feb 25, 2022",OKC @ IND,W,24,8,5,0,1,0,0
"Feb 24, 2022",OKC vs. PHX,L,2,0,0,0,0,1,0
"Feb 16, 2022",OKC vs. SAS,L,8,5,0,0,0,0,0
"Feb 12, 2022",OKC @ CHI,L,4,0,1,0,0,0,0
"Feb 11, 2022",OKC @ PHI,L,1,0,0,0,0,0,0
"Apr 09, 2023",OKC vs. MEM,W,12,6,1,1,0,1,0
"Apr 06, 2023",OKC @ UTA,W,16,10,3,0,1,0,0
"Apr 02, 2023",OKC vs. PHX,L,10,1,6,0,1,0,0
"Mar 31, 2023",OKC @ IND,L,17,8,2,1,0,1,0
"Mar 24, 2023",OKC @ LAL,L,18,6,0,1,0,0,0
"Mar 23, 2023",OKC @ LAC,L,22,6,2,1,0,0,0
"Mar 21, 2023",OKC @ LAC,W,12,3,2,0,0,0,1
"Mar 19, 2023",OKC vs. PHX,W,23,7,3,1,1,1,0
"Mar 16, 2023",OKC @ TOR,L,5,6,0,0,0,0,0
"Mar 14, 2023",OKC vs. BKN,W,20,0,0,0,0,0,1
"Mar 12, 2023",OKC @ SAS,W,23,8,4,1,1,0,0
"Mar 11, 2023",OKC @ NOP,W,17,6,3,1,0,0,2
"Mar 08, 2023",OKC @ PHX,L,31,23,4,2,0,0,0
"Mar 07, 2023",OKC vs. GSW,W,6,7,2,0,0,1,0
"Mar 05, 2023",OKC vs. UTA,W,1,0,0,1,0,0,0
"Mar 01, 2023",OKC vs. LAL,L,18,8,1,1,1,1,0
"Feb 26, 2023",OKC vs. SAC,L,17,12,7,1,2,0,0
"Feb 24, 2023",OKC @ PHX,L,5,0,0,0,0,0,0
"Feb 15, 2023",OKC vs. HOU,W,18,6,2,0,1,0,0
"Feb 13, 2023",OKC vs. NOP,L,6,3,0,0,0,0,1
"Feb 10, 2023",OKC @ POR,W,3,0,0,0,0,0,0
"Feb 06, 2023",OKC @ GSW,L,15,8,2,1,0,0,0
"Jan 20, 2023",OKC @ SAC,L,7,0,0,0,0,0,0
"Jan 15, 2023",OKC @ BKN,W,10,5,1,1,0,1,0
"Jan 13, 2023",OKC @ CHI,W,15,6,2,3,1,0,1
"Jan 12, 2023",OKC @ PHI,W,5,3,0,0,0,1,0
"Jan 10, 2023",OKC @ MIA,L,13,9,5,0,0,0,1
"Jan 08, 2023",OKC vs. DAL,W,21,8,4,1,1,2,0
"Jan 06, 2023",OKC vs. WAS,W,2,3,0,0,0,0,0
"Jan 04, 2023",OKC @ ORL,L,12,6,3,2,0,1,0
"Dec 31, 2022",OKC vs. PHI,L,5,4,1,1,0,1,0
"Dec 23, 2022",OKC vs. NOP,L,9,0,1,1,0,0,1
"Dec 21, 2022",OKC vs. POR,W,7,3,1,1,0,0,0
"Dec 19, 2022",OKC vs. POR,W,11,1,1,1,0,0,0
"Dec 17, 2022",OKC vs. MEM,W,18,6,2,0,0,0,2
"Dec 16, 2022",OKC vs. MIN,L,11,3,0,2,1,0,0
"Nov 21, 2022",OKC vs. NYK,L,8,3,0,0,0,0,0
"Nov 18, 2022",OKC @ MEM,L,19,8,4,0,1,0,0
"Nov 16, 2022",OKC @ WAS,W,27,9,4,2,2,0,0
"Oct 23, 2022",OKC vs. MIN,L,14,3,1,0,0,0,0
"Oct 22, 2022",OKC @ DEN,L,2,0,1,0,0,0,0
"Apr 14, 2024",OKC vs. DAL,W,16,12,0,2,0,1,0
"Apr 12, 2024",OKC vs. MIL,W,6,6,1,2,0,0,1
"Apr 10, 2024",OKC vs. SAS,W,9,9,2,0,0,0,0
"Apr 07, 2024",OKC @ CHA,W,15,10,0,0,1,0,0
"Apr 05, 2024",OKC @ IND,L,18,12,4,3,2,0,0
"Apr 03, 2024",OKC @ BOS,L,10,4,1,1,0,0,0
"Apr 02, 2024",OKC @ PHI,L,8,2,2,0,0,1,0
