GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 12, 2022",OKC @ CHI,L,38,31,2,1,1,0,1
"Feb 11, 2022",OKC @ PHI,L,27,15,4,1,0,0,1
"Feb 09, 2022",OKC vs. TOR,L,31,15,4,4,1,0,6
"Feb 07, 2022",OKC vs. GSW,L,38,26,4,1,3,0,5
"Feb 04, 2022",OKC @ POR,W,33,23,7,2,0,1,3
"Feb 02, 2022",OKC @ DAL,W,40,30,6,3,0,1,1
"Jan 31, 2022",OKC vs. POR,W,34,18,6,3,3,0,3
"Jan 28, 2022",OKC vs. IND,L,41,27,8,4,2,0,2
"Jan 24, 2022",OKC vs. CHI,L,31,16,7,2,0,1,0
"Jan 22, 2022",OKC @ CLE,L,32,10,0,1,2,0,2
"Jan 21, 2022",OKC @ CHA,L,29,3,3,1,0,0,3
"Jan 19, 2022",OKC @ SAS,L,27,15,2,0,0,0,1
"Jan 17, 2022",OKC @ DAL,L,37,18,7,2,1,1,3
"Jan 15, 2022",OKC vs. CLE,L,29,17,3,0,0,0,1
"Jan 13, 2022",OKC @ BKN,W,33,27,1,2,0,0,0
"Jan 11, 2022",OKC @ WAS,L,34,17,5,2,1,0,0
"Jan 09, 2022",OKC vs. DEN,L,28,14,5,1,0,1,0
"Jan 07, 2022",OKC vs. MIN,L,27,18,3,1,0,2,1
"Dec 31, 2021",OKC vs. NYK,W,33,6,4,2,1,0,1
"Dec 29, 2021",OKC @ PHX,L,35,9,5,4,1,1,1
"Dec 28, 2021",OKC @ SAC,L,33,19,8,1,1,0,3
"Dec 26, 2021",OKC vs. NOP,W,32,13,2,1,4,0,2
"Dec 23, 2021",OKC @ PHX,L,33,10,4,0,1,0,1
"Dec 22, 2021",OKC vs. DEN,W,35,15,6,1,0,0,4
"Dec 20, 2021",OKC @ MEM,W,36,12,6,1,1,1,1
"Dec 18, 2021",OKC vs. LAC,W,37,29,5,1,2,0,2
"Dec 12, 2021",OKC vs. DAL,L,16,10,2,0,0,0,1
"Dec 10, 2021",OKC vs. LAL,L,33,11,0,2,1,0,1
"Dec 08, 2021",OKC @ TOR,W,38,22,6,3,0,1,2
"Dec 06, 2021",OKC @ DET,W,37,28,2,0,2,2,1
"Dec 02, 2021",OKC @ MEM,L,25,15,1,2,0,1,2
"Dec 01, 2021",OKC vs. HOU,L,36,19,2,4,2,1,2
"Nov 29, 2021",OKC @ HOU,L,25,7,3,1,2,0,1
"Nov 26, 2021",OKC vs. WAS,L,36,21,4,2,1,0,0
"Nov 24, 2021",OKC vs. UTA,L,37,27,3,3,1,0,2
"Nov 22, 2021",OKC @ ATL,L,30,15,5,1,0,0,2
"Nov 20, 2021",OKC @ BOS,L,36,16,4,3,0,0,2
"Nov 19, 2021",OKC @ MIL,L,32,10,6,1,1,0,1
"Nov 17, 2021",OKC vs. HOU,W,37,34,8,2,0,1,1
"Nov 15, 2021",OKC vs. MIA,L,31,20,4,3,1,0,3
"Nov 14, 2021",OKC vs. BKN,L,27,20,3,0,1,0,1
"Nov 12, 2021",OKC vs. SAC,W,33,22,5,1,2,1,1
"Nov 10, 2021",OKC @ NOP,W,34,27,5,2,0,0,1
"Nov 07, 2021",OKC vs. SAS,W,35,13,7,0,0,0,1
"Nov 04, 2021",OKC @ LAL,W,35,17,3,3,0,0,3
"Oct 30, 2021",OKC @ GSW,L,30,14,1,1,1,1,3
"Oct 27, 2021",OKC vs. LAL,W,34,17,6,0,1,0,2
"Oct 26, 2021",OKC vs. GSW,L,33,11,4,3,0,0,1
"Oct 24, 2021",OKC vs. PHI,L,37,13,4,3,1,0,2
"Oct 22, 2021",OKC @ HOU,L,27,8,1,4,2,1,1
"Oct 20, 2021",OKC @ UTA,L,30,7,6,2,2,0,3
"Apr 06, 2023",OKC @ UTA,W,19,5,8,0,0,0,2
"Apr 04, 2023",OKC @ GSW,L,36,17,3,2,0,1,1
"Apr 02, 2023",OKC vs. PHX,L,39,14,8,2,0,0,0
"Mar 31, 2023",OKC @ IND,L,37,12,10,1,2,0,1
"Mar 29, 2023",OKC vs. DET,W,38,20,6,1,3,0,1
"Mar 28, 2023",OKC vs. CHA,L,33,16,7,2,1,0,1
"Mar 26, 2023",OKC @ POR,W,29,6,6,1,2,0,2
"Mar 24, 2023",OKC @ LAL,L,31,15,6,1,0,2,0
"Mar 23, 2023",OKC @ LAC,L,30,3,6,2,2,0,1
"Mar 21, 2023",OKC @ LAC,W,38,7,6,1,0,0,0
"Mar 19, 2023",OKC vs. PHX,W,33,20,3,1,0,0,1
"Mar 16, 2023",OKC @ TOR,L,31,10,8,5,1,1,0
"Mar 14, 2023",OKC vs. BKN,W,35,24,9,1,1,0,0
"Mar 12, 2023",OKC @ SAS,W,30,12,4,2,1,2,2
"Mar 11, 2023",OKC @ NOP,W,38,8,2,5,2,0,0
"Mar 08, 2023",OKC @ PHX,L,20,7,0,0,0,0,2
"Mar 07, 2023",OKC vs. GSW,W,36,18,8,1,2,0,4
"Mar 05, 2023",OKC vs. UTA,W,31,4,5,1,0,0,1
"Mar 03, 2023",OKC vs. UTA,W,34,19,2,3,4,1,1
"Mar 01, 2023",OKC vs. LAL,L,36,19,2,2,0,1,0
"Feb 28, 2023",OKC vs. SAC,L,21,11,3,2,0,0,1
"Feb 26, 2023",OKC vs. SAC,L,31,18,5,1,0,0,2
"Feb 24, 2023",OKC @ PHX,L,36,17,10,1,1,1,1
"Feb 23, 2023",OKC @ UTA,L,36,11,11,4,1,1,1
"Feb 15, 2023",OKC vs. HOU,W,24,15,3,3,1,0,0
"Feb 13, 2023",OKC vs. NOP,L,24,6,3,1,1,0,0
"Feb 10, 2023",OKC @ POR,W,20,18,1,1,1,1,0
"Jan 25, 2023",OKC vs. ATL,L,28,12,3,4,2,0,2
"Jan 22, 2023",OKC @ DEN,W,30,7,3,2,0,0,2
"Jan 20, 2023",OKC @ SAC,L,35,15,3,2,1,0,0
"Jan 18, 2023",OKC vs. IND,W,28,22,11,1,1,1,0
"Jan 15, 2023",OKC @ BKN,W,36,22,5,2,0,0,2
"Jan 13, 2023",OKC @ CHI,W,25,11,1,2,1,0,0
"Jan 12, 2023",OKC @ PHI,W,38,4,2,3,1,0,1
"Jan 10, 2023",OKC @ MIA,L,32,11,8,2,0,0,2
"Jan 08, 2023",OKC vs. DAL,W,30,18,5,1,1,0,0
"Jan 06, 2023",OKC vs. WAS,W,23,18,6,4,1,0,0
