GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",DET @ PHI,L,31,20,10,4,0,1,1
"Mar 21, 2022",DET vs. POR,L,17,11,2,0,1,1,0
"Mar 11, 2022",DET @ BOS,L,2,4,1,0,0,0,0
"Feb 11, 2022",DET vs. CHA,L,4,2,1,1,0,0,0
"Feb 10, 2022",DET vs. MEM,L,10,7,3,0,0,0,1
"Jan 16, 2022",DET vs. PHX,L,7,5,3,0,0,0,1
"Jan 11, 2022",DET @ CHI,L,10,6,2,0,0,2,0
"Jan 06, 2022",DET @ MEM,L,18,8,4,3,0,0,0
"Jan 05, 2022",DET @ CHA,L,8,3,2,0,0,0,0
"Jan 03, 2022",DET @ MIL,W,15,4,4,1,0,0,3
"Jan 01, 2022",DET vs. SAS,W,40,20,14,0,1,0,3
"Dec 29, 2021",DET vs. NYK,L,39,4,9,2,1,1,0
"Dec 26, 2021",DET @ SAS,L,20,20,6,2,0,0,1
"Dec 23, 2021",DET @ MIA,L,5,3,3,0,0,0,0
"Dec 21, 2021",DET @ NYK,L,4,0,0,0,0,0,0
"Dec 19, 2021",DET vs. MIA,W,7,5,2,0,0,0,0
"Dec 18, 2021",DET vs. HOU,L,9,9,3,0,0,0,1
"Dec 10, 2021",DET @ NOP,L,3,3,0,0,0,0,2
"Dec 06, 2021",DET vs. OKC,L,4,2,4,0,0,0,0
"Dec 02, 2021",DET @ PHX,L,4,1,1,0,0,0,1
"Nov 30, 2021",DET @ POR,L,3,2,0,0,1,0,1
"Nov 26, 2021",DET @ LAC,L,10,5,3,0,0,0,0
"Nov 24, 2021",DET @ MIL,L,23,6,5,0,0,0,0
"Nov 23, 2021",DET vs. MIA,L,17,7,3,2,0,0,1
"Nov 19, 2021",DET vs. GSW,L,7,3,0,1,0,0,0
"Nov 15, 2021",DET vs. SAC,L,17,5,7,1,0,0,0
"Nov 12, 2021",DET @ CLE,L,14,5,2,2,1,0,0
"Nov 02, 2021",DET vs. MIL,L,7,3,1,0,1,0,1
"Oct 31, 2021",DET @ BKN,L,9,2,1,0,1,0,0
"Oct 28, 2021",DET @ PHI,L,5,6,0,0,0,0,0
"Oct 25, 2021",DET @ ATL,L,13,2,2,0,0,1,1
"Oct 23, 2021",DET @ CHI,L,6,3,2,1,2,0,0
"Apr 08, 2023",MIN @ SAS,W,6,4,3,0,0,0,0
"Apr 02, 2023",MIN vs. POR,L,2,0,0,0,0,0,1
"Mar 18, 2023",MIN @ TOR,L,3,0,0,1,0,0,0
"Mar 13, 2023",MIN @ ATL,W,18,14,3,2,1,0,2
"Mar 07, 2023",MIN vs. PHI,L,5,4,1,1,0,1,1
"Feb 26, 2023",MIN @ GSW,L,4,7,3,0,0,0,1
"Feb 10, 2023",MIN @ MEM,L,2,0,1,0,0,0,0
"Feb 08, 2023",MIN @ UTA,W,24,25,3,3,0,0,1
"Feb 07, 2023",MIN @ DEN,L,21,19,9,2,0,0,2
"Feb 03, 2023",MIN vs. ORL,L,10,17,6,1,0,0,0
"Feb 01, 2023",MIN vs. GSW,W,13,0,3,2,0,0,0
"Jan 28, 2023",MIN vs. SAC,W,4,0,0,0,0,0,1
"Jan 21, 2023",MIN vs. HOU,W,5,0,1,0,0,0,0
"Jan 19, 2023",MIN vs. TOR,W,14,7,1,0,0,0,0
"Jan 18, 2023",MIN @ DEN,L,17,16,4,0,0,0,0
"Jan 16, 2023",MIN vs. UTA,L,11,3,4,1,1,0,0
"Jan 14, 2023",MIN vs. CLE,W,10,9,2,1,0,0,1
"Jan 06, 2023",MIN vs. LAC,W,3,2,0,0,0,0,0
"Jan 04, 2023",MIN vs. POR,W,13,14,2,0,1,0,1
"Jan 02, 2023",MIN vs. DEN,W,14,9,6,0,0,1,1
"Dec 30, 2022",MIN @ MIL,L,18,16,3,1,0,0,1
"Dec 23, 2022",MIN @ BOS,L,1,2,1,0,0,0,0
"Dec 19, 2022",MIN vs. DAL,W,3,0,0,0,0,0,0
"Dec 18, 2022",MIN vs. CHI,W,10,7,4,3,0,0,1
"Dec 14, 2022",MIN @ LAC,L,3,0,0,0,0,0,0
"Dec 12, 2022",MIN @ POR,L,4,2,2,0,0,0,0
"Dec 07, 2022",MIN vs. IND,W,4,4,1,0,0,0,0
"Nov 23, 2022",MIN @ IND,W,1,0,0,0,0,0,0
"Apr 14, 2024",MIN vs. PHX,L,5,9,3,0,0,0,0
"Apr 10, 2024",MIN @ DEN,L,3,0,0,0,1,0,0
"Apr 07, 2024",MIN @ LAL,W,2,0,1,0,0,0,1
"Apr 05, 2024",MIN @ PHX,L,4,2,1,0,0,0,0
"Apr 03, 2024",MIN vs. TOR,W,9,16,2,1,1,0,0
"Mar 29, 2024",MIN @ DEN,W,1,0,0,0,0,0,0
"Mar 27, 2024",MIN vs. DET,W,2,2,0,0,0,0,0
