GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",LAL @ DEN,W,35,41,4,1,0,0,3
"Apr 08, 2022",LAL vs. OKC,W,34,12,4,5,1,1,4
"Apr 07, 2022",LAL @ GSW,L,37,24,7,4,1,2,4
"Apr 05, 2022",LAL @ PHX,L,18,7,3,5,0,0,2
"Apr 03, 2022",LAL vs. DEN,L,33,11,3,6,0,0,5
"Apr 01, 2022",LAL vs. NOP,L,34,13,5,7,2,0,3
"Mar 31, 2022",LAL @ UTA,L,32,14,4,4,1,0,2
"Mar 29, 2022",LAL @ DAL,L,32,28,4,2,1,1,1
"Mar 27, 2022",LAL @ NOP,L,29,23,0,6,0,0,2
"Mar 23, 2022",LAL vs. PHI,L,32,23,1,3,2,0,3
"Mar 21, 2022",LAL @ CLE,W,22,12,2,3,0,1,0
"Mar 19, 2022",LAL @ WAS,L,28,17,2,3,0,0,2
"Mar 18, 2022",LAL @ TOR,W,30,9,2,1,0,0,0
"Mar 16, 2022",LAL @ MIN,L,30,13,5,6,2,0,2
"Mar 14, 2022",LAL vs. TOR,L,24,8,3,2,1,0,4
"Mar 13, 2022",LAL @ PHX,L,27,13,4,4,1,0,3
"Mar 11, 2022",LAL vs. WAS,W,30,21,3,4,0,0,0
"Mar 09, 2022",LAL @ HOU,L,40,20,6,1,2,0,1
"Mar 07, 2022",LAL @ SAS,L,34,17,5,4,3,0,2
"Mar 05, 2022",LAL vs. GSW,W,32,12,6,5,3,1,1
"Mar 03, 2022",LAL @ LAC,L,29,12,3,4,1,1,0
"Mar 01, 2022",LAL vs. DAL,L,39,17,5,4,0,1,3
"Feb 27, 2022",LAL vs. NOP,L,24,0,1,1,2,1,3
"Feb 25, 2022",LAL vs. LAC,L,25,7,2,6,0,0,0
"Feb 16, 2022",LAL vs. UTA,W,29,13,5,1,2,0,1
"Feb 12, 2022",LAL @ GSW,L,20,12,3,1,1,0,2
