GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",CHA vs. WAS,W,21,8,8,2,0,2,2
"Apr 08, 2022",CHA @ CHI,W,20,8,3,3,2,0,1
"Apr 07, 2022",CHA vs. ORL,W,15,4,6,1,0,2,3
"Apr 05, 2022",CHA @ MIA,L,20,4,6,2,1,0,1
"Apr 02, 2022",CHA @ PHI,L,20,11,3,4,0,0,2
"Mar 30, 2022",CHA @ NYK,W,24,6,4,3,1,0,2
"Mar 28, 2022",CHA vs. DEN,L,25,5,2,2,2,1,0
"Mar 27, 2022",CHA @ BKN,W,27,7,8,1,0,1,3
"Mar 25, 2022",CHA vs. UTA,W,16,1,11,4,0,0,1
"Mar 23, 2022",CHA vs. NYK,L,27,7,9,2,0,0,0
"Mar 21, 2022",CHA vs. NOP,W,24,11,10,3,0,1,2
"Mar 19, 2022",CHA vs. DAL,W,16,1,1,5,0,0,3
"Mar 16, 2022",CHA vs. ATL,W,22,12,10,4,1,0,2
"Mar 14, 2022",CHA @ OKC,W,28,5,10,8,1,4,1
"Mar 11, 2022",CHA @ NOP,W,20,9,2,3,2,1,1
"Mar 09, 2022",CHA vs. BOS,L,30,7,15,6,0,3,3
"Mar 08, 2022",CHA vs. BKN,L,20,2,5,4,1,2,1
"Mar 05, 2022",CHA vs. SAS,W,24,4,13,3,1,1,0
"Mar 02, 2022",CHA @ CLE,W,28,7,8,3,1,1,0
"Feb 28, 2022",CHA @ MIL,L,17,3,5,2,1,1,0
"Feb 27, 2022",CHA vs. DET,L,19,5,7,3,0,0,1
"Feb 25, 2022",CHA vs. TOR,W,29,8,10,1,1,1,1
"Feb 17, 2022",CHA vs. MIA,L,14,2,5,2,0,0,1
"Feb 15, 2022",CHA @ MIN,L,36,14,17,9,0,0,3
"Feb 12, 2022",CHA vs. MEM,L,30,4,12,6,1,0,3
"Feb 11, 2022",CHA @ DET,W,22,7,10,3,0,0,1
"Feb 09, 2022",CHA vs. CHI,L,27,3,11,4,1,0,0
"Feb 07, 2022",CHA vs. TOR,L,28,6,7,4,2,0,1
"Feb 05, 2022",CHA vs. MIA,L,24,6,10,1,2,1,2
"Feb 04, 2022",CHA vs. CLE,L,32,8,10,5,3,0,1
"Feb 02, 2022",CHA @ BOS,L,30,5,17,2,1,0,3
"Jan 30, 2022",CHA vs. LAC,L,24,10,9,4,2,0,3
"Jan 28, 2022",CHA vs. LAL,W,38,8,17,6,1,0,4
"Jan 26, 2022",CHA @ IND,W,27,7,4,6,1,1,1
"Jan 25, 2022",CHA @ TOR,L,32,12,9,3,1,0,2
"Jan 23, 2022",CHA vs. ATL,L,19,6,11,2,0,1,1
"Jan 21, 2022",CHA vs. OKC,W,17,8,6,2,1,0,2
"Jan 19, 2022",CHA @ BOS,W,28,6,10,0,0,0,3
"Jan 17, 2022",CHA @ NYK,W,28,5,2,3,1,0,1
"Jan 14, 2022",CHA vs. ORL,L,27,10,10,2,1,0,1
"Jan 12, 2022",CHA @ PHI,W,26,6,4,3,0,0,0
"Jan 10, 2022",CHA vs. MIL,W,22,6,9,3,1,0,1
