GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",CHA vs. WAS,W,28,9,7,5,0,1,0
"Apr 08, 2022",CHA @ CHI,W,29,20,3,1,0,1,1
"Apr 07, 2022",CHA vs. ORL,W,24,13,6,2,1,0,1
"Apr 05, 2022",CHA @ MIA,L,35,29,6,4,1,0,1
"Apr 02, 2022",CHA @ PHI,L,30,20,5,3,0,0,2
"Mar 30, 2022",CHA @ NYK,W,34,31,6,3,0,0,1
"Mar 28, 2022",CHA vs. DEN,L,36,27,11,1,1,1,5
"Mar 27, 2022",CHA @ BKN,W,38,24,8,2,1,0,0
"Mar 25, 2022",CHA vs. UTA,W,36,26,11,4,0,1,2
"Mar 23, 2022",CHA vs. NYK,L,32,15,5,9,2,1,1
"Mar 21, 2022",CHA vs. NOP,W,35,16,4,5,1,0,3
"Mar 19, 2022",CHA vs. DAL,W,30,23,8,3,1,2,1
"Mar 16, 2022",CHA vs. ATL,W,33,18,6,6,0,2,1
"Mar 14, 2022",CHA @ OKC,W,30,27,3,6,1,0,0
"Mar 11, 2022",CHA @ NOP,W,29,26,8,9,1,0,0
"Mar 09, 2022",CHA vs. BOS,L,39,17,5,2,1,1,1
"Mar 08, 2022",CHA vs. BKN,L,39,30,3,3,1,0,5
"Mar 05, 2022",CHA vs. SAS,W,36,10,6,6,0,0,1
"Mar 02, 2022",CHA @ CLE,W,36,17,7,6,1,1,3
"Feb 28, 2022",CHA @ MIL,L,30,14,3,0,0,0,0
"Feb 27, 2022",CHA vs. DET,L,43,29,10,5,1,3,3
"Feb 25, 2022",CHA vs. TOR,W,31,11,10,7,0,1,4
"Feb 17, 2022",CHA vs. MIA,L,50,29,11,2,0,0,4
"Feb 15, 2022",CHA @ MIN,L,44,28,13,7,0,1,4
"Feb 12, 2022",CHA vs. MEM,L,31,8,5,4,1,1,2
"Feb 11, 2022",CHA @ DET,W,38,25,4,3,2,0,6
"Feb 09, 2022",CHA vs. CHI,L,39,22,5,5,1,0,1
"Feb 07, 2022",CHA vs. TOR,L,42,25,6,5,3,2,3
"Feb 05, 2022",CHA vs. MIA,L,33,15,5,5,0,4,4
"Feb 04, 2022",CHA vs. CLE,L,37,12,7,7,1,0,0
"Feb 02, 2022",CHA @ BOS,L,31,6,3,0,0,1,1
"Jan 30, 2022",CHA vs. LAC,L,38,18,9,2,1,2,0
"Jan 28, 2022",CHA vs. LAL,W,41,26,8,6,2,1,1
"Jan 26, 2022",CHA @ IND,W,28,22,4,1,0,0,1
"Jan 25, 2022",CHA @ TOR,L,31,22,4,3,0,0,3
"Jan 23, 2022",CHA vs. ATL,L,34,19,6,0,0,1,3
"Jan 21, 2022",CHA vs. OKC,W,32,22,14,4,2,2,4
"Jan 19, 2022",CHA @ BOS,W,34,22,7,2,0,0,1
"Jan 17, 2022",CHA @ NYK,W,39,38,12,5,1,1,1
"Jan 14, 2022",CHA vs. ORL,L,42,20,3,3,0,2,3
"Jan 12, 2022",CHA @ PHI,W,40,21,8,2,1,2,3
"Jan 10, 2022",CHA vs. MIL,W,41,17,11,2,1,1,0
