GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",ORL vs. MIA,W,30,14,11,5,2,0,2
"Apr 07, 2022",ORL @ CHA,L,28,17,5,3,0,0,2
"Apr 05, 2022",ORL vs. CLE,W,20,15,3,3,1,0,0
"Apr 03, 2022",ORL vs. NYK,L,29,18,9,1,0,0,1
"Apr 01, 2022",ORL vs. TOR,L,27,8,8,1,0,0,3
"Mar 30, 2022",ORL @ WAS,L,18,4,8,0,0,0,3
"Mar 28, 2022",ORL @ CLE,L,21,2,5,5,1,1,3
"Mar 26, 2022",ORL vs. SAC,L,19,15,6,5,0,0,0
"Mar 23, 2022",ORL @ OKC,L,26,13,8,1,0,0,2
"Mar 22, 2022",ORL vs. GSW,W,15,7,4,1,0,1,0
"Mar 20, 2022",ORL vs. OKC,W,22,10,5,0,1,0,0
"Mar 17, 2022",ORL vs. DET,L,29,16,5,3,1,0,0
"Mar 15, 2022",ORL vs. BKN,L,22,17,11,2,0,0,0
"Mar 13, 2022",ORL vs. PHI,L,14,10,1,1,0,0,1
"Mar 11, 2022",ORL vs. MIN,W,13,18,6,1,0,0,0
"Mar 09, 2022",ORL @ NOP,W,19,9,9,3,0,0,3
"Mar 08, 2022",ORL vs. PHX,L,16,12,7,0,0,1,2
"Mar 05, 2022",ORL @ MEM,L,27,17,11,3,1,0,2
"Feb 06, 2022",ORL vs. BOS,L,16,6,3,0,0,0,0
"Feb 05, 2022",ORL vs. MEM,L,17,9,5,2,0,0,1
"Feb 02, 2022",ORL @ IND,W,9,8,3,1,0,0,0
"Feb 01, 2022",ORL @ CHI,L,11,9,0,1,1,0,0
"Jan 30, 2022",ORL vs. DAL,W,15,14,4,2,0,0,1
"Jan 28, 2022",ORL vs. DET,W,10,2,2,2,0,0,1
"Jan 26, 2022",ORL vs. LAC,L,16,2,2,2,2,0,1
"Jan 23, 2022",ORL vs. CHI,W,25,23,2,4,1,0,1
"Jan 21, 2022",ORL vs. LAL,L,5,0,0,3,0,0,0
"Jan 19, 2022",ORL @ PHI,L,10,6,2,0,0,0,0
"Jan 17, 2022",ORL vs. POR,L,15,14,4,2,0,2,0
"Jan 15, 2022",ORL @ DAL,L,20,16,4,2,2,0,2
"Jan 14, 2022",ORL @ CHA,W,28,26,4,1,1,1,1
"Jan 12, 2022",ORL @ WAS,L,10,6,2,1,0,0,1
"Jan 09, 2022",ORL vs. WAS,L,4,2,3,1,0,0,0
"Jan 08, 2022",ORL @ DET,L,12,8,0,1,1,1,2
"Jan 02, 2022",ORL @ BOS,L,2,2,0,0,0,0,0
"Dec 30, 2021",ORL vs. MIL,L,25,19,3,3,1,0,1
"Dec 28, 2021",ORL vs. MIL,L,11,7,1,1,0,1,0
"Dec 15, 2021",ORL vs. ATL,L,18,19,6,1,0,0,1
"Dec 11, 2021",ORL @ LAC,L,20,7,4,2,1,0,1
"Dec 08, 2021",ORL @ SAC,L,0,0,0,0,0,0,0
"Dec 06, 2021",ORL @ GSW,L,17,1,3,3,1,0,1
"Dec 03, 2021",ORL @ HOU,L,13,5,0,0,0,0,1
"Dec 01, 2021",ORL vs. DEN,W,15,12,2,1,1,0,1
"Nov 27, 2021",ORL @ CLE,L,17,9,4,2,0,0,1
"Nov 26, 2021",ORL vs. CHI,L,18,9,2,2,1,0,0
"Nov 24, 2021",ORL vs. CHA,L,12,13,4,0,0,0,1
"Nov 22, 2021",ORL @ MIL,L,24,18,2,1,0,2,2
"Nov 20, 2021",ORL @ MIL,L,11,8,3,2,0,0,2
"Nov 19, 2021",ORL @ BKN,L,4,2,2,0,0,0,0
"Nov 17, 2021",ORL @ NYK,W,6,6,2,1,0,0,2
"Nov 15, 2021",ORL @ ATL,L,7,2,3,0,0,1,0
"Nov 13, 2021",ORL vs. WAS,L,1,0,1,0,0,0,0
"Nov 10, 2021",ORL vs. BKN,L,14,3,2,0,0,1,0
"Nov 07, 2021",ORL vs. UTA,W,3,3,1,0,0,0,0
"Nov 03, 2021",ORL vs. BOS,L,9,3,3,0,0,0,1
"Nov 01, 2021",ORL @ MIN,W,6,2,1,0,0,0,0
"Oct 30, 2021",ORL @ DET,L,17,13,5,1,0,0,0
"Oct 29, 2021",ORL @ TOR,L,8,0,1,0,0,0,1
"Oct 27, 2021",ORL vs. CHA,L,10,4,1,1,0,0,0
"Oct 25, 2021",ORL @ MIA,L,11,3,2,0,0,1,0
"Oct 24, 2021",ORL @ NYK,W,14,8,4,2,0,0,1
"Oct 22, 2021",ORL vs. NYK,L,13,6,2,0,0,0,3
"Oct 20, 2021",ORL @ SAS,L,15,7,6,1,0,0,1
"Apr 06, 2023",ORL vs. CLE,L,21,9,4,2,0,1,3
"Apr 04, 2023",ORL vs. CLE,L,10,0,4,0,0,0,0
"Apr 02, 2023",ORL vs. DET,W,18,11,0,1,0,1,1
"Mar 31, 2023",ORL @ WAS,W,7,4,2,0,0,0,0
"Mar 28, 2023",ORL @ MEM,L,6,0,4,0,0,1,3
"Mar 26, 2023",ORL vs. BKN,W,17,12,4,1,1,0,1
"Mar 23, 2023",ORL vs. NYK,W,17,11,7,3,0,0,3
"Mar 21, 2023",ORL vs. WAS,W,14,15,3,0,0,0,1
"Mar 16, 2023",ORL @ PHX,L,7,2,0,1,0,0,0
"Mar 14, 2023",ORL @ SAS,L,19,12,7,1,1,0,0
"Mar 11, 2023",ORL vs. MIA,W,11,8,5,0,0,0,0
"Mar 09, 2023",ORL vs. UTA,L,23,11,6,1,1,0,0
"Mar 07, 2023",ORL vs. MIL,L,21,18,8,3,2,0,3
"Mar 05, 2023",ORL vs. POR,L,33,15,7,1,1,0,0
"Mar 03, 2023",ORL @ CHA,W,16,13,6,0,2,1,1
"Mar 01, 2023",ORL @ MIL,L,12,2,3,1,0,0,1
"Feb 27, 2023",ORL @ NOP,W,23,14,3,2,0,0,3
"Feb 25, 2023",ORL vs. IND,L,21,8,4,2,0,0,0
