GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",GSW @ NOP,W,19,5,1,2,0,0,0
"Apr 07, 2022",GSW vs. LAL,W,2,3,0,0,0,0,0
"Apr 03, 2022",GSW @ SAC,W,2,3,1,0,0,0,0
"Mar 30, 2022",GSW vs. PHX,L,1,0,0,0,0,0,0
"Mar 28, 2022",GSW @ MEM,L,27,18,3,0,2,2,0
"Mar 23, 2022",GSW @ MIA,W,17,0,0,1,0,1,0
"Mar 22, 2022",GSW @ ORL,L,5,0,0,0,0,0,1
"Mar 16, 2022",GSW vs. BOS,L,9,3,1,0,0,0,0
"Mar 14, 2022",GSW vs. WAS,W,19,3,1,1,0,0,0
"Mar 12, 2022",GSW vs. MIL,W,18,0,5,0,0,0,0
"Mar 10, 2022",GSW @ DEN,W,18,5,2,1,0,1,0
"Mar 08, 2022",GSW vs. LAC,W,30,10,8,3,1,0,1
"Mar 07, 2022",GSW @ DEN,L,36,30,3,1,1,0,3
"Mar 05, 2022",GSW @ LAL,L,21,9,1,0,0,0,0
"Mar 03, 2022",GSW @ DAL,L,16,13,1,2,0,0,1
"Mar 01, 2022",GSW @ MIN,L,7,6,0,1,0,0,0
"Feb 27, 2022",GSW vs. DAL,L,25,5,5,0,0,0,0
"Feb 24, 2022",GSW @ POR,W,12,6,2,0,0,0,0
"Feb 14, 2022",GSW @ LAC,L,13,3,1,0,0,1,0
"Feb 10, 2022",GSW vs. NYK,L,3,0,0,0,0,0,0
"Feb 09, 2022",GSW @ UTA,L,21,5,3,0,0,0,0
"Feb 07, 2022",GSW @ OKC,W,9,5,0,1,0,0,1
"Feb 03, 2022",GSW vs. SAC,W,24,6,4,0,0,0,1
"Feb 01, 2022",GSW @ SAS,W,37,20,7,1,0,0,1
"Jan 31, 2022",GSW @ HOU,W,25,11,2,1,0,1,0
"Jan 25, 2022",GSW vs. DAL,W,7,3,2,0,0,0,0
"Jan 18, 2022",GSW vs. DET,W,8,4,1,0,0,0,0
"Jan 11, 2022",GSW @ MEM,L,7,2,1,1,0,0,0
"Jan 06, 2022",GSW @ NOP,L,23,10,5,0,0,0,0
"Jan 05, 2022",GSW @ DAL,L,2,0,0,0,0,0,0
"Dec 23, 2021",GSW vs. MEM,W,11,2,1,1,1,0,1
"Dec 20, 2021",GSW vs. SAC,W,2,0,0,0,0,0,0
"Dec 18, 2021",GSW @ TOR,L,25,11,8,3,0,1,1
"Dec 17, 2021",GSW @ BOS,W,10,2,0,0,1,1,1
"Dec 13, 2021",GSW @ IND,W,2,0,0,0,0,0,0
"Dec 11, 2021",GSW @ PHI,L,1,0,0,0,0,0,0
"Dec 06, 2021",GSW vs. ORL,W,5,2,0,0,1,0,0
"Nov 28, 2021",GSW @ LAC,W,3,0,0,0,0,0,0
"Nov 21, 2021",GSW vs. TOR,W,2,0,0,0,0,0,0
"Nov 19, 2021",GSW @ DET,W,8,4,2,0,0,0,0
"Nov 18, 2021",GSW @ CLE,W,1,0,0,0,0,0,0
"Nov 16, 2021",GSW @ BKN,W,8,0,0,0,0,1,0
