GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2023",LAC vs. POR,W,2,2,1,0,0,0,0
"Mar 31, 2023",LAC @ MEM,L,9,0,4,0,0,1,0
"Mar 27, 2023",LAC vs. CHI,W,4,2,0,1,1,1,0
"Mar 25, 2023",LAC vs. NOP,L,8,2,0,0,1,0,0
"Feb 26, 2023",LAC @ DEN,L,1,0,0,0,0,0,0
"Feb 14, 2023",LAC vs. GSW,W,2,0,0,0,0,0,1
"Feb 10, 2023",LAC vs. MIL,L,5,2,1,0,0,1,0
"Feb 08, 2023",LAC vs. DAL,L,2,0,0,0,0,0,0
"Jan 29, 2023",LAC @ CLE,L,30,13,5,1,1,0,1
"Jan 28, 2023",LAC @ ATL,W,5,0,0,0,0,0,0
"Jan 26, 2023",LAC vs. SAS,W,7,2,1,0,0,1,0
"Jan 24, 2023",LAC @ LAL,W,2,0,0,0,0,0,0
"Jan 20, 2023",LAC @ SAS,W,6,0,0,0,0,0,0
"Jan 18, 2023",LAC @ UTA,L,22,3,6,0,1,3,2
"Dec 17, 2022",LAC vs. WAS,W,18,2,2,0,0,0,0
"Dec 15, 2022",LAC vs. PHX,L,16,8,8,1,1,0,2
"Dec 12, 2022",LAC vs. BOS,W,3,2,3,0,0,0,0
"Dec 03, 2022",LAC vs. SAC,L,19,4,5,0,0,0,3
"Nov 30, 2022",LAC @ UTA,L,16,11,8,0,0,0,0
"Nov 29, 2022",LAC @ POR,W,12,3,4,0,1,1,0
"Oct 30, 2022",LAC vs. NOP,L,5,0,0,0,0,0,0
"Oct 27, 2022",LAC @ OKC,L,2,3,2,1,1,0,0
"Mar 01, 2024",LAC vs. WAS,W,7,2,4,0,1,1,0
"Jan 01, 2024",LAC vs. MIA,W,3,0,1,0,0,0,0
"Nov 30, 2023",LAC @ GSW,L,1,2,0,0,0,0,0
"Nov 25, 2023",LAC vs. DAL,W,5,1,2,0,1,0,0
"Nov 20, 2023",LAC @ SAS,W,4,3,2,0,1,0,0
"Nov 12, 2023",LAC vs. MEM,L,11,2,3,0,0,0,0
"Nov 10, 2023",LAC @ DAL,L,16,11,9,0,0,0,0
"Nov 06, 2023",LAC @ NYK,L,6,4,0,0,0,0,0
"Oct 31, 2023",LAC vs. ORL,W,3,2,1,2,0,0,1
"Oct 29, 2023",LAC vs. SAS,W,5,0,1,2,0,0,1
"Oct 25, 2023",LAC vs. POR,W,4,2,1,0,2,0,0
"Apr 13, 2025",CHA @ BOS,L,25,10,9,0,2,1,3
"Apr 08, 2025",CHA vs. MEM,L,17,10,2,2,0,1,0
"Apr 06, 2025",CHA vs. CHI,L,23,8,7,0,2,0,0
"Apr 04, 2025",CHA vs. SAC,L,23,15,11,0,0,0,2
"Apr 02, 2025",CHA @ IND,L,13,8,3,0,1,0,0
"Mar 31, 2025",CHA vs. UTA,W,9,4,2,0,0,0,2
"Mar 30, 2025",CHA @ NOP,L,17,6,7,0,0,0,1
"Mar 28, 2025",CHA @ TOR,L,13,9,6,0,0,1,0
"Mar 25, 2025",CHA vs. ORL,L,0,0,0,0,0,0,0
"Mar 23, 2025",CHA @ MIA,L,5,6,2,0,1,0,0
"Mar 21, 2025",CHA @ OKC,L,22,12,7,3,1,0,2
"Mar 20, 2025",CHA vs. NYK,W,12,7,5,0,0,0,0
"Mar 18, 2025",CHA vs. ATL,L,18,2,2,0,0,2,1
"Mar 16, 2025",CHA @ LAC,L,13,6,3,1,0,0,0
"Mar 14, 2025",CHA @ SAS,W,6,0,2,0,0,0,1
"Mar 12, 2025",CHA @ ATL,L,12,2,5,2,0,0,0
"Mar 10, 2025",CHA @ MIA,W,9,2,0,0,2,0,0
"Mar 08, 2025",CHA vs. BKN,W,37,16,15,2,1,0,2
"Mar 07, 2025",CHA vs. CLE,L,11,6,3,2,0,1,3
"Mar 05, 2025",CHA vs. MIN,L,12,6,4,1,0,1,0
"Mar 03, 2025",CHA vs. GSW,L,2,0,0,0,0,0,0
"Mar 01, 2025",CHA vs. WAS,L,13,4,2,1,2,0,0
"Feb 27, 2025",CHA @ DAL,L,13,8,6,0,1,0,1
"Feb 25, 2025",CHA @ GSW,L,23,5,5,3,0,2,1
"Feb 24, 2025",CHA @ SAC,L,21,12,7,0,2,0,1
"Feb 22, 2025",CHA @ POR,L,13,5,7,2,2,1,1
"Feb 20, 2025",CHA @ DEN,L,29,11,6,0,0,0,0
"Feb 10, 2025",CHA @ BKN,L,27,21,10,0,0,2,1
"Feb 09, 2025",CHA @ DET,L,7,5,1,0,0,0,0
"Feb 07, 2025",CHA vs. SAS,W,33,9,15,6,0,0,1
"Feb 05, 2025",CHA vs. MIL,L,23,10,13,2,0,0,1
"Feb 03, 2025",CHA vs. WAS,L,16,5,7,1,0,0,1
"Feb 01, 2025",CHA vs. DEN,L,21,12,7,3,1,1,3
"Jan 31, 2025",CHA vs. LAC,L,32,11,14,0,3,0,1
"Jan 29, 2025",CHA vs. BKN,L,27,13,8,1,1,0,1
"Jan 27, 2025",CHA vs. LAL,L,11,4,4,0,0,0,0
"Jan 25, 2025",CHA vs. NOP,W,29,9,13,3,1,1,1
"Jan 24, 2025",CHA vs. POR,L,21,6,6,2,2,1,2
"Jan 22, 2025",CHA @ MEM,L,15,3,2,0,0,2,1
"Jan 20, 2025",CHA vs. DAL,W,18,10,2,0,1,1,0
"Jan 17, 2025",CHA @ CHI,W,15,2,3,0,1,0,0
"Dec 30, 2024",CHA vs. CHI,L,9,0,3,0,0,0,0
"Dec 28, 2024",CHA vs. OKC,L,14,0,3,1,2,0,1
"Dec 26, 2024",CHA @ WAS,L,5,0,3,0,0,0,2
"Dec 23, 2024",CHA vs. HOU,L,16,14,5,0,0,0,0
"Dec 20, 2024",CHA @ PHI,L,18,7,7,0,0,0,1
"Dec 19, 2024",CHA @ WAS,L,12,4,7,2,0,1,0
"Dec 16, 2024",CHA vs. PHI,L,16,4,3,0,1,0,1
"Dec 13, 2024",CHA @ CHI,L,8,5,3,0,1,0,1
"Dec 05, 2024",CHA @ NYK,L,16,4,3,0,0,1,1
"Dec 03, 2024",CHA vs. PHI,L,10,0,1,0,0,0,0
"Nov 30, 2024",CHA vs. ATL,L,22,3,8,3,2,1,1
"Nov 29, 2024",CHA vs. NYK,L,37,6,11,1,0,1,2
"Nov 27, 2024",CHA vs. MIA,L,33,0,11,2,1,0,1
"Nov 25, 2024",CHA vs. ORL,L,32,2,8,0,2,4,3
"Nov 23, 2024",CHA @ MIL,L,31,0,11,2,2,1,1
"Nov 21, 2024",CHA vs. DET,W,32,1,16,1,3,0,1
"Nov 19, 2024",CHA @ BKN,L,16,0,7,0,0,1,0
"Nov 17, 2024",CHA @ CLE,L,12,2,4,0,1,1,0
"Nov 16, 2024",CHA vs. MIL,W,25,12,14,1,1,3,3
"Nov 12, 2024",CHA @ ORL,L,30,12,15,2,1,3,0
"Nov 10, 2024",CHA @ PHI,L,23,4,11,1,0,0,1
"Nov 08, 2024",CHA vs. IND,W,29,0,15,0,1,3,2
"Nov 06, 2024",CHA vs. DET,W,7,4,5,0,0,0,1
"Nov 04, 2024",CHA @ MIN,L,11,2,5,0,0,0,1
"Nov 02, 2024",CHA vs. BOS,L,14,1,4,1,0,0,1
"Nov 01, 2024",CHA vs. BOS,L,16,7,7,1,0,0,1
"Oct 30, 2024",CHA vs. TOR,W,9,0,4,1,0,0,0
"Oct 26, 2024",CHA vs. MIA,L,8,5,2,0,0,0,1
"Oct 25, 2024",CHA @ ATL,L,10,2,4,0,0,0,0
"Oct 23, 2024",CHA @ HOU,W,15,2,5,0,1,2,0
