GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",SAC @ PHX,W,18,6,6,0,0,2,0
"Apr 09, 2022",SAC @ LAC,L,19,10,1,2,0,2,1
"Apr 05, 2022",SAC vs. NOP,L,11,5,4,0,0,0,1
"Mar 28, 2022",SAC @ MIA,L,15,3,1,0,0,0,0
"Mar 23, 2022",SAC @ IND,W,0,0,0,0,0,0,0
"Jan 31, 2022",SAC @ NYK,L,4,2,4,1,0,1,1
"Jan 29, 2022",SAC @ PHI,L,1,0,0,0,0,0,1
"Jan 26, 2022",SAC @ ATL,L,4,0,0,0,0,0,0
"Jan 25, 2022",SAC @ BOS,L,8,6,2,0,0,2,0
"Jan 14, 2022",SAC vs. HOU,W,5,2,3,0,0,0,0
"Jan 12, 2022",SAC vs. LAL,W,1,0,0,0,0,0,0
"Jan 10, 2022",SAC vs. CLE,L,24,11,5,1,1,0,1
"Jan 07, 2022",SAC @ DEN,L,1,0,0,0,0,0,0
"Dec 20, 2021",SAC @ GSW,L,2,0,0,1,0,0,1
"Dec 17, 2021",SAC vs. MEM,L,8,0,5,1,0,1,0
"Apr 09, 2023",SAC @ DEN,L,4,0,2,0,0,1,0
"Dec 23, 2022",SAC vs. WAS,L,4,0,1,0,0,0,0
"Dec 21, 2022",SAC vs. LAL,W,11,10,3,0,0,0,0
"Dec 19, 2022",SAC vs. CHA,L,7,2,4,0,0,1,1
"Dec 13, 2022",SAC @ PHI,L,2,0,1,1,0,0,0
"Apr 14, 2024",BOS vs. WAS,W,20,19,9,1,0,6,3
"Apr 12, 2024",BOS vs. CHA,W,18,16,6,5,2,0,0
"Mar 22, 2024",BOS @ DET,W,3,5,2,2,1,0,0
"Mar 17, 2024",BOS @ WAS,W,8,0,2,0,0,0,1
"Mar 11, 2024",BOS @ POR,W,2,1,1,1,0,1,0
"Feb 14, 2024",BOS vs. BKN,W,13,8,4,0,1,0,1
"Feb 04, 2024",BOS vs. MEM,W,10,8,8,0,2,0,0
"Feb 01, 2024",BOS vs. LAL,L,13,7,7,1,0,1,0
"Jan 30, 2024",BOS vs. IND,W,14,4,1,1,0,2,1
"Jan 29, 2024",BOS vs. NOP,W,10,4,2,1,0,1,1
"Jan 27, 2024",BOS vs. LAC,L,12,8,5,1,0,2,0
"Jan 25, 2024",BOS @ MIA,W,4,0,1,0,0,1,0
"Jan 21, 2024",BOS @ HOU,W,3,0,0,0,1,0,0
"Jan 17, 2024",BOS vs. SAS,W,12,6,8,0,0,2,0
"Jan 11, 2024",BOS @ MIL,L,13,4,3,0,0,1,1
"Jan 05, 2024",BOS vs. UTA,W,4,0,0,0,0,0,0
"Dec 31, 2023",BOS @ SAS,W,5,5,2,0,0,1,0
"Dec 29, 2023",BOS vs. TOR,W,14,6,5,1,0,0,0
"Dec 28, 2023",BOS vs. DET,W,20,5,2,0,1,0,0
"Dec 25, 2023",BOS @ LAL,W,7,0,1,1,1,0,0
