GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Dec 28, 2022",MIA vs. LAL,W,0,0,0,0,0,0,0
"Dec 26, 2022",MIA vs. MIN,W,19,9,3,0,0,1,0
"Dec 20, 2022",MIA vs. CHI,L,1,0,0,0,0,0,0
"Dec 17, 2022",MIA @ SAS,W,15,3,1,0,1,0,1
"Dec 06, 2022",MIA vs. DET,L,9,5,1,0,0,0,1
"Nov 25, 2022",MIA vs. WAS,W,14,7,1,0,1,1,0
"Nov 23, 2022",MIA vs. WAS,W,12,7,5,0,0,0,2
"Nov 21, 2022",MIA @ MIN,L,23,4,5,3,1,0,1
"Nov 20, 2022",MIA @ CLE,L,32,7,4,5,1,0,1
"Nov 18, 2022",MIA @ WAS,L,30,18,6,0,0,0,0
"Nov 16, 2022",MIA @ TOR,L,24,13,3,1,1,0,2
"Nov 12, 2022",MIA vs. CHA,W,2,3,0,0,0,0,1
"Oct 29, 2022",MIA @ SAC,L,1,0,0,0,0,0,0
"Oct 27, 2022",MIA @ GSW,L,8,4,0,1,1,0,0
"Oct 26, 2022",MIA @ POR,W,14,2,2,0,1,0,1
"Apr 14, 2024",MIA vs. TOR,W,16,3,3,1,2,0,0
"Apr 12, 2024",MIA vs. TOR,W,27,22,5,2,1,0,1
"Apr 10, 2024",MIA vs. DAL,L,24,6,5,4,0,0,1
"Apr 09, 2024",MIA @ ATL,W,40,23,8,1,0,0,1
"Apr 07, 2024",MIA @ IND,L,24,18,2,0,0,0,0
"Apr 05, 2024",MIA @ HOU,W,15,8,6,1,0,1,1
"Apr 04, 2024",MIA vs. PHI,L,20,11,5,1,0,0,2
"Apr 02, 2024",MIA vs. NYK,W,25,5,3,6,1,0,1
"Mar 31, 2024",MIA @ WAS,W,22,12,8,4,1,1,0
"Mar 29, 2024",MIA vs. POR,W,17,5,2,3,3,0,0
"Mar 26, 2024",MIA vs. GSW,L,31,11,6,4,0,0,0
"Mar 24, 2024",MIA vs. CLE,W,18,8,0,1,1,0,2
"Mar 22, 2024",MIA vs. NOP,L,19,10,1,1,1,0,1
"Mar 20, 2024",MIA @ CLE,W,33,14,6,1,0,1,1
"Mar 15, 2024",MIA @ DET,W,15,7,5,0,1,0,1
"Mar 13, 2024",MIA vs. DEN,L,16,3,1,1,1,0,1
"Mar 10, 2024",MIA vs. WAS,L,23,10,6,4,1,1,1
"Mar 08, 2024",MIA @ OKC,L,30,7,8,3,0,2,1
"Mar 07, 2024",MIA @ DAL,L,16,4,2,1,0,0,2
"Mar 05, 2024",MIA vs. DET,W,21,8,4,2,2,0,0
"Mar 02, 2024",MIA vs. UTA,W,19,8,3,4,1,0,0
"Feb 29, 2024",MIA @ DEN,L,25,7,6,1,2,0,3
"Feb 27, 2024",MIA @ POR,W,15,8,2,0,0,0,0
"Feb 23, 2024",MIA @ NOP,W,21,3,3,2,0,1,1
"Feb 14, 2024",MIA @ PHI,W,14,3,3,3,0,0,2
"Feb 13, 2024",MIA @ MIL,W,30,24,7,3,1,0,0
"Feb 07, 2024",MIA vs. SAS,W,2,0,0,0,0,0,1
"Jan 27, 2024",MIA @ NYK,L,1,0,0,0,0,0,0
"Jan 25, 2024",MIA vs. BOS,L,7,3,3,0,0,0,1
"Jan 21, 2024",MIA @ ORL,L,15,2,3,0,0,0,1
"Jan 19, 2024",MIA vs. ATL,L,15,2,3,0,0,0,0
"Jan 17, 2024",MIA @ TOR,L,21,10,7,2,0,1,2
"Jan 15, 2024",MIA @ BKN,W,19,5,3,2,0,0,0
"Jan 14, 2024",MIA vs. CHA,W,28,5,7,2,0,2,3
"Jan 12, 2024",MIA vs. ORL,W,25,4,3,4,0,0,2
"Jan 10, 2024",MIA vs. OKC,L,33,15,5,4,1,1,1
"Jan 08, 2024",MIA vs. HOU,W,21,6,8,6,2,2,2
"Jan 05, 2024",MIA @ PHX,L,24,3,4,1,0,0,0
"Jan 03, 2024",MIA @ LAL,W,28,15,8,1,1,0,0
"Jan 01, 2024",MIA @ LAC,L,3,3,0,1,0,0,0
"Dec 30, 2023",MIA @ UTA,L,10,6,2,1,0,0,1
"Dec 28, 2023",MIA @ GSW,W,20,11,3,3,1,1,0
"Dec 06, 2023",MIA @ TOR,W,3,0,2,0,0,0,1
"Nov 25, 2023",MIA @ BKN,L,17,1,6,5,0,0,2
"Oct 30, 2023",MIA @ MIL,L,7,5,4,0,0,0,2
"Oct 28, 2023",MIA @ MIN,L,21,8,11,4,1,0,0
"Feb 23, 2025",MIA @ MIL,L,15,7,2,0,0,0,0
"Feb 21, 2025",MIA @ TOR,W,35,7,5,5,2,1,0
"Feb 13, 2025",MIA @ DAL,L,25,6,1,1,0,0,2
"Feb 12, 2025",MIA @ OKC,L,29,11,3,4,0,0,2
"Feb 10, 2025",MIA vs. BOS,L,27,10,8,0,0,0,1
"Feb 07, 2025",MIA @ BKN,L,32,8,1,4,2,0,4
"Feb 05, 2025",MIA @ PHI,W,37,23,5,7,0,1,3
"Feb 04, 2025",MIA @ CHI,L,36,20,2,2,0,0,2
"Feb 01, 2025",MIA @ SAS,W,25,14,7,4,3,0,2
"Jan 29, 2025",MIA vs. CLE,L,29,11,3,5,0,0,1
"Jan 27, 2025",MIA vs. ORL,W,47,15,7,2,2,0,3
"Jan 25, 2025",MIA @ BKN,W,31,17,6,4,2,2,4
"Jan 23, 2025",MIA @ MIL,L,22,8,2,2,0,0,1
"Jan 21, 2025",MIA vs. POR,L,35,12,4,8,0,0,1
"Jan 19, 2025",MIA vs. SAS,W,24,14,2,5,2,0,2
"Jan 17, 2025",MIA vs. DEN,L,31,16,4,4,0,0,4
"Jan 15, 2025",MIA @ LAL,L,32,12,4,8,0,1,2
"Jan 13, 2025",MIA @ LAC,L,28,5,6,3,1,1,3
"Jan 11, 2025",MIA @ POR,W,32,21,8,5,1,1,1
"Jan 09, 2025",MIA @ UTA,W,27,11,6,5,0,1,1
"Jan 07, 2025",MIA @ GSW,W,34,20,6,4,1,0,2
"Jan 06, 2025",MIA @ SAC,L,21,12,3,0,1,1,0
"Jan 04, 2025",MIA vs. UTA,L,24,17,1,3,2,2,0
"Jan 02, 2025",MIA vs. IND,L,25,8,2,5,1,0,1
"Jan 01, 2025",MIA vs. NOP,W,34,8,7,6,0,0,4
"Dec 29, 2024",MIA @ HOU,W,31,18,7,6,0,0,0
"Dec 28, 2024",MIA @ ATL,L,18,4,2,1,0,0,1
"Dec 26, 2024",MIA @ ORL,W,24,8,4,5,3,0,2
"Dec 23, 2024",MIA vs. BKN,W,32,18,4,4,0,0,1
"Dec 21, 2024",MIA @ ORL,L,19,4,1,0,1,0,0
"Dec 20, 2024",MIA vs. OKC,L,19,7,1,0,0,0,2
"Dec 12, 2024",MIA vs. TOR,W,24,14,4,1,1,1,0
"Nov 24, 2024",MIA vs. DAL,W,6,0,1,1,0,0,0
"Nov 18, 2024",MIA vs. PHI,W,8,3,3,1,1,0,0
"Nov 17, 2024",MIA @ IND,L,31,14,3,2,1,0,0
"Nov 15, 2024",MIA @ IND,W,30,11,6,1,1,0,0
