GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",CHI vs. CHA,L,22,6,5,3,0,0,1
"Apr 06, 2022",CHI vs. BOS,L,25,13,7,1,1,0,4
"Apr 05, 2022",CHI vs. MIL,L,26,7,6,3,1,0,2
"Apr 02, 2022",CHI vs. MIA,L,32,12,10,5,0,1,0
"Mar 31, 2022",CHI vs. LAC,W,40,22,14,1,0,0,2
"Mar 29, 2022",CHI @ WAS,W,31,27,5,4,1,0,1
"Mar 28, 2022",CHI @ NYK,L,34,16,13,1,2,1,2
"Mar 26, 2022",CHI @ CLE,W,36,16,9,4,1,1,2
"Mar 24, 2022",CHI @ NOP,L,32,16,9,3,2,2,1
"Mar 22, 2022",CHI @ MIL,L,32,22,7,2,0,0,1
"Mar 21, 2022",CHI vs. TOR,W,33,19,13,2,1,1,2
"Mar 18, 2022",CHI @ PHX,L,26,16,7,1,2,0,1
"Mar 16, 2022",CHI @ UTA,L,29,10,11,1,1,0,0
"Mar 14, 2022",CHI @ SAC,L,33,23,10,2,0,0,0
"Mar 12, 2022",CHI vs. CLE,W,34,20,14,0,1,1,3
"Mar 09, 2022",CHI @ DET,W,29,21,6,2,2,0,3
"Mar 04, 2022",CHI vs. MIL,L,34,19,9,2,2,0,3
"Mar 03, 2022",CHI @ ATL,L,36,21,11,5,0,0,2
"Feb 28, 2022",CHI @ MIA,L,26,14,7,2,1,0,2
"Feb 26, 2022",CHI vs. MEM,L,31,11,12,0,0,1,1
"Feb 24, 2022",CHI vs. ATL,W,35,12,10,3,2,2,3
"Feb 16, 2022",CHI vs. SAC,W,38,21,10,3,2,0,1
"Feb 14, 2022",CHI vs. SAS,W,36,25,16,5,0,1,5
"Feb 12, 2022",CHI vs. OKC,W,36,31,15,0,2,2,6
"Feb 11, 2022",CHI vs. MIN,W,35,26,8,7,0,0,1
"Feb 09, 2022",CHI @ CHA,W,38,18,16,8,0,3,4
"Feb 07, 2022",CHI vs. PHX,L,34,13,12,0,2,0,2
"Feb 06, 2022",CHI vs. PHI,L,36,23,7,5,0,0,3
"Feb 04, 2022",CHI @ IND,W,37,36,17,4,0,3,1
"Feb 03, 2022",CHI @ TOR,L,39,30,18,4,1,1,3
"Feb 01, 2022",CHI vs. ORL,W,35,18,13,2,0,3,1
"Jan 30, 2022",CHI vs. POR,W,32,24,14,3,1,1,1
"Jan 28, 2022",CHI @ SAS,L,37,18,8,4,2,0,2
"Jan 26, 2022",CHI vs. TOR,W,35,17,15,8,0,0,4
"Jan 24, 2022",CHI @ OKC,W,39,26,15,4,1,3,4
"Jan 23, 2022",CHI @ ORL,L,30,13,13,3,0,0,5
"Jan 21, 2022",CHI @ MIL,L,35,19,11,3,1,2,2
"Jan 19, 2022",CHI vs. CLE,W,37,24,12,3,0,1,2
"Jan 17, 2022",CHI @ MEM,L,30,7,10,3,2,2,2
"Jan 15, 2022",CHI @ BOS,L,35,27,6,6,2,1,1
"Jan 14, 2022",CHI vs. GSW,L,30,19,14,5,0,3,2
"Jan 12, 2022",CHI vs. BKN,L,31,14,5,3,0,1,1
"Jan 11, 2022",CHI vs. DET,W,27,22,8,4,2,0,2
"Jan 09, 2022",CHI @ DAL,L,34,13,6,2,1,1,0
"Jan 07, 2022",CHI vs. WAS,W,33,16,14,7,4,0,0
"Jan 03, 2022",CHI vs. ORL,W,36,13,17,1,2,2,2
"Jan 01, 2022",CHI @ WAS,W,35,22,12,1,0,1,5
"Dec 31, 2021",CHI @ IND,W,34,14,16,4,0,0,0
"Dec 29, 2021",CHI vs. ATL,W,33,16,20,1,3,1,2
"Dec 27, 2021",CHI @ ATL,W,34,24,17,6,0,4,0
"Dec 26, 2021",CHI vs. IND,W,33,16,15,3,2,2,3
"Dec 20, 2021",CHI vs. HOU,W,30,18,6,4,0,2,0
"Dec 19, 2021",CHI vs. LAL,W,35,19,13,2,1,1,1
"Dec 11, 2021",CHI @ MIA,L,34,10,8,2,1,0,1
"Dec 08, 2021",CHI @ CLE,L,31,18,12,0,0,2,2
"Dec 06, 2021",CHI vs. DEN,W,35,20,10,2,1,1,2
"Dec 04, 2021",CHI @ BKN,W,35,11,5,2,1,0,0
"Dec 02, 2021",CHI @ NYK,W,34,27,7,3,0,1,2
"Nov 29, 2021",CHI vs. CHA,W,35,30,14,5,0,2,2
"Nov 27, 2021",CHI vs. MIA,L,30,7,13,3,2,2,3
"Nov 26, 2021",CHI @ ORL,W,29,16,8,3,0,1,2
"Nov 24, 2021",CHI @ HOU,L,26,14,13,4,1,1,2
"Nov 10, 2021",CHI vs. DAL,W,32,18,10,4,1,0,2
"Nov 08, 2021",CHI vs. BKN,W,33,11,13,5,1,3,1
"Nov 06, 2021",CHI vs. PHI,L,36,11,11,2,0,0,0
"Nov 03, 2021",CHI @ PHI,L,36,4,10,6,0,0,1
"Nov 01, 2021",CHI @ BOS,W,35,11,10,9,0,2,2
"Oct 30, 2021",CHI vs. UTA,W,34,16,12,2,1,0,0
"Oct 28, 2021",CHI vs. NYK,L,36,22,8,6,1,0,0
"Oct 25, 2021",CHI @ TOR,W,34,17,8,2,3,0,1
"Oct 23, 2021",CHI vs. DET,W,33,15,19,3,2,3,2
"Oct 22, 2021",CHI vs. NOP,W,31,10,4,4,4,2,4
"Oct 20, 2021",CHI @ DET,W,36,15,15,4,0,0,3
"Apr 09, 2023",CHI vs. DET,W,17,8,7,0,3,0,0
"Apr 07, 2023",CHI @ DAL,W,28,20,10,4,0,0,1
"Apr 05, 2023",CHI @ MIL,L,34,21,11,4,0,0,3
"Apr 04, 2023",CHI vs. ATL,L,34,19,10,3,0,0,1
"Apr 02, 2023",CHI vs. MEM,W,32,13,10,2,1,1,0
"Mar 31, 2023",CHI @ CHA,W,30,21,8,0,0,0,0
"Mar 29, 2023",CHI vs. LAL,L,36,29,12,6,0,0,2
"Mar 27, 2023",CHI @ LAC,L,30,20,8,5,0,0,3
"Mar 26, 2023",CHI @ LAL,W,15,4,2,1,1,0,0
"Mar 24, 2023",CHI @ POR,W,30,23,15,4,1,0,5
"Mar 22, 2023",CHI vs. PHI,L,25,8,5,2,1,0,1
"Mar 20, 2023",CHI @ PHI,W,46,21,12,2,4,0,1
"Mar 18, 2023",CHI vs. MIA,W,39,13,10,2,0,1,1
"Mar 17, 2023",CHI vs. MIN,W,46,21,11,4,2,3,4
"Mar 15, 2023",CHI vs. SAC,L,35,20,14,3,0,0,2
"Mar 11, 2023",CHI @ HOU,W,33,18,12,6,1,0,2
"Mar 08, 2023",CHI @ DEN,W,35,25,15,3,0,0,1
"Mar 05, 2023",CHI vs. IND,L,36,12,9,5,3,2,1
"Mar 03, 2023",CHI vs. PHX,L,31,13,9,2,1,0,2
"Mar 01, 2023",CHI @ DET,W,35,12,9,2,1,0,1
"Feb 28, 2023",CHI @ TOR,L,31,23,5,4,0,0,6
"Feb 26, 2023",CHI vs. WAS,W,32,16,13,1,0,0,0
"Feb 24, 2023",CHI vs. BKN,W,29,13,10,2,0,2,0
"Feb 16, 2023",CHI vs. MIL,L,31,22,16,3,0,0,2
"Feb 15, 2023",CHI @ IND,L,37,19,7,3,0,2,4
"Feb 13, 2023",CHI vs. ORL,L,34,13,13,1,2,0,1
"Feb 11, 2023",CHI @ CLE,L,36,14,14,4,0,1,0
"Feb 09, 2023",CHI @ BKN,L,37,15,17,1,0,0,0
"Feb 07, 2023",CHI @ MEM,L,37,28,17,6,3,0,1
"Feb 06, 2023",CHI vs. SAS,W,24,22,12,4,1,2,3
"Feb 04, 2023",CHI vs. POR,W,35,23,11,4,0,0,1
"Feb 02, 2023",CHI vs. CHA,W,33,17,12,6,1,0,0
"Jan 31, 2023",CHI vs. LAC,L,39,23,14,4,2,0,0
"Jan 28, 2023",CHI @ ORL,W,39,26,13,5,0,2,3
"Jan 26, 2023",CHI @ CHA,L,35,12,9,1,1,0,2
"Jan 24, 2023",CHI @ IND,L,33,20,8,5,0,2,3
"Jan 23, 2023",CHI vs. ATL,W,39,14,17,7,1,0,1
"Jan 19, 2023",CHI @ DET,W,35,16,15,6,1,0,2
"Jan 15, 2023",CHI vs. GSW,W,39,43,13,4,4,0,1
"Jan 13, 2023",CHI vs. OKC,L,39,19,11,4,1,0,4
"Jan 11, 2023",CHI @ WAS,L,39,15,10,5,0,2,2
"Jan 09, 2023",CHI @ BOS,L,34,21,13,1,0,0,0
"Jan 07, 2023",CHI vs. UTA,W,34,15,16,4,0,2,1
"Jan 06, 2023",CHI @ PHI,W,36,19,18,10,0,2,1
"Jan 04, 2023",CHI vs. BKN,W,36,21,13,3,0,2,3
"Jan 02, 2023",CHI @ CLE,L,44,20,13,2,0,0,1
"Dec 31, 2022",CHI vs. CLE,L,35,11,14,1,2,1,0
"Dec 30, 2022",CHI vs. DET,W,33,19,9,2,1,3,1
"Dec 28, 2022",CHI vs. MIL,W,36,15,14,5,0,3,4
"Dec 26, 2022",CHI vs. HOU,L,30,10,3,4,0,0,2
"Dec 23, 2022",CHI @ NYK,W,39,21,12,2,1,0,1
"Dec 21, 2022",CHI @ ATL,W,33,20,7,2,1,1,0
"Dec 20, 2022",CHI @ MIA,W,37,29,12,2,1,0,3
"Dec 18, 2022",CHI @ MIN,L,32,23,9,5,2,1,4
"Dec 16, 2022",CHI vs. NYK,L,29,9,8,4,0,0,2
"Dec 14, 2022",CHI vs. NYK,L,41,19,7,5,0,2,1
"Dec 11, 2022",CHI @ ATL,L,37,13,8,1,2,0,0
"Dec 10, 2022",CHI vs. DAL,W,26,20,8,4,1,1,0
"Dec 07, 2022",CHI vs. WAS,W,36,25,11,3,2,2,1
"Dec 04, 2022",CHI @ SAC,L,37,12,6,1,0,1,2
"Dec 02, 2022",CHI @ GSW,L,32,23,11,1,3,0,1
"Nov 30, 2022",CHI @ PHX,L,29,17,8,1,2,1,2
"Nov 28, 2022",CHI @ UTA,W,34,16,9,2,1,0,1
"Nov 25, 2022",CHI @ OKC,L,40,13,13,3,0,0,2
"Nov 23, 2022",CHI @ MIL,W,30,18,5,4,0,1,2
"Nov 21, 2022",CHI vs. BOS,W,35,12,13,6,0,0,0
"Nov 18, 2022",CHI vs. ORL,L,33,14,16,7,1,3,1
"Nov 16, 2022",CHI @ NOP,L,30,14,10,0,1,0,2
"Nov 13, 2022",CHI vs. DEN,L,23,9,6,0,0,0,3
"Nov 09, 2022",CHI vs. NOP,L,27,18,7,2,0,0,2
"Nov 07, 2022",CHI vs. TOR,W,35,15,13,4,0,2,5
"Nov 06, 2022",CHI @ TOR,L,35,18,12,6,0,1,4
"Nov 04, 2022",CHI @ BOS,L,35,24,12,3,1,0,1
"Nov 02, 2022",CHI vs. CHA,W,32,14,13,3,0,1,4
"Nov 01, 2022",CHI @ BKN,W,32,7,15,2,1,0,1
"Oct 29, 2022",CHI vs. PHI,L,36,23,19,3,1,0,4
"Oct 28, 2022",CHI @ SAS,L,25,9,5,2,0,1,2
"Oct 26, 2022",CHI vs. IND,W,31,14,7,4,0,0,2
"Oct 24, 2022",CHI vs. BOS,W,31,18,23,5,0,0,2
"Oct 22, 2022",CHI vs. CLE,L,31,16,4,3,0,3,2
"Oct 21, 2022",CHI @ WAS,L,30,24,8,1,0,0,1
"Oct 19, 2022",CHI @ MIA,W,33,15,17,2,0,3,1
"Apr 14, 2024",CHI @ NYK,L,42,29,11,3,0,0,2
"Apr 11, 2024",CHI @ DET,W,37,27,11,4,2,1,0
"Apr 09, 2024",CHI vs. NYK,L,39,26,5,1,0,1,0
"Apr 07, 2024",CHI @ ORL,L,31,8,5,2,0,0,2
"Apr 05, 2024",CHI vs. NYK,W,32,16,13,6,0,1,2
"Apr 01, 2024",CHI vs. ATL,L,31,5,14,3,1,0,1
"Mar 31, 2024",CHI @ MIN,W,33,19,8,6,2,0,2
"Mar 29, 2024",CHI @ BKN,L,30,13,10,4,0,1,1
"Mar 27, 2024",CHI vs. IND,W,29,22,12,2,0,1,0
"Mar 25, 2024",CHI vs. WAS,L,30,9,16,3,0,3,3
"Mar 23, 2024",CHI vs. BOS,L,32,14,2,5,1,2,1
"Mar 21, 2024",CHI @ HOU,L,39,16,14,6,0,1,1
"Mar 18, 2024",CHI vs. POR,W,35,22,9,0,2,1,3
"Mar 16, 2024",CHI vs. WAS,W,31,29,13,2,1,0,3
"Mar 14, 2024",CHI vs. LAC,L,35,19,6,5,0,0,1
"Mar 13, 2024",CHI @ IND,W,43,12,12,3,1,0,1
"Mar 11, 2024",CHI vs. DAL,L,26,13,6,2,0,1,3
"Mar 09, 2024",CHI @ LAC,L,35,22,11,2,0,0,1
"Mar 07, 2024",CHI @ GSW,W,35,33,11,5,0,0,4
"Mar 06, 2024",CHI @ UTA,W,31,23,12,2,0,0,1
"Mar 04, 2024",CHI @ SAC,W,32,10,13,2,1,1,2
"Mar 01, 2024",CHI vs. MIL,L,34,17,9,3,0,0,1
"Feb 28, 2024",CHI vs. CLE,W,40,24,13,5,2,2,4
"Feb 27, 2024",CHI vs. DET,L,37,25,10,2,0,1,1
"Feb 25, 2024",CHI @ NOP,W,34,22,13,3,1,0,3
"Feb 22, 2024",CHI vs. BOS,L,35,22,14,2,0,0,4
"Feb 14, 2024",CHI @ CLE,L,39,9,8,1,0,0,2
"Feb 12, 2024",CHI @ ATL,W,34,24,11,2,1,0,0
"Feb 10, 2024",CHI @ ORL,L,43,26,17,4,3,1,0
"Feb 08, 2024",CHI @ MEM,W,39,20,10,5,0,2,3
"Feb 06, 2024",CHI vs. MIN,W,43,24,6,2,0,4,0
"Feb 03, 2024",CHI vs. SAC,L,34,24,12,3,1,0,2
"Jan 31, 2024",CHI @ CHA,W,33,22,12,3,0,2,0
"Jan 30, 2024",CHI vs. TOR,L,36,14,9,3,2,1,1
"Jan 28, 2024",CHI @ POR,W,34,14,7,3,0,3,0
"Jan 25, 2024",CHI @ LAL,L,39,20,8,1,0,1,2
"Jan 22, 2024",CHI @ PHX,L,37,19,17,7,0,0,1
"Jan 20, 2024",CHI vs. MEM,W,25,11,11,3,0,0,2
"Jan 18, 2024",CHI @ TOR,W,35,24,14,7,2,1,0
